date,added,ratings,reviews,to-read
2022-08-16,17,4,0,12
2022-08-17,14,0,1,6
2022-08-18,12,4,0,7
2022-08-19,17,5,0,9
2022-08-20,16,6,0,7
2022-08-21,22,9,1,8
2022-08-22,16,7,3,7
2022-08-23,10,2,0,4
2022-08-24,7,3,0,3
2022-08-25,9,3,0,4
2022-08-26,7,1,0,3
2022-08-27,11,1,1,1
2022-08-28,18,5,2,10
2022-08-29,22,5,2,14
2022-08-30,13,4,0,7
2022-08-31,16,3,1,7
2022-09-01,12,2,0,4
2022-09-02,15,3,0,10
2022-09-03,7,5,0,4
2022-09-04,14,3,0,6
2022-09-05,15,3,0,8
2022-09-06,21,4,0,10
2022-09-07,24,9,1,7
2022-09-08,15,8,0,5
2022-09-09,16,5,0,4
2022-09-10,17,2,1,7
2022-09-11,14,4,0,7
2022-09-12,18,2,1,9
2022-09-13,17,1,1,8
2022-09-14,8,4,0,3
2022-09-15,9,5,2,5
2022-09-16,8,5,0,2
2022-09-17,10,1,0,5
2022-09-18,15,5,1,5
2022-09-19,9,5,0,2
2022-09-20,5,4,0,0
2022-09-21,7,4,0,2
2022-09-22,8,2,0,2
2022-09-23,10,1,0,5
2022-09-24,12,1,0,5
2022-09-25,10,3,1,2
2022-09-26,11,0,0,7
2022-09-27,16,1,0,6
2022-09-28,12,-1,0,8
2022-09-29,4,3,1,2
2022-09-30,11,5,0,5
2022-10-01,11,1,0,10
2022-10-02,16,0,1,11
2022-10-03,13,3,0,7
2022-10-04,12,4,0,5
2022-10-05,10,3,0,6
2022-10-06,13,6,0,4
2022-10-07,12,2,0,4
2022-10-08,10,3,0,4
2022-10-09,13,1,0,5
2022-10-10,7,4,2,4
2022-10-11,3,4,1,1
2022-10-12,12,4,0,4
2022-10-13,9,9,2,0
2022-10-14,3,0,0,3
2022-10-15,10,0,0,4
2022-10-16,15,2,0,4
2022-10-17,10,4,0,5
2022-10-18,5,4,0,2
2022-10-19,14,4,0,3
2022-10-20,13,7,1,7
2022-10-21,6,2,0,1
2022-10-22,10,4,1,5
2022-10-23,15,3,0,5
2022-10-24,11,4,0,5
2022-10-25,9,1,0,6
2022-10-26,7,2,0,3
2022-10-27,12,1,0,7
2022-10-28,10,0,0,5
2022-10-29,11,2,0,5
2022-10-30,11,2,0,4
2022-10-31,10,3,0,4
2022-11-01,6,2,1,4
2022-11-02,6,3,0,1
2022-11-03,13,0,0,9
2022-11-04,3,3,0,1
2022-11-05,17,3,0,9
2022-11-06,15,7,1,9
2022-11-07,24,6,0,8
2022-11-08,11,2,0,5
2022-11-09,8,2,0,2
2022-11-10,17,4,0,9
2022-11-11,5,1,0,3
2022-11-12,10,0,0,7
2022-11-13,17,1,0,5
2022-11-14,11,1,0,3
2022-11-15,15,4,0,6
2022-11-16,10,3,0,6
2022-11-17,7,2,0,5
2022-11-18,10,1,0,4
2022-11-19,15,1,0,11
2022-11-20,16,3,0,8
2022-11-21,10,4,0,5
2022-11-22,14,4,2,5
2022-11-23,12,1,0,8
2022-11-24,16,2,0,7
2022-11-25,8,3,0,4
2022-11-26,14,2,0,9
2022-11-27,8,1,0,4
2022-11-28,11,2,0,6
2022-11-29,9,4,1,6
2022-11-30,18,5,1,6
2022-12-01,10,8,0,4
2022-12-02,11,6,0,4
2022-12-03,15,4,1,8
2022-12-04,12,2,0,7
2022-12-05,16,3,0,9
2022-12-06,17,5,0,6
2022-12-07,11,3,0,6
2022-12-08,5,2,0,4
2022-12-09,9,3,1,4
2022-12-10,12,1,0,5
2022-12-11,10,2,0,7
2022-12-12,8,1,0,4
2022-12-13,24,3,0,8
2022-12-14,17,6,0,6
2022-12-15,15,5,0,7
2022-12-16,9,1,0,3
2022-12-17,18,5,2,6
2022-12-18,23,10,1,7
2022-12-19,16,7,1,8
2022-12-20,16,4,0,7
2022-12-21,29,6,2,12
2022-12-22,20,6,0,11
2022-12-23,13,4,0,6
2022-12-24,1,2,1,1
2022-12-25,14,3,0,5
2022-12-26,23,6,3,6
2022-12-27,24,5,0,11
2022-12-28,25,10,0,12
2022-12-29,21,7,1,10
2022-12-30,27,8,2,9
2022-12-31,25,5,0,7
2023-01-01,32,13,0,14
2023-01-02,25,8,1,15
2023-01-03,33,7,0,13
2023-01-04,16,6,1,9
2023-01-05,19,7,0,9
2023-01-06,23,8,0,9
2023-01-07,12,3,1,5
2023-01-08,18,2,0,8
2023-01-09,23,6,1,6
2023-01-10,21,10,0,9
2023-01-11,15,5,1,6
2023-01-12,20,7,3,5
2023-01-13,19,8,2,4
2023-01-14,9,6,0,3
2023-01-15,25,2,0,18
2023-01-16,21,8,1,10
2023-01-17,16,6,0,7
2023-01-18,21,7,0,13
2023-01-19,16,2,0,6
2023-01-20,20,4,0,12
2023-01-21,10,3,0,7
2023-01-22,17,5,0,7
2023-01-23,31,6,0,13
2023-01-24,27,6,1,18
2023-01-25,26,7,1,9
2023-01-26,21,3,1,9
2023-01-27,24,7,1,9
2023-01-28,23,10,2,11
2023-01-29,19,3,1,12
2023-01-30,15,4,0,8
2023-01-31,15,9,1,11
