date,added,ratings,reviews,to-read
2022-08-16,8,2,0,7
2022-08-17,7,1,0,6
2022-08-18,10,1,0,7
2022-08-19,9,2,0,6
2022-08-20,18,4,3,12
2022-08-21,11,1,0,9
2022-08-22,12,2,1,6
2022-08-23,6,1,0,6
2022-08-24,9,1,0,6
2022-08-25,6,0,0,3
2022-08-26,11,2,0,7
2022-08-27,12,2,0,10
2022-08-28,13,0,0,11
2022-08-29,18,1,1,14
2022-08-30,10,6,1,7
2022-08-31,2,0,0,2
2022-09-01,16,2,0,16
2022-09-02,8,0,0,6
2022-09-03,15,1,0,12
2022-09-04,7,1,0,4
2022-09-05,8,1,0,5
2022-09-06,7,1,0,6
2022-09-07,11,1,0,10
2022-09-08,14,0,0,13
2022-09-09,9,1,0,7
2022-09-10,10,0,0,7
2022-09-11,5,1,0,3
2022-09-12,8,1,0,8
2022-09-13,11,0,0,8
2022-09-14,11,2,1,10
2022-09-15,13,3,0,11
2022-09-16,5,1,0,3
2022-09-17,10,2,0,7
2022-09-18,10,2,0,9
2022-09-19,10,0,0,9
2022-09-20,9,3,0,8
2022-09-21,4,1,0,3
2022-09-22,4,1,0,3
2022-09-23,4,1,0,2
2022-09-24,4,0,0,3
2022-09-25,11,0,0,9
2022-09-26,3,0,0,3
2022-09-27,12,0,0,11
2022-09-28,9,0,0,7
2022-09-29,9,3,1,5
2022-09-30,8,0,1,5
2022-10-01,5,0,0,5
2022-10-02,11,3,0,5
2022-10-03,7,1,1,6
2022-10-04,7,3,2,6
2022-10-05,8,0,0,7
2022-10-06,11,1,0,8
2022-10-07,10,1,0,8
2022-10-08,10,0,0,7
2022-10-09,7,1,0,6
2022-10-10,6,1,0,5
2022-10-11,6,0,0,4
2022-10-12,10,0,0,9
2022-10-13,5,1,0,5
2022-10-14,8,1,1,8
2022-10-15,8,0,0,7
2022-10-16,11,1,0,8
2022-10-17,5,2,0,3
2022-10-18,12,4,0,7
2022-10-19,6,1,0,3
2022-10-20,7,1,0,7
2022-10-21,10,1,0,7
2022-10-22,9,1,0,8
2022-10-23,9,0,0,8
2022-10-24,10,0,0,10
2022-10-25,6,1,1,4
2022-10-26,10,2,1,7
2022-10-27,9,0,0,8
2022-10-28,8,1,0,7
2022-10-29,6,0,0,6
2022-10-30,11,1,0,8
2022-10-31,11,2,0,9
2022-11-01,7,0,0,7
2022-11-02,11,1,0,8
2022-11-03,11,1,0,10
2022-11-04,6,2,0,5
2022-11-05,4,0,0,3
2022-11-06,10,1,1,8
2022-11-07,13,2,0,7
2022-11-08,9,2,0,8
2022-11-09,7,1,0,5
2022-11-10,6,0,0,6
2022-11-11,13,2,0,8
2022-11-12,7,0,0,5
2022-11-13,9,0,0,7
2022-11-14,6,0,0,4
2022-11-15,6,1,0,5
2022-11-16,6,0,0,3
2022-11-17,6,3,1,4
2022-11-18,9,1,0,7
2022-11-19,13,2,1,8
2022-11-20,12,3,1,8
2022-11-21,14,0,0,12
2022-11-22,6,2,1,4
2022-11-23,13,1,0,12
2022-11-24,19,2,0,12
2022-11-25,12,2,0,11
2022-11-26,7,1,0,6
2022-11-27,12,0,0,12
2022-11-28,15,0,0,11
2022-11-29,3,0,0,2
2022-11-30,10,3,0,3
2022-12-01,14,0,0,10
2022-12-02,6,1,0,5
2022-12-03,5,0,0,3
2022-12-04,10,2,0,7
2022-12-05,6,0,0,3
2022-12-06,7,2,0,4
2022-12-07,4,1,0,3
2022-12-08,10,4,1,8
2022-12-09,11,1,1,7
2022-12-10,9,1,0,5
2022-12-11,17,2,0,12
2022-12-12,9,-1,0,7
2022-12-13,10,0,0,7
2022-12-14,8,0,0,5
2022-12-15,11,0,0,9
2022-12-16,6,1,0,4
2022-12-17,14,2,0,12
2022-12-18,10,-3,0,9
2022-12-19,9,2,0,8
2022-12-20,5,0,0,5
2022-12-21,8,1,0,4
2022-12-22,5,0,0,5
2022-12-23,11,-1,0,10
2022-12-24,9,1,0,7
2022-12-25,9,2,0,7
2022-12-26,8,3,0,6
2022-12-27,23,1,0,19
2022-12-28,15,0,0,14
2022-12-29,18,-1,0,15
2022-12-30,15,1,0,13
2022-12-31,12,3,0,8
2023-01-01,25,2,0,17
2023-01-02,24,4,0,19
2023-01-03,18,2,0,14
2023-01-04,7,0,0,6
2023-01-05,10,2,0,7
2023-01-06,13,1,0,9
2023-01-07,10,2,0,8
2023-01-08,13,1,0,9
2023-01-09,17,0,0,15
2023-01-10,10,1,0,7
2023-01-11,5,4,0,2
2023-01-12,7,1,0,5
2023-01-13,16,3,0,12
2023-01-14,12,2,0,8
2023-01-15,9,2,0,5
2023-01-16,10,0,0,8
2023-01-17,12,2,0,9
2023-01-18,5,0,0,3
2023-01-19,6,1,0,4
2023-01-20,6,0,0,5
2023-01-21,14,3,0,11
2023-01-22,11,2,0,3
2023-01-23,8,1,0,5
2023-01-24,16,3,0,14
2023-01-25,11,1,1,9
2023-01-26,7,0,0,5
2023-01-27,10,1,0,8
2023-01-28,12,1,0,10
2023-01-29,11,0,0,10
2023-01-30,6,4,0,4
2023-01-31,6,0,0,5
