Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
10589,Bag of Bones,Mario the lone bookwolf,732,3387,4,"August 9, 2020","A classic paranormal ghost story, showing how the creepiness of including kids in such settings can be lead to the marvelous extreme.It reminded me of Lisey´s Story, both proof of what not just great author, but loving husband King is. As he can´t get tired to repeat the importance of the support and help by his wife, that he writes to impress her, that we maybe won´t have seen all these unbelievable novels without the woman inspiring the master to give the best he can and of course the infamous Carrie in the trashbin tale. It´s better than Lisey´s story too, because it has more dynamic action, unexpected plot twists, and is one of King´s more underappreciated works, possibly because it´s less action and meta, but more about the exploration of the protagonist´s development, thoughts, and feelings, his mental state taking the place of the main protagonist, antagonist, and premise.These novels are completely different than the impersonal, just horror or fantasy works, King seems to use another approach towards creating these pieces than his usual mantra of letting the characters tell the story. His subconsciousness must do something to reduce the thrill and real, physical violence, to come closer to the Love(pun intended)craftian, subtle, psycho terror horror that is much more frightening than the expected, known types of horror one is used too. It´s far more tricky to read, for some readers definitively not as enjoyable, and therefore far less present in the horror genre that prefers to live up to Hollywood standards and stereotypes.Dark philosophizing about what might happen after the spouse, lover, lifelong partner over decades, or even a child, dies is something nobody wants to think about, but King goes the way, gives amazing introspections that haunt millions of real, poor people and expands the horror to having to deal with bursts of extreme violence and paranormal activity. That´s especially frightening if one is not sure if it´s just a reaction to the stress and sadness, serious mental illness or, worst and most difficult to detect and handle without one´s exorcist of trust, real manifestations of whatever other dimensions, parallel universes, or quantum foam may have prepared for meat sacks.Playing with the option of going bonkers, as King likes to do it with his different alter egos, is something possibly, quite counterintuitively, healthy for everyone, as it could show many of the blind spots and subjective errors one has accumulated over one´s life. At least better than needing real creepy nightmares to come to the realization. Reality and what lies behind it is one of the great topics and science will show who is right, but just thinking about the possible implications is truly no good evening hobby. Hardly one of King´s novels scared me so much (I was still young and not that internally dead as nowadays) and it led my fantasy to the logical question and the rational option of why not going to visit some haunted places. I still didn´t do it, not sure if I should, it´s ridiculous because I am doing as if I am that hyper rational, but visiting or living in such places might get even too tricky for me. I mean, honestly, who buys a freaking, old, cursed spooky castle to live in? Possibly with the bedroom in the former torture chamber, no thanks.Tropes show how literature is conceptualized and created and which mixture of elements makes works and genres unique: https://tvtropes.org/pmwiki/pmwiki.ph...",263,11
10589,Bag of Bones,Diane Wallace,"1,108",1313,3,"October 25, 2017",Haunted read! a bit long but the storyline was scary good and very intense (paperback!),219,20
10589,Bag of Bones,Baba,"3,503",725,3,"November 6, 2021","2016 read: Derry resident, and well known writer Michael Noonan returns to his summer home, four years after become a widower - he's suffering from writer's block, and on moving home he finds a lot more than his past, when he finds his wife's secret life, ghosts and a 100 year history of vengeance! With a slow start that focused on a thought provoking custody battle; this is still all-in-all a ghost story, so not really my cup of tea, as ghosts don't really do it for me. And for once in a Stephen King novel, many of the peripheral characters are not that well characterised!7 out of 12.",125,N/A
10589,Bag of Bones,Char ,"1,595",1441,4,"November 21, 2015","Grief. That's the emotion that got to me the most during this reread.The first time I read this book I had just turned thirty and even though I was already married, the horror of losing a spouse didn't get through to me like it did this time. Now, after just having celebrated my 30th wedding anniversary, the idea of losing my husband is unfathomable. Stephen King dove deep into those fathoms and dragged me along with him. I did not like what I saw or felt. That, right there, is the reason why Stephen is the KING.I'm not going to go into the plot too much here, this is an old book and it's even had a made-for-TV-movie, so I can't say much most people don't already know. This story is a combination of ghost story, revenge, and love story. It has genuinely scary moments and other moments so poignant that I found myself with tears in my eyes. But what is most important about this tale, about all of King's works, really, are the characters. King creates characters that are so real you feel like you can reach out and touch them. They are so real, you take in their emotions as your own. And he does it by not shying away from the ugly moments we all experience inside our own heads.  The fact that widower Mike Noonan lusts after a young woman is painful for Mike to acknowledge and we, the Constant Readers, can  feel  how Mike is torn between that lust and guilt, and all the tangled feelings of betrayal and loss that go along with that. Even though he's widowed, he feels these emotions and we can feel  them too. In our hearts, we know what Mike is feeling is true, because that's how WE would feel. Not only does King draw great good characters, he draws great bad ones, as well. His bad guys, not just Mr. Devore from this book, but ALL of them, have layers and a realness to them that brings them alive. They're not just men dressed in black, (Randall Flagg, I'm looking at you), they're complicated, (Trashcan Man), they have depth to them, and we (I?) LOVE to hate them. In this book, Mr. Devore is a rich, frail, elderly man in a wheelchair, yet he still comes at Mike with a menace that is horrible to witness. Our emotions are pulled every which way, how could we HATE an old man in a wheelchair? But there is no question that we DO hate him, and there again, the King has manipulated our emotions and has his Constant Readers, and all other readers, in the palms of his skilled, talented hands.I loved this book. I love Stephen King. That doesn't mean that I've loved every book he's written, but I usually do love his characters and creations, (Wolf, Billy Bumblers), and they still live within my memory. For me, no other author has created so many memorable characters and place settings. The words Derry, Jerusalem's Lot and Pennywise- they all cause an instant picture to appear in my brain. I say let him plant a picture in your brain too: of Sarah Laughs, of the T.R. and Mr. Devoe, Mattie and Kyra. I'm pretty sure you'll thank me later. I highly recommend this book to everyone. Just hold on tight, because your emotions are going to get knocked around a bit by the King, but hey, there's no one better qualified to do so. You'll be getting knocked around by one of the best authors living today. I was asked way back in January, I think, to participate in the King For A Year project, and I was honored to be asked. This review is for that project, which I have thoroughly enjoyed reading. Here's a link in case anyone wants to check out what other authors and reviewers have to say about the King and his works: http://kingreviews2015.blogspot.com/",121,29
10589,Bag of Bones,Nataliya,710,11300,4,"July 3, 2021","
  “Grief is like a drunken houseguest, always coming back for one more goodbye hug.”
This is a story of grief and loss and marriage and hauntings - both by ghosts and memories - told in Stephen King’s trademark sprawling narration that has dark secrets that haunt small towns, the thin lines between reality and supernatural that can so easily snap, and regular people caught in the jaws of a world that has teeth and is not afraid to bite. But more than anything this is a story of a man missing his dead wife and a writer struggling with the loss of his ability to create stories. And King is excellent at that - human emotions and human nature and the pain of loneliness.
  “I cried because I suddenly realized that I had been walking a white line ever since Jo died, walking straight down the middle of the road. By some miracle, I had been carried out of harm’s way. I had no idea who had done the carrying, but that was all right—it was a question that could wait for another day.”
 
  
Bag of Bones is a story of marriage and the immense grief at losing a partner. These motifs are common in King’s books — the special intimate world of a long-term partnership, the secret language and rituals of a marriage not ever fully understandable to outsiders. The overwhelming numbing pain Mike feels, with all the anger and despair and loneliness, rings so true and is so profoundly moving. The love and understanding between partners, in this case literally transcending death, is fascinating. King writes about this with such feeling that it stops me in my tracks, makes me catch my breath and nod in recognition and terror about eventually having to go through something like that. Because King knows and *gets* people and love and the invisible strands that tie us together, and understands how fragile happiness can be shattered. 
  “[…] Any good marriage is secret territory, a necessary white space on society’s map. What others don’t know about it is what makes it yours.”
Yet again King exceeds all expectations creating a small New England town - this time a place that is not even a town but an unincorporated township known as the TR. A tight-knit closed-lipped insular community where stubborn pride and sincere generosity, seeming good-naturedness and almost claustrophobic distrust of strangers are all intertwined. A seemingly folksy place full of skeletons - or rather bags of bones - hidden in metaphorical closets, buried under lake waters, closely guarded. The world where “summer people” will never fully fit in. The place that can shield one of its own behind a shoulder-to-shoulder wall — but you are not going to enjoy being on the other side of that wall.
  “There is such a thing as town consciousness—anyone who doubts it has never been to a New England town meeting. Where there’s a consciousness, is there not likely to be a subconscious?”
Another thing that King does very well is showing us the existential fear of writers — the desperation and frustration that comes with losing your ability to write and you are helpless to make it stop. King is at his best when he writes about his craft, and I can’t help but think that he allows us to peek behind that curtain in his brain just for the briefest moment.
  “That is in some ways the strangest part of the creative process. The muses are ghosts, and sometimes they come uninvited.”
 
  
And beneath it all - the love, the loss, the community ties - are strands of visceral anger and revenge. This is one of those few books where you feel the pain of both sides because the true dangers don’t usually come from the world beneath our reality but from our fellow humans, and revenge and justice do not always go hand in hand. Two wrongs never make a right, and it’s painful and sad and poignant.
  “I suspect that fright, like pain, is one of those things that slip our minds once they have passed. What I do remember is a feeling I’d had before when I was down here, especially when I was walking this road by myself. It was a sense that reality was thin. I think it is thin, you know, thin as lake ice after a thaw, and we fill our lives with noise and light and motion to hide that thinness from ourselves.”
Like most “later” King books, this one is almost leisurely slow, going along at a walking pace, taking breaks often enough for us to get to know the characters in vivid brush strokes — and yet it does not quite feel drawn-out or bloated. When King takes his time to explore the characters and the plot slows down to a halt, I still don’t mind because the strengths of his characterizations and observations are a pleasure to read. And his language is particularly strong here; King stated before that he emphasizes the story over the literary form, but this one slants literary nevertheless — all while keeping his ear for dialogue and his razor-sharp observations and damn good storytelling.
  “I think houses live their own lives along a time-stream that’s different from the ones upon which their owners float, one that’s slower. In a house, especially an old one, the past is closer.”————“The last of these dreams was a nightmare, but until that one they had a kind of surreal simplicity. They were dreams I’d awake from wanting to turn on the bedroom light so I could reconfirm my place in reality before going back to sleep. You know how the air feels before a thunderstorm, how everything gets still and colors seem to stand out with the brilliance of things seen during a high fever?”
Honestly, don’t come to this book expecting horror in a traditional sense, there’s none of that to be found. Yes, there’s plenty of creepiness and unsettling moments — but it’s something else altogether, something more contemplative and observant and haunting and often unexpectedly brutal. It’s simply a “King”, its own genre by now. It’s not about the typical scares. The true dread comes from unexpected places — like that bizarre and almost surreal rock-throwing scene, for instance, where seemingly mundane becomes truly creepy.
   “At night your thoughts have an unpleasant way of slipping their collars and running free.”
It’s not perfect by any means. There’s a bit too much relentless precociousness in the kid character, and a bit over-the-top villain, and the denouement is a tad too long. And yet those faults are minor, and what stayed with me ever since I first read it at 16 and what is still there now is the haunting gut-wrenching atmosphere and the weight of learning to survive your grief and loss. And yes, it did hit me much harder now than back when I was a teen, yet to have things to lose.
  
    
    
    Stephen and Tabitha King
  
The audio version is narrated by King himself, all 22 hours of it (which is how I ended up spending a whole month with it), and it’s pretty damn special hearing the story in the author’s voice. Plus it has a 30 min interview with King in the end, and that was quite interesting.4 stars.",96,10
10589,Bag of Bones,Johann (jobis89),614,4239,4,"September 25, 2018","""Grief is like a drunken house guest, always coming back for one more goodbye hug.""Bag of Bones focuses on the story of Mike Noonan, a best-selling writer who's wife unexpectedly passes away. Following her death, Mike suffers from writer's block and begins to have nightmares concerning their lakeside house, Sara Laughs. Mike decides he must go back to their lakeside house in order to confront his fears. Upon his arrival, he meets a beautiful single mother and her daughter, only to find out that a crazy millionaire wants to obtain custody of the young girl, who is his granddaughter. Mike decides he must help the young mother and daughter, but other sinister forces are also at work...I truly believe that no one can depict grief like King can. Between this and Lisey's Story, King seems to have a unique talent for describing those feelings of loss and the process of grief itself. And that is part of the reason why I love King so much, it just feels like he gets you and he is able to connect with his reader so easily. Bag of Bones opens with Mike Noonan trying to cope following the unexpected death of his wife Johanna to a brain aneurysm, and these opening scenes are just heartbreaking to read. Mike's grief is so prominent and it's very easy to empathise with this character. The reality of Johanna's death really hits Mike when he realises that she will never move past page 103 in her current read (this really struck a cord with me). Shortly after her death, the nightmares surrounding their lakeside house begins...This book did actually unsettle me at times. There's just something about creepy happenings occurring in your house. It's those kind of storylines that freak me out the most - the ones that quite literally hit close to home. It's kinda why movies like Paranormal Activity are so effective. Some of the scenes King described left me with the hairs on the back of my neck standing up. Serves me right for reading alone in bed late at night...The characters themselves are pretty special. Mike Noonan is just a damn good man. He is caring, generous, thoughtful, and that somehow makes it more difficult to watch him suffering through the loss of his wife. Although Johanna is strictly not a ""live"" character, she is very much present in this novel, and again, she is a genuinely good person. So her death is even more tragic. Upon meeting Mattie after his arrival at the lakehouse, you find yourself willing Mike to move on, almost like you want to tell him that it's okay. Often when I encounter this kind of a scenario in a book, I am like ""HOW DARE YOU! She's barely cold in her grave!"" but you can feel Mike's pain and he is clearly a good man who deserves some happiness in his life.How many times do I need to emphasise that King is literally the BEST at developing characters and their relationships. People who say King is all about horror and scares, need to read books like these in order to truly understand what King is really all about. Yes, this book could be considered ""horror"" in a way, but it's not your usual haunted house storyline at all. It's so much more than that. As for the ""baddies"" in this book - they were horrible, vile characters, particularly the character Max Devore.The twists and turns and unfolding of events in this novel was very impressive. I was constantly wondering what was coming next, how everything was linked, and I'm very happy to say that it all paid off. One minor complaint is regarding some of the scenes towards the end that made me feel slightly uncomfortable. I felt like perhaps it was maybe a bit too much...however it did really have an impact on me, and perhaps that was King's intention? So maybe it did work then?Anyway, all in all, a great book. 5 stars out of 5 for me! I'm on a run of great King books!Update: listened to audiobook in September 2018. Still a really great book but more boring parts than I remembered.... and that scene at the end was a tad too brutal for me. Just very uncomfortable.",94,7
10589,Bag of Bones,Dave Edmunds,231,44,5,"October 9, 2022","
  ""'Compared to the dullest human being actually walking about on the face of the earth and casting his shadow there,' Hardy supposedly said, 'the most brilliantly drawn character in a novel is but a bag of bones.' I understood because that was what I felt like in those interminable, dissembling days: a bag of bones."" 
4.5 ⭐'s
  Initial Thoughts 
Its been a long time since I've read a Stephen King book. I think the last one was Billy Summers when that was released. A fine book and something different, but not quite up there with his horror classics. You know what I'm talking about. The likes of Pet Semetary, Salem's Lot and The Stand. But going so long without dipping in to King has left me thirsty. The man is perhaps the greatest storyteller in modern literature. Sometimes you do forget exactly how good he is and why he's so many people's favourite author. Well it's time for me to get reacquainted with him with a book I've never read before. Which is crazy as it's a Bram Stoker, Locus and World British Fantasy award winner for best novel. But I've heard a lot of bad reports on this one being slow and overwritten. Well time to find out for myself, which is always the best way in life.I know Fairy Tale was released last month. But I was in the mood for horror in the build up to Halloween. No fantasy in the Edmunds household. So without further ado, let's dig out that beast of a book...Bag of Bones.
  The Story 
Yes this is a horror story and we kick off in Derry, Maine (home of It and Insomnia), where popular author Michael Noonan suffers the awful tragedy of loosing his wife, Jo, to a brain aneurysm. Struggling with grief and coming to terms with the loss, he is plagued by writer's block and his life appears to be stuck in limbo.Racked by surreal and disturbing dreams he eventually submits to the notion that he must return to their summer home of 'Sara Laughs' in the backwoods of TR-90 that is right next door to everyone's favourite town of Castle Rock. Once there events only continue to get spookier and what at first appears to be the perfect place for Michael to grieve turns out to be the home of a dark secret. And he can't shake that feeling that he isn't alone. You weren't expecting things to go smoothly though we're you? this is a Stephen King book after all.But as with all of his books there is a lot more than just horror and there is two storylines at work. Shortly after arriving Michael stumbles into the lives of Mattie Devore, a recently widowed mother, and her three year old daughter Kyra. He soon finds himself the only person in the small community that is willing to support the pair against mad billionaire grandfather, Max Devore, who is dead set on getting custody of young Kyra. It really is win at all costs for both parties and Michael finds himself firmly in the middle.
  The Writing 
There's a good reason why this book has won numerous awards, it's very well written. There's a few out there that believe King's writing has matured gradually over his career as he has started to shift away from horror more and more. Although I wouldn't call it literary fiction Bag of Bones could certainly be called a more literary approach when compared to his early works. If you completely removed the horror element you'd still have a compelling piece of fiction that explores a number of themes.One of those key themes in Bag of Bones is grief and how it severely impacts us. As we know from books like Pet Semetary, King is an absolute master of “real-life horror” and writes this even better than the supernatural stuff.I've heard a number of folk criticise this book for being slow. But it is a slow burn and one hundred percent meant to be that way. Its as much a mystery as it is a horror and King takes a subtle approach to building this one. I can definitely see why it might turn a few off, admittedly the tension did drop at points. But it certainly gives you time to ponder and think about what's going down rather than having things spelled out to you in rapid succession. It's very similar to Peter Straub's amazing Ghost Story in the way it takes its time in the first half and then really ramps it up in the last quarter.There's a lot to enjoy here with the way King depicts a small, insular community with its own unique atmosphere and dynamics. We've seen him do it time and again. An absolute master at work.His vivid descriptions of Maine are a treat and I loved how he incorporated the changing weather to impact on the tone of the narrative. Plus the actual scenes of horror had me gripping the pages with white knuckles, unable to put the book down. Even when my daughter is repeatedly punching me in the arm demanding her dinner. Or supper, depends how long I've been in the reading zone for. Disclaimer: no children were harmed in the production of this review.
  ""What comes in when daylight leaves is a kind of certainty: that beneath the skin there is a secret, some mystery both black and bright. You feel this mystery in every breath, you see it in every shadow, you expect to plunge into it at every turn of a step. It is here; you slip across it on a kind of breathless curve like a skater turning for home. "" 

  The Characters 
This is one of the few books that Stephen King chose to write in first-person with the main character of Mike Noonan driving things. He certainly makes for an entertaining guide and was a pretty likeable character, despite coming across a bit snobby at times.Again it was another author and you couldn't help but feel this was a reflection of King himself. He certainly feels very real and alive, ready to step off the page, which is a hallmark of King's characters. His reflections on the writing process were fascinating and very intimate. A highlight of the novel for sure along with the portrayal of his paralysing grief. Now and again his brooding did slow the pace of the novel down to a grinding halt however.Despite this not being the best set of characters from the Kingmeister, they were all realistic and we'll fleshed out. Kyra was certainly my favourite and reminded me a bit of my own daughter when she was that age. Too clever for her own good! She really did give Mike's character purpose and their relationship was heartwarming.King did such an amazing job with the location you could argue that was a character in itself. He painstakingly adds detail and backstory creating a real history and shared psychology that helps make the story such an immersive experience.Also, there's a number of Easter eggs that the author throws for his Constant Readers that include some returning characters from previous stories. I won't say who they are but keep your eyes peeled.
  Final Thoughts
Overall Bag of Bones is an excellent book. Although it's not amongst his very best, it does showcases King's strengths as an author and is certainly not amongst his worst. It would be in my consideration for his top twenty, let's put it that way.I thought the ending in this one definitely jumped it up a few marks. The two separate storylines intersect fantastically. King gets criticised for not being able to end a novel but this one was terrific. The final revelation is truly horrific, amongst the most shocking scenes he's written, and the overall atmosphere in those final pages is awesome.Ok, I'll admit it is a little long-winded but this is a book worth reading, and I would definitely recommend it to those who love a good slow burn ghost story.Thanks for reading...cheers!
  ""Now Sara Laughs is only a dark hulk down below, and I realize I don't want to go down there, anyway. I am a man who has trained his mind to misbehave, and I can imagine too many things waiting for me inside."" 
",88,17
10589,Bag of Bones,Melissa ♥ Dog/Wolf Lover ♥ Martin,"3,365",9426,4,"March 31, 2021",That was better than I thought it would be. 😉Mel 🖤🐶🐺🐾,78,2
10589,Bag of Bones,Erin (PT),559,92,3,"November 8, 2011","Here's the thing about me and Stephen King: no matter how problematic and/or angry-making I find some of his work to be, the man knows how to tell a good story. I had read Bag of Bones before, when it was first published, but all I really remembered about it was that I found it an enjoyable enough story, but not one that was excellent enough to be particularly memorable. And, indeed, I found myself remembering very little of the story while rereading it this time around. Which, on the one hand, the kind of thing I hope for with a reread so that it, again (and hopefully) has the power to surprise me again. There are good things about Bag of Bones. It is a real page-turner of a ghost story, one that gathers momentum page by page to a huge and appropriately dramatic climax. This is important because the quality of King's endings does vary greatly from novel to novel. The narrative arc of Bag of Bones is a very smooth and appropriate one, where 'appropriate' references the gradual raising of the story's stakes from beginning to end. As well, this is one of King's many stories with a writer as a protagonist and few other writers I've read can express the exalted joys, the abysmal lows and strange, superstition filled territories of that state. But there are bad things, too. From my original reading, I did remember that the ghostly part of the story somehow revolved around a black woman (Sara Tidwell) who was murdered and whose child was murdered and the whole thing later hushed up by the largely white town. It was, in fact, the one thing I did remember about the story and I remember not feeling completely sanguine or satisfied about it during my initial reading, though I didn't have a strong recollection of why.Reading it this time, I think part of the problem is that I didn't have the knowledge or the vocabulary to put to the why, just that vague sense of I don't like this. I'm not sure I have the knowledge now to fully flesh out that feeling, but even on a second read, it's definitely still there. My initial and most immediate reaction was to the race issues involved here. King frequently writes about small town Maine and the small-town (white) folks that live there with a lot of small town (white) attitudes. He also writes a lot about Magical Negroes. A friend and I were just talking about this (in reference to a different King book) and I said to her, ""It's just the price of admission with King."" And…though I'm not thrilled about that, it's still just true. So the fact that the underpinnings of this story is about egregious and heinous crimes that were carried out against a tiny black community by the denizens of this unincorporated township—through the direct action of a small few, and the cover up and subsequent shunning and/or harassment and/or passivity of all the rest—all written by a middle-aged, relatively small-town white dude is already enough to get my hackles up. In the course of the story, Sara Tidwell is repeatedly gang raped, forced to watch as her only child is drowned, then is strangled herself (while still being raped). Her remains and those of her murdered son are moved around, buried, unburied and then reburied, not even allowed to rest. Though everyone knows who is responsible for her and her son's disappearance (and presumed death), no justice is served and, when the Tidwell family won't lie down and accept this state of affairs, the township turns against them, to the point that someone leaves an animal trap in the woods which eventually kills another of the Tidwell children. The Tidwells and the other members of their small community, under this duress, leave the township. And while, on the one hand, I don't think that King, in text or without, condones what happens to Sara Tidwell, her son or the rest of the Tidwells, at the same time, the story is set up so that Sara's revenant and vengeful spirit is the ultimate villain of the piece, a monster that has to be vanquished by the (white) (male) (middle-aged) hero of the piece, largely to save the life of a beautiful, blue-eyed, blonde haired little girl. That…doesn't really sit well. It's a very gristly lump to digest, imo. But, thinking about it longer and further, I feel like my issues are actually bigger and deeper than that. Upon more thought, the closest comparison I could come was, ironically enough, a story written by one of King's sons, Joe Hill. In my review of Hill's Heart Shaped Box, I wrote: ""Though I feel that the story is really theirs, both women are presented as secondary characters and, more importantly, victims."" I feel as though the same problem of point of view and who, exactly 'owns' this story presents itself in Bag of Bones. Sara Tidwell is inarguably a victim here. Mattie Devore, love interest of the protagonist, Mike Noonan, and girl in a fridge, is unquestionably victimized in the course of the story, first by Max Devore, who attempts to literally buy her daughter, then attempts to use the law to steal her daughter and finally, tries to kill her daughter. Devore uses his money and influence to get the town to turn against Mattie, to get her fired from her job and, eventually, he pays to have her killed. As a result, Mattie's daughter, Kyra, loses her only remaining parent; though only three years old, she is equally victimized by Devore. Reaching a little further, you could argue that the town mothers (including Noonan's wife, Jo) are victimized by the men who raped and murdered Sara Tidwell and murdered her son; Sara's revenge against them spans generations, culling the family lines of those men who wronged her—and robbing those women whose worst sin was marrying into those families of their children. In Jo Noonan's case, there's an open question of whether Sara's interference even deprived her of her life. So there's a lot in the fabric of the story that could be said—about patriarchy, about misogyny, about abuses of power, and about race. And, to be fair, I do think that King attempt to address some of these things. But I don't think King's own collection of privileges puts him in the right place to truly or adequately address them and the fact that he lenses the entire story through the viewpoint of an avatar much like himself—a wealthy, white, middle-class man—means that the horrible abuses against all these women are second fiddle to that avatar's man pain and his quest to extricate himself from those same sins of the father (or great-grand-uncle, as it were). So, though Mike is a likeable enough character, his happy ending isn't as satisfying as it might otherwise be, coming, as it does, at the expense of all these wronged, victimized and otherwise unavenged women. Sara Tidwell is a supernatural monster whose bones (and those of her son) are destroyed by lye, denied both her revenge and a respectful or peaceful burial. The last scions of the families that did this to her escape. Mattie Devore has the momentary triumph of knowing her custody of Kyra is secured, but she dies frightened and in pain, half her face blown away simply because of a dead rich man's sour grapes; Devore has already killed himself is out of the picture before the hit against Mattie is even enacted. Kyra is orphaned and traumatized by both the living and the dead. Though no specific number is called out, at least four other mothers lost children to the terrible revenge set in motion when Sara Tidwell was murdered as she was. So putting a smiling face on the relatively happy life that Mike will go on to live over these piles of bones is both a little macabre and an almost brilliant (if unintentional) illustration of why all these things still happen and still matter. At the end of it all, Bag of Bones isn't a bad story so much as one that fails to grasp what it reaches for and that feeds into the same –isms it tries to discuss and depict. It could be better. I wish it were better. But it is just more bones than flesh.",69,6
10589,Bag of Bones,Elyse Walters,"3,846",34900,4,"November 18, 2022","Audiobook….read by Stephen King …..21 hours and 21 minutesWriting block was the least of Mike Noonan’s problems — for our middle-aged ‘best selling’ fiction author/protagonist. He was suffering with grief, sadness, loneliness, and depression—he was a total walking zombie from despair over the death of his wife, Jo, who died, four years ago. He learned she was pregnant after her death… and couldn’t for the life of him understand why she hadn’t told him. After those first four years of Mike’s unproductive writing, emotionally depleted, apathetic, mentally exhausted state …..he took his grief, depression, and loneliness to his second home in Maine where he and Jo often vacationed. Something was drawing him back to the house. Mike hoped being back in their home — called Sarah Laughs — it would rekindle a spark of enthusiasm and imagination ….. so that plays creative juices would start flowing and he’d start writing (productively). While back in his vacation, Lakehouse, Mike begins to have frightening dreams with ghosts on the property. He meets a young widow named Mattie, a single mother to her toddler-daughter, Kyra.Mike is enchanted enough to want to help Mattie financially—as she is facing some ugly legal problems with her wealthy father-in-law, who wants soul custody of Kyra. Lots of mystery-suspense surprises-mixed with nostalgia, a sincere warmth of generosity and heart. I enjoyed this book.It held my interest weaving a few spooky parts with a sweet love story. It’s not heavy horror ….(not completely absent though, either) The heartfelt inner turmoil that Mike Noonan was dealing with throughout was very real— easy to empathize. The setting was great — as were the locals. The good guys were good and the bad bad. I enjoyed listening to Stephen King read his own novel. He owned it! And he delivered it like a pro! ",59,9
