Title,URL
The Shining,https://www.goodreads.com/book/show/11588.The_Shining
It,https://www.goodreads.com/book/show/830502.It
Dracula,https://www.goodreads.com/book/show/17245.Dracula
Carrie,https://www.goodreads.com/book/show/10592.Carrie
Pet Sematary,https://www.goodreads.com/book/show/33124137-pet-sematary
Frankenstein: The 1818 Text,https://www.goodreads.com/book/show/35031085-frankenstein
The Haunting of Hill House,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
'Salem's Lot,https://www.goodreads.com/book/show/11590._Salem_s_Lot
Misery,https://www.goodreads.com/book/show/10614.Misery
The Stand,https://www.goodreads.com/book/show/87591651-the-stand
Mexican Gothic,https://www.goodreads.com/book/show/53152636-mexican-gothic
House of Leaves,https://www.goodreads.com/book/show/24800.House_of_Leaves
"Interview with the Vampire (The Vampire Chronicles, #1)",https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
We Have Always Lived in the Castle,https://www.goodreads.com/book/show/89724.We_Have_Always_Lived_in_the_Castle
"Doctor Sleep (The Shining, #2)",https://www.goodreads.com/book/show/16130549-doctor-sleep
World War Z: An Oral History of the Zombie War,https://www.goodreads.com/book/show/8908.World_War_Z
Cujo,https://www.goodreads.com/book/show/10603.Cujo
NOS4A2,https://www.goodreads.com/book/show/15729539-nos4a2
The Exorcist,https://www.goodreads.com/book/show/179780.The_Exorcist
"Bird Box (Bird Box, #1)",https://www.goodreads.com/book/show/44646576-bird-box
Coraline,https://www.goodreads.com/book/show/17061.Coraline
Heart-Shaped Box,https://www.goodreads.com/book/show/153025.Heart_Shaped_Box
Needful Things,https://www.goodreads.com/book/show/107291.Needful_Things
Dr. Jekyll and Mr. Hyde,https://www.goodreads.com/book/show/51496.Dr_Jekyll_and_Mr_Hyde
Christine,https://www.goodreads.com/book/show/10629.Christine
The Southern Book Club's Guide to Slaying Vampires,https://www.goodreads.com/book/show/44074800-the-southern-book-club-s-guide-to-slaying-vampires
The Only Good Indians,https://www.goodreads.com/book/show/52180399-the-only-good-indians
Let the Right One In,https://www.goodreads.com/book/show/943402.Let_the_Right_One_In
Night Shift,https://www.goodreads.com/book/show/10628.Night_Shift
The Outsider,https://www.goodreads.com/book/show/36124936-the-outsider
"Rosemary's Baby (Rosemary's Baby, #1)",https://www.goodreads.com/book/show/228296.Rosemary_s_Baby
A Head Full of Ghosts,https://www.goodreads.com/book/show/23019294-a-head-full-of-ghosts
Firestarter,https://www.goodreads.com/book/show/233667.Firestarter
Horrorstör,https://www.goodreads.com/book/show/13129925-horrorst-r
The Dead Zone,https://www.goodreads.com/book/show/11573.The_Dead_Zone
My Best Friend's Exorcism,https://www.goodreads.com/book/show/41015038-my-best-friend-s-exorcism
Cell,https://www.goodreads.com/book/show/10567.Cell
"The Silence of the Lambs  (Hannibal Lecter, #2)",https://www.goodreads.com/book/show/23807.The_Silence_of_the_Lambs
"The Girl with All the Gifts (The Girl with All the Gifts, #1)",https://www.goodreads.com/book/show/17235026-the-girl-with-all-the-gifts
The Troop,https://www.goodreads.com/book/show/17571466-the-troop
Horns,https://www.goodreads.com/book/show/6587879-horns
The Picture of Dorian Gray,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
The Turn of the Screw,https://www.goodreads.com/book/show/12948.The_Turn_of_the_Screw
"Something Wicked This Way Comes (Green Town, #2)",https://www.goodreads.com/book/show/248596.Something_Wicked_This_Way_Comes
The Final Girl Support Group,https://www.goodreads.com/book/show/55829194-the-final-girl-support-group
Bag of Bones,https://www.goodreads.com/book/show/10589.Bag_of_Bones
The Tommyknockers,https://www.goodreads.com/book/show/17660.The_Tommyknockers
