date,added,ratings,reviews,to-read
2022-08-16,13,7,0,4
2022-08-17,14,1,0,6
2022-08-18,18,6,1,6
2022-08-19,16,6,0,6
2022-08-20,14,3,0,4
2022-08-21,21,5,1,12
2022-08-22,10,4,0,5
2022-08-23,18,6,0,7
2022-08-24,19,-5,0,7
2022-08-25,20,4,0,10
2022-08-26,30,6,0,13
2022-08-27,8,5,0,4
2022-08-28,10,-10,0,3
2022-08-29,11,-47,0,3
2022-08-30,18,11,0,3
2022-08-31,22,-1,0,7
2022-09-01,12,5,0,6
2022-09-02,11,2,0,0
2022-09-03,17,3,0,9
2022-09-04,17,2,1,8
2022-09-05,21,9,0,7
2022-09-06,11,-39,1,5
2022-09-07,16,1,0,8
2022-09-08,12,3,1,3
2022-09-09,12,3,0,5
2022-09-10,17,0,0,4
2022-09-11,17,5,0,6
2022-09-12,19,4,0,5
2022-09-13,14,4,0,4
2022-09-14,7,-2,1,3
2022-09-15,12,4,0,5
2022-09-16,20,0,2,9
2022-09-17,18,4,0,8
2022-09-18,10,2,0,3
2022-09-19,16,6,0,10
2022-09-20,18,6,1,12
2022-09-21,15,2,0,11
2022-09-22,5,-3,0,2
2022-09-23,10,-27,1,2
2022-09-24,11,2,1,4
2022-09-25,18,3,0,4
2022-09-26,12,-40,0,4
2022-09-27,20,-48,1,10
2022-09-28,19,-86,0,6
2022-09-29,11,-98,0,5
2022-09-30,16,2,1,8
2022-10-01,13,4,1,4
2022-10-02,20,-64,0,6
2022-10-03,19,-45,0,9
2022-10-04,16,6,0,3
2022-10-05,14,7,1,3
2022-10-06,27,7,0,7
2022-10-07,9,4,0,3
2022-10-08,17,4,1,7
2022-10-09,25,-44,0,5
2022-10-10,28,5,1,8
2022-10-11,11,-1,1,4
2022-10-12,17,-54,1,5
2022-10-13,15,2,0,9
2022-10-14,18,-98,1,4
2022-10-15,24,2,1,13
2022-10-16,21,-118,0,7
2022-10-17,20,-79,0,8
2022-10-18,23,-20,1,8
2022-10-19,24,5,0,10
2022-10-20,28,5,0,13
2022-10-21,22,-10,1,6
2022-10-22,18,-14,0,6
2022-10-23,17,-142,1,5
2022-10-24,18,-136,2,5
2022-10-25,22,-93,1,14
2022-10-26,17,5,0,5
2022-10-27,23,9,3,10
2022-10-28,16,4,2,7
2022-10-29,15,2,1,6
2022-10-30,10,-5,2,2
2022-10-31,20,-16,1,5
2022-11-01,17,5,0,5
2022-11-02,23,5,0,6
2022-11-03,17,-20,1,9
2022-11-04,21,6,2,8
2022-11-05,18,7,2,9
2022-11-06,23,6,2,8
2022-11-07,19,10,0,8
2022-11-08,15,4,0,2
2022-11-09,7,3,0,3
2022-11-10,14,3,0,0
2022-11-11,17,10,1,5
2022-11-12,13,6,0,3
2022-11-13,17,6,1,7
2022-11-14,26,6,1,7
2022-11-15,19,12,0,5
2022-11-16,17,7,1,8
2022-11-17,15,4,1,5
2022-11-18,14,6,0,5
2022-11-19,20,4,0,8
2022-11-20,13,2,0,7
2022-11-21,8,2,0,2
2022-11-22,11,0,1,7
2022-11-23,14,4,0,6
2022-11-24,11,0,0,5
2022-11-25,8,-1,0,2
2022-11-26,13,5,0,4
2022-11-27,13,5,2,1
2022-11-28,10,3,0,4
2022-11-29,16,2,0,6
2022-11-30,17,7,0,5
2022-12-01,24,8,0,9
2022-12-02,17,5,0,6
2022-12-03,19,8,0,7
2022-12-04,13,2,1,5
2022-12-05,17,10,0,4
2022-12-06,13,1,0,4
2022-12-07,15,4,0,8
2022-12-08,7,3,1,3
2022-12-09,12,-2,0,6
2022-12-10,16,3,0,7
2022-12-11,10,3,0,5
2022-12-12,12,-1,0,4
2022-12-13,22,12,2,8
2022-12-14,18,8,1,5
2022-12-15,15,4,0,8
2022-12-16,13,3,1,5
2022-12-17,19,1,0,11
2022-12-18,18,2,-1,7
2022-12-19,14,3,2,6
2022-12-20,11,8,0,5
2022-12-21,25,5,0,7
2022-12-22,15,10,0,4
2022-12-23,13,4,0,4
2022-12-24,12,3,1,5
2022-12-25,12,3,0,6
2022-12-26,13,2,0,6
2022-12-27,35,12,1,11
2022-12-28,24,10,1,8
2022-12-29,26,8,0,11
2022-12-30,37,15,1,12
2022-12-31,24,6,0,11
2023-01-01,43,5,0,17
2023-01-02,39,8,2,15
2023-01-03,44,11,0,10
2023-01-04,32,19,-1,9
2023-01-05,26,12,0,10
2023-01-06,25,10,1,9
2023-01-07,36,12,0,13
2023-01-08,33,8,1,13
2023-01-09,26,12,1,9
2023-01-10,34,0,0,10
2023-01-11,21,4,0,4
2023-01-12,21,-59,1,6
2023-01-13,21,-45,0,8
2023-01-14,26,8,1,7
2023-01-15,25,8,0,14
2023-01-16,28,6,1,10
2023-01-17,19,2,1,6
2023-01-18,23,5,0,10
2023-01-19,26,6,0,6
2023-01-20,15,5,2,5
2023-01-21,31,4,0,15
2023-01-22,25,7,3,9
2023-01-23,16,6,0,7
2023-01-24,23,2,0,5
2023-01-25,17,7,2,2
2023-01-26,16,4,0,4
2023-01-27,17,3,2,3
2023-01-28,18,3,1,8
2023-01-29,18,0,0,4
2023-01-30,11,7,0,6
2023-01-31,15,5,0,4
