date,added,ratings,reviews,to-read
2022-08-16,31,10,2,13
2022-08-17,42,16,0,14
2022-08-18,28,13,0,15
2022-08-19,21,5,1,9
2022-08-20,30,4,1,18
2022-08-21,43,10,2,17
2022-08-22,48,18,3,17
2022-08-23,30,13,0,10
2022-08-24,38,14,3,18
2022-08-25,23,10,1,10
2022-08-26,27,7,1,12
2022-08-27,23,6,-1,14
2022-08-28,35,9,1,16
2022-08-29,45,12,1,24
2022-08-30,29,18,4,18
2022-08-31,43,11,0,19
2022-09-01,31,10,1,19
2022-09-02,48,10,1,20
2022-09-03,39,12,1,17
2022-09-04,41,6,2,15
2022-09-05,27,11,1,16
2022-09-06,36,8,1,18
2022-09-07,32,10,2,10
2022-09-08,27,8,2,9
2022-09-09,44,19,0,19
2022-09-10,33,4,1,14
2022-09-11,30,8,1,19
2022-09-12,44,12,3,23
2022-09-13,43,16,1,13
2022-09-14,32,10,0,18
2022-09-15,27,16,3,8
2022-09-16,35,9,1,14
2022-09-17,40,10,1,17
2022-09-18,27,12,2,13
2022-09-19,34,7,0,19
2022-09-20,20,4,0,13
2022-09-21,26,8,0,12
2022-09-22,34,5,-1,20
2022-09-23,31,9,0,10
2022-09-24,36,10,3,15
2022-09-25,25,7,0,10
2022-09-26,22,10,2,9
2022-09-27,42,14,4,17
2022-09-28,40,7,2,14
2022-09-29,30,9,2,12
2022-09-30,37,12,0,15
2022-10-01,35,8,2,16
2022-10-02,37,9,1,16
2022-10-03,38,12,1,16
2022-10-04,43,11,0,16
2022-10-05,50,14,2,34
2022-10-06,48,9,1,23
2022-10-07,29,4,0,15
2022-10-08,41,9,1,18
2022-10-09,44,14,1,13
2022-10-10,46,12,0,15
2022-10-11,48,26,5,13
2022-10-12,60,16,4,18
2022-10-13,35,15,1,20
2022-10-14,51,16,5,24
2022-10-15,40,9,1,19
2022-10-16,48,16,2,18
2022-10-17,41,10,1,16
2022-10-18,54,12,4,17
2022-10-19,45,19,0,13
2022-10-20,38,12,2,12
2022-10-21,26,11,2,7
2022-10-22,33,10,3,13
2022-10-23,48,18,3,12
2022-10-24,36,18,1,12
2022-10-25,21,11,1,5
2022-10-26,23,10,0,12
2022-10-27,35,10,2,14
2022-10-28,36,11,2,11
2022-10-29,28,17,-1,12
2022-10-30,27,9,0,6
2022-10-31,38,16,3,14
2022-11-01,35,14,3,13
2022-11-02,44,15,1,17
2022-11-03,18,4,1,11
2022-11-04,43,10,1,14
2022-11-05,24,7,-1,11
2022-11-06,40,17,1,17
2022-11-07,34,10,2,16
2022-11-08,34,12,4,15
2022-11-09,31,11,1,13
2022-11-10,30,6,0,14
2022-11-11,17,6,2,7
2022-11-12,21,3,0,8
2022-11-13,23,8,0,8
2022-11-14,39,8,1,13
2022-11-15,34,11,1,9
2022-11-16,37,10,2,15
2022-11-17,24,10,0,13
2022-11-18,35,10,1,14
2022-11-19,26,13,0,5
2022-11-20,24,6,0,6
2022-11-21,37,14,0,16
2022-11-22,40,16,0,13
2022-11-23,26,11,2,12
2022-11-24,29,5,0,12
2022-11-25,34,11,4,17
2022-11-26,18,10,0,6
2022-11-27,31,6,2,14
2022-11-28,34,9,0,14
2022-11-29,36,10,1,21
2022-11-30,31,16,0,9
2022-12-01,33,6,1,13
2022-12-02,39,9,0,14
2022-12-03,27,10,2,16
2022-12-04,41,9,0,14
2022-12-05,42,9,2,21
2022-12-06,30,7,1,14
2022-12-07,21,5,3,12
2022-12-08,28,10,1,14
2022-12-09,28,9,2,12
2022-12-10,31,8,1,15
2022-12-11,30,8,1,13
2022-12-12,35,10,2,12
2022-12-13,46,14,0,19
2022-12-14,32,14,1,11
2022-12-15,36,13,0,12
2022-12-16,34,14,2,10
2022-12-17,31,7,1,10
2022-12-18,30,14,0,10
2022-12-19,27,11,1,8
2022-12-20,26,7,1,14
2022-12-21,38,9,1,15
2022-12-22,29,6,0,13
2022-12-23,34,10,0,11
2022-12-24,17,7,0,9
2022-12-25,44,7,1,18
2022-12-26,52,23,2,22
2022-12-27,65,18,1,19
2022-12-28,56,21,3,18
2022-12-29,52,19,0,27
2022-12-30,60,20,2,26
2022-12-31,82,25,1,25
2023-01-01,126,24,1,48
2023-01-02,144,35,3,55
2023-01-03,100,39,3,35
2023-01-04,69,23,2,27
2023-01-05,84,25,3,33
2023-01-06,58,26,3,19
2023-01-07,73,11,0,37
2023-01-08,74,20,2,23
2023-01-09,80,29,3,36
2023-01-10,73,19,2,34
2023-01-11,73,31,6,40
2023-01-12,62,14,2,23
2023-01-13,59,15,3,32
2023-01-14,60,15,6,28
2023-01-15,67,27,1,23
2023-01-16,54,17,2,32
2023-01-17,48,11,1,20
2023-01-18,56,21,2,21
2023-01-19,50,16,2,22
2023-01-20,44,16,1,24
2023-01-21,64,14,2,35
2023-01-22,57,12,0,28
2023-01-23,54,16,2,22
2023-01-24,57,11,2,33
2023-01-25,65,14,0,25
2023-01-26,57,20,1,28
2023-01-27,55,12,4,22
2023-01-28,48,17,3,17
2023-01-29,59,18,2,21
2023-01-30,41,17,0,16
2023-01-31,41,16,3,17
