date,added,ratings,reviews,to-read
2022-08-16,9,4,0,5
2022-08-17,7,2,0,5
2022-08-18,4,0,0,3
2022-08-19,6,2,0,3
2022-08-20,6,1,0,3
2022-08-21,5,0,0,2
2022-08-22,8,1,0,6
2022-08-23,6,2,0,3
2022-08-24,6,-1,0,4
2022-08-25,8,2,1,3
2022-08-26,7,3,0,3
2022-08-27,5,2,1,3
2022-08-28,6,0,0,5
2022-08-29,7,3,0,3
2022-08-30,5,0,0,4
2022-08-31,6,2,0,4
2022-09-01,6,-1,0,5
2022-09-02,4,2,0,2
2022-09-03,6,2,0,4
2022-09-04,10,3,0,5
2022-09-05,6,0,0,3
2022-09-06,7,3,1,4
2022-09-07,5,1,1,2
2022-09-08,4,1,0,2
2022-09-09,9,0,0,9
2022-09-10,10,3,0,3
2022-09-11,8,6,0,6
2022-09-12,8,4,0,5
2022-09-13,5,2,0,2
2022-09-14,3,2,0,1
2022-09-15,2,0,0,1
2022-09-16,8,1,1,6
2022-09-17,4,-1,0,4
2022-09-18,6,1,0,4
2022-09-19,5,3,0,2
2022-09-20,2,1,0,1
2022-09-21,8,2,0,6
2022-09-22,5,1,0,4
2022-09-23,2,0,0,2
2022-09-24,6,-1,0,2
2022-09-25,2,0,0,2
2022-09-26,5,-1,0,4
2022-09-27,7,2,0,3
2022-09-28,4,1,0,1
2022-09-29,2,1,0,1
2022-09-30,4,0,0,2
2022-10-01,7,1,0,5
2022-10-02,12,5,0,6
2022-10-03,5,2,0,3
2022-10-04,9,2,0,5
2022-10-05,6,3,0,3
2022-10-06,6,2,0,4
2022-10-07,2,-2,0,0
2022-10-08,7,0,0,2
2022-10-09,3,2,0,2
2022-10-10,4,0,0,1
2022-10-11,9,2,0,2
2022-10-12,6,2,0,2
2022-10-13,1,-1,0,1
2022-10-14,3,0,0,0
2022-10-15,10,4,0,4
2022-10-16,10,5,0,4
2022-10-17,8,3,0,3
2022-10-18,6,-1,0,4
2022-10-19,6,3,0,3
2022-10-20,5,1,0,3
2022-10-21,6,3,0,3
2022-10-22,6,0,0,2
2022-10-23,5,0,0,3
2022-10-24,6,0,0,5
2022-10-25,6,2,0,2
2022-10-26,8,2,0,5
2022-10-27,3,1,0,2
2022-10-28,7,2,0,5
2022-10-29,3,1,0,1
2022-10-30,6,1,0,5
2022-10-31,6,1,0,1
2022-11-01,9,4,0,5
2022-11-02,7,1,0,4
2022-11-03,5,1,0,2
2022-11-04,2,1,0,0
2022-11-05,1,0,0,1
2022-11-06,5,0,0,2
2022-11-07,7,3,0,2
2022-11-08,3,0,0,2
2022-11-09,8,0,0,3
2022-11-10,1,0,0,0
2022-11-11,4,1,0,4
2022-11-12,6,-1,0,4
2022-11-13,5,0,0,4
2022-11-14,10,4,1,5
2022-11-15,8,1,0,5
2022-11-16,6,-1,0,5
2022-11-17,6,2,0,3
2022-11-18,2,0,0,2
2022-11-19,3,3,0,0
2022-11-20,5,3,0,3
2022-11-21,5,3,0,3
2022-11-22,5,1,0,4
2022-11-23,6,2,0,2
2022-11-24,5,1,0,2
2022-11-25,4,2,0,2
2022-11-26,5,1,0,2
2022-11-27,3,0,0,2
2022-11-28,6,2,0,2
2022-11-29,9,4,0,7
2022-11-30,3,-2,0,3
2022-12-01,6,2,0,2
2022-12-02,7,0,0,4
2022-12-03,4,2,0,3
2022-12-04,6,2,0,5
2022-12-05,5,1,0,3
2022-12-06,3,2,0,2
2022-12-07,4,0,1,2
2022-12-08,7,2,0,3
2022-12-09,4,2,0,4
2022-12-10,6,2,0,2
2022-12-11,4,2,0,0
2022-12-12,8,1,0,5
2022-12-13,5,2,0,3
2022-12-14,1,1,0,0
2022-12-15,3,1,0,2
2022-12-16,2,1,0,1
2022-12-17,2,0,0,1
2022-12-18,8,-1,0,6
2022-12-19,7,3,0,5
2022-12-20,6,2,0,4
2022-12-21,5,1,0,5
2022-12-22,2,0,0,1
2022-12-23,2,0,0,2
2022-12-24,8,3,0,5
2022-12-25,8,3,0,5
2022-12-26,9,1,0,5
2022-12-27,5,2,0,1
2022-12-28,9,3,0,7
2022-12-29,9,5,0,2
2022-12-30,9,5,0,3
2022-12-31,11,3,1,3
2023-01-01,10,5,0,4
2023-01-02,14,8,0,5
2023-01-03,12,5,0,5
2023-01-04,8,2,0,4
2023-01-05,3,2,0,1
2023-01-06,3,-1,0,2
2023-01-07,10,1,0,5
2023-01-08,8,4,1,4
2023-01-09,4,1,0,3
2023-01-10,8,2,1,3
2023-01-11,7,1,0,5
2023-01-12,9,3,0,4
2023-01-13,6,0,0,2
2023-01-14,4,2,0,1
2023-01-15,4,0,0,2
2023-01-16,3,0,0,1
2023-01-17,6,2,0,3
2023-01-18,4,-2,0,3
2023-01-19,3,2,0,2
2023-01-20,10,2,0,7
2023-01-21,3,1,0,2
2023-01-22,8,2,0,4
2023-01-23,6,3,0,2
2023-01-24,10,3,0,4
2023-01-25,7,4,0,4
2023-01-26,3,1,0,0
2023-01-27,3,1,0,2
2023-01-28,5,2,1,2
2023-01-29,9,2,0,6
2023-01-30,7,2,0,4
2023-01-31,4,2,0,2
