date,added,ratings,reviews,to-read
2022-08-16,45,15,1,22
2022-08-17,41,13,0,20
2022-08-18,42,14,2,20
2022-08-19,37,8,0,18
2022-08-20,49,10,1,24
2022-08-21,37,12,2,20
2022-08-22,40,14,1,13
2022-08-23,33,11,2,15
2022-08-24,38,8,0,17
2022-08-25,34,14,3,18
2022-08-26,41,14,2,14
2022-08-27,35,6,0,16
2022-08-28,42,15,0,18
2022-08-29,33,10,2,18
2022-08-30,35,13,2,16
2022-08-31,33,11,0,13
2022-09-01,35,20,1,18
2022-09-02,34,9,2,10
2022-09-03,40,11,1,18
2022-09-04,38,5,0,15
2022-09-05,37,7,1,17
2022-09-06,42,14,0,18
2022-09-07,41,10,1,18
2022-09-08,49,12,1,17
2022-09-09,45,15,1,25
2022-09-10,51,13,2,19
2022-09-11,33,10,0,22
2022-09-12,35,13,1,15
2022-09-13,40,15,1,17
2022-09-14,38,12,-1,16
2022-09-15,30,7,0,13
2022-09-16,42,8,0,25
2022-09-17,45,9,0,14
2022-09-18,56,24,3,17
2022-09-19,49,10,0,25
2022-09-20,50,20,2,25
2022-09-21,38,17,1,17
2022-09-22,35,9,2,16
2022-09-23,40,12,2,15
2022-09-24,47,13,5,19
2022-09-25,48,12,1,29
2022-09-26,38,19,0,14
2022-09-27,41,13,1,12
2022-09-28,41,11,1,17
2022-09-29,50,6,3,25
2022-09-30,43,10,2,15
2022-10-01,56,11,2,28
2022-10-02,63,12,2,25
2022-10-03,58,8,0,25
2022-10-04,59,22,4,16
2022-10-05,33,11,6,15
2022-10-06,40,11,1,19
2022-10-07,38,13,1,10
2022-10-08,46,10,1,18
2022-10-09,45,17,3,18
2022-10-10,60,19,4,16
2022-10-11,37,11,-1,13
2022-10-12,59,17,1,22
2022-10-13,36,11,0,14
2022-10-14,45,14,3,12
2022-10-15,47,11,1,20
2022-10-16,55,20,3,22
2022-10-17,56,19,3,23
2022-10-18,55,19,2,26
2022-10-19,55,15,1,15
2022-10-20,53,5,1,25
2022-10-21,44,12,1,8
2022-10-22,48,16,0,21
2022-10-23,54,11,4,18
2022-10-24,47,28,1,16
2022-10-25,39,24,3,18
2022-10-26,48,21,4,14
2022-10-27,42,14,0,18
2022-10-28,53,15,0,19
2022-10-29,30,17,2,9
2022-10-30,57,12,1,25
2022-10-31,51,10,1,20
2022-11-01,49,22,3,20
2022-11-02,61,20,3,20
2022-11-03,38,10,1,23
2022-11-04,33,10,3,14
2022-11-05,46,15,0,16
2022-11-06,69,19,2,23
2022-11-07,42,14,3,18
2022-11-08,54,12,1,19
2022-11-09,59,19,4,20
2022-11-10,37,20,1,20
2022-11-11,39,8,1,18
2022-11-12,43,9,0,16
2022-11-13,50,19,0,17
2022-11-14,60,13,4,17
2022-11-15,53,9,1,25
2022-11-16,40,20,2,17
2022-11-17,31,15,1,14
2022-11-18,31,16,2,12
2022-11-19,36,6,0,17
2022-11-20,53,23,1,22
2022-11-21,30,10,0,21
2022-11-22,41,13,0,14
2022-11-23,36,17,0,13
2022-11-24,33,15,1,9
2022-11-25,45,12,1,21
2022-11-26,20,7,2,6
2022-11-27,46,8,1,13
2022-11-28,49,15,0,21
2022-11-29,33,13,2,15
2022-11-30,34,11,0,12
2022-12-01,43,13,0,14
2022-12-02,47,12,0,18
2022-12-03,43,17,3,15
2022-12-04,48,11,1,12
2022-12-05,49,18,0,20
2022-12-06,44,9,0,20
2022-12-07,31,20,2,13
2022-12-08,25,13,-1,8
2022-12-09,45,16,3,17
2022-12-10,37,9,0,18
2022-12-11,55,9,0,22
2022-12-12,52,21,4,13
2022-12-13,40,11,1,16
2022-12-14,36,13,2,11
2022-12-15,40,6,0,15
2022-12-16,47,17,1,13
2022-12-17,46,13,1,20
2022-12-18,44,10,2,14
2022-12-19,53,20,0,20
2022-12-20,50,15,1,20
2022-12-21,47,18,1,14
2022-12-22,37,11,1,13
2022-12-23,36,11,1,16
2022-12-24,47,14,1,19
2022-12-25,60,6,0,24
2022-12-26,67,28,3,24
2022-12-27,78,18,1,30
2022-12-28,78,20,2,27
2022-12-29,43,22,0,21
2022-12-30,84,17,3,31
2022-12-31,74,25,4,21
2023-01-01,106,28,2,35
2023-01-02,90,37,3,30
2023-01-03,99,36,2,38
2023-01-04,101,27,4,43
2023-01-05,65,16,5,25
2023-01-06,77,22,1,27
2023-01-07,79,16,1,35
2023-01-08,78,11,3,36
2023-01-09,66,26,1,32
2023-01-10,59,23,2,11
2023-01-11,52,25,8,24
2023-01-12,97,17,2,48
2023-01-13,68,20,0,31
2023-01-14,62,14,2,22
2023-01-15,68,18,1,25
2023-01-16,63,16,0,28
2023-01-17,58,21,1,22
2023-01-18,73,22,4,25
2023-01-19,49,17,2,16
2023-01-20,36,13,0,22
2023-01-21,50,23,1,14
2023-01-22,54,17,3,17
2023-01-23,57,15,1,20
2023-01-24,74,25,1,30
2023-01-25,65,22,0,20
2023-01-26,54,25,1,20
2023-01-27,75,21,1,32
2023-01-28,49,11,2,28
2023-01-29,57,18,3,16
2023-01-30,41,13,0,19
2023-01-31,48,21,1,23
