date,added,ratings,reviews,to-read
2022-08-16,70,21,0,35
2022-08-17,89,25,1,42
2022-08-18,71,24,1,35
2022-08-19,83,22,2,36
2022-08-20,61,24,2,23
2022-08-21,98,24,0,50
2022-08-22,85,24,3,32
2022-08-23,58,24,1,23
2022-08-24,82,18,3,30
2022-08-25,65,14,4,44
2022-08-26,67,11,1,27
2022-08-27,70,21,1,36
2022-08-28,86,15,2,52
2022-08-29,83,-22,0,39
2022-08-30,61,27,1,27
2022-08-31,83,23,1,37
2022-09-01,80,19,1,33
2022-09-02,77,26,4,28
2022-09-03,69,17,0,26
2022-09-04,95,29,4,37
2022-09-05,66,28,3,37
2022-09-06,91,-14,2,46
2022-09-07,100,21,1,51
2022-09-08,68,14,0,32
2022-09-09,61,10,1,35
2022-09-10,93,22,0,46
2022-09-11,77,13,1,41
2022-09-12,100,18,3,46
2022-09-13,84,22,1,45
2022-09-14,68,13,0,32
2022-09-15,56,21,3,27
2022-09-16,77,21,1,30
2022-09-17,82,26,1,34
2022-09-18,72,20,5,32
2022-09-19,87,12,0,51
2022-09-20,60,24,2,25
2022-09-21,68,15,1,28
2022-09-22,61,23,2,33
2022-09-23,57,15,0,28
2022-09-24,74,23,2,33
2022-09-25,77,20,2,28
2022-09-26,66,-6,1,34
2022-09-27,67,-7,1,34
2022-09-28,80,-28,2,41
2022-09-29,74,10,2,27
2022-09-30,69,17,0,28
2022-10-01,79,14,0,41
2022-10-02,82,-25,1,44
2022-10-03,75,-13,1,33
2022-10-04,80,17,1,34
2022-10-05,61,26,3,28
2022-10-06,94,28,0,48
2022-10-07,82,24,1,29
2022-10-08,69,23,1,30
2022-10-09,75,-12,0,36
2022-10-10,93,15,2,47
2022-10-11,81,13,0,34
2022-10-12,81,-12,2,28
2022-10-13,78,20,1,45
2022-10-14,64,-51,0,33
2022-10-15,77,14,1,28
2022-10-16,89,-75,0,39
2022-10-17,78,-56,3,27
2022-10-18,71,0,2,37
2022-10-19,81,15,0,25
2022-10-20,81,31,1,32
2022-10-21,80,11,2,33
2022-10-22,64,7,0,29
2022-10-23,90,-88,1,37
2022-10-24,78,-15,8,36
2022-10-25,67,14,2,30
2022-10-26,79,25,4,41
2022-10-27,69,24,1,21
2022-10-28,63,23,3,22
2022-10-29,60,20,1,24
2022-10-30,82,23,3,39
2022-10-31,70,15,1,27
2022-11-01,66,21,1,24
2022-11-02,88,23,2,35
2022-11-03,61,9,0,24
2022-11-04,69,20,0,25
2022-11-05,64,21,1,20
2022-11-06,72,27,3,27
2022-11-07,49,15,1,18
2022-11-08,72,14,0,32
2022-11-09,58,19,2,25
2022-11-10,45,14,1,21
2022-11-11,57,19,0,25
2022-11-12,62,19,2,26
2022-11-13,83,15,1,33
2022-11-14,81,19,2,29
2022-11-15,64,21,1,24
2022-11-16,76,7,0,32
2022-11-17,34,15,0,19
2022-11-18,70,23,3,33
2022-11-19,75,21,2,30
2022-11-20,90,28,1,42
2022-11-21,43,17,0,19
2022-11-22,62,17,1,20
2022-11-23,72,11,1,36
2022-11-24,64,6,0,33
2022-11-25,68,15,1,28
2022-11-26,70,22,2,36
2022-11-27,73,17,3,31
2022-11-28,59,14,0,21
2022-11-29,56,16,0,32
2022-11-30,66,21,1,30
2022-12-01,58,14,0,18
2022-12-02,57,23,1,22
2022-12-03,65,18,1,23
2022-12-04,80,24,1,35
2022-12-05,71,19,3,29
2022-12-06,61,16,2,30
2022-12-07,62,23,1,31
2022-12-08,48,18,1,28
2022-12-09,55,15,1,24
2022-12-10,67,15,0,31
2022-12-11,69,10,1,33
2022-12-12,71,22,0,20
2022-12-13,67,16,2,30
2022-12-14,68,28,3,31
2022-12-15,55,12,2,21
2022-12-16,63,20,1,27
2022-12-17,63,23,0,15
2022-12-18,79,21,0,32
2022-12-19,63,21,5,26
2022-12-20,62,23,2,34
2022-12-21,78,21,1,25
2022-12-22,61,22,1,29
2022-12-23,65,14,0,32
2022-12-24,51,17,0,27
2022-12-25,103,20,0,55
2022-12-26,112,28,1,59
2022-12-27,109,18,1,52
2022-12-28,111,33,2,44
2022-12-29,107,25,0,48
2022-12-30,141,31,0,71
2022-12-31,145,36,0,54
2023-01-01,270,57,2,112
2023-01-02,220,75,1,99
2023-01-03,183,46,2,92
2023-01-04,148,41,2,75
2023-01-05,150,49,1,66
2023-01-06,119,39,1,53
2023-01-07,166,36,6,94
2023-01-08,151,44,0,67
2023-01-09,124,24,3,50
2023-01-10,118,37,4,42
2023-01-11,93,27,2,62
2023-01-12,107,31,2,46
2023-01-13,91,25,0,38
2023-01-14,108,36,1,59
2023-01-15,117,25,4,54
2023-01-16,112,25,1,51
2023-01-17,96,30,1,39
2023-01-18,89,21,2,41
2023-01-19,90,18,1,40
2023-01-20,74,27,2,36
2023-01-21,94,23,2,42
2023-01-22,108,23,0,58
2023-01-23,90,23,0,35
2023-01-24,110,37,3,43
2023-01-25,108,40,1,47
2023-01-26,100,26,1,44
2023-01-27,106,33,0,43
2023-01-28,97,15,1,50
2023-01-29,107,26,1,42
2023-01-30,89,23,2,50
2023-01-31,91,16,1,41
