date,added,ratings,reviews,to-read
2022-08-16,111,32,3,71
2022-08-17,115,20,3,76
2022-08-18,97,12,1,85
2022-08-19,116,22,1,77
2022-08-20,125,20,1,74
2022-08-21,130,21,2,83
2022-08-22,130,30,7,79
2022-08-23,141,22,2,89
2022-08-24,112,6,1,63
2022-08-25,81,15,3,68
2022-08-26,90,14,2,49
2022-08-27,94,18,2,68
2022-08-28,120,-23,4,69
2022-08-29,155,-126,4,112
2022-08-30,121,34,3,73
2022-08-31,112,2,6,75
2022-09-01,121,33,5,66
2022-09-02,89,13,2,55
2022-09-03,87,10,3,50
2022-09-04,101,23,1,68
2022-09-05,107,22,4,73
2022-09-06,111,-46,1,70
2022-09-07,82,17,4,57
2022-09-08,86,9,0,53
2022-09-09,68,14,1,46
2022-09-10,89,9,1,63
2022-09-11,78,18,1,58
2022-09-12,81,16,3,46
2022-09-13,94,25,4,56
2022-09-14,77,-15,1,46
2022-09-15,67,17,2,55
2022-09-16,73,11,3,37
2022-09-17,76,18,1,47
2022-09-18,85,10,1,54
2022-09-19,74,9,1,43
2022-09-20,55,13,0,43
2022-09-21,51,15,0,33
2022-09-22,67,17,3,48
2022-09-23,62,12,3,29
2022-09-24,84,12,3,59
2022-09-25,80,19,1,45
2022-09-26,58,-32,0,40
2022-09-27,95,-14,2,61
2022-09-28,69,-157,2,41
2022-09-29,58,-36,3,28
2022-09-30,65,12,3,43
2022-10-01,87,11,1,55
2022-10-02,98,-83,4,52
2022-10-03,84,-61,2,50
2022-10-04,70,13,3,41
2022-10-05,46,11,3,33
2022-10-06,78,6,1,50
2022-10-07,73,13,3,44
2022-10-08,73,20,1,42
2022-10-09,74,-55,1,49
2022-10-10,66,12,2,38
2022-10-11,66,-3,2,46
2022-10-12,96,-92,1,58
2022-10-13,45,12,3,37
2022-10-14,65,-259,1,41
2022-10-15,74,-10,2,51
2022-10-16,79,-555,2,43
2022-10-17,73,-602,3,46
2022-10-18,87,-173,0,57
2022-10-19,81,12,4,42
2022-10-20,50,11,2,31
2022-10-21,62,-131,1,37
2022-10-22,70,-135,0,48
2022-10-23,85,-901,1,52
2022-10-24,74,-409,4,51
2022-10-25,51,-123,3,39
2022-10-26,79,10,2,51
2022-10-27,66,16,4,39
2022-10-28,74,13,2,48
2022-10-29,67,16,2,43
2022-10-30,66,16,3,44
2022-10-31,68,-17,4,43
2022-11-01,93,10,1,65
2022-11-02,85,13,5,57
2022-11-03,74,-197,1,49
2022-11-04,67,9,1,45
2022-11-05,67,4,1,46
2022-11-06,97,12,0,66
2022-11-07,72,11,-1,48
2022-11-08,77,14,2,48
2022-11-09,68,16,2,42
2022-11-10,70,10,1,44
2022-11-11,71,8,2,43
2022-11-12,74,13,1,48
2022-11-13,87,26,2,47
2022-11-14,76,14,1,42
2022-11-15,62,15,4,36
2022-11-16,72,19,1,40
2022-11-17,56,16,1,36
2022-11-18,63,12,0,46
2022-11-19,67,10,1,49
2022-11-20,67,17,5,43
2022-11-21,59,9,1,44
2022-11-22,52,11,5,34
2022-11-23,57,10,5,38
2022-11-24,55,12,2,40
2022-11-25,74,17,3,46
2022-11-26,70,15,3,45
2022-11-27,72,18,3,43
2022-11-28,42,19,0,26
2022-11-29,53,11,0,36
2022-11-30,80,16,2,48
2022-12-01,50,17,2,31
2022-12-02,63,8,1,40
2022-12-03,69,10,0,46
2022-12-04,86,13,0,52
2022-12-05,86,14,0,59
2022-12-06,84,21,7,48
2022-12-07,66,14,0,46
2022-12-08,72,17,4,38
2022-12-09,62,9,2,42
2022-12-10,64,16,1,43
2022-12-11,91,18,4,43
2022-12-12,85,22,1,51
2022-12-13,84,23,1,48
2022-12-14,80,15,8,52
2022-12-15,73,15,1,46
2022-12-16,62,13,3,42
2022-12-17,77,16,2,41
2022-12-18,87,9,2,57
2022-12-19,92,15,2,68
2022-12-20,72,10,2,59
2022-12-21,88,15,5,51
2022-12-22,100,23,2,66
2022-12-23,101,11,3,74
2022-12-24,92,17,0,53
2022-12-25,103,17,0,74
2022-12-26,157,23,4,98
2022-12-27,155,30,2,99
2022-12-28,129,20,3,90
2022-12-29,106,20,0,82
2022-12-30,148,20,8,96
2022-12-31,123,30,6,70
2023-01-01,250,18,2,140
2023-01-02,230,53,4,132
2023-01-03,195,34,2,111
2023-01-04,146,30,3,94
2023-01-05,162,22,4,90
2023-01-06,138,23,5,72
2023-01-07,158,26,7,84
2023-01-08,158,31,5,82
2023-01-09,150,35,6,76
2023-01-10,127,25,2,78
2023-01-11,99,26,2,70
2023-01-12,127,29,11,69
2023-01-13,110,10,0,65
2023-01-14,116,18,2,57
2023-01-15,130,28,4,67
2023-01-16,120,22,5,82
2023-01-17,121,19,3,72
2023-01-18,127,19,1,79
2023-01-19,139,26,3,99
2023-01-20,87,16,2,68
2023-01-21,139,16,2,92
2023-01-22,103,32,5,60
2023-01-23,122,17,3,84
2023-01-24,106,15,2,68
2023-01-25,123,15,2,74
2023-01-26,116,25,4,69
2023-01-27,105,15,0,64
2023-01-28,130,24,3,81
2023-01-29,168,19,2,115
2023-01-30,104,21,2,82
2023-01-31,126,22,4,64
