date,added,ratings,reviews,to-read
2022-08-16,32,10,1,24
2022-08-17,36,3,0,13
2022-08-18,29,12,0,12
2022-08-19,35,8,0,21
2022-08-20,29,4,1,12
2022-08-21,42,6,0,27
2022-08-22,39,9,0,17
2022-08-23,30,9,0,16
2022-08-24,32,8,0,11
2022-08-25,28,8,0,12
2022-08-26,32,8,1,12
2022-08-27,49,11,0,22
2022-08-28,43,7,1,23
2022-08-29,35,11,4,16
2022-08-30,37,11,1,17
2022-08-31,39,6,0,24
2022-09-01,48,13,3,21
2022-09-02,48,9,2,20
2022-09-03,30,8,0,16
2022-09-04,47,9,0,19
2022-09-05,41,13,0,21
2022-09-06,54,5,0,36
2022-09-07,59,9,1,34
2022-09-08,51,10,1,30
2022-09-09,43,7,0,21
2022-09-10,33,6,0,21
2022-09-11,30,9,3,22
2022-09-12,44,4,0,29
2022-09-13,48,12,1,29
2022-09-14,44,8,1,24
2022-09-15,31,8,1,15
2022-09-16,28,5,0,12
2022-09-17,29,5,0,14
2022-09-18,46,7,0,25
2022-09-19,31,5,1,18
2022-09-20,27,8,1,13
2022-09-21,24,9,1,11
2022-09-22,31,14,1,14
2022-09-23,25,5,1,11
2022-09-24,45,9,1,24
2022-09-25,36,9,-1,19
2022-09-26,28,7,0,16
2022-09-27,36,1,0,18
2022-09-28,42,9,1,24
2022-09-29,32,9,0,16
2022-09-30,32,7,1,16
2022-10-01,40,7,1,23
2022-10-02,41,5,0,25
2022-10-03,30,8,1,14
2022-10-04,38,6,0,20
2022-10-05,34,9,0,21
2022-10-06,45,10,2,23
2022-10-07,37,10,1,15
2022-10-08,36,8,0,17
2022-10-09,34,5,0,19
2022-10-10,49,10,1,23
2022-10-11,38,7,0,16
2022-10-12,43,7,0,20
2022-10-13,25,7,0,16
2022-10-14,42,6,1,20
2022-10-15,38,9,2,15
2022-10-16,49,14,0,19
2022-10-17,29,5,0,12
2022-10-18,43,9,0,17
2022-10-19,24,4,0,7
2022-10-20,40,11,3,20
2022-10-21,32,10,0,13
2022-10-22,31,8,1,12
2022-10-23,37,9,0,19
2022-10-24,36,9,0,22
2022-10-25,33,4,0,18
2022-10-26,35,6,1,25
2022-10-27,39,5,0,15
2022-10-28,31,9,0,11
2022-10-29,34,6,1,13
2022-10-30,34,12,0,16
2022-10-31,30,9,1,11
2022-11-01,39,8,1,11
2022-11-02,35,6,0,16
2022-11-03,38,11,1,16
2022-11-04,32,6,1,15
2022-11-05,31,5,1,20
2022-11-06,36,7,1,13
2022-11-07,28,3,0,13
2022-11-08,38,10,0,18
2022-11-09,29,10,0,10
2022-11-10,17,5,1,12
2022-11-11,34,5,0,17
2022-11-12,26,13,2,7
2022-11-13,33,9,0,10
2022-11-14,28,7,0,13
2022-11-15,42,6,0,18
2022-11-16,35,9,0,19
2022-11-17,24,7,3,15
2022-11-18,27,7,0,13
2022-11-19,38,8,1,14
2022-11-20,39,7,0,20
2022-11-21,30,9,0,13
2022-11-22,37,8,0,15
2022-11-23,29,10,1,15
2022-11-24,33,6,1,14
2022-11-25,22,7,0,14
2022-11-26,37,6,0,19
2022-11-27,30,2,0,15
2022-11-28,25,2,0,16
2022-11-29,26,7,1,13
2022-11-30,29,6,1,14
2022-12-01,38,6,3,12
2022-12-02,31,5,0,14
2022-12-03,31,11,0,7
2022-12-04,41,8,0,24
2022-12-05,32,12,1,11
2022-12-06,28,5,0,11
2022-12-07,28,7,0,15
2022-12-08,25,7,0,12
2022-12-09,34,7,1,10
2022-12-10,33,5,0,13
2022-12-11,37,6,0,15
2022-12-12,35,0,0,14
2022-12-13,34,5,0,21
2022-12-14,26,2,0,14
2022-12-15,36,8,0,14
2022-12-16,38,8,1,15
2022-12-17,36,7,0,9
2022-12-18,50,15,0,18
2022-12-19,36,6,1,18
2022-12-20,27,9,0,16
2022-12-21,28,10,0,8
2022-12-22,38,8,0,18
2022-12-23,28,7,0,10
2022-12-24,24,9,1,15
2022-12-25,27,6,1,11
2022-12-26,47,9,0,28
2022-12-27,55,3,1,34
2022-12-28,51,10,1,24
2022-12-29,31,9,3,13
2022-12-30,61,12,0,36
2022-12-31,61,14,1,17
2023-01-01,109,22,0,38
2023-01-02,87,25,0,40
2023-01-03,62,14,1,29
2023-01-04,72,16,3,37
2023-01-05,54,14,2,28
2023-01-06,56,12,0,28
2023-01-07,50,9,2,21
2023-01-08,50,8,1,27
2023-01-09,57,10,2,20
2023-01-10,61,17,1,32
2023-01-11,41,13,0,28
2023-01-12,40,15,1,21
2023-01-13,44,9,0,21
2023-01-14,57,12,0,27
2023-01-15,55,12,1,21
2023-01-16,60,7,0,28
2023-01-17,54,8,1,23
2023-01-18,40,12,1,18
2023-01-19,60,10,1,31
2023-01-20,33,5,0,15
2023-01-21,44,16,2,14
2023-01-22,52,10,1,24
2023-01-23,52,18,2,17
2023-01-24,56,9,1,22
2023-01-25,51,12,0,24
2023-01-26,38,14,2,16
2023-01-27,39,12,2,18
2023-01-28,31,8,1,14
2023-01-29,42,7,1,11
2023-01-30,43,11,2,25
2023-01-31,39,13,0,17
