date,added,ratings,reviews,to-read
2022-08-16,10,2,0,5
2022-08-17,11,5,0,7
2022-08-18,8,1,0,5
2022-08-19,8,3,0,5
2022-08-20,8,2,0,6
2022-08-21,17,2,2,9
2022-08-22,12,2,0,6
2022-08-23,21,6,1,13
2022-08-24,13,4,0,6
2022-08-25,14,7,1,6
2022-08-26,16,2,2,6
2022-08-27,12,6,0,6
2022-08-28,8,2,0,5
2022-08-29,11,3,1,7
2022-08-30,12,4,0,5
2022-08-31,13,4,0,6
2022-09-01,10,0,0,7
2022-09-02,9,1,0,3
2022-09-03,12,5,1,9
2022-09-04,16,4,0,6
2022-09-05,10,2,0,7
2022-09-06,17,1,0,7
2022-09-07,15,2,0,7
2022-09-08,11,3,0,2
2022-09-09,7,2,0,3
2022-09-10,16,5,0,8
2022-09-11,17,6,1,7
2022-09-12,15,1,0,3
2022-09-13,17,7,0,14
2022-09-14,11,2,0,5
2022-09-15,13,1,0,7
2022-09-16,15,2,1,7
2022-09-17,15,7,0,8
2022-09-18,22,3,0,15
2022-09-19,13,5,0,7
2022-09-20,28,5,0,21
2022-09-21,14,4,0,7
2022-09-22,16,3,0,10
2022-09-23,8,3,0,5
2022-09-24,15,3,0,10
2022-09-25,12,4,0,5
2022-09-26,17,3,0,8
2022-09-27,22,5,1,11
2022-09-28,17,3,0,9
2022-09-29,13,5,0,5
2022-09-30,20,0,0,10
2022-10-01,22,4,0,11
2022-10-02,28,3,1,18
2022-10-03,28,12,0,10
2022-10-04,28,8,0,9
2022-10-05,16,6,1,8
2022-10-06,23,9,0,7
2022-10-07,27,8,1,11
2022-10-08,26,1,1,15
2022-10-09,26,4,0,13
2022-10-10,26,6,0,11
2022-10-11,32,8,1,13
2022-10-12,24,7,2,4
2022-10-13,19,7,1,8
2022-10-14,18,5,2,6
2022-10-15,22,4,0,11
2022-10-16,34,9,2,11
2022-10-17,31,11,1,10
2022-10-18,19,4,1,7
2022-10-19,27,6,3,18
2022-10-20,19,5,1,9
2022-10-21,23,8,0,6
2022-10-22,14,6,0,7
2022-10-23,26,7,0,8
2022-10-24,21,5,1,7
2022-10-25,19,10,0,6
2022-10-26,20,8,1,12
2022-10-27,18,2,0,10
2022-10-28,22,6,0,6
2022-10-29,16,4,2,8
2022-10-30,22,6,1,10
2022-10-31,16,4,1,6
2022-11-01,15,2,0,4
2022-11-02,21,8,2,6
2022-11-03,14,3,0,5
2022-11-04,12,7,1,3
2022-11-05,15,5,1,7
2022-11-06,22,3,0,8
2022-11-07,22,6,0,6
2022-11-08,24,10,0,7
2022-11-09,10,10,1,3
2022-11-10,11,1,0,10
2022-11-11,12,7,2,3
2022-11-12,13,4,0,8
2022-11-13,17,1,1,7
2022-11-14,14,6,2,5
2022-11-15,21,8,2,12
2022-11-16,17,4,0,9
2022-11-17,9,3,0,6
2022-11-18,9,2,0,5
2022-11-19,13,10,0,5
2022-11-20,12,4,0,6
2022-11-21,10,0,0,5
2022-11-22,14,2,0,6
2022-11-23,11,4,0,6
2022-11-24,9,3,0,3
2022-11-25,12,0,0,8
2022-11-26,8,2,0,5
2022-11-27,21,5,1,9
2022-11-28,11,4,0,6
2022-11-29,8,2,1,2
2022-11-30,11,3,0,5
2022-12-01,9,3,1,3
2022-12-02,11,2,0,5
2022-12-03,13,6,0,3
2022-12-04,14,1,0,10
2022-12-05,18,4,0,5
2022-12-06,15,1,0,10
2022-12-07,7,8,1,3
2022-12-08,13,3,1,4
2022-12-09,14,4,0,7
2022-12-10,14,4,0,10
2022-12-11,15,4,0,4
2022-12-12,3,6,1,0
2022-12-13,10,3,0,7
2022-12-14,9,2,0,6
2022-12-15,14,5,0,8
2022-12-16,15,3,1,6
2022-12-17,14,2,0,4
2022-12-18,14,2,0,9
2022-12-19,7,2,0,4
2022-12-20,13,4,1,8
2022-12-21,10,4,1,5
2022-12-22,16,6,1,8
2022-12-23,16,6,0,6
2022-12-24,5,6,2,2
2022-12-25,12,5,1,5
2022-12-26,11,2,0,5
2022-12-27,16,3,1,7
2022-12-28,10,0,0,2
2022-12-29,13,4,0,5
2022-12-30,20,7,0,7
2022-12-31,13,1,0,6
2023-01-01,33,5,0,18
2023-01-02,21,-1,1,13
2023-01-03,26,5,1,9
2023-01-04,19,5,0,10
2023-01-05,13,6,0,9
2023-01-06,14,6,0,6
2023-01-07,24,5,1,13
2023-01-08,16,5,1,10
2023-01-09,9,2,0,3
2023-01-10,14,6,0,6
2023-01-11,14,6,0,4
2023-01-12,15,4,0,5
2023-01-13,16,1,1,7
2023-01-14,18,2,0,6
2023-01-15,13,6,0,5
2023-01-16,25,5,2,10
2023-01-17,22,5,0,6
2023-01-18,19,6,1,5
2023-01-19,17,8,1,11
2023-01-20,18,6,0,9
2023-01-21,10,3,0,5
2023-01-22,19,5,0,4
2023-01-23,15,4,0,7
2023-01-24,17,0,0,6
2023-01-25,12,9,1,5
2023-01-26,15,4,0,4
2023-01-27,10,5,0,5
2023-01-28,10,0,0,6
2023-01-29,17,6,0,6
2023-01-30,16,10,1,5
2023-01-31,15,2,1,8
