Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,erin,9,20,1,"January 31, 2007","It's been a busy couple of weeks, so I thought I'd spent the last of my holiday indulging in a witty travelogue to set my feet itching. Unfortunately, I picked the wrong book. Years of declining the advice of the Bryson-worshipers, it seems, was not in vain.I'm halfway through, and - like the author on the daunting trail - am unsure as to whether or not I can finish my task. Bryson sounds, to put it mildly, a real jerk. He's smug and superior, and spends most of the book complaining about his companions on the trail. A common motif is how everyone one is but a weekend hiker, that he is a true back-to-nature type in comparison. True, some of his encounters sound less than thrilling, but even the obnoxious woman he encounters should get credit for tackling the trail by herself. Instead, she's unceremoniously ditched (in real life as well as print) by the man who couldn't stomach the thought of going alone. He enlists the companionship of a long-lost friend with whom he'd proven incompatible on a previous travel experience. Said ""friend"" is then derided throughout the book for his sloth, roughness in manner, and lowbrow tastes. Meanwhile, Bryson paints himself as Guardian of the Trail, criticising the Parks Service along with all who venture through her woods.I'm still waiting for even a glimpse of the much-vaunted Bryson wit and charm to show itself. At the moment, he's nothing more than the stereotypical Blue Stater - putting himself on a pedestal while looking down his nose at everyone else. It's not attractive, and it makes for a very frustrating read. I wish he'd stayed home.",534,152
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,Sud666,"1,895",156,3,"November 24, 2020","I am a huge fan of hiking. My friends and I, several times a year, will take trips out to random State and National Parks. We spend a great deal of time out in the woods and any sort of nature. It is not only enjoyable and relaxing but good to stay in shape. But then again my friends and I are all people who are very comfortable n the woods, due to our military backgrounds.Then there are these two. *sigh* Is the book funny? Yes...that humor and the interesting history about the Appalachian Trail is the only reason I finished this book. Why? To hear two fat fools tromping through the Appalachians is borderline annoying. Seriously? Are civilians usually so fucking stupid? (Don't answer that. It's rhetorical. I've been watching civilians since 2008 and I already know the answer). This is a laundry list of what NOT to do, what NOT to eat and what NOT to drink. I was aghast at the stuff these two were munching on and the amount of soda pop they drink. Stupid assholes don't realize soda dehydrates you...but hey, it's more common than you think. As an example of real life stupidity, there is an awesome State Park in Utah called Great Salt Lake park. It's ummmm a salt lake...which means it's a rather extreme environment. Now a quick Google search will show you DOZENS on incidents of idiots wandering around this place with little to no hydration and getting in trouble or even dying. Does this surprise you? Then you have a much higher level of respect for the survivability of the average civilian. It doesn't surprise me in the slightest and books like this merely reinforce what an instructor of mine at Scout-Sniper school said ""Don't ever mistake it-but civilian types have a field survivability rate comparable to infants""So please, don't do any of the things in this book. If you wish to hike the Appalachian Trail..ask yourself: How often do you walk? Have you ever just put on steel toed boots, stuffed a backpack with say 45-60 lbs of books and then went on a nice 5 or six mile hike? Go for it. Do it on flat ground. If at the end of it..you have barely a sheen of sweat and are like ""ok what's next?"" then you are fine. However if this sounds ""rough"" ummmmmmm...yeah..take a car, stay at hotels and realize watching Animal Planet or National Geographic has not prepared your body for real nature with no one nearby to come save you.Now that my polemic is over- funny book. Nothing great. Some decent history about the trail...and that's really it. I didn't care for the two fat asses. I read this book because I enjoy nature and spend a lot of time in it. But there was no need for me to really read this book...you may enjoy it as a funny travelogue, but that's all it is.",269,"4,178"
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,Jason,137,2263,3,"January 29, 2015","I am what some might call a pussy hiker. I do genuinely enjoy a leisurely stroll in the “mountains” of Massachusetts and southern New Hampshire. I like the pretty views. I always bring my conveniently-sized L.L. Bean backpack ($39.95 from the Kittery Outlets) so I have a place for my camera and cell phone. But by early afternoon, I would like to be done, please. I would like to be done and sitting at a booth in a pub with my burger and beer. Camping is certainly worthy of consideration, but here’s the deal: I don’t do rain. In light of the fact that weather reports are unreliable beyond a 48-hour window (and even that is pushing it in New England), it is unlikely I would ever camp for more than a two-night stay. Oh, and if I were to camp, I would like it to be at a site that has free Wi-Fi.What this amounts to is that the Appalachian Trail, endearingly referred to by those hiking it as “the AT,” will never be anything more to me than a lovely little map.
(click to enlarge)
BUT. I am glad for gung-ho people like Bryson and his chubby checker friend Katz who did walk “the AT” and are kind enough to let me know what I am missing. As it turns out, I am not missing much. This is not to downplay the extraordinarity of a 2,200-mile trail of wilderness running from Georgia to Maine, a trail that takes the average thru-hiker six months to complete, but in terms of day-to-day variation, it is basically a shitload of trees followed by another shitload of trees.
  
For me, this book makes a better argument for the day hike. There are many parts of the trail I would enjoy, including the Smoky Mountains, the Shenandoah Valley, and the Delaware Water Gap. Like Bryson, though, I am a people person, and I enjoy my simple human comforts. I would like to see these areas without having to make an extended departure from civilization. Why can’t I have both—my nature and my nurture? Fortunately for me, almost a full third of the Appalachian Trail is in New England, so maybe I can have it all—because I think if there is one thing I’ve learned from Bryson’s experience, it is that I don’t have to suffer through long days of cold rain and hungry nights to enjoy what the Appalachian Trail has to offer.",252,76
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,Anne,"3,785",6900,4,"June 25, 2021","I kind of surprised I liked this book at all, because: a) I read pathetically little non-fiction b) I've never read a travelogue ANDc) I'm only a fan of the Great Outdoors as long as I'm safely Indoors.So, color me shocked that I not only finished this, but giggled my way through quite a bit of it! Bryson really is a pretty funny writer, and the way he captured his experience on the Appalachian Trail had me in tears a few times. His fears about getting mauled by a bear (among other things) before he started off were especially hysterical, and maybe that's because I could see a lot of myself in his initial terror of spending so much time surrounded by...NATURE!Now, there was a decent-sized chunk towards the middle of the book that I just had to grit my teeth and push on through. Bryson's friend Katz wasn't with him during this portion, and the difference in the tone of the writing is really noticeable. Lots and lots and lots of mind-numbing details about the Trail, and very little of his experiences. And while all of that sort of info is relevant to the book, it's also the main reason that I don't actively seek out non-fiction or travelogues. Eventually, Katz comes back to finish out the hike, and the story vastly improves, but it never managed to recapture the humor or spirit that it had in the beginning. But that's only MY opinion.And I really did enjoy the last bits of the book a lot. Especially the moments between Katz & Bryson there towards the end.Overall, I'd say this was a winner. And even if the whole thing wasn't to my liking, the first half was an easy 5 star read for me.In fact, it made me want to call up my BFF to see if she wanted to take the kids camping this summer so we could poop near a waterfall!You know, instead of meeting at a hotel on the beach and drinking ourselves silly while the kids play in the surf.And then I thought about that sentence.Bwahahahahahahaha!No. Just...no.See you in Florida, Jill! I'll bring the blender! ",237,116
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,J.L.   Sutton,651,824,2,"May 2, 2016","I wanted to like Bill Bryson’s A Walk in the Woods: Rediscovering America on the Appalachian Trail. Not sure what I was expecting from this—perhaps more about hiking on the actual AT and the reasons Bryson made this trek—but I was mostly disappointed. It read like a series of travel brochures: here’s the history of the region on this section of the trail, and now another…There was much more attention devoted to towns along the route than hiking the actual trail. It was also disappointing that Bryson noted the historical stereotypes of Appalachian people and casually confirmed their stupidity without any real interaction (not once but many times). The smugness of his remarks was irritating. I still would like to hike the AT, but Bryson did little to illuminate what it’s really like to hike the trail except to offer that it’s not what most people expect. ",184,13
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,Julie G ,857,2628,4,"April 21, 2019","I'm no city mouse. I'm a country mouse who lives in jeans and who often has a thick layer of soil under her nails from gardening. But, when compared to my brother, I feel like Beyoncé.My brother is like. . . Inman, from Cold Mountain. A man who walks and walks, all over Appalachia.He knows how to forage for food and how to identify what is good and what is bad, out in nature. I can point to anything within the plant kingdom, and he knows its name. He composts all of his own waste and leaves a very faint footprint on our planet.He's also. . . you know, a little crazy, when it comes to the whole walking thing.My brother has thru-hiked the Appalachian Trail once, in its entirety, and has section-hiked more than 900+ miles of favorite parts of it, at other times. He walks or hikes 5-25 miles a day, and he's currently on the Pacific Crest Trail, somewhere in Northern California, at the time of this writing.He's a walker, and even though I ALSO walk and hike, my habits apparently look like small potatoes to him. When he was here in May, at our house, preparing to head out to hike the PCT, he was nudging me, emphatically, to hike the Appalachian Trail soon.He was doing this nudging as all three of my kids were in the kitchen with me, and one of them was literally hanging on to my leg. Both dogs were starving, staring at me as we talked, our cats were walking in and out of the house, yowling for food, and my husband was outside, pulling weeds.I must have looked at him like he was an idiot. I sputtered out something in annoyance, like, “I have responsibilities. Maybe someday, like, when we're retired??” (And, maybe not then, either?)The compromise we reached was that, instead of starting the AT on that day, I would commit to reading Bill Bryson's A Walk in the Woods while he was out on the PCT. Fair enough. I finished it today.Here's what I have to say:I love Bill Bryson when he's funny, like when he's making social observations, or, in the case of this story, out hiking with his friend, Stephen Katz, and the hilarious commentary that ensues.I don't love Bill Bryson when he bores me to bits, breaking off from the funny story to describe geological phenomenons or maps or the National Park system in the United States. Be humorous OR be didactic, Bill, but please don't be both. I would never hike one of these trails without an entourage, bear spray, a billy club and/or a baseball bat and an INCREDIBLE SENSE OF HUMOR.After reading Bryson's book, I would like to hike at least part of the Appalachian Trail someday, if only to write about it. I believe that my desire to pepper spray any strange looking man on the trail, without a moment's hesitation, may make for some interesting writing. Plus, I'd be sure to scream at every snake, and I'd probably be stupid enough to play with a bear cub. They're so cute!Personally, I wanted to know a LOT more about these freaks in the shelter at night, and way more details on where and how they all went to the bathroom (shudder), and I felt completely let-down that Bryson and his companion hiked so little of the actual trail.Honestly, the book was so boring in the middle (when they gave up on the trail the first time), that I could barely summon the interest to read it again.I think I need to stop thinking of Bryson as a humorist, like Dave Barry. He does make me laugh, but he does drone on, too, about things that interest me not. I've reached a weird point with him, where I'm not sure I want to continue reading more.Four stars for some memorable descriptions of a few of the hikers and several hearty laughs. . . And fingers crossed for the safe return home of my brother!",175,86
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,Diane,"1,079",2605,5,"May 12, 2017","Bill Bryson calls the Appalachian Trail ""the grandaddy of long hikes,"" but for me, this book is the granddaddy of hiking memoirs. I first read it sometime around 1999, and I enjoyed it so much that not only have I reread this multiple times, but it also inspired me to read at least a dozen other hiking adventures. None have matched Bryson's wit. Before he started writing long books on various aspects of history, Bryson was known for his entertaining travelogues. A Walk in the Woods was his humorous take on attempting a long-distance hike of the Appalachian Trail, which spans more than 2,100 miles from Georgia to Maine. Here were his reasons for trying:""It would get me fit after years of waddlesome sloth. It would be an interesting and reflective way to reacquaint myself with the scale and beauty of my native land after nearly twenty years of living abroad. It would be useful (I wasn't quite sure in what way, but I was sure nonetheless) to learn to fend for myself in the wilderness. When guys in camouflage pants and hunting hats sat around in the Four Aces Diner talking about fearsome things done out-of-doors, I would no longer have to feel like such a cupcake. I wanted a little of that swagger that comes with being able to gaze at a far horizon through eyes of chipped granite and say with a slow, manly sniff, 'Yeah, I've shit in the woods.'""And so Bryson plans his trip, gets indignant over the high cost of outdoor equipment, and recruits an old friend, Stephen Katz, to walk the trail with him. Katz, an overweight, out-of-shape, recovering alcoholic, adds much hilarity to the adventure. The first day on the trail, Katz falls behind and has a fit, throwing away a lot of supplies in an effort to lighten the load of his pack. Later he gets lost during a stretch when they were dangerously low on water. But he's so pathetic and funny that you forgive him.Meanwhile, Bryson was having his own problems that first day:""It was hell. First days on hiking trips always are. I was hopelessly out of shape -- hopelessly. The pack weighed way too much. Way too much. I had never encountered anything so hard, for which I was so ill prepared. Every step was a struggle. The hardest part was coming to terms with the constant dispiriting discovery that there is always more hill ... The elusive summit continually retreats by whatever distance you press forward, so that each time the canopy parts enough to give a view you are dismayed to see that the topmost trees are as remote, as unattainable, as before. Still you stagger on. What else can you do?""After a few days on the trail, they met another hiker named Mary Ellen, who leeched onto them. ""She was from Florida, and she was, as Katz forever after termed her in a special tone of awe, a piece of work. She talked nonstop, except when she was clearing out her eustachian tubes (which she did frequently) by pinching her nose and blowing out with a series of violent and alarming snorts of a sort that would make a dog leave the sofa and get under a table in the next room. I have long known that it is part of God's plan for me to spend a little time with each of the most stupid people on earth, and Mary Ellen was proof that even in the Appalachian woods I would not be spared.""I'm not going to retype entire pages, but trust me that the conversations with Mary Ellen are one of the highlights of this book. Bryson and Katz spend several weeks on the trail, hiking 500 miles in their first section. Then the two take a break and return home for a few weeks, and Bryson resumes with some shorter hikes in New England. Katz and Bryson reunite in Maine to hike a particularly daunting section of the trail called the Hundred Mile Wilderness:""The Appalachian Trail is the hardest thing I have ever done, and the Maine portion was the hardest part of the Appalachian Trail, and by a factor I couldn't begin to compute.""Exhausted, filthy and hungry, the two abandon their trek in Maine and hitchhike to a small town, where they're able to make their way home again. ""I have regrets, of course. I regret that I didn't do [Mount] Katahdin (though I will, I promise you, I will). I regret that I never saw a bear or wolf or followed the padding retreat of a giant hellbender salamander, never shooed away a bobcat or sidestepped a rattlesnake, never flushed a startled boar. I wish that just once I had truly stared death in the face (briefly, with a written assurance of survival). But I got a great deal else from the experience. I learned to pitch a tent and sleep beneath the stars. For a brief, proud period I was slender and fit. I gained a profound respect for wilderness and nature and the benign dark power of woods. I understand now, in a way I never did before, the colossal scale of the world. I found patience and fortitude that I didn't know I had. I had discovered an America that millions of people scarcely know exists ... Best of all, these days when I see a mountain, I look at it slowly and appraisingly, with a narrow, confident gaze and eyes of chipped granite.""One of the things I especially like about this book is the history that Bryson includes along the way. He shares interesting stories about the areas he's passing through and about how the trail was built. He also looks at America's unique relationship with nature, which includes some backwards policies of the U.S. Forest Service and the Parks Service. It's really a delight to read.This memoir has been criticized because Bryson doesn't hike the entire trail, but regardless of the distance, it's still a damn fine travelogue. This was his experience on the AT, which he shares with much humor and insight. I don't care that he hiked only 870 miles out of 2,100 -- the point was that he attempted it.",131,30
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,Ben,40,4,1,"June 18, 2011","Bill Bryson is extremely annoying. I started out liking this book, but the further I went along, the more obnoxious I found the author's smarter-than-thou attitude. And that's a shame, too, because I was very interested in the subject matter and had the impression that Bryson wrote with a comedic edge. However, his sense of humor turns out to be quite bland, and consists mostly of making fun of everyone he meets. Get ready for adjectives like ""stupid"" and ""fat"" ... very high-brow. And don't worry, you'll hear the standard inbred jokes as he hikes through the South.Like hypocritical rants? You'll get plenty here; he eviscerates the National Park system, but that doesn't stop him from taking full advantage of all its amenities. He rips tourists who just stop by the AT to do quick hikes, eat cheeseburgers at fast-food restaurants, then hop in their cars and move on, and yet he spends much of the middle section of the book doing just that! He also rips unprepared hikers who don't know what they're doing ... much like the time later in the book when he leaves his windbreaker at home while hiking in the Presidentials; also, he sets out to hike the entire length of the AT, but gives up when he looks at a map in Gatlinburg and realizes -gasp- the AT is really long! Seriously? You didn't look at a map BEFORE you started hiking? Needless to say, he gave up immediately.Not that there's anything wrong with giving up. I guess this writer's just not for me - he comes across as having a little more disdain for the rest of the world than he has a right to.",115,10
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,Mischenko,"1,012",97,5,"December 5, 2016","Definitely read the book if you're a fan of the outdoors and hiking. I learned about the book after watching the movie, and let me say, the book to me was much better.",100,10
9791,A Walk in the Woods Rediscovering America on the Appalachian Trail,Melissa ♥ Dog/Wolf Lover ♥ Martin,"3,365",9426,5,"March 25, 2022","4.5 Stars I’ve owned this mass market paperback for 6,945 years and I thought I read it about that long ago. I’m assuming I never added it to GR. Well, here you are.. I read it, it’s logged, hurrah! I thought about adding a pic of me hugging one of my favorite trees where I hike but, maybe later. I’m grateful I can hike a little bit with all of my medical issues and I’m not sure for how long. The woods are my favorite place, my love, my solace. Years ago (hindsight) when I was younger I planned on walking a little bit of the AT and camping but I never did..sigh. I used to look at one of the entries to it when going down the road to somewhere else in the woods back in the day. Well, the day is over .. if there is something you’re thinking about doing, do it! Still grateful for what I can do 🌲Mel 🖤🐶🐺🐾",92,10
