Title,URL
Battersea Parker,https://www.goodreads.com/book/show/40636552-battersea-parker
Uck It List,https://www.goodreads.com/book/show/48709132-uck-it-list
Battersea Parker 2,https://www.goodreads.com/book/show/41585187-battersea-parker-2
Hollywood Girlfriend,https://www.goodreads.com/book/show/53038780-hollywood-girlfriend
Double Trouble,https://www.goodreads.com/book/show/53158917-double-trouble
Thinking Racehorse,https://www.goodreads.com/book/show/41593176-thinking-racehorse
Complicated,https://www.goodreads.com/book/show/50551226-complicated
"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy
Bossypants,https://www.goodreads.com/book/show/9418327-bossypants
Me Talk Pretty One Day,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day
Comedian Gone Wrong,https://www.goodreads.com/book/show/53348614-comedian-gone-wrong
Is Everyone Hanging Out Without Me? (And Other Concerns),https://www.goodreads.com/book/show/10335308-is-everyone-hanging-out-without-me
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",https://www.goodreads.com/book/show/12067.Good_Omens
Yes Please,https://www.goodreads.com/book/show/20910157-yes-please
"A Dirty Job (Grim Reaper, #1)",https://www.goodreads.com/book/show/33456.A_Dirty_Job
Furiously Happy: A Funny Book About Horrible Things,https://www.goodreads.com/book/show/23848559-furiously-happy
Dress Your Family in Corduroy and Denim,https://www.goodreads.com/book/show/10176.Dress_Your_Family_in_Corduroy_and_Denim
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",https://www.goodreads.com/book/show/17571564-hyperbole-and-a-half
Naked,https://www.goodreads.com/book/show/4138.Naked
A Man Called Ove,https://www.goodreads.com/book/show/18774964-a-man-called-ove
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",https://www.goodreads.com/book/show/28881.Lamb
Let's Explore Diabetes with Owls,https://www.goodreads.com/book/show/15790837-let-s-explore-diabetes-with-owls
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared (The Hundred-Year-Old Man, #1)",https://www.goodreads.com/book/show/36578942-the-100-year-old-man-who-climbed-out-the-window-and-disappeared
"Practical Demonkeeping (Pine Cove, #1)",https://www.goodreads.com/book/show/33457.Practical_Demonkeeping
When You Are Engulfed in Flames,https://www.goodreads.com/book/show/1044355.When_You_Are_Engulfed_in_Flames
