date,added,ratings,reviews,to-read
2022-08-16,31,8,0,8
2022-08-17,43,5,0,22
2022-08-18,29,7,0,14
2022-08-19,22,7,2,11
2022-08-20,34,7,1,17
2022-08-21,27,10,1,9
2022-08-22,31,7,0,13
2022-08-23,28,15,2,15
2022-08-24,26,-6,0,14
2022-08-25,21,5,1,10
2022-08-26,47,6,0,17
2022-08-27,26,6,1,15
2022-08-28,28,-4,0,15
2022-08-29,44,-30,1,14
2022-08-30,41,17,0,13
2022-08-31,40,12,1,10
2022-09-01,30,11,-1,15
2022-09-02,34,10,0,16
2022-09-03,36,4,0,17
2022-09-04,29,11,1,12
2022-09-05,22,4,1,11
2022-09-06,32,-23,0,14
2022-09-07,42,10,0,18
2022-09-08,24,4,0,12
2022-09-09,29,8,0,11
2022-09-10,35,8,1,19
2022-09-11,25,6,1,10
2022-09-12,38,7,0,25
2022-09-13,25,7,2,9
2022-09-14,29,0,1,8
2022-09-15,22,8,2,12
2022-09-16,28,8,1,14
2022-09-17,28,3,1,12
2022-09-18,32,6,0,13
2022-09-19,25,3,1,15
2022-09-20,23,9,1,11
2022-09-21,19,4,0,11
2022-09-22,20,7,2,10
2022-09-23,30,-3,0,17
2022-09-24,32,5,1,14
2022-09-25,27,5,1,16
2022-09-26,25,-22,0,13
2022-09-27,28,-61,2,12
2022-09-28,16,-61,0,6
2022-09-29,24,-38,-1,10
2022-09-30,25,6,1,12
2022-10-01,28,6,0,8
2022-10-02,28,-44,1,13
2022-10-03,26,-26,1,13
2022-10-04,20,-1,0,8
2022-10-05,20,7,2,13
2022-10-06,27,8,1,9
2022-10-07,27,4,1,7
2022-10-08,29,4,1,15
2022-10-09,29,-23,1,13
2022-10-10,20,0,0,7
2022-10-11,31,-4,2,7
2022-10-12,30,-30,2,9
2022-10-13,25,7,1,12
2022-10-14,31,-62,0,17
2022-10-15,31,3,0,13
2022-10-16,30,-71,0,9
2022-10-17,31,-51,0,12
2022-10-18,30,-2,0,14
2022-10-19,32,4,2,18
2022-10-20,23,3,0,14
2022-10-21,20,-2,1,7
2022-10-22,26,-18,2,10
2022-10-23,34,-84,2,12
2022-10-24,27,-62,0,13
2022-10-25,19,-56,0,8
2022-10-26,22,9,1,12
2022-10-27,27,13,0,7
2022-10-28,28,4,0,12
2022-10-29,35,1,0,20
2022-10-30,30,-1,0,15
2022-10-31,33,-7,0,15
2022-11-01,23,4,0,10
2022-11-02,26,5,0,13
2022-11-03,19,-15,-1,11
2022-11-04,25,5,0,10
2022-11-05,27,2,0,13
2022-11-06,26,8,1,7
2022-11-07,24,3,1,13
2022-11-08,33,4,0,15
2022-11-09,22,8,2,9
2022-11-10,24,6,0,14
2022-11-11,27,9,1,9
2022-11-12,25,6,0,9
2022-11-13,29,0,0,14
2022-11-14,32,5,1,11
2022-11-15,22,6,0,12
2022-11-16,26,6,1,17
2022-11-17,19,3,1,10
2022-11-18,21,3,0,13
2022-11-19,28,1,1,12
2022-11-20,32,6,0,14
2022-11-21,26,4,1,12
2022-11-22,32,9,1,11
2022-11-23,33,7,1,15
2022-11-24,21,2,0,9
2022-11-25,28,3,0,13
2022-11-26,30,11,0,9
2022-11-27,39,4,1,10
2022-11-28,32,7,0,13
2022-11-29,30,11,1,13
2022-11-30,35,11,1,15
2022-12-01,27,5,0,12
2022-12-02,32,1,-1,16
2022-12-03,27,5,1,12
2022-12-04,40,5,1,16
2022-12-05,41,10,2,20
2022-12-06,31,4,1,18
2022-12-07,36,3,0,19
2022-12-08,37,14,1,22
2022-12-09,24,1,0,12
2022-12-10,32,2,0,8
2022-12-11,31,6,2,12
2022-12-12,19,9,0,10
2022-12-13,25,1,0,13
2022-12-14,28,12,0,12
2022-12-15,29,6,0,11
2022-12-16,18,9,3,11
2022-12-17,30,7,1,15
2022-12-18,40,8,0,15
2022-12-19,33,7,0,13
2022-12-20,26,10,1,14
2022-12-21,39,9,0,11
2022-12-22,28,7,1,10
2022-12-23,36,7,0,19
2022-12-24,24,5,1,9
2022-12-25,29,7,1,15
2022-12-26,57,11,0,32
2022-12-27,45,4,0,26
2022-12-28,42,14,1,20
2022-12-29,24,15,1,11
2022-12-30,43,10,1,15
2022-12-31,49,16,0,18
2023-01-01,59,18,3,28
2023-01-02,69,6,0,38
2023-01-03,68,15,2,23
2023-01-04,44,22,2,14
2023-01-05,41,12,0,21
2023-01-06,36,7,0,18
2023-01-07,51,9,0,19
2023-01-08,47,16,1,15
2023-01-09,41,12,1,13
2023-01-10,53,8,0,18
2023-01-11,30,12,3,10
2023-01-12,45,-13,1,13
2023-01-13,44,-29,2,22
2023-01-14,42,4,2,18
2023-01-15,42,8,2,20
2023-01-16,44,11,2,16
2023-01-17,44,15,3,16
2023-01-18,42,10,0,18
2023-01-19,28,9,2,13
2023-01-20,28,11,0,19
2023-01-21,34,3,0,13
2023-01-22,36,10,0,14
2023-01-23,44,12,3,19
2023-01-24,36,10,1,16
2023-01-25,34,11,1,11
2023-01-26,43,6,1,16
2023-01-27,33,10,2,13
2023-01-28,34,6,0,14
2023-01-29,58,8,2,25
2023-01-30,32,8,2,17
2023-01-31,38,4,2,13
