date,added,ratings,reviews,to-read
2022-08-16,27,4,0,16
2022-08-17,86,6,0,75
2022-08-18,40,5,0,31
2022-08-19,35,8,1,16
2022-08-20,35,7,0,23
2022-08-21,43,11,4,26
2022-08-22,37,4,0,16
2022-08-23,35,9,0,20
2022-08-24,39,1,2,20
2022-08-25,31,2,2,23
2022-08-26,29,3,1,16
2022-08-27,29,10,0,19
2022-08-28,24,-8,1,13
2022-08-29,41,-31,1,31
2022-08-30,39,17,2,17
2022-08-31,72,7,0,39
2022-09-01,36,13,0,26
2022-09-02,41,6,2,18
2022-09-03,27,6,0,17
2022-09-04,30,9,1,12
2022-09-05,35,10,0,17
2022-09-06,48,-27,0,28
2022-09-07,45,12,0,27
2022-09-08,36,8,1,23
2022-09-09,28,8,1,17
2022-09-10,40,7,0,20
2022-09-11,24,11,2,18
2022-09-12,39,8,2,14
2022-09-13,38,6,2,20
2022-09-14,40,4,0,19
2022-09-15,24,9,0,15
2022-09-16,40,8,0,24
2022-09-17,34,8,1,18
2022-09-18,38,9,1,25
2022-09-19,25,7,0,16
2022-09-20,19,4,1,13
2022-09-21,23,6,1,11
2022-09-22,33,15,2,14
2022-09-23,42,-34,0,23
2022-09-24,41,11,0,25
2022-09-25,28,5,1,15
2022-09-26,36,-52,1,17
2022-09-27,16,-110,2,7
2022-09-28,61,-199,0,49
2022-09-29,33,-138,0,28
2022-09-30,32,5,0,21
2022-10-01,43,5,2,23
2022-10-02,43,-36,0,27
2022-10-03,36,-22,0,15
2022-10-04,37,12,1,18
2022-10-05,24,11,0,15
2022-10-06,40,9,0,18
2022-10-07,30,14,0,14
2022-10-08,29,1,0,18
2022-10-09,37,-15,0,24
2022-10-10,26,7,1,13
2022-10-11,30,7,0,17
2022-10-12,32,-42,1,19
2022-10-13,27,6,1,15
2022-10-14,32,-72,1,12
2022-10-15,35,14,1,13
2022-10-16,42,-74,1,26
2022-10-17,40,-68,1,20
2022-10-18,35,-17,0,17
2022-10-19,26,3,0,13
2022-10-20,23,6,0,13
2022-10-21,34,-11,0,19
2022-10-22,37,-9,0,24
2022-10-23,36,-126,0,13
2022-10-24,32,-85,2,14
2022-10-25,33,-91,0,18
2022-10-26,33,9,0,21
2022-10-27,26,6,1,14
2022-10-28,27,8,0,16
2022-10-29,28,2,0,20
2022-10-30,25,-7,1,14
2022-10-31,30,-32,0,17
2022-11-01,32,7,2,15
2022-11-02,31,7,1,20
2022-11-03,31,-13,1,15
2022-11-04,50,12,0,33
2022-11-05,50,6,2,41
2022-11-06,31,10,2,9
2022-11-07,44,12,1,25
2022-11-08,33,13,2,14
2022-11-09,34,5,1,22
2022-11-10,25,11,1,10
2022-11-11,28,5,0,17
2022-11-12,38,2,1,21
2022-11-13,45,10,0,21
2022-11-14,34,17,2,19
2022-11-15,50,12,1,27
2022-11-16,29,7,1,15
2022-11-17,29,8,1,15
2022-11-18,36,12,3,20
2022-11-19,43,9,0,20
2022-11-20,31,11,1,12
2022-11-21,19,10,0,14
2022-11-22,49,9,0,27
2022-11-23,41,16,3,20
2022-11-24,30,5,0,19
2022-11-25,27,6,1,19
2022-11-26,32,4,0,19
2022-11-27,27,10,1,15
2022-11-28,37,7,2,18
2022-11-29,38,8,0,24
2022-11-30,40,9,0,17
2022-12-01,33,13,1,16
2022-12-02,47,5,0,27
2022-12-03,51,8,0,34
2022-12-04,41,6,1,27
2022-12-05,23,8,1,7
2022-12-06,28,10,2,17
2022-12-07,37,1,0,23
2022-12-08,22,10,2,13
2022-12-09,33,6,0,18
2022-12-10,31,8,4,15
2022-12-11,34,8,1,25
2022-12-12,43,4,2,22
2022-12-13,27,10,2,15
2022-12-14,29,9,0,14
2022-12-15,28,9,1,15
2022-12-16,29,8,1,13
2022-12-17,44,10,0,26
2022-12-18,38,8,0,19
2022-12-19,24,9,1,7
2022-12-20,31,13,1,15
2022-12-21,36,13,0,20
2022-12-22,25,9,0,15
2022-12-23,39,6,1,26
2022-12-24,32,5,0,20
2022-12-25,43,16,1,27
2022-12-26,46,10,1,25
2022-12-27,52,9,2,31
2022-12-28,65,20,1,38
2022-12-29,38,12,2,19
2022-12-30,61,13,0,28
2022-12-31,75,20,1,34
2023-01-01,106,25,2,51
2023-01-02,92,34,1,44
2023-01-03,74,21,0,32
2023-01-04,54,9,0,26
2023-01-05,70,13,1,32
2023-01-06,55,14,1,33
2023-01-07,64,27,2,33
2023-01-08,51,11,0,25
2023-01-09,59,9,1,25
2023-01-10,52,13,1,31
2023-01-11,50,7,0,36
2023-01-12,52,-61,0,23
2023-01-13,39,-80,1,18
2023-01-14,47,11,1,27
2023-01-15,53,13,1,28
2023-01-16,45,19,0,22
2023-01-17,42,11,1,21
2023-01-18,46,11,2,26
2023-01-19,45,15,1,31
2023-01-20,28,10,1,18
2023-01-21,32,12,1,19
2023-01-22,52,10,1,28
2023-01-23,49,21,1,22
2023-01-24,53,11,0,28
2023-01-25,46,10,0,25
2023-01-26,43,13,0,23
2023-01-27,42,8,0,24
2023-01-28,45,12,1,23
2023-01-29,44,8,0,24
2023-01-30,34,8,0,21
2023-01-31,41,6,1,17
