date,added,ratings,reviews,to-read
2022-08-16,30,11,1,9
2022-08-17,27,7,0,15
2022-08-18,19,7,0,3
2022-08-19,34,10,0,12
2022-08-20,26,7,0,11
2022-08-21,22,8,1,7
2022-08-22,38,5,0,19
2022-08-23,27,12,-1,14
2022-08-24,36,3,0,16
2022-08-25,23,9,0,12
2022-08-26,22,10,0,3
2022-08-27,34,8,0,14
2022-08-28,30,1,0,8
2022-08-29,28,-11,1,8
2022-08-30,20,9,0,6
2022-08-31,37,0,0,14
2022-09-01,22,11,1,6
2022-09-02,23,9,1,5
2022-09-03,20,5,2,5
2022-09-04,35,9,0,8
2022-09-05,31,30,0,5
2022-09-06,28,-6,0,7
2022-09-07,33,17,2,8
2022-09-08,15,5,0,5
2022-09-09,24,6,0,10
2022-09-10,16,3,0,6
2022-09-11,24,9,0,13
2022-09-12,16,6,0,5
2022-09-13,24,9,2,11
2022-09-14,21,9,0,12
2022-09-15,15,8,1,5
2022-09-16,31,10,0,10
2022-09-17,30,12,0,8
2022-09-18,26,15,0,6
2022-09-19,24,10,0,11
2022-09-20,32,25,0,4
2022-09-21,24,12,0,7
2022-09-22,30,17,0,9
2022-09-23,27,2,0,9
2022-09-24,28,11,2,6
2022-09-25,36,6,0,15
2022-09-26,28,-11,-2,9
2022-09-27,33,-61,0,7
2022-09-28,30,-88,0,10
2022-09-29,31,-68,0,15
2022-09-30,27,7,0,13
2022-10-01,17,2,0,4
2022-10-02,22,-10,0,4
2022-10-03,26,-1,0,7
2022-10-04,24,9,0,9
2022-10-05,12,5,2,2
2022-10-06,22,2,0,7
2022-10-07,15,6,0,2
2022-10-08,12,9,3,5
2022-10-09,28,-8,0,11
2022-10-10,22,6,0,6
2022-10-11,13,2,2,3
2022-10-12,28,-12,0,9
2022-10-13,20,14,0,7
2022-10-14,30,-25,0,10
2022-10-15,29,5,0,7
2022-10-16,26,-69,0,10
2022-10-17,20,-60,0,6
2022-10-18,18,-8,0,6
2022-10-19,20,1,0,7
2022-10-20,16,10,0,3
2022-10-21,18,-12,1,4
2022-10-22,20,-8,2,5
2022-10-23,20,-93,0,4
2022-10-24,26,-66,0,10
2022-10-25,19,-85,0,7
2022-10-26,25,6,1,9
2022-10-27,25,3,0,8
2022-10-28,16,6,0,8
2022-10-29,18,4,1,5
2022-10-30,25,2,0,7
2022-10-31,27,-19,0,10
2022-11-01,27,7,1,11
2022-11-02,17,1,0,6
2022-11-03,16,-16,1,7
2022-11-04,26,8,0,5
2022-11-05,23,9,0,12
2022-11-06,29,13,0,7
2022-11-07,24,7,1,5
2022-11-08,15,9,0,7
2022-11-09,15,5,0,6
2022-11-10,17,10,2,10
2022-11-11,14,1,2,5
2022-11-12,22,5,0,8
2022-11-13,27,9,0,9
2022-11-14,32,11,1,7
2022-11-15,27,8,0,8
2022-11-16,13,2,3,5
2022-11-17,14,9,0,2
2022-11-18,21,11,1,8
2022-11-19,19,6,0,6
2022-11-20,14,8,0,3
2022-11-21,22,8,0,9
2022-11-22,24,7,0,8
2022-11-23,13,5,0,4
2022-11-24,18,5,0,7
2022-11-25,19,9,1,7
2022-11-26,15,3,0,3
2022-11-27,19,2,0,7
2022-11-28,17,5,2,8
2022-11-29,15,3,0,4
2022-11-30,25,7,0,6
2022-12-01,28,11,1,7
2022-12-02,20,6,0,6
2022-12-03,17,6,2,6
2022-12-04,31,9,1,15
2022-12-05,21,8,0,6
2022-12-06,28,9,0,8
2022-12-07,17,5,0,6
2022-12-08,21,14,0,4
2022-12-09,27,8,1,9
2022-12-10,27,7,0,10
2022-12-11,18,15,2,5
2022-12-12,26,8,0,9
2022-12-13,23,7,1,9
2022-12-14,29,11,0,7
2022-12-15,36,11,0,15
2022-12-16,31,12,0,7
2022-12-17,20,12,1,7
2022-12-18,23,3,0,11
2022-12-19,22,7,1,5
2022-12-20,27,13,0,7
2022-12-21,20,4,1,5
2022-12-22,16,4,1,4
2022-12-23,23,5,1,6
2022-12-24,28,7,0,9
2022-12-25,20,10,0,9
2022-12-26,32,7,0,9
2022-12-27,38,12,0,13
2022-12-28,43,16,0,11
2022-12-29,24,16,1,9
2022-12-30,51,17,0,17
2022-12-31,55,15,0,18
2023-01-01,68,25,0,17
2023-01-02,59,21,0,16
2023-01-03,62,22,1,16
2023-01-04,40,21,2,9
2023-01-05,45,12,0,11
2023-01-06,40,18,0,11
2023-01-07,41,8,0,11
2023-01-08,52,22,1,16
2023-01-09,45,22,1,7
2023-01-10,34,16,0,9
2023-01-11,26,12,1,7
2023-01-12,31,-17,0,12
2023-01-13,42,-39,0,15
2023-01-14,27,4,0,8
2023-01-15,36,7,1,14
2023-01-16,36,13,0,17
2023-01-17,31,8,2,7
2023-01-18,28,12,0,8
2023-01-19,38,11,2,16
2023-01-20,17,6,1,6
2023-01-21,36,4,1,13
2023-01-22,35,13,1,8
2023-01-23,34,14,1,13
2023-01-24,26,4,1,11
2023-01-25,32,7,0,14
2023-01-26,28,11,0,9
2023-01-27,23,8,0,7
2023-01-28,27,2,0,13
2023-01-29,30,13,1,9
2023-01-30,18,8,0,7
2023-01-31,17,6,1,8
