date,added,ratings,reviews,to-read
2022-08-16,119,57,2,53
2022-08-17,158,61,2,52
2022-08-18,117,49,3,43
2022-08-19,113,46,1,40
2022-08-20,118,47,4,44
2022-08-21,130,53,2,48
2022-08-22,136,44,4,43
2022-08-23,117,56,2,44
2022-08-24,148,58,4,48
2022-08-25,96,43,3,31
2022-08-26,117,42,3,39
2022-08-27,116,35,2,42
2022-08-28,146,53,1,43
2022-08-29,107,36,3,37
2022-08-30,135,43,0,49
2022-08-31,146,39,3,88
2022-09-01,118,36,2,53
2022-09-02,145,59,6,60
2022-09-03,157,58,2,51
2022-09-04,199,57,6,79
2022-09-05,172,88,3,64
2022-09-06,174,59,1,64
2022-09-07,156,69,4,58
2022-09-08,139,54,0,56
2022-09-09,128,39,3,52
2022-09-10,138,49,3,58
2022-09-11,137,59,4,68
2022-09-12,144,46,2,57
2022-09-13,138,52,3,57
2022-09-14,129,56,3,65
2022-09-15,129,71,3,55
2022-09-16,118,73,3,41
2022-09-17,126,37,2,50
2022-09-18,176,61,2,63
2022-09-19,145,68,1,55
2022-09-20,142,71,2,55
2022-09-21,136,55,1,64
2022-09-22,127,40,1,57
2022-09-23,128,-200,1,45
2022-09-24,150,61,1,55
2022-09-25,126,40,1,51
2022-09-26,129,18,8,58
2022-09-27,156,-27,1,52
2022-09-28,129,-15,3,51
2022-09-29,105,-80,4,47
2022-09-30,109,48,1,39
2022-10-01,118,37,2,51
2022-10-02,138,37,3,49
2022-10-03,106,42,1,39
2022-10-04,129,36,3,52
2022-10-05,103,58,3,49
2022-10-06,119,39,2,54
2022-10-07,113,49,2,39
2022-10-08,124,37,0,54
2022-10-09,156,43,4,70
2022-10-10,149,49,5,60
2022-10-11,126,46,1,45
2022-10-12,120,22,0,54
2022-10-13,109,53,0,47
2022-10-14,114,5,3,52
2022-10-15,119,38,1,45
2022-10-16,146,5,1,55
2022-10-17,151,-19,5,61
2022-10-18,137,28,3,56
2022-10-19,122,47,0,40
2022-10-20,125,44,4,45
2022-10-21,110,26,3,49
2022-10-22,119,20,0,52
2022-10-23,142,-50,1,48
2022-10-24,136,-34,5,54
2022-10-25,109,-56,4,45
2022-10-26,131,48,1,48
2022-10-27,123,50,3,47
2022-10-28,105,33,0,49
2022-10-29,132,47,3,51
2022-10-30,129,53,2,42
2022-10-31,102,2,1,38
2022-11-01,101,34,4,42
2022-11-02,136,44,2,60
2022-11-03,133,26,3,51
2022-11-04,101,42,3,40
2022-11-05,122,39,1,48
2022-11-06,148,46,0,49
2022-11-07,131,60,0,39
2022-11-08,127,40,4,47
2022-11-09,107,48,4,37
2022-11-10,99,38,3,40
2022-11-11,123,43,1,50
2022-11-12,117,59,0,40
2022-11-13,138,40,1,57
2022-11-14,117,55,2,39
2022-11-15,140,56,6,54
2022-11-16,127,43,2,46
2022-11-17,90,38,1,38
2022-11-18,98,38,1,47
2022-11-19,121,37,0,52
2022-11-20,122,32,2,54
2022-11-21,114,38,5,40
2022-11-22,139,47,0,46
2022-11-23,126,54,6,59
2022-11-24,126,38,2,57
2022-11-25,118,56,3,55
2022-11-26,143,34,2,59
2022-11-27,145,47,2,57
2022-11-28,143,57,3,54
2022-11-29,141,58,3,72
2022-11-30,156,52,2,54
2022-12-01,120,58,3,38
2022-12-02,122,42,3,46
2022-12-03,147,63,3,49
2022-12-04,147,47,2,62
2022-12-05,120,53,5,46
2022-12-06,141,53,7,55
2022-12-07,115,49,2,60
2022-12-08,119,61,4,55
2022-12-09,117,41,1,38
2022-12-10,119,44,6,46
2022-12-11,156,44,1,63
2022-12-12,141,66,1,60
2022-12-13,128,47,3,54
2022-12-14,136,49,2,57
2022-12-15,156,55,3,61
2022-12-16,114,43,1,50
2022-12-17,126,41,5,54
2022-12-18,143,53,2,50
2022-12-19,159,61,3,58
2022-12-20,122,66,5,52
2022-12-21,145,54,3,57
2022-12-22,146,68,1,54
2022-12-23,154,44,6,59
2022-12-24,114,51,5,50
2022-12-25,184,51,2,81
2022-12-26,228,73,4,90
2022-12-27,234,87,5,83
2022-12-28,242,95,5,84
2022-12-29,211,103,3,86
2022-12-30,294,101,1,112
2022-12-31,393,154,4,157
2023-01-01,623,196,3,233
2023-01-02,511,260,11,198
2023-01-03,374,152,5,161
2023-01-04,302,156,4,122
2023-01-05,283,106,2,110
2023-01-06,241,94,2,122
2023-01-07,265,90,5,115
2023-01-08,282,100,8,97
2023-01-09,261,105,2,103
2023-01-10,264,89,5,105
2023-01-11,220,84,6,112
2023-01-12,223,-14,2,100
2023-01-13,211,-39,3,84
2023-01-14,235,75,6,106
2023-01-15,471,87,4,334
2023-01-16,290,80,7,147
2023-01-17,229,81,1,101
2023-01-18,232,71,3,102
2023-01-19,209,79,3,89
2023-01-20,161,76,9,79
2023-01-21,174,69,3,56
2023-01-22,262,80,4,108
2023-01-23,197,86,6,57
2023-01-24,184,71,3,72
2023-01-25,200,66,1,64
2023-01-26,178,90,4,60
2023-01-27,156,49,3,63
2023-01-28,190,72,1,75
2023-01-29,224,93,5,74
2023-01-30,171,74,4,79
2023-01-31,240,77,1,106
