Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
9625608,Black Butler IX,Rain,696,116,4,"March 24, 2018",The book of murder was one of my favorite arcs in the anime *-*,9,N/A
9625608,Black Butler IX,nivedha,138,69,4,"July 29, 2020",i should NOT have read this yesterday in the middle of the night.,7,N/A
9625608,Black Butler IX,nuzha,105,35,4,"December 22, 2019",4.5 stars... wow I really enjoyed this one,3,N/A
9625608,Black Butler IX,Rose,182,78,3,"June 22, 2013","Hi again, Black Butler. I'm not sure what kind of relationship this is. I mean, I'm committed to you. I do plan to read you until your writers decide to end it between us but you're just so meh at the moment. You had a few volumes that were fun and that made me want to read the next one immediately. The last few volumes... let's just not talk about them. I don't want to fight, you know, also, if I think about your last few volumes too much I will Zzz away because honestly: so boring. I liked volume 9 way better because of... a feel to it it had. I have to be honest with you, I only liked volume 9 so much more than the circus arc volumes because it was kind of Detective Conan-esque. I know, I know and I'm so sorry but I can't help it, this literally saved our relationship, even though it feels like... I'm cheating? A little more truth: I'd choose Detective Conan over you any day. OK, I think I hurt our relationship more with this than with anything else I said BUT to make you feel better, I'm not going to break up. Your cliffhanger makes me curious to see where our relationship is headed next and I just won't quit you, I promise¹. Ttyl, Black Butler. Staying Detective Conan-esque will make me very happy, so don't change for the next few volumes, OK?¹Don't hold me to that promise, though. I might change my mind.",3,2
9625608,Black Butler IX,Kris Ritchie,"1,464",14,3,"July 17, 2020","This volume largely concerns the beginnings of a Sherlock Holmes style mystery, with Doyle even appearing as a character in the story. It's an ok arc start, but I really enjoyed the circus arc so it did not beat that yet.",2,N/A
9625608,Black Butler IX,Marguerite,548,31,3,"March 1, 2017",3 Stars.This Murder arc is really interesting and I'm excited to find out how it all works out! *picks up volume 10 immediately*,2,N/A
9625608,Black Butler IX,gabi,998,20,5,"November 26, 2017",WHAT?! AAAAAHHHHH!!!!! WHAT IS HAPPENING?! SEBASTIAN!!!Reread: WOW. I don’t even know what to think. This is just so fascinating!,2,N/A
9625608,Black Butler IX,Blue Sai,301,20,5,"November 19, 2020","I was super hyped about this one ! Everything that happening makes keep reading nonstop , this arc is triggering .",2,N/A
9625608,Black Butler IX,Kelley ,74,4,5,"April 4, 2021",I think this is my favorite one yet! ,2,N/A
9625608,Black Butler IX,Cate (The Professional Fangirl),615,39,3,"April 17, 2017",Definitely wordier than other volumes but I liked this because this featured a direct anime translation. And it was featured in one of the seiyuu events:https://youtu.be/YtuDSaHoGAQ?t=4m3s,1 like,N/A
9625608,Black Butler IX,Elias Alexander,565,15,4,"May 7, 2018",It was good but not as good as the others. There is a lot of mysterious things going on in this volume,1 like,N/A
9625608,Black Butler IX,Laura,"1,659",46,3,"November 15, 2018",I’m sorry but Sherlock Holmes arc is not my fave 🙃🙃,1 like,N/A
9625608,Black Butler IX,DonutKnow,"1,840",43,3,"January 5, 2021","The professor is cute, but I wonder what is happening in the manor???",1 like,N/A
9625608,Black Butler IX,rylie,93,6,5,"December 6, 2022",i love a classic murder mystery,1 like,N/A
9625608,Black Butler IX,Bia,44,13,3,"February 9, 2021","I know it's a filler, and those have a bad reputation, but I really like the way it's set up! The whole ""isolated closed circle mystery"" schtick never gets old.",1 like,N/A
