Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
6345999,Death Note Black Edition Vol 1,Caz (littlebookowl),301,40400,4,"April 22, 2015","Love the humour and how dark, twisted and complex it is getting. So excited to continue!",165,6
6345999,Death Note Black Edition Vol 1,chloe,238,27800,4,"October 12, 2018","4.5 stars!cw: violence, murder, suicideOmg this was INCREDIBLE! This got me out of my reading slump because it was so interesting, complex, fast-paced and action packed. It's super dark, twisted and thought-provoking and I loved it. I did have a few problems with it which is why I am rating it 4.5 instead of 5 (e.g. some lines containing misogyny).I am SO excited to continue on with the series ahhh!!! ",96,4
6345999,Death Note Black Edition Vol 1,Korrina  (OwlCrate),193,4576,5,"October 21, 2017",Absolutely loved this. Such a unique concept that kept me on the edge of my seat from beginning to end. Can't wait to get the next volume!,58,N/A
6345999,Death Note Black Edition Vol 1,Katie Colson,603,5199,3,"September 11, 2022","Review/Vlog: https://youtu.be/5CKFt2EcLAULet's talk about the elephant in the room - misogyny.This man, Tsugumi Ohba, is really out here writing about a brilliant female FBI agent who gets engaged and is told by her fiancee that she can't work anymore and that when she has a bunch of babies she'll be too busy to think about her passion for her career. Liiiiiiiike, excuse me, what? And how every man is a genius but the women are seen as secondary and inconsequential. They aren't even deemed worthy of being a threat of any caliber.BUTBUTBUTI really enjoyed everything besides that.Light and L are literally geniuses and the twisted web they weave with each other is second only to Sherlock and Moriarty.I love Ryuk. He is this death god who has all the power and all the answers and literally refuses to divulge any information or help in anyway. He's there for every scene but does absolutely nothing. Just being a sassy side character and I love him to be honest.",56,N/A
6345999,Death Note Black Edition Vol 1,Lucy,411,594,4,"December 21, 2019","4****A great, smart, and twisty graphic novel! Light Yagami is the top student with great ambition- and he is bored out of his mind. His monotonous life changes when he finds the Death note, a notebook dropped by a rogue Shinigami- a death God. Any human who touches the death note is able to the death god who owns it. Light is able to see a death god named Ryuk. The death note enables the death of the human whose name is written in the book. As Light discovers it’s power, he vows to rid the world of evil and become worshipped like a God. When people start to die, Light finds an enemy in a secretive investigator only known as L. This book allows the reader to see the power hunger, intelligence, and competition between the two men. We are witness to Light’s moral decline as he plans to win the game between him and L.",36,13
6345999,Death Note Black Edition Vol 1,Amelia,172,49,5,"October 13, 2020",Wow!!!This is the first time I have given reading manga a go. I loved the anime series of Death Note so I thought this would be a good place to start.I enjoyed this so much. I was interested throughout the whole book and was left with this sad feeling because I don't have the rest of the volumes. I am honestly going to have to go and buy them now. Highly recommend! And they are quick to read.,28,N/A
6345999,Death Note Black Edition Vol 1,Isabella,558,11700,5,"August 2, 2019","4.5 🌟I can’t believe I’ve waited this long to pick this one up. It’s so dark and intense, violent and mysterious, I LOVED IT. ",25,N/A
6345999,Death Note Black Edition Vol 1,Sara (sarawithoutanH),439,2869,3,"July 11, 2016","3.5/5I read the first two volumes of Death Note in one sitting and I really enjoyed the cat and mouse dynamic between Light and L. Ryuk was by far my favorite character - I loved his snide commentary. I kind of wish the art had been in color, although I know that's not common in manga. I also realized that I don't enjoy manga as much as I did when I was younger. I found myself sometimes ignoring the pictures and just reading the text. Maybe I'm just too used to reading regular books, haha. Overall, this was a good time and I'm glad I read it. ",24,N/A
6345999,Death Note Black Edition Vol 1,Jonathan,634,3078,4,"February 20, 2022","i recently rewatched the anime for the first time since 2015/16 and thanks to my general inability to remember anything other than song lyrics it was like seeing it for the first time all over againloving the adaptation for the first 25 episodes but being disappointed by the very rushed remaining 12 episodes i decided that i should totally just read death note✨so i bought myself this very pretty all black edition for valentines day, cause no-one loves me like i doso far it doesn't differ much from the show but i love seeing all the characters again and just having fun with it. and have i mentioned that the black edition is very pretty.can't wait for Light to become even more certified insane and L making up random odds of Light being Kira",19,N/A
6345999,Death Note Black Edition Vol 1,Sonja ✧･ﾟ｡★･ﾟ☾,493,439,5,"March 12, 2021","4.5 out of 5 stars.
  ""The human whose name is written in this note shall die.""
I couldn't put Death Note down once I started it; I had to continue flipping the pages until it ended. I love the main character Light Yagami; he's a mix between Hermione, Lord Voldemort, the Joker and Batman, as weird as that all sounds. He's very clever and intelligent, however he does very morally-questionable things.Good and bad are not as simply divided as black and white; there are grey areas too. And Light is a perfect example of that. The premise of Death Note was very promising and it was executed extremely well! In the beginning there is a bit of an information dump because the principles and the power of the Death Note need to be explained. However, after the basics were revealed, the pace quickly picked up and the manga became addictive!
  ""I'm creating a criminal-free utopia... over which I plan to reign like a god for long time.""
Light wants to use the Death Note to make the world a better place. In the beginning his intentions are good, but at a certain moment he becomes a bit power-hungry. The power to kill people, by simply writing their name down in the Death Note with their face in his mind, makes him arrogant. He can deliver punishments to those who are ""bad"" and reward those who are ""good"" by not killing them. The whole abstract idea of good vs bad and right vs wrong is challenged. As a reader it made me consider my own values and what I would have done if I was Light. It also made me think about the value of life and whether any human beings as individuals have the right to kill another human being. Even if the ones being killed are the ""bad guys"" is that enough of a justification to become a ""bad guy"" by killing them? Death Note gave me a lot of food for thought. It has a lot more depth than I thought it would have on first sight. I definitely recommend it! The artwork is beautiful, and the story is magnificent!When I was reading Death Note I thought of what Gandalf said in The Fellowship of the Ring. It seems very fitting.
  ""Many that live deserve death. And some that die deserve life. Can you give it to them? Then do not be too eager to deal out death in judgment. For even the very wise cannot see all ends.""
Whilst reading Death Note my mind also wandered to this beautiful poem by r.m. drake:
  love what loves youbut never hate whathates you, for hateis the burden toexhaust the starsin you.r.m. drake
",18,2
