date,added,ratings,reviews,to-read
2022-08-16,5,-2,0,1
2022-08-17,6,2,0,1
2022-08-18,3,-1,0,1
2022-08-19,3,-1,0,2
2022-08-20,4,0,0,1
2022-08-21,8,2,0,1
2022-08-22,3,2,0,0
2022-08-23,5,0,0,1
2022-08-24,3,0,0,1
2022-08-25,5,3,0,1
2022-08-26,6,1,0,3
2022-08-27,6,5,0,1
2022-08-28,3,0,0,2
2022-08-29,5,-1,0,2
2022-08-30,4,0,0,1
2022-08-31,7,2,0,3
2022-09-01,3,2,0,1
2022-09-02,4,-1,0,2
2022-09-03,2,2,0,0
2022-09-04,0,0,0,0
2022-09-05,2,1,0,0
2022-09-06,5,2,0,2
2022-09-07,7,4,0,0
2022-09-08,6,2,0,3
2022-09-09,8,4,0,1
2022-09-10,2,2,0,0
2022-09-11,5,0,0,1
2022-09-12,4,0,0,4
2022-09-13,9,-1,0,4
2022-09-14,3,4,0,2
2022-09-15,3,0,0,2
2022-09-16,5,1,0,2
2022-09-17,4,2,0,2
2022-09-18,5,2,0,0
2022-09-19,2,-1,0,1
2022-09-20,3,2,0,1
2022-09-21,3,1,0,1
2022-09-22,0,1,0,0
2022-09-23,1,1,0,0
2022-09-24,7,3,1,3
2022-09-25,6,-1,0,1
2022-09-26,2,0,0,0
2022-09-27,0,-3,0,0
2022-09-28,1,-1,0,1
2022-09-29,3,1,1,0
2022-09-30,2,0,0,0
2022-10-01,5,3,0,0
2022-10-02,3,0,0,0
2022-10-03,4,2,0,0
2022-10-04,1,1,1,0
2022-10-05,3,2,0,1
2022-10-06,7,3,0,1
2022-10-07,7,2,0,1
2022-10-08,4,2,0,1
2022-10-09,5,4,0,1
2022-10-10,2,1,1,0
2022-10-11,4,4,0,0
2022-10-12,3,2,0,2
2022-10-13,3,-1,0,1
2022-10-14,1,0,0,0
2022-10-15,7,1,0,2
2022-10-16,2,0,0,0
2022-10-17,7,2,0,2
2022-10-18,4,-2,0,1
2022-10-19,4,2,0,1
2022-10-20,3,1,0,1
2022-10-21,4,0,0,1
2022-10-22,2,1,0,1
2022-10-23,3,-1,0,1
2022-10-24,5,2,0,2
2022-10-25,5,2,1,2
2022-10-26,2,1,0,1
2022-10-27,3,2,0,0
2022-10-28,8,0,0,2
2022-10-29,2,0,0,0
2022-10-30,5,3,0,2
2022-10-31,3,0,0,1
2022-11-01,5,1,0,0
2022-11-02,3,0,0,0
2022-11-03,1,2,0,1
2022-11-04,6,2,0,1
2022-11-05,8,1,0,1
2022-11-06,3,3,0,1
2022-11-07,5,1,0,3
2022-11-08,2,0,0,1
2022-11-09,6,3,0,1
2022-11-10,7,0,0,2
2022-11-11,4,3,0,1
2022-11-12,2,0,0,1
2022-11-13,7,0,0,4
2022-11-14,4,1,0,0
2022-11-15,6,3,1,0
2022-11-16,3,1,0,0
2022-11-17,1,-1,0,1
2022-11-18,9,3,0,3
2022-11-19,2,-2,0,1
2022-11-20,8,0,1,2
2022-11-21,5,-1,0,1
2022-11-22,1,1,0,0
2022-11-23,5,-2,0,1
2022-11-24,2,2,0,1
2022-11-25,6,2,0,2
2022-11-26,4,2,0,0
2022-11-27,8,2,0,2
2022-11-28,4,4,0,1
2022-11-29,6,0,0,1
2022-11-30,4,1,0,1
2022-12-01,4,2,0,2
2022-12-02,2,1,0,0
2022-12-03,3,0,0,0
2022-12-04,2,0,0,0
2022-12-05,5,1,0,1
2022-12-06,6,3,0,0
2022-12-07,3,5,0,0
2022-12-08,2,3,0,0
2022-12-09,3,1,0,1
2022-12-10,4,3,0,1
2022-12-11,2,2,0,0
2022-12-12,4,0,0,1
2022-12-13,3,0,0,1
2022-12-14,7,1,0,1
2022-12-15,4,2,0,1
2022-12-16,4,3,0,0
2022-12-17,3,0,0,0
2022-12-18,2,0,0,1
2022-12-19,5,-3,0,1
2022-12-20,4,3,0,0
2022-12-21,6,0,0,1
2022-12-22,2,5,0,0
2022-12-23,9,3,0,3
2022-12-24,8,3,0,4
2022-12-25,4,3,0,0
2022-12-26,7,3,0,2
2022-12-27,9,3,0,0
2022-12-28,7,2,0,0
2022-12-29,6,6,0,0
2022-12-30,8,1,0,0
2022-12-31,8,6,0,0
2023-01-01,18,3,1,4
2023-01-02,11,0,0,1
2023-01-03,8,4,0,0
2023-01-04,11,1,0,1
2023-01-05,9,4,0,2
2023-01-06,7,1,0,2
2023-01-07,6,5,0,0
2023-01-08,11,2,0,2
2023-01-09,7,2,0,2
2023-01-10,6,2,0,0
2023-01-11,4,-1,0,1
2023-01-12,5,1,0,1
2023-01-13,6,1,0,2
2023-01-14,6,1,0,1
2023-01-15,12,5,0,2
2023-01-16,3,2,0,0
2023-01-17,7,0,0,1
2023-01-18,6,0,1,1
2023-01-19,4,1,0,0
2023-01-20,3,4,0,0
2023-01-21,6,2,0,1
2023-01-22,7,1,0,2
2023-01-23,7,2,0,3
2023-01-24,6,3,0,1
2023-01-25,7,0,0,0
2023-01-26,5,2,0,2
2023-01-27,3,-2,0,1
2023-01-28,6,0,0,1
2023-01-29,3,1,0,0
2023-01-30,6,1,0,4
2023-01-31,6,1,0,2
