date,added,ratings,reviews,to-read
2022-08-16,18,3,0,5
2022-08-17,22,7,1,10
2022-08-18,27,13,3,12
2022-08-19,37,10,1,10
2022-08-20,30,10,2,5
2022-08-21,26,17,4,8
2022-08-22,27,6,1,11
2022-08-23,9,5,0,4
2022-08-24,20,9,1,6
2022-08-25,17,7,0,6
2022-08-26,19,6,0,5
2022-08-27,20,4,-1,4
2022-08-28,28,17,3,6
2022-08-29,22,9,0,7
2022-08-30,31,10,0,6
2022-08-31,13,6,1,4
2022-09-01,20,6,1,6
2022-09-02,18,9,0,5
2022-09-03,25,9,0,7
2022-09-04,25,6,1,6
2022-09-05,24,6,1,10
2022-09-06,31,10,0,10
2022-09-07,29,8,0,8
2022-09-08,29,9,1,9
2022-09-09,28,7,1,7
2022-09-10,21,6,1,4
2022-09-11,21,8,1,9
2022-09-12,17,6,1,7
2022-09-13,22,5,0,8
2022-09-14,14,6,1,8
2022-09-15,18,5,1,8
2022-09-16,20,5,1,7
2022-09-17,38,10,2,14
2022-09-18,21,11,0,10
2022-09-19,14,5,1,7
2022-09-20,16,7,1,6
2022-09-21,9,9,0,2
2022-09-22,11,0,0,5
2022-09-23,17,3,1,3
2022-09-24,28,12,0,6
2022-09-25,46,17,5,34
2022-09-26,23,6,1,12
2022-09-27,24,10,0,5
2022-09-28,17,6,1,3
2022-09-29,12,6,1,4
2022-09-30,23,9,0,5
2022-10-01,18,4,1,6
2022-10-02,23,8,0,10
2022-10-03,27,11,1,8
2022-10-04,18,8,0,5
2022-10-05,11,6,0,5
2022-10-06,19,7,0,6
2022-10-07,12,3,0,3
2022-10-08,19,6,0,4
2022-10-09,23,9,1,4
2022-10-10,16,6,3,8
2022-10-11,19,8,0,3
2022-10-12,23,9,0,9
2022-10-13,9,7,1,3
2022-10-14,19,5,0,4
2022-10-15,19,4,0,7
2022-10-16,21,11,1,1
2022-10-17,15,5,0,1
2022-10-18,23,13,1,6
2022-10-19,13,2,1,3
2022-10-20,16,5,0,2
2022-10-21,21,4,0,7
2022-10-22,22,9,1,3
2022-10-23,35,9,3,11
2022-10-24,28,2,0,9
2022-10-25,17,10,1,5
2022-10-26,8,8,1,3
2022-10-27,17,4,0,3
2022-10-28,26,8,0,12
2022-10-29,24,12,0,4
2022-10-30,21,14,1,4
2022-10-31,19,2,0,5
2022-11-01,23,10,1,3
2022-11-02,22,6,1,9
2022-11-03,9,6,0,4
2022-11-04,19,5,1,7
2022-11-05,26,10,0,3
2022-11-06,41,16,1,7
2022-11-07,17,8,0,2
2022-11-08,22,9,0,5
2022-11-09,20,6,1,3
2022-11-10,19,8,2,5
2022-11-11,14,4,0,4
2022-11-12,30,8,0,4
2022-11-13,32,8,1,7
2022-11-14,20,11,1,6
2022-11-15,35,8,0,7
2022-11-16,17,9,1,4
2022-11-17,12,7,0,6
2022-11-18,15,5,0,5
2022-11-19,12,5,0,1
2022-11-20,29,7,0,10
2022-11-21,8,7,0,3
2022-11-22,14,4,2,5
2022-11-23,18,6,0,6
2022-11-24,17,2,2,4
2022-11-25,25,5,1,13
2022-11-26,25,5,0,11
2022-11-27,26,9,0,4
2022-11-28,22,9,4,6
2022-11-29,14,4,1,5
2022-11-30,19,9,1,4
2022-12-01,28,8,0,8
2022-12-02,23,12,1,4
2022-12-03,27,9,0,6
2022-12-04,29,11,0,8
2022-12-05,18,2,-1,4
2022-12-06,21,8,2,4
2022-12-07,14,6,1,1
2022-12-08,21,11,0,6
2022-12-09,26,11,2,8
2022-12-10,18,8,0,4
2022-12-11,22,7,1,4
2022-12-12,23,7,1,4
2022-12-13,21,6,2,7
2022-12-14,22,4,0,5
2022-12-15,19,7,0,5
2022-12-16,17,8,0,4
2022-12-17,28,7,0,8
2022-12-18,35,16,0,6
2022-12-19,25,9,1,8
2022-12-20,14,1,0,6
2022-12-21,25,5,1,4
2022-12-22,19,9,0,4
2022-12-23,21,11,4,4
2022-12-24,28,8,2,10
2022-12-25,23,3,0,5
2022-12-26,47,19,2,14
2022-12-27,47,18,0,10
2022-12-28,40,19,3,8
2022-12-29,36,13,0,15
2022-12-30,56,13,1,14
2022-12-31,59,30,3,12
2023-01-01,70,16,3,16
2023-01-02,56,21,1,15
2023-01-03,63,22,1,16
2023-01-04,45,17,3,14
2023-01-05,42,19,2,9
2023-01-06,51,16,1,13
2023-01-07,44,14,0,13
2023-01-08,39,13,1,10
2023-01-09,42,21,2,5
2023-01-10,34,17,1,8
2023-01-11,16,8,-1,6
2023-01-12,28,11,2,7
2023-01-13,35,16,3,9
2023-01-14,37,17,1,8
2023-01-15,49,9,2,10
2023-01-16,22,10,0,5
2023-01-17,29,10,0,10
2023-01-18,36,10,1,10
2023-01-19,24,15,1,6
2023-01-20,20,6,0,7
2023-01-21,33,10,2,11
2023-01-22,40,13,2,10
2023-01-23,26,11,3,11
2023-01-24,19,10,1,5
2023-01-25,29,10,1,8
2023-01-26,29,9,2,5
2023-01-27,31,17,1,6
2023-01-28,34,11,2,3
2023-01-29,36,15,3,11
2023-01-30,12,8,2,4
2023-01-31,11,4,0,4
