date,added,ratings,reviews,to-read
2022-08-16,42,15,1,26
2022-08-17,33,13,1,18
2022-08-18,33,14,0,14
2022-08-19,24,9,0,11
2022-08-20,30,12,2,12
2022-08-21,35,19,0,16
2022-08-22,30,15,0,13
2022-08-23,25,12,1,13
2022-08-24,25,13,0,10
2022-08-25,24,6,0,14
2022-08-26,23,9,0,10
2022-08-27,25,13,0,13
2022-08-28,43,8,0,21
2022-08-29,38,21,0,13
2022-08-30,36,14,0,21
2022-08-31,20,7,2,11
2022-09-01,28,7,0,13
2022-09-02,31,14,0,18
2022-09-03,32,8,0,16
2022-09-04,35,7,-1,15
2022-09-05,18,10,1,12
2022-09-06,30,11,0,16
2022-09-07,29,7,0,13
2022-09-08,18,9,0,8
2022-09-09,39,20,1,13
2022-09-10,29,7,2,17
2022-09-11,28,3,1,14
2022-09-12,26,8,0,8
2022-09-13,32,17,1,18
2022-09-14,45,22,0,16
2022-09-15,25,10,0,15
2022-09-16,22,9,0,8
2022-09-17,31,12,0,16
2022-09-18,28,15,0,17
2022-09-19,31,11,0,16
2022-09-20,26,11,2,16
2022-09-21,31,18,0,9
2022-09-22,23,13,2,11
2022-09-23,23,8,0,9
2022-09-24,24,12,1,10
2022-09-25,13,2,0,7
2022-09-26,31,12,0,15
2022-09-27,14,6,1,8
2022-09-28,14,2,0,8
2022-09-29,19,11,0,7
2022-09-30,32,7,1,12
2022-10-01,27,16,1,14
2022-10-02,20,6,0,8
2022-10-03,29,14,0,14
2022-10-04,23,8,0,17
2022-10-05,20,4,0,12
2022-10-06,27,10,0,13
2022-10-07,25,5,0,14
2022-10-08,31,10,1,17
2022-10-09,29,16,0,10
2022-10-10,29,11,1,20
2022-10-11,35,12,0,13
2022-10-12,17,7,0,5
2022-10-13,18,13,0,9
2022-10-14,18,4,0,9
2022-10-15,22,5,2,11
2022-10-16,27,10,0,14
2022-10-17,33,6,1,21
2022-10-18,28,5,0,17
2022-10-19,31,11,0,14
2022-10-20,27,9,0,14
2022-10-21,24,7,0,11
2022-10-22,28,10,0,14
2022-10-23,23,10,0,12
2022-10-24,26,13,0,9
2022-10-25,23,12,0,11
2022-10-26,17,8,0,8
2022-10-27,28,13,0,16
2022-10-28,24,9,0,13
2022-10-29,20,9,0,7
2022-10-30,17,6,0,6
2022-10-31,23,13,0,11
2022-11-01,35,18,0,12
2022-11-02,29,7,0,16
2022-11-03,20,6,0,12
2022-11-04,24,8,0,13
2022-11-05,22,5,0,10
2022-11-06,48,18,1,17
2022-11-07,31,13,0,16
2022-11-08,29,10,0,18
2022-11-09,35,11,0,16
2022-11-10,24,11,0,12
2022-11-11,32,14,0,15
2022-11-12,32,14,0,10
2022-11-13,42,20,0,20
2022-11-14,30,16,0,14
2022-11-15,29,9,1,20
2022-11-16,28,14,1,16
2022-11-17,30,11,0,14
2022-11-18,15,8,0,10
2022-11-19,18,5,0,12
2022-11-20,38,16,0,15
2022-11-21,24,14,0,10
2022-11-22,27,10,0,13
2022-11-23,23,10,1,8
2022-11-24,16,9,0,5
2022-11-25,25,9,2,11
2022-11-26,27,11,0,10
2022-11-27,31,13,0,17
2022-11-28,25,5,0,12
2022-11-29,17,15,1,8
2022-11-30,26,-49,0,6
2022-12-01,30,14,0,14
2022-12-02,33,18,1,11
2022-12-03,34,9,0,17
2022-12-04,32,16,1,14
2022-12-05,32,11,0,18
2022-12-06,18,4,0,10
2022-12-07,21,8,0,9
2022-12-08,22,10,0,10
2022-12-09,27,12,0,9
2022-12-10,20,1,0,14
2022-12-11,31,9,1,18
2022-12-12,29,10,0,14
2022-12-13,24,10,0,13
2022-12-14,21,8,0,9
2022-12-15,34,9,0,16
2022-12-16,31,12,0,12
2022-12-17,33,13,0,18
2022-12-18,43,17,0,17
2022-12-19,43,19,1,19
2022-12-20,42,16,0,22
2022-12-21,34,18,0,15
2022-12-22,26,10,1,13
2022-12-23,33,20,0,9
2022-12-24,24,10,0,13
2022-12-25,38,7,1,20
2022-12-26,54,18,0,32
2022-12-27,43,23,0,22
2022-12-28,52,13,0,20
2022-12-29,55,20,0,30
2022-12-30,66,22,0,38
2022-12-31,66,25,0,32
2023-01-01,133,39,0,58
2023-01-02,111,52,0,58
2023-01-03,90,42,0,41
2023-01-04,67,29,1,28
2023-01-05,64,22,3,37
2023-01-06,61,24,1,30
2023-01-07,61,25,1,26
2023-01-08,53,23,1,26
2023-01-09,56,11,0,27
2023-01-10,53,24,1,23
2023-01-11,39,20,0,23
2023-01-12,50,21,1,25
2023-01-13,57,11,0,33
2023-01-14,48,14,-1,30
2023-01-15,56,17,1,27
2023-01-16,40,19,0,20
2023-01-17,50,23,1,18
2023-01-18,52,24,1,21
2023-01-19,45,20,1,27
2023-01-20,35,20,3,19
2023-01-21,34,7,0,19
2023-01-22,41,14,0,15
2023-01-23,37,17,0,20
2023-01-24,53,22,0,22
2023-01-25,40,22,0,20
2023-01-26,43,18,0,17
2023-01-27,35,14,0,20
2023-01-28,41,15,0,15
2023-01-29,45,23,0,18
2023-01-30,45,14,0,18
2023-01-31,47,22,0,23
