Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
18111281,A Long Way Home,Cheri,"1,684",2239,4,"June 3, 2017","Sad, horrifying, wondrous, life affirming, heartbreaking and heartwarming.When Saroo’s father left his mother and their family for another woman, another family, they moved from the Hindu community / side of town to the Muslim side moving into a single room falling apart with a cowpat and mud floor and a small corner fireplace. What light there was came from candles. No electricity. Broken, unpaved streets outside throughout the poverty-stricken neighborhood. Kamla, Saroo’s mother, worked 6 days a week, morning until nightfall, hard physically grueling work, sometimes gone for days at a time. Still, it wasn’t enough, so Guddu, the oldest at ten, went to work, washing dishes for 6 hours for half a rupee. I don’t know what that was worth then, but now one rupee is equivalent to 1.6 cents, so less than a penny for 6 hours of washing dishes. Still, they ended up begging for scraps from neighbors, anyone. Still, there were moments that Saroo would look back on later with fondness: playing peek-a-boo with Shekila, his baby sister. Playing with his brothers, Guddu and Kallu.Guddu also tried extra jobs, selling items at the train station platform, but that created new problems with the law. ”I remember feeling hungry most of the time. There was no choice to the matter, hunger was simply a fact of life, like the searing heat and the constantly buzzing flies.”Looking up to his older brother, five year-old Saroo decides to go with Guddu one night. It would be years before Saroo would return. With only a vague idea of the name of the village he is from, and many miles in between, it’s amazing he ever found his way back. Five years old, I remember naps in school, a playground, an older brother and a brand new baby brother. I did have a long distance trip that year – to Disneyland, my father, my older brother and me, but Calcutta is nothing like Disneyland, everyone spoke my language and money was not something I was concerned with. I was more concerned that my father didn’t know how to do pigtails. All a far cry from a five year-old boy, in Calcutta, with no money, no family and no idea of where he is or how to find his way home.He tries. Over and over. And then, after a series of unfortunate circumstances followed by one fortunate one, Saroo ends up in an orphanage, and is “found” by one woman working there - Saroj Sood. She seeks to find his home going on the only words he associates with his home. Ginestlay. Berampur. His town. The train station. Neither name is recognized by anyone, and after months pass, he is declared “lost,” so that he is now available for adoption. A wonderful Australian couple are hoping he would like to come live with them, let them be his new family and live in Tasmania. Mrs. Sood asks Saroo if he thinks he would like to live with this family. This couple has lovingly put together a scrap book, photos of the plane to transport him to Australia, their home. His future in pictures.Saroo owes much of his open heart to Sue and John Brierley, a couple who were heaven sent. They opened their hearts a second time, a few years later, to adopt a brother for Saroo, a second son for them, named Mantash. Years go by, time passes and one day in 2004, Google purchases Brian McClendon’s company “Keyhole, Inc.”, and suddenly the world is at your fingertips. Google Earth. By this time, Saroo Brierley is a young man, and the internet as we know it is even younger, but there is a promise of something, just knowing it is out there and can be found. Consistent persistency with no results is emotionally draining. Exhausting. More time passes and the demand for instant everything brings faster speeds. Less time looking with better results. All this benefits Saroo in his search.From the first days after he came to live with his Mom and Dad, his new parents were extremely supportive and helpful. Photographs, maps were drawn of his vague memories as a five year-old, which she kept. In case he ever wanted to find these answers. What an amazing gift, and what an amazing gift he gives them in return.This book was originally titled “A Long Way Home: A Memoir,” and was reissued as “Lion” as a tie-in with the movie. Although he didn’t know this until his search was complete, Saroo’s given name was actually Sheru, which, in Hindu, means “Lion,” – and that became the name of the movie. An inspirational, true story, a life most of us can’t imagine – all this is the story of Saroo Brierley. ",239,102
18111281,A Long Way Home,Baba,"3,503",725,4,"June 28, 2021","It's India in the 1980s and Saroo, his siblings and his mum live in extreme poverty sharing a single room with only a single shelf as furniture; mum and older brother get work that pays very little, and the rest of the time the mother and kids have to beg, borrow or steal to survive. One night, on an adventure with his older brother, Saroo finds himself stuck on a train and travelling hundreds and hundreds of miles away from his home. With no resources, completely lost and alone, Saroo has to eke out some kind of living on the streets of Calcutta (now know as Kolkata)... oh... as I have yet to mention his age... he was five years old!The memoir follows Saroo's life of poverty at home, to living on the streets of Kolkata, through to his getting adopted, and then on to his search for his family as an adult. Overall it is an uplifting story that pays tribute to Saroo's luck as much as his competency; it also give a huge nod to the power of acts of kindness. The book was co-written by Larry Buttrose, which may explain that even though the narration is very personalised, it feels distant. 8 out of 12, for the story itself, maybe a lot less for the writing.",137,12
18111281,A Long Way Home,PattyMacDotComma,"1,365",784,5,"April 23, 2017","5★I remember hearing about this story when it ‘broke’ a few years ago, and then it surfaced again when Nicole Kidman starred in the movie LION, and the rest will, no doubt, be history.First, I have to say that although I already knew the bones of the story, as so many potential readers may, it only made the reading that much more enjoyable. Ghost-writer Larry Buttrose isn’t listed on the cover although he’s credited “with Larry Buttrose” inside.The Goodreads description is the first four introductory pages of the book. It is so long and thorough, you can get a good idea of what it sounds like. (Read that, if you haven't.) Saroo tells his own story, and I think Buttrose has captured his tone and feelings well. Saroo (he doesn’t know his last name) is five, gets lost in Calcutta (as Kolkata was then known), is eventually adopted by Aussies in Tasmania, and rediscovers his birth family using Google maps. Each step of his convoluted journey to Australia makes the outcome even more unbelievable. Just surviving was quite an achievementHis experience makes a wonderful, terrible, terrifying, exhilarating and ultimately satisfying adventure, but there are certainly dark undertones about the children loose on the streets in India. I can’t say they are “neglected”, because that makes it sound as if there’s a choice that they wouldn’t be.Saroo’s mother (dad left with a surprise second wife) works carrying stones on her head for construction sites, leaving 5-year-old Saroo at home to mind his even younger little sister while two older brothers beg and scavenge for food. It’s just the way it was (and is). They are always hungry and live in a shed with a cow-pat floor.Hindi was his native language, but typical of many small children in desperately poor areas of the world, he had very little vocabulary to work with when he was found. Many refugee children arrive in Australia with little language or smatterings of several but command of none.
  “Mum had always been fascinated by India and knew something about the conditions many people were living under there: in 1987 Australia’s population was 17 million, and that same year in India, around 14 million children under the age of ten died from illness or starvation. While obviously adopting one child was merely a drop in the ocean, it was something they could do. And it would make a huge difference to that one child. They chose India.”
His mum (as he always refers to Sue Brierley), had a violent childhood, but Dad, John Brierley, had a happy upbringing, which gave stability to the family. They were in complete agreement about what they wanted to do together.The story moves back and forth, quite naturally, from Saroo’s memories to his searches to today, and it’s amazing how much and how well he remembered. But it wasn’t by accident. He replayed everything he did and everywhere he went in his mind, so he wouldn’t forget. As soon as he woke up lost in Calcutta, he tried to replay his memories of accidentally falling asleep on a train so he might figure out where it came from. He hopped on every train he could find, but with no luck.Later, growing up in Tasmania, he continued to practice retracing everything in his mind, as a kind of meditation, from walking around his village, to crawling into hiding places (sewer pipes – yuck!), to escaping dogs, sexual predators, and organ collectors! The odds on his surviving intact were slim indeed. But he never forgot all the landmarks he’d committed to memory. At FIVE! As I said, knowing these details won’t affect the fun you’ll have reading his story and enjoying the many photos that accompany it. Unfortunately, the adoption process takes longer than it did in the 1980s, but he says it’s quicker if you don’t demand a certain age or gender. If any Aussies are interested: http://www.intercountryadoption.gov.au/I bet there’ll be a surge in demand as more people see the movie, LION, (the meaning of his name, Sheru, in Hindi). https://en.wikipedia.org/wiki/Lion_(2...The Wikipedia article about Larry Buttrose has a nice story about how he worked on the book. https://en.wikipedia.org/wiki/Larry_B...
  “His best known book is A Long Way Home, the Saroo Brierley memoir, which he ghost-wrote in 2012. He researched and wrote the book between September and December of that year, including research trips to Hobart to interview Saroo and his family, and a month-long journey to India with Saroo. There he met Saroo’s Indian family, and travelled with Saroo on a rail journey across India, retracing for the first time the journey that Saroo took two and a half decades before as a young child, that ended him in Calcutta (now Kolkata). Buttrose completed the book in his Kolkata hotel room, and emailed the manuscript to the publishers Penguin on the date of the deadline.” 
Terrific book, unbelievable story from an amazing memory, wonderfully told! (Oh, am I gushing?)",127,30
18111281,A Long Way Home,Kelly (and the Book Boar),"2,393",7247,2,"May 26, 2017","Find all of my reviews at: http://52bookminimum.blogspot.com/A Long Way Home will probably end up as a selection on all the lists featuring inspirational stories and here I go giving it a 2 Star. What can I say?????
  
The first sign that this probably wasn't going to be a great book is the fact that the blurb wasn't even a blurb, but rather the opening pages of the story. That should have served as my warning, but I was all about reading errrrrry book that went from “Read to Reel” and I didn’t even bother looking into this one at all before requesting it. Plus, the movie has received about eleventy Oscar nominations so it had to be decent, right? Wellllllllllllllllllllllll, the story was . . . . it was just terribly written and could have easily been an article in a Newsweek or Time type of publication rather than a nearly 300 page book. A Long Way Home is about a boy named Saroo, who at five years old becomes lost from his family and winds up on the other side of India. Not knowing his last name and only that he lived in a place that sounded something like “Berampur,” Saroo is labeled lost by the Indian government and winds up adopted by an Australian family. As an adult Saroo becomes a bit obsessed and uses Google maps to walk the various train tracks in hopes of spotting something familiar that will reconnect him with his past . . . . 
  
There you have it. It’s quite clear immediately that Saroo Brierley is no writer (and if I’m calling it out, you know it must be bad) and the fact that he was only five years old when he became lost meant hardly any details of his story were remembered. This could have been a much more comprehensive tale if it wasn’t so one-dimensional and used contributions from his families (in both Australia and India) as well as the juvenile detention facility and orphanage to help make it feel more complete. I have a feeling this is one of the rare occasions where the movie will surpass the book. I mean, just look at this child . . . . 
  
I hate kids and I even kind of want to kidnap that one.Book #9 (????? I’m starting to lose track) on the Library’s Winter Reading Challenge",62,48
18111281,A Long Way Home,Margitte,"1,142",485,5,"April 19, 2018","Few life stories involve such impossible odds, incredible love, and sheer determiniation as Saroo Brierley's. For several years after watching 'Slumdog Millionaire', my mind kept returning to these little boys and their heartbreaking story. When I started reading the book, after the title attracted me to it, I was unaware of Saroo Brierley's true story. After finishing the book I discovered that the movie ""Lion"" with Nicole Kidman in his Australian mother's role was made. I realized for the first time how big his story really became. He talked in the book of the press getting hold of it, but it never really dawned on me, or rather sunk in, how far and wide his amazing story traveled all over the world. And it is the most amazing story ever, of this five-year-old boy, born in extreme poverty in central India, who under calamitous and traumatic circumstances got lost at a train station and landed in an an orphanage, two thousand kilometers away from home, was adopted by Australian parents and decided 20 years later to find his family, even though he had the names of towns all wrong (almost right), and even pronounced his own name incorrectly. All through his life he always worried about his little sister who he took care of since he was four years old. He still felt responsible for her. And he was worried that his older brother, who at fourteen years old, was the head of the family with many responsibilities, was still looking for him, after Saroo was left at the train station that night to wait on his brother. He worried about his mother who had to work as a brick carrier on construction sites to make ends meet, and had nobody to take care of his little sister. With the help of Google Earth, it took him 4 years, but he never gave up. Mentally, I was so involved in his search, I even marked his memories on sticky notes to help him search. Total madness, I know, since he wrote the book after the fact. But I just burst out in tears when he found the water tower at the train station where he got separated from his older brother one night so many years ago. In my mind I told him: ""Oh Saroo, let's go! Let's go! I feel it in my bones your mum is there!"" Given the fact that he went through hundreds of towns and villages connected to railways and just could not find the right one. During the day he worked in his adoptive father's business, and at night he spent hours on Google Earth. In a country with almost 2 billion citizens, it was a daunting undertaking. Oy! Of course he did not really need me. :-)))The title of this memoir is perfect. It was not only a journey of thousands of kilometers home, but also an emotional road through terrible memories and gut-wrenching losses. I could just imagine his biological mother's joy when he stood in front of her after twenty five years. Well, yours truly cried like a baby.I haven't seen the movie, but the book was an emotional journey with a young five-year-old boy, who became a gentle giant with a mission in life. It was perfectly written. And they all lived happily ever after, and so did I. There are several videos and interviews available on Youtube which I still must watch. Can't wait.It is not a story that you will easily forget. It's a miracle, really. I loved the tone of the book. The innocence of the little boy is so well portrayed and brings a charm to the book, which makes it authentic. It's really well-written.",56,33
18111281,A Long Way Home,Debbie,683,425,4,"February 28, 2021","After recently watching the movie Lion for the 4th time (and crying my eyes out each time), I decided right then that it was time to pull the book off my shelf and read it!Previously published as A Long Way Home, the book gives greater insights into Saroo's journey, both physical and emotional, than the movie could, given its time constraints. I learned more about Saroo: his birth and adoptive parents' backgrounds (including his birth father), his blood siblings (he has another older brother!), Mantosh, his adoptive brother's story, his first days in Kolkata, his life in Tasmania, his trips back to India, and of his memories in greater detail. I could feel Saroo's fears, frustrations, despair, excitement and joy throughout the story. Even though I knew the outcome of Saroo's story, I would still get goosebumps whenever he made a major discovery.The inclusion of 16 pages of captioned black and white photos, as well as a 2-page spread of a map of India titled ""My Journey Across India"", which indicates two possible routes Saroo may have took to Kolkata, added much-appreciated information to his story.I do have to admit that although the book was a little more informative than the movie, it didn't stir as much emotion in me as the movie did. Overall, I recommend this heartwarming story about survival, perseverance, luck, hope and love.",55,29
18111281,A Long Way Home,Sharon,946,182,5,"June 23, 2014","At the age of five, Saroo an Indian boy becomes lost after after being separated from his brother. After traveling on a train for quite some time, Saroo ends up in Calcutta. Saroo is not only frightened and alone, but he is also faced with having to scavenge and beg for food for his survival. He has no idea of his surname or the village he comes from which make it extremely difficult to find his way back home. Life is looking very bleak for, Saroo and he worries if he'll ever see his family again.After being in an orphanage for some time, Saroo's life takes a turn for the better after being adopted by an Australian couple who take him to live in his new home in Hobart, Tasmania. His adoptive parents are wonderful and loving people who do all they can to make Saroo feel at home. Even though Saroo has settled in very well with his adoptive parents he still thinks about he's family back in India. Will Saroo ever see his family again?What a remarkable story about never giving up. This was an inspiring and heartwarming story that I thoroughly enjoyed. I have no hesitation in HIGHLY recommending this book. ",48,8
18111281,A Long Way Home,Lucy,393,66,5,"October 20, 2021","This is a heartbreaking and uplifting story about a lost boy who grew up to have two families. In an honest and open way, Brierley recounts his experience as the lost 5-year old who grew up to find a second family and unexpected fame.This is a story that truly speaks to the resilience and good of humankind. The people who helped him along the way are remarkable. From the his days as a lost boy in the dangerous streets of India to his established life in Australia, Brierley's journey has been an unimaginable experience. Truly unforgettable.I’m now looking forward to watching the movie Lion, which is based on this story. ",47,22
18111281,A Long Way Home,Jennifer,"1,721",6661,3,"January 7, 2017","A Long Way Home is Saroo Brierley's personal account of finding himself tragically lost from his family at the young age of 5 years old. His journey back to his birth mother 25 years later is a truly amazing story. The fact that he survived before (and after) being discovered as homeless is a miracle in itself. Despite my thoughts about the astonishing facts, I have mixed feelings about this reading experience. In my perspective, this memoir was very to-the-point and caused it to feel disappointingly one-dimensional. A little help with the writing and overall storytelling could have added personality and allowed this piece of nonfiction to pull at the heartstrings and keep the reader on the edge of suspense, because when you think about Saroo's experiences, those emotions are within reach. I plan to watch the film adaptation: Lion and have no doubt it will more than make up for my lack of connection to the book. Regardless, A Long Way Home is a story to be heard and I don't regret reading it.My favorite quote:""Today there are perhaps a hundred thousand homeless kids in Kolkata, and a good many of them die before they reach adulthood ... No one knows how many Indian children have been trafficked into the sex trade, or slavery, or even for organs, but all these trades are thriving, with too few officials and too many kids.""",44,12
18111281,A Long Way Home,Laura,60,33,5,"August 17, 2022","Lion: A Long Way Home is the memoir of Saroo Brierley. When Brierley was five years old in India, he was separated from his brother and was not able to find his way back to his family. I enjoyed learning about the author’s life, from his childhood in poverty, having to survive on the streets, living in institutions, being adopted abroad, and ultimately, finding his way back to his birth family.I really appreciated Brierley’s discussions about his relationships with his adoptive family and his birth family. I feel like some books featuring adoption end up being either pro- or anti-adoption, but Brierley has made room in his life for both families. The author includes photographs in the book as well, which I always love. This is an inspiring story I liked reading from start to finish. ",43,6
