Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
35404398,A River in Darkness One Mans Escape from North Korea,Emily May,"1,921",29000,4,"November 29, 2018","
  Serfdom is freedom. Repression is liberation. A police state is a democratic republic. And we were “the masters of our own destiny.” And if we begged to differ, we were dead.
This is one powerful little memoir. It's a true story that sounds like dystopian fiction - for most of us, it is difficult to imagine families being lured to a new ""paradise"", only to be met with famine, concentration camps and violence. It's hard to accept that this is still part of our world.I, like many, am fascinated and horrified by North Korea. Recent news stories have only fuelled that particular fire of fascination. I've read fiction about the history of Korea in books such as Pachinko, which showed many Koreans migrating to Japan during colonization and being seen as second class citizens. Then, later, when their home country was split in two, many were unable to return. I have also read Nothing to Envy: Ordinary Lives in North Korea, which documents a variety of different experiences from defectors.A River in Darkness complements both those books and adds something very unique - a detailed first person account of what it was and is really like to live in this secretive nation.Ishikawa was born in Japan but his Korean father was seduced by promises of ""paradise"" and having ""everything you need"" in North Korea. The Red Cross shipped Japanese families to North Korea; something which the Japanese government and the UN were all too aware of and made no effort to prevent. So Ishikawa's family packed up and got on the boat. They arrived in a wasteland of horrors and were given a shack to live in with no electricity or running water.For over thirty years, Ishikawa and his family suffered and starved. No one dared to speak out against the system, and it would have done no good if they did. As Japanese nationals, they were labelled as ""hostiles"", which meant they were given the worst jobs and worst homes. Ishikawa lost loved ones, his freedom, and most of his life to North Korea.It is a deeply sad memoir and even the ending brings little relief. Ishikawa admits that he can feel nothing but bitterness. It's a dark, haunting, and eye-opening look into one of the greatest atrocities of our time.Blog | Facebook | Twitter | Instagram | Youtube",500,19
35404398,A River in Darkness One Mans Escape from North Korea,Lo,243,33,5,"December 9, 2017","The short version: This is easily the best firsthand narrative about life in North Korea that I've found, and it's a gripping, well-written story in its own right. If you haven't read anything like this, it will be VERY educational. But be aware that it doesn't have the happy ending the title implies, and prepare yourself accordingly. The long version: Some years ago, I realized that my view of North Korea was overly cartoonish. I didn't want to think of it as ""the most hilarious awful dictatorship"" anymore, so I started reading about it. There's an awful lot of political and economic posturing and maneuvering to read about, and tons of analysis about the leaders and the military, but what about the actual people who live there? What are their lives like? Turns out that it's pretty hard to find out. The fact that regular citizens, especially the non-elite, are essentially hostages makes it hard to get information. I found and really enjoyed Nothing to Envy: Ordinary Lives in North Korea, a collection of stories from former North Koreans living in exile. That's interesting in that the stories come from a variety of people who came from different backgrounds in North Korea, but this book is a much more in-depth picture of a single life, and has better narrative flow. The prose is spare and impressively clear, and the book is quite short. Ishikawa was born in Japan and moved as part of a mass migration program that essentially tricked huge numbers of Koreans to ""return"" from Japan to North Korea, facilitated by the Red Cross. Many had never even been to North Korea, and empty promises of opportunity were repeated for years. This program, and the subsequent ill treatment of the Japanese ""returnees"" by the ""native"" Koreans was eye-opening to discover. Because of this aspect, the story manages to be even more grim than other stories I've read, which is really saying something. Just the first few pages, while he's still a child in Japan, were enough to fill an entire teary daytime talk show. And while life after escaping is never easy for the fortunate Koreans who make it out alive, the poor guy has a worse outcome than any I've heard before. The horrors in the lives depicted are many, from the extreme to the mundane - starvation, long propaganda meetings, being denied opportunity due to circumstances of your birth, facing inadequate shelter, and that's all before the 90s famine. But the greatest horror is revealed gradually across many small moments: to survive people must lose their humanity, stop seeing each other as people, no longer caring if their neighbors live or die. Then the government uses the citizens as the most effective tool to oppress themselves by turning them against each other, encouraging and rewarding reporting your own family for defying the regime. The most common lament I've read (across all accounts) about the famine was, ""the kind people were the first to die."" As much as I found myself deeply appreciating eating dinner after reading this, I was even more moved by the love and support of my friends and family, savoring the marvelous experience of not having to fear for their lives every day. I would recommend that everyone read this, and probably try to convince them given the opportunity, because there's a lot more to North Korea than nuclear weapons. If more people knew what life there is like, it would undoubtedly help -- it's pretty hard not to care in the face of this insanity. But I wouldn't force this on anyone, because it really is a difficult read twice over. First, while you're reading, the events in the story are brutal. It's hard to watch an incredibly resilient protagonist be defeated again and again. Then after you're done with the book, it's depressing to watch the world let this situation continue because it's too much trouble to address. The political and economic arguments seem even more unsatisfactory. On the other hand, it's not all bad. Nothing has ever made me appreciate my life like reading this. Every time Ishikawa's story pops into my mind, and it's hard to forget, I feel a huge wave of gratitude in addition to the sadness and compassion.So read it, but please be ready.",206,26
35404398,A River in Darkness One Mans Escape from North Korea,Mischenko,"1,012",97,5,"February 25, 2021","A River in Darkness is an incredibly disturbing true story about a man’s life in North Korea after being forced to move from Japan around the age of 13. The life that was expected becomes something totally different, and by then it’s too late to get out. This was so hard to read at times, but I just couldn’t put it down. I had so many feelings—mainly helplessness and a complete loss of hope for this family. It just seemed to get worse and worse. I truly cannot imagine living like this. I’d love to talk more about this book, but more would be completely spoiling it. This book was finished in one sitting. I highly recommend this for those with interest, and this would be great reading for high schoolers.",129,16
35404398,A River in Darkness One Mans Escape from North Korea,J.L.   Sutton,651,824,4,"January 26, 2022","“You don't choose to be born. You just are. And your birth is your destiny, some say. I say the hell with that...Sometimes in life, you have to grab your so-called destiny by the throat and wring its neck.”Masaji Ishikawa's harrowing memoir, A River of Darkness: One Man's Escape from North Korea, is astounding! I recently read Suki Kim's Without You: There is No Us: Undercover Among the Sons of North Korea's Elite. I really liked Suki Kim's work and thought there were great insights on the mindset of North Koreans. A River of Darkness has remarkable insights on North Korea as well, but it is completely different. Ishikawa focuses on average North Koreans along with the extreme privation of most of the population. He also focuses on a group of people who immigrated from Japan known as returnees. This book is recommended for those who are interested in knowing more about this very isolated country!",110,9
35404398,A River in Darkness One Mans Escape from North Korea,Diane S ☔,"4,686",1400,4,"October 5, 2019","A simply told, but harrowing take of one mans anguish and desperation, living in North Korea. We find how how he came to live there and the toll it took on his family, then and in the future. It is beyond a horrible existence for those who have no status, live on the fringes of the country, forced to work in whatever job is given. Work for food, but even that little bit of substinance is not provided. Starting, living in hovels, at the mercy of whoever is in authority, anyone with a status that is higher than you. What the eat is barely enough to substain life, and for many it didn't. I was surprised any managed to live.His story, which is the story of many living there, highlights how little the regime they must give constant thanks to, cares about its people. Although he says all are not brainwashed, many living there know no difference. He also says, and I hope it's true, that those who are not brainwashed, though who are tired of barely surviving, will someday rise up and end the dictatiors hold on this country.He escapes, has no choice, but even that has lasting effects. I can't believe that all other civilized countries has let North Korea get away with the way they treat their people and not interfere. There is just so much injustice in this world, it can be overwhelming.",85,12
35404398,A River in Darkness One Mans Escape from North Korea,Beverly,773,266,4,"April 24, 2019","The first and only book I've read about the brutal life of North Koreans, A River in Darkness is a sad, sad tale. What this poor man went through is beyond belief. Poverty in the United States while bad, is nothing like poverty in North Korea. The worse thing about his story, is while he was able to escape and eventually moved to Japan, since he was Japanese, his children and wife, still lived there and he was unable to rescue them. Some of them ended up dying of starvation and he had to stand by, helpless.",60,8
35404398,A River in Darkness One Mans Escape from North Korea,Chrissie,"2,647",1486,4,"June 3, 2018","I liked A River in Darkness: One Man's Escape from North Korea a lot. It is a personally told story. The author is speaking from his heart of what he has experienced—first ostracism in Japan due to his dual Japanese and Korean background, then the horror of the thirty-six years of his life spent in North Korea from 1960-1996 under the rule of Kim Il Sung and then Kim Jong Il, why he had to flee, how he did it and finally what happened when he returned to Japan. During his youth in Japan, where he was born in1947, he was discriminated against because of his Korean background. Emigrating to North Korea at the age of thirteen, he was again discriminated against, now because of his Japanese background. His mother was Japanese, his father South Korean. He has lived a very difficult life as a second-class citizen without a country to call home. Successfully escaping from North Korea in 1996, perhaps this looks like a story with a happy ending. It isn’t. This man’s life is noteworthy. His life story needed to be published. It is a memoir written not for him but for us. The book was first published in 2000, but only now has it drawn attention, twenty-two years after fleeing North Korea. The Japanese government helped Ishikawa escape, but his escape was hushed up and he was not to tell anyone. Relations between Japan and China would otherwise have been strained. Back in Japan, he was no longer on the verge of death from starvation, but he was a-g-a-i-n without job, family or friends. He escaped for the sole purpose of rescuing his family, and this he has not been able to do. The dire situation existing in North Korea is today common knowledge. The Korean leaders are faulted, as they should be, but the complicity of Japan, China, the UN, the Red Cross and other world authorities should be acknowledged too. The events in Ishikawa’s life show this. It took me awhile to get caught up in the story. I approached the book from the wrong direction. I was looking for an impersonal presentation of clear facts, and it took me a while to understand what this book offers instead. I questioned some of the information laid at my feet. I found holes in what I was given. I would ask myself why did that happen and why did that person do that?! For example, it is hard to understand why Ishikawa’s mother married his father. Neither are we given a full explanation of how and why his father ended up in Japan. This is not a book written by an impartial third party, nor a book offering a thorough presentation of documented facts and research. The author does not have full information; he is telling us what he does know, and he is telling it as if you were sitting across the table from him. He is just talking, not in fancy words, not peppered with proof or statistics. He speaks in simple words, telling how, step by step, his life unfolded, how one event lead to another and another and how it has felt to live through these events! He swears. Yes, he complains. He isn’t stoical, but I came to completely understand his anger, his disappointment and his frustration. This is an engaging personal story. We need stories such as this.We are not told how the author came to write this book nor what he is doing today.I listened to the audiobook narrated by Brian Nishii. I have given the narration four stars. It felt as though the author was speaking to me directly. It felt as though there was nobody in between me and the author. I felt his exhaustion, his anger, his fear and his frustration. There is a need for both non-fiction books that are well researched, without bias and provide an all-inclusive presentation of facts as well as those that have a more personal angle. It is the latter that we have here. This book shows us how it is to live through the events we hear of on the news. There, we are distanced from the facts. Here, events are brought up close, so we understand them on an emotional level.
  Highly recommended reading
:*A River in Darkness: One Man's Escape from North Korea 4 stars*Nothing to Envy: Ordinary Lives in North Korea 4 stars*The Great Leader and the Fighter Pilot: The True Story of the Tyrant Who Created North Korea and The Young Lieutenant Who Stole His Way to Freedom 4 starsEach gives a different perspective.
  More books on North and South Korea
: https://www.goodreads.com/review/list...",58,25
35404398,A River in Darkness One Mans Escape from North Korea,Debra ,"2,125",34900,4,"July 27, 2021","It is absolutely heartbreaking to know that this book is one man's true story of living in and escaping from North Korea. Horrible to know that these things happen. in today’s world this is still occurring in North Korea. Masaji Ishikawa is half-Japanese, half-Korean. He never felt like he belonged anywhere. He never felt accepted. He spent his early years in Japan, but his family moved to North Korea when he was thirteen years old. His father, a Korean national, believed there was abundant work waiting there for him. The promise of education for his children and having a higher social standing was also enticing. Once they arrived, the family became members of the lowest social caste. n Masaji's Japanese mother began to wither. She had a sad existence. Her husband was physically abusive, and she was an outsider in Korea.Life was brutal in North Korea. Existence there was devastating, harsh and heartbreaking. It is a brutal and horrific life and Masaji details his existence, his jobs, family life, health issues and his decision to escape. Not an easy read but I feel a necessary one. It is gut wrenching to think about the conditions people live in. A country where you must escape because you can't willingly leave. Hard to read at times, this also shows the will to survive, the will to make a better life and the resiliency of a man who was willing to risk all in search of a better life.",58,20
35404398,A River in Darkness One Mans Escape from North Korea,Sara,"1,032",348,4,"December 6, 2019","It's been a while since I read anything in one sitting, but this was utterly heartbreaking and compelling. Masaji Ishikawa and his family moved to North Korea during the great migration of Japanese/Korean immigrants to the communist state in the 1960s. Promises of a paradise and jobs for all duped many a family at the time, but the reality was far from what was expected. This is by far one of the best first hand accounts I've read of life in North Korea, and in some respects it completely overwhelmed me. The outpouring of grief, bitter regret and disappointment Masaji feels for himself and his family is palpable on every page. It's his passion to tell his story, and shame both the Korean and Japanese governments for their failings, that make this so readable - but never enjoyable. It follows Masaji from that fateful journey across the sea to North Korea, to his life as a tractor driver and endless search for a happy life with his growing family, to the famine of the late 1980s and early 90s which ultimately leads to his desperate escape. The desperation of a whole nation is described so eloquently here, it's hard to read at times. But it should be read. The cruelty of human nature is all too evident, and shouldn't be ignored. I admire Masaji Ishikawa for the courage it must have taken to recall his past, and defy a nation in doing so. I can only hope that by doing so he's finally found some peace.",52,N/A
35404398,A River in Darkness One Mans Escape from North Korea,Maxwell,"1,089",7946,4,"March 11, 2021","A devastating account of one man's life in North Korea. This also has the added element of examining North Korean life from the perspective of someone who is half-Japanese, half-Korean. A good companion piece of  Pachinko and  In Order to Live.",49,N/A
