Title,URL
Educated,https://www.goodreads.com/book/show/35133922-educated
The Glass Castle,https://www.goodreads.com/book/show/7445.The_Glass_Castle
Becoming,https://www.goodreads.com/book/show/38746485-becoming
Born a Crime: Stories From a South African Childhood,https://www.goodreads.com/book/show/29780253-born-a-crime
Wild: From Lost to Found on the Pacific Crest Trail,https://www.goodreads.com/book/show/12262741-wild
Bossypants,https://www.goodreads.com/book/show/9418327-bossypants
When Breath Becomes Air,https://www.goodreads.com/book/show/25899336-when-breath-becomes-air
The Diary of a Young Girl,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
"Night  (The Night Trilogy, #1)",https://www.goodreads.com/book/show/1617.Night
Yes Please,https://www.goodreads.com/book/show/20910157-yes-please
"Eat, Pray, Love",https://www.goodreads.com/book/show/19501.Eat_Pray_Love
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,https://www.goodreads.com/book/show/27161156-hillbilly-elegy
Crying in H Mart,https://www.goodreads.com/book/show/54814676-crying-in-h-mart
I'm Glad My Mom Died,https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died
Is Everyone Hanging Out Without Me? (And Other Concerns),https://www.goodreads.com/book/show/10335308-is-everyone-hanging-out-without-me
The Year of Magical Thinking,https://www.goodreads.com/book/show/7815.The_Year_of_Magical_Thinking
"Angela's Ashes (Frank McCourt, #1)",https://www.goodreads.com/book/show/252577.Angela_s_Ashes
Hunger: A Memoir of (My) Body,https://www.goodreads.com/book/show/26074156-hunger
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",https://www.goodreads.com/book/show/13214.I_Know_Why_the_Caged_Bird_Sings
Between the World and Me,https://www.goodreads.com/book/show/25489625-between-the-world-and-me
Know My Name,https://www.goodreads.com/book/show/50196744-know-my-name
Me Talk Pretty One Day,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day
Running with Scissors,https://www.goodreads.com/book/show/242006.Running_with_Scissors
Fun Home: A Family Tragicomic,https://www.goodreads.com/book/show/26135825-fun-home
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,https://www.goodreads.com/book/show/17851885-i-am-malala
In the Dream House,https://www.goodreads.com/book/show/43317482-in-the-dream-house
Let's Pretend This Never Happened: A Mostly True Memoir,https://www.goodreads.com/book/show/12868761-let-s-pretend-this-never-happened
Brain on Fire: My Month of Madness,https://www.goodreads.com/book/show/63221207-brain-on-fire
Just Kids,https://www.goodreads.com/book/show/341879.Just_Kids
Kitchen Confidential: Adventures in the Culinary Underbelly,https://www.goodreads.com/book/show/33313.Kitchen_Confidential
Orange Is the New Black,https://www.goodreads.com/book/show/6314763-orange-is-the-new-black
On Writing: A Memoir of the Craft,https://www.goodreads.com/book/show/10569.On_Writing
Furiously Happy: A Funny Book About Horrible Things,https://www.goodreads.com/book/show/23848559-furiously-happy
Untamed,https://www.goodreads.com/book/show/52129515-untamed
A Promised Land,https://www.goodreads.com/book/show/55361205-a-promised-land
Why Not Me?,https://www.goodreads.com/book/show/30268522-why-not-me
