date,added,ratings,reviews,to-read
2022-08-16,1,3,0,0
2022-08-17,3,3,1,0
2022-08-18,3,1,0,2
2022-08-19,0,0,0,0
2022-08-20,3,2,1,1
2022-08-21,1,2,1,1
2022-08-22,4,1,0,2
2022-08-23,4,0,0,2
2022-08-24,4,1,0,3
2022-08-25,5,-5,0,4
2022-08-26,4,1,0,0
2022-08-27,5,3,1,3
2022-08-28,3,1,0,3
2022-08-29,3,2,1,2
2022-08-30,7,1,1,4
2022-08-31,3,6,1,1
2022-09-01,1,1,0,1
2022-09-02,7,1,0,3
2022-09-03,4,1,0,3
2022-09-04,2,2,1,1
2022-09-05,1,1,0,1
2022-09-06,3,4,0,0
2022-09-07,5,-1,0,3
2022-09-08,3,1,0,0
2022-09-09,2,1,0,1
2022-09-10,5,0,1,4
2022-09-11,5,1,0,3
2022-09-12,3,0,0,2
2022-09-13,7,2,0,2
2022-09-14,3,1,0,1
2022-09-15,2,3,1,2
2022-09-16,2,1,0,0
2022-09-17,0,0,0,0
2022-09-18,2,2,0,1
2022-09-19,2,2,0,0
2022-09-20,5,1,0,2
2022-09-21,4,3,0,1
2022-09-22,4,4,0,1
2022-09-23,7,-10,0,1
2022-09-24,4,4,0,2
2022-09-25,4,1,1,3
2022-09-26,4,-9,0,0
2022-09-27,3,-21,2,0
2022-09-28,3,-17,0,0
2022-09-29,2,-29,1,2
2022-09-30,2,-1,0,2
2022-10-01,2,1,1,2
2022-10-02,2,0,0,2
2022-10-03,5,2,1,1
2022-10-04,4,2,0,1
2022-10-05,4,2,0,2
2022-10-06,8,1,0,3
2022-10-07,9,2,0,4
2022-10-08,5,4,0,2
2022-10-09,6,2,0,5
2022-10-10,3,0,0,0
2022-10-11,4,4,0,2
2022-10-12,5,2,1,1
2022-10-13,6,0,0,3
2022-10-14,7,3,0,1
2022-10-15,4,1,0,1
2022-10-16,4,-2,0,2
2022-10-17,5,2,0,2
2022-10-18,3,1,0,1
2022-10-19,5,0,0,2
2022-10-20,2,1,0,1
2022-10-21,4,2,0,2
2022-10-22,6,0,1,3
2022-10-23,5,0,0,2
2022-10-24,7,1,0,4
2022-10-25,4,-7,0,1
2022-10-26,8,1,0,3
2022-10-27,3,2,0,1
2022-10-28,3,1,0,3
2022-10-29,4,2,0,1
2022-10-30,5,-1,0,2
2022-10-31,4,-7,0,0
2022-11-01,6,2,0,4
2022-11-02,5,3,0,3
2022-11-03,6,0,0,3
2022-11-04,2,3,0,0
2022-11-05,5,2,0,0
2022-11-06,7,3,0,3
2022-11-07,7,2,1,2
2022-11-08,3,-3,0,2
2022-11-09,1,0,0,1
2022-11-10,1,-1,0,1
2022-11-11,4,1,0,3
2022-11-12,3,4,1,1
2022-11-13,2,2,0,0
2022-11-14,4,3,1,2
2022-11-15,2,1,0,1
2022-11-16,3,2,0,1
2022-11-17,3,2,0,2
2022-11-18,6,-1,0,3
2022-11-19,6,1,0,1
2022-11-20,4,1,0,4
2022-11-21,1,0,0,0
2022-11-22,1,1,0,1
2022-11-23,4,2,1,2
2022-11-24,4,1,0,3
2022-11-25,4,1,0,2
2022-11-26,5,5,1,1
2022-11-27,5,1,0,1
2022-11-28,3,3,0,0
2022-11-29,2,2,0,0
2022-11-30,1,1,0,1
2022-12-01,3,0,0,2
2022-12-02,6,1,0,3
2022-12-03,4,0,0,2
2022-12-04,2,1,0,1
2022-12-05,2,-1,0,0
2022-12-06,4,1,0,2
2022-12-07,2,1,0,2
2022-12-08,2,0,0,1
2022-12-09,3,-1,0,1
2022-12-10,3,2,2,1
2022-12-11,6,1,0,2
2022-12-12,3,-1,0,1
2022-12-13,2,2,0,1
2022-12-14,4,0,0,3
2022-12-15,3,1,0,0
2022-12-16,3,3,1,2
2022-12-17,4,-1,0,2
2022-12-18,3,3,2,1
2022-12-19,0,-1,0,0
2022-12-20,3,0,0,2
2022-12-21,1,2,1,0
2022-12-22,4,5,3,0
2022-12-23,1,0,0,1
2022-12-24,2,1,0,0
2022-12-25,3,2,0,1
2022-12-26,8,3,0,5
2022-12-27,5,3,0,2
2022-12-28,13,4,0,5
2022-12-29,7,3,0,3
2022-12-30,11,2,1,4
2022-12-31,11,4,0,5
2023-01-01,14,2,0,7
2023-01-02,9,1,0,2
2023-01-03,14,4,0,8
2023-01-04,9,2,0,3
2023-01-05,1,3,0,0
2023-01-06,6,3,0,3
2023-01-07,6,0,0,3
2023-01-08,10,1,0,6
2023-01-09,5,1,0,2
2023-01-10,3,1,0,1
2023-01-11,4,1,0,2
2023-01-12,13,-12,0,5
2023-01-13,7,-23,0,2
2023-01-14,9,5,1,4
2023-01-15,8,1,1,1
2023-01-16,11,3,1,1
2023-01-17,7,3,0,4
2023-01-18,8,1,0,4
2023-01-19,6,2,1,4
2023-01-20,4,3,0,2
2023-01-21,4,1,0,1
2023-01-22,4,3,1,0
2023-01-23,14,6,1,4
2023-01-24,3,4,0,0
2023-01-25,8,3,1,2
2023-01-26,6,2,0,3
2023-01-27,5,1,0,3
2023-01-28,8,1,0,1
2023-01-29,4,2,0,2
2023-01-30,2,0,0,2
2023-01-31,5,2,0,3
