date,added,ratings,reviews,to-read
2022-08-16,39,14,1,23
2022-08-17,29,6,0,17
2022-08-18,28,12,0,10
2022-08-19,30,6,0,18
2022-08-20,41,7,0,14
2022-08-21,28,4,1,14
2022-08-22,39,12,1,13
2022-08-23,30,12,2,15
2022-08-24,44,7,0,17
2022-08-25,40,0,0,22
2022-08-26,29,10,0,14
2022-08-27,34,4,0,16
2022-08-28,43,1,1,15
2022-08-29,26,-51,2,13
2022-08-30,35,13,1,14
2022-08-31,25,2,0,8
2022-09-01,20,6,-1,10
2022-09-02,29,5,3,12
2022-09-03,30,15,0,11
2022-09-04,39,15,0,15
2022-09-05,49,23,3,13
2022-09-06,47,-19,0,18
2022-09-07,47,14,1,16
2022-09-08,29,10,0,13
2022-09-09,15,11,2,4
2022-09-10,26,2,0,11
2022-09-11,36,5,1,15
2022-09-12,29,5,0,12
2022-09-13,31,13,0,15
2022-09-14,24,-7,0,13
2022-09-15,36,7,2,20
2022-09-16,28,18,1,6
2022-09-17,29,10,0,18
2022-09-18,46,12,2,24
2022-09-19,34,17,1,9
2022-09-20,32,16,0,12
2022-09-21,36,19,0,14
2022-09-22,36,18,0,10
2022-09-23,38,-45,-1,11
2022-09-24,41,24,0,13
2022-09-25,27,19,0,9
2022-09-26,34,-23,0,10
2022-09-27,29,-77,1,11
2022-09-28,40,-104,0,12
2022-09-29,27,-107,2,14
2022-09-30,24,4,1,13
2022-10-01,31,5,0,17
2022-10-02,30,-58,0,15
2022-10-03,25,-33,0,13
2022-10-04,29,14,1,10
2022-10-05,26,5,1,14
2022-10-06,14,-2,0,10
2022-10-07,34,8,0,16
2022-10-08,24,8,1,12
2022-10-09,27,-32,1,13
2022-10-10,30,2,0,14
2022-10-11,36,-7,1,16
2022-10-12,33,-47,1,16
2022-10-13,27,6,0,14
2022-10-14,24,-105,0,9
2022-10-15,27,3,0,8
2022-10-16,37,-124,0,19
2022-10-17,32,-95,1,12
2022-10-18,26,-27,1,12
2022-10-19,36,5,0,20
2022-10-20,23,4,1,12
2022-10-21,29,-9,0,15
2022-10-22,23,-19,1,12
2022-10-23,30,-160,0,17
2022-10-24,23,-129,-1,8
2022-10-25,27,-73,0,13
2022-10-26,19,9,0,9
2022-10-27,31,7,0,11
2022-10-28,21,7,0,10
2022-10-29,25,10,0,11
2022-10-30,31,0,0,10
2022-10-31,23,-35,0,8
2022-11-01,27,3,1,17
2022-11-02,22,2,0,11
2022-11-03,27,-29,0,16
2022-11-04,25,7,1,11
2022-11-05,14,2,1,9
2022-11-06,26,5,0,13
2022-11-07,20,2,0,11
2022-11-08,19,1,0,10
2022-11-09,20,4,1,12
2022-11-10,22,9,0,7
2022-11-11,20,9,1,8
2022-11-12,27,7,1,11
2022-11-13,32,7,0,19
2022-11-14,26,5,1,10
2022-11-15,22,2,0,10
2022-11-16,23,7,0,15
2022-11-17,22,6,0,10
2022-11-18,22,4,2,12
2022-11-19,25,8,0,13
2022-11-20,28,4,0,13
2022-11-21,29,14,0,18
2022-11-22,36,8,1,16
2022-11-23,28,11,1,14
2022-11-24,25,5,1,13
2022-11-25,35,9,2,23
2022-11-26,33,5,0,18
2022-11-27,47,12,2,15
2022-11-28,22,6,0,9
2022-11-29,37,10,1,16
2022-11-30,29,10,1,11
2022-12-01,23,7,0,8
2022-12-02,22,9,0,7
2022-12-03,24,5,0,8
2022-12-04,41,0,1,22
2022-12-05,34,11,2,13
2022-12-06,28,5,1,14
2022-12-07,30,8,0,16
2022-12-08,17,8,0,9
2022-12-09,32,6,1,11
2022-12-10,23,7,0,9
2022-12-11,32,4,0,18
2022-12-12,31,6,1,16
2022-12-13,28,6,1,11
2022-12-14,25,6,2,9
2022-12-15,27,12,-1,13
2022-12-16,21,9,0,6
2022-12-17,23,4,1,9
2022-12-18,31,3,1,15
2022-12-19,25,3,2,16
2022-12-20,26,4,0,15
2022-12-21,30,7,0,12
2022-12-22,32,10,0,13
2022-12-23,44,9,0,14
2022-12-24,31,10,0,17
2022-12-25,44,11,1,21
2022-12-26,46,7,0,22
2022-12-27,48,9,1,16
2022-12-28,47,15,1,19
2022-12-29,37,11,1,16
2022-12-30,57,11,2,29
2022-12-31,49,10,0,19
2023-01-01,90,7,0,42
2023-01-02,115,33,0,50
2023-01-03,68,29,0,29
2023-01-04,68,17,-1,29
2023-01-05,75,16,2,32
2023-01-06,52,17,0,21
2023-01-07,59,12,0,27
2023-01-08,59,22,0,20
2023-01-09,40,15,0,19
2023-01-10,40,3,0,23
2023-01-11,41,10,-1,17
2023-01-12,66,-98,1,37
2023-01-13,38,-103,1,22
2023-01-14,48,15,1,19
2023-01-15,61,17,0,25
2023-01-16,54,17,1,28
2023-01-17,50,11,1,24
2023-01-18,41,7,1,15
2023-01-19,28,8,2,16
2023-01-20,31,8,1,17
2023-01-21,92,11,0,60
2023-01-22,45,15,1,17
2023-01-23,36,9,2,17
2023-01-24,50,7,1,19
2023-01-25,41,19,0,15
2023-01-26,38,5,1,23
2023-01-27,28,4,1,16
2023-01-28,45,12,0,20
2023-01-29,47,13,1,21
2023-01-30,25,3,0,13
2023-01-31,36,9,1,10
