date,added,ratings,reviews,to-read
2022-08-16,22,4,0,9
2022-08-17,27,6,2,10
2022-08-18,22,10,0,10
2022-08-19,29,17,1,6
2022-08-20,25,8,2,6
2022-08-21,21,11,2,7
2022-08-22,26,14,0,6
2022-08-23,24,10,1,6
2022-08-24,34,8,0,11
2022-08-25,27,13,2,6
2022-08-26,29,15,0,7
2022-08-27,17,9,1,4
2022-08-28,27,12,3,5
2022-08-29,16,-15,1,6
2022-08-30,23,10,-1,5
2022-08-31,20,13,1,4
2022-09-01,17,9,0,7
2022-09-02,21,8,0,7
2022-09-03,20,6,0,6
2022-09-04,39,18,0,9
2022-09-05,35,31,0,8
2022-09-06,28,3,1,5
2022-09-07,30,17,-1,9
2022-09-08,24,15,1,6
2022-09-09,15,2,0,6
2022-09-10,11,1,0,3
2022-09-11,15,3,0,7
2022-09-12,24,11,1,6
2022-09-13,16,11,1,2
2022-09-14,16,7,1,5
2022-09-15,22,10,-1,6
2022-09-16,27,21,4,10
2022-09-17,19,11,1,6
2022-09-18,30,17,0,5
2022-09-19,28,19,1,6
2022-09-20,32,12,0,10
2022-09-21,31,30,0,6
2022-09-22,23,16,1,8
2022-09-23,24,-34,0,2
2022-09-24,40,24,0,6
2022-09-25,29,25,0,6
2022-09-26,17,-10,0,6
2022-09-27,30,-26,2,10
2022-09-28,22,-32,1,9
2022-09-29,19,-63,0,7
2022-09-30,20,8,0,3
2022-10-01,20,12,0,4
2022-10-02,22,-8,1,7
2022-10-03,16,2,0,1
2022-10-04,28,12,0,5
2022-10-05,15,14,2,8
2022-10-06,15,1,0,6
2022-10-07,13,5,0,3
2022-10-08,25,13,0,11
2022-10-09,18,-5,0,9
2022-10-10,18,4,0,7
2022-10-11,15,4,-1,3
2022-10-12,18,-12,0,6
2022-10-13,6,6,1,2
2022-10-14,11,-24,0,10
2022-10-15,11,-3,0,4
2022-10-16,22,-54,0,13
2022-10-17,10,-35,0,6
2022-10-18,19,-23,2,4
2022-10-19,19,10,2,3
2022-10-20,14,8,0,4
2022-10-21,22,-3,0,7
2022-10-22,10,-7,0,4
2022-10-23,24,-105,1,11
2022-10-24,19,-87,0,6
2022-10-25,14,-44,2,4
2022-10-26,18,7,0,6
2022-10-27,23,7,0,7
2022-10-28,13,8,1,2
2022-10-29,9,8,0,1
2022-10-30,15,0,0,3
2022-10-31,23,-10,1,6
2022-11-01,23,5,0,8
2022-11-02,13,11,0,4
2022-11-03,10,-12,0,4
2022-11-04,27,11,1,8
2022-11-05,17,9,0,6
2022-11-06,23,5,0,4
2022-11-07,20,7,1,8
2022-11-08,21,8,1,5
2022-11-09,13,9,2,2
2022-11-10,11,5,0,4
2022-11-11,16,8,1,5
2022-11-12,16,3,0,7
2022-11-13,18,6,1,6
2022-11-14,18,-1,0,5
2022-11-15,17,10,1,6
2022-11-16,10,9,1,6
2022-11-17,8,8,1,1
2022-11-18,7,5,0,3
2022-11-19,16,7,1,3
2022-11-20,13,5,0,3
2022-11-21,10,7,2,6
2022-11-22,19,2,0,9
2022-11-23,30,9,0,17
2022-11-24,8,6,0,4
2022-11-25,17,5,0,5
2022-11-26,19,4,0,10
2022-11-27,21,4,0,8
2022-11-28,20,14,2,6
2022-11-29,9,7,0,3
2022-11-30,23,9,0,7
2022-12-01,16,8,2,7
2022-12-02,9,1,0,3
2022-12-03,17,6,0,11
2022-12-04,21,2,1,10
2022-12-05,14,6,0,4
2022-12-06,15,6,0,5
2022-12-07,14,10,1,4
2022-12-08,13,4,0,7
2022-12-09,14,1,0,7
2022-12-10,21,10,0,3
2022-12-11,13,10,0,4
2022-12-12,11,9,0,2
2022-12-13,18,5,0,6
2022-12-14,15,5,2,5
2022-12-15,17,1,0,4
2022-12-16,22,10,0,6
2022-12-17,15,7,1,4
2022-12-18,24,10,1,10
2022-12-19,15,3,0,6
2022-12-20,22,7,1,6
2022-12-21,18,11,2,4
2022-12-22,12,10,0,3
2022-12-23,14,8,0,3
2022-12-24,15,7,0,2
2022-12-25,15,11,0,4
2022-12-26,24,7,1,8
2022-12-27,23,13,2,6
2022-12-28,29,10,0,7
2022-12-29,34,19,0,12
2022-12-30,54,299,27,17
2022-12-31,43,15,2,12
2023-01-01,54,14,1,16
2023-01-02,47,25,4,14
2023-01-03,37,17,2,11
2023-01-04,40,15,0,11
2023-01-05,42,16,1,13
2023-01-06,37,17,1,13
2023-01-07,28,17,0,5
2023-01-08,35,10,0,12
2023-01-09,46,11,0,20
2023-01-10,44,6,2,24
2023-01-11,35,9,0,18
2023-01-12,44,-59,2,18
2023-01-13,53,-61,0,20
2023-01-14,40,13,0,19
2023-01-15,50,11,1,17
2023-01-16,38,10,2,14
2023-01-17,34,15,1,10
2023-01-18,42,13,1,19
2023-01-19,28,10,2,11
2023-01-20,21,8,0,11
2023-01-21,33,8,1,12
2023-01-22,38,15,1,8
2023-01-23,45,14,1,13
2023-01-24,33,16,0,11
2023-01-25,37,14,2,10
2023-01-26,21,10,0,3
2023-01-27,26,14,0,9
2023-01-28,37,9,4,17
2023-01-29,42,16,0,13
2023-01-30,15,12,2,4
2023-01-31,26,14,0,13
