date,added,ratings,reviews,to-read
2022-08-16,71,17,1,21
2022-08-17,66,25,1,21
2022-08-18,46,11,0,18
2022-08-19,61,22,0,16
2022-08-20,54,17,2,14
2022-08-21,55,20,0,19
2022-08-22,62,16,0,18
2022-08-23,56,21,0,18
2022-08-24,75,19,2,17
2022-08-25,43,14,1,12
2022-08-26,59,17,0,21
2022-08-27,48,19,1,17
2022-08-28,79,2,0,29
2022-08-29,73,-38,0,24
2022-08-30,62,27,2,14
2022-08-31,53,26,2,16
2022-09-01,46,21,1,16
2022-09-02,52,13,0,18
2022-09-03,61,23,1,15
2022-09-04,59,18,3,26
2022-09-05,60,20,1,14
2022-09-06,54,16,0,8
2022-09-07,59,27,2,15
2022-09-08,49,19,0,12
2022-09-09,44,16,0,10
2022-09-10,42,15,0,19
2022-09-11,57,11,0,16
2022-09-12,60,26,0,9
2022-09-13,55,16,0,13
2022-09-14,44,1,0,18
2022-09-15,50,19,2,15
2022-09-16,49,16,2,11
2022-09-17,43,10,0,17
2022-09-18,48,15,1,12
2022-09-19,49,13,0,23
2022-09-20,61,20,2,23
2022-09-21,56,22,1,21
2022-09-22,46,18,1,17
2022-09-23,46,-15,2,15
2022-09-24,45,12,-1,17
2022-09-25,48,9,0,13
2022-09-26,43,-25,1,13
2022-09-27,51,-77,1,19
2022-09-28,45,-114,3,20
2022-09-29,40,-117,0,14
2022-09-30,43,13,2,17
2022-10-01,62,13,0,19
2022-10-02,57,6,0,17
2022-10-03,56,4,2,15
2022-10-04,60,26,0,10
2022-10-05,39,18,0,18
2022-10-06,39,16,0,9
2022-10-07,38,17,1,9
2022-10-08,58,18,2,13
2022-10-09,51,6,1,24
2022-10-10,54,12,1,15
2022-10-11,41,7,1,15
2022-10-12,44,11,0,16
2022-10-13,30,16,0,10
2022-10-14,58,-10,2,25
2022-10-15,48,7,1,16
2022-10-16,71,-37,1,28
2022-10-17,66,-22,1,26
2022-10-18,66,-3,0,21
2022-10-19,56,16,1,19
2022-10-20,48,22,1,13
2022-10-21,47,0,0,23
2022-10-22,43,-4,0,19
2022-10-23,53,-111,0,22
2022-10-24,37,-97,1,15
2022-10-25,46,-80,1,18
2022-10-26,52,22,2,16
2022-10-27,45,11,1,17
2022-10-28,51,24,1,11
2022-10-29,45,16,0,16
2022-10-30,46,2,0,10
2022-10-31,42,-22,1,10
2022-11-01,46,12,0,15
2022-11-02,60,22,1,18
2022-11-03,47,-6,-1,11
2022-11-04,44,27,1,5
2022-11-05,38,7,0,12
2022-11-06,53,15,0,15
2022-11-07,39,15,3,16
2022-11-08,59,19,0,16
2022-11-09,41,18,0,10
2022-11-10,38,13,0,18
2022-11-11,42,11,0,10
2022-11-12,64,22,0,20
2022-11-13,47,15,0,13
2022-11-14,53,24,0,11
2022-11-15,46,11,1,8
2022-11-16,41,7,1,19
2022-11-17,41,12,1,18
2022-11-18,44,17,0,10
2022-11-19,56,20,1,19
2022-11-20,45,22,0,8
2022-11-21,40,24,1,14
2022-11-22,45,15,1,9
2022-11-23,39,14,1,8
2022-11-24,32,10,0,13
2022-11-25,38,15,2,12
2022-11-26,52,18,1,14
2022-11-27,54,14,0,18
2022-11-28,48,22,0,13
2022-11-29,50,12,0,23
2022-11-30,50,19,2,13
2022-12-01,34,9,1,12
2022-12-02,49,15,0,13
2022-12-03,55,18,0,17
2022-12-04,47,22,0,15
2022-12-05,43,17,0,18
2022-12-06,56,12,0,11
2022-12-07,33,21,0,6
2022-12-08,43,22,1,11
2022-12-09,30,8,1,10
2022-12-10,49,24,0,11
2022-12-11,61,21,1,10
2022-12-12,52,19,1,14
2022-12-13,60,27,1,16
2022-12-14,43,15,0,14
2022-12-15,56,23,2,16
2022-12-16,36,17,0,8
2022-12-17,39,7,1,13
2022-12-18,61,9,2,21
2022-12-19,31,13,1,6
2022-12-20,50,23,1,13
2022-12-21,58,23,1,16
2022-12-22,59,27,2,15
2022-12-23,53,19,0,11
2022-12-24,37,10,0,14
2022-12-25,56,24,0,14
2022-12-26,81,28,1,17
2022-12-27,78,33,3,24
2022-12-28,108,39,0,25
2022-12-29,112,47,2,30
2022-12-30,106,33,2,32
2022-12-31,156,67,1,33
2023-01-01,251,81,0,58
2023-01-02,232,118,0,64
2023-01-03,172,65,-1,42
2023-01-04,135,67,1,32
2023-01-05,146,53,2,37
2023-01-06,124,56,1,37
2023-01-07,124,33,1,31
2023-01-08,122,53,1,41
2023-01-09,113,31,1,34
2023-01-10,123,44,0,35
2023-01-11,93,41,1,32
2023-01-12,96,-30,0,32
2023-01-13,101,-52,0,25
2023-01-14,127,38,1,47
2023-01-15,128,55,0,29
2023-01-16,111,46,3,27
2023-01-17,110,38,1,25
2023-01-18,82,38,0,23
2023-01-19,88,22,2,22
2023-01-20,75,35,0,26
2023-01-21,105,30,0,28
2023-01-22,116,42,1,27
2023-01-23,88,43,2,25
2023-01-24,89,32,1,24
2023-01-25,99,27,1,23
2023-01-26,104,30,1,26
2023-01-27,83,30,0,24
2023-01-28,94,32,0,24
2023-01-29,91,19,1,25
2023-01-30,64,27,0,21
2023-01-31,93,36,2,25
