date,added,ratings,reviews,to-read
2022-08-16,128,9,2,115
2022-08-17,116,16,1,81
2022-08-18,48,14,0,37
2022-08-19,43,6,1,25
2022-08-20,47,18,3,23
2022-08-21,51,8,0,33
2022-08-22,46,12,1,25
2022-08-23,36,22,1,19
2022-08-24,33,8,1,16
2022-08-25,36,5,1,25
2022-08-26,45,17,4,24
2022-08-27,56,9,1,29
2022-08-28,41,11,3,18
2022-08-29,28,7,3,21
2022-08-30,36,8,2,24
2022-08-31,42,14,2,19
2022-09-01,48,11,2,18
2022-09-02,30,8,-1,11
2022-09-03,32,13,2,12
2022-09-04,42,9,0,26
2022-09-05,28,11,1,16
2022-09-06,39,8,0,18
2022-09-07,45,12,0,28
2022-09-08,35,10,0,19
2022-09-09,34,12,1,17
2022-09-10,33,5,0,17
2022-09-11,17,10,2,7
2022-09-12,31,7,-1,10
2022-09-13,27,5,0,16
2022-09-14,31,8,1,16
2022-09-15,24,6,1,12
2022-09-16,31,9,1,14
2022-09-17,37,17,2,17
2022-09-18,36,7,2,12
2022-09-19,34,7,1,14
2022-09-20,26,12,2,12
2022-09-21,23,8,1,11
2022-09-22,22,11,1,8
2022-09-23,39,-5,4,13
2022-09-24,40,19,2,13
2022-09-25,33,12,2,8
2022-09-26,23,-6,0,11
2022-09-27,34,-9,2,16
2022-09-28,32,-10,1,15
2022-09-29,21,-28,2,13
2022-09-30,20,10,2,7
2022-10-01,27,8,2,12
2022-10-02,33,8,0,14
2022-10-03,35,7,4,15
2022-10-04,32,8,0,12
2022-10-05,25,16,0,14
2022-10-06,22,15,0,8
2022-10-07,33,11,2,11
2022-10-08,24,13,1,15
2022-10-09,44,7,1,21
2022-10-10,23,5,0,8
2022-10-11,24,9,1,10
2022-10-12,22,3,0,6
2022-10-13,18,7,4,9
2022-10-14,28,2,1,14
2022-10-15,25,8,0,10
2022-10-16,33,-17,1,16
2022-10-17,33,-25,1,14
2022-10-18,15,-13,1,3
2022-10-19,34,11,2,17
2022-10-20,32,5,0,12
2022-10-21,31,4,1,9
2022-10-22,27,0,2,11
2022-10-23,31,-61,0,16
2022-10-24,85,-36,1,64
2022-10-25,48,-21,1,30
2022-10-26,27,13,4,13
2022-10-27,26,8,0,16
2022-10-28,29,6,1,15
2022-10-29,32,11,3,16
2022-10-30,27,4,3,15
2022-10-31,43,8,0,19
2022-11-01,34,11,0,13
2022-11-02,33,13,3,19
2022-11-03,35,-3,1,18
2022-11-04,25,0,0,17
2022-11-05,42,11,0,15
2022-11-06,22,12,0,9
2022-11-07,50,8,1,31
2022-11-08,34,10,1,16
2022-11-09,43,14,1,18
2022-11-10,13,16,2,6
2022-11-11,20,9,0,11
2022-11-12,28,4,1,15
2022-11-13,35,11,2,15
2022-11-14,29,9,3,13
2022-11-15,26,6,1,14
2022-11-16,19,5,1,9
2022-11-17,26,6,1,16
2022-11-18,30,7,2,19
2022-11-19,25,8,0,19
2022-11-20,37,4,1,14
2022-11-21,20,11,0,13
2022-11-22,38,10,1,13
2022-11-23,19,4,1,10
2022-11-24,30,7,4,10
2022-11-25,25,13,2,9
2022-11-26,25,6,1,16
2022-11-27,37,8,1,16
2022-11-28,44,14,0,22
2022-11-29,21,9,0,12
2022-11-30,38,8,2,21
2022-12-01,29,9,0,11
2022-12-02,19,4,0,9
2022-12-03,31,10,0,12
2022-12-04,38,14,1,17
2022-12-05,27,7,0,14
2022-12-06,32,8,1,11
2022-12-07,14,8,2,7
2022-12-08,24,8,1,15
2022-12-09,25,11,5,13
2022-12-10,37,11,0,17
2022-12-11,28,3,1,13
2022-12-12,28,3,2,19
2022-12-13,33,8,0,18
2022-12-14,40,4,0,23
2022-12-15,33,10,1,22
2022-12-16,36,8,0,15
2022-12-17,27,6,0,10
2022-12-18,27,10,3,15
2022-12-19,24,8,2,10
2022-12-20,93,12,1,70
2022-12-21,84,12,1,56
2022-12-22,57,13,1,37
2022-12-23,43,8,2,28
2022-12-24,27,8,1,16
2022-12-25,61,10,1,39
2022-12-26,60,15,4,32
2022-12-27,47,9,1,23
2022-12-28,66,11,1,40
2022-12-29,55,14,1,33
2022-12-30,62,14,-1,33
2022-12-31,73,24,3,36
2023-01-01,86,14,1,47
2023-01-02,104,21,1,54
2023-01-03,77,23,2,40
2023-01-04,56,21,1,35
2023-01-05,57,19,2,19
2023-01-06,65,21,6,40
2023-01-07,53,11,0,28
2023-01-08,67,14,1,25
2023-01-09,50,11,1,20
2023-01-10,44,12,4,22
2023-01-11,45,8,0,32
2023-01-12,50,-25,2,29
2023-01-13,45,-27,2,18
2023-01-14,59,14,3,29
2023-01-15,78,24,3,36
2023-01-16,54,14,1,22
2023-01-17,52,22,1,19
2023-01-18,34,11,2,17
2023-01-19,34,12,4,23
2023-01-20,25,11,2,16
2023-01-21,53,15,3,18
2023-01-22,47,18,3,20
2023-01-23,39,12,2,21
2023-01-24,32,6,1,10
2023-01-25,31,12,0,14
2023-01-26,31,9,1,14
2023-01-27,42,13,1,20
2023-01-28,37,9,1,18
2023-01-29,45,13,0,22
2023-01-30,42,17,2,24
2023-01-31,40,20,1,22
