date,added,ratings,reviews,to-read
2022-08-16,1,1,1,0
2022-08-17,5,2,0,2
2022-08-18,5,0,0,2
2022-08-19,3,-1,1,2
2022-08-20,3,2,1,2
2022-08-21,4,0,0,3
2022-08-22,6,0,0,2
2022-08-23,8,2,0,4
2022-08-24,8,3,0,0
2022-08-25,5,1,0,3
2022-08-26,7,3,1,0
2022-08-27,8,6,0,2
2022-08-28,5,3,0,2
2022-08-29,7,-8,0,2
2022-08-30,4,2,1,2
2022-08-31,2,2,1,1
2022-09-01,3,0,0,1
2022-09-02,6,1,0,1
2022-09-03,5,5,1,0
2022-09-04,3,1,0,3
2022-09-05,4,1,0,1
2022-09-06,5,2,0,2
2022-09-07,9,3,0,1
2022-09-08,7,1,0,3
2022-09-09,5,3,0,3
2022-09-10,7,1,1,2
2022-09-11,5,3,0,1
2022-09-12,4,4,0,0
2022-09-13,2,2,0,1
2022-09-14,3,1,0,0
2022-09-15,3,1,0,3
2022-09-16,4,3,0,1
2022-09-17,2,0,0,1
2022-09-18,7,1,0,1
2022-09-19,3,4,0,1
2022-09-20,7,1,0,3
2022-09-21,2,1,0,1
2022-09-22,2,2,0,0
2022-09-23,3,-13,0,1
2022-09-24,6,1,0,1
2022-09-25,4,2,0,2
2022-09-26,2,-12,0,0
2022-09-27,3,-39,0,3
2022-09-28,7,-14,0,3
2022-09-29,3,-33,0,2
2022-09-30,2,0,0,0
2022-10-01,4,2,0,2
2022-10-02,2,0,0,0
2022-10-03,2,1,0,1
2022-10-04,3,1,0,2
2022-10-05,1,0,0,0
2022-10-06,4,0,0,1
2022-10-07,7,2,0,4
2022-10-08,2,2,0,1
2022-10-09,4,3,1,2
2022-10-10,4,1,0,1
2022-10-11,5,2,0,2
2022-10-12,5,1,0,3
2022-10-13,2,1,0,1
2022-10-14,2,3,0,1
2022-10-15,3,2,0,0
2022-10-16,2,0,0,0
2022-10-17,3,-2,0,1
2022-10-18,7,3,0,2
2022-10-19,6,2,0,0
2022-10-20,1,1,0,1
2022-10-21,5,1,0,2
2022-10-22,6,1,0,5
2022-10-23,7,3,1,0
2022-10-24,2,3,0,2
2022-10-25,7,-10,0,3
2022-10-26,3,-1,0,1
2022-10-27,0,2,0,0
2022-10-28,1,2,0,0
2022-10-29,8,1,0,5
2022-10-30,2,-3,0,2
2022-10-31,2,-11,0,2
2022-11-01,2,0,0,1
2022-11-02,8,2,0,4
2022-11-03,2,2,0,1
2022-11-04,3,2,1,0
2022-11-05,4,0,0,2
2022-11-06,5,2,0,1
2022-11-07,6,2,1,3
2022-11-08,2,4,0,1
2022-11-09,8,2,0,1
2022-11-10,4,1,0,3
2022-11-11,3,0,0,1
2022-11-12,1,2,0,0
2022-11-13,4,1,0,3
2022-11-14,4,0,0,3
2022-11-15,2,0,0,2
2022-11-16,4,0,1,1
2022-11-17,4,3,0,3
2022-11-18,3,1,0,1
2022-11-19,9,4,1,5
2022-11-20,6,1,0,4
2022-11-21,5,0,1,2
2022-11-22,4,1,0,2
2022-11-23,7,1,1,5
2022-11-24,3,0,0,2
2022-11-25,5,0,0,2
2022-11-26,4,1,0,2
2022-11-27,5,-1,-1,4
2022-11-28,5,0,0,4
2022-11-29,6,1,0,5
2022-11-30,6,0,0,4
2022-12-01,4,3,0,1
2022-12-02,7,1,0,4
2022-12-03,5,4,0,1
2022-12-04,7,4,0,1
2022-12-05,6,1,0,3
2022-12-06,3,2,0,1
2022-12-07,5,2,0,2
2022-12-08,4,0,0,0
2022-12-09,3,0,0,1
2022-12-10,3,2,0,1
2022-12-11,6,2,0,3
2022-12-12,2,3,0,0
2022-12-13,2,0,0,1
2022-12-14,5,-2,0,4
2022-12-15,6,2,0,3
2022-12-16,5,2,0,3
2022-12-17,4,2,0,1
2022-12-18,5,1,1,2
2022-12-19,6,1,0,4
2022-12-20,3,1,0,1
2022-12-21,6,-1,0,5
2022-12-22,4,3,0,0
2022-12-23,1,-2,0,0
2022-12-24,3,2,0,0
2022-12-25,3,3,0,0
2022-12-26,5,1,0,1
2022-12-27,5,1,0,3
2022-12-28,12,4,0,5
2022-12-29,6,4,0,1
2022-12-30,11,2,0,4
2022-12-31,6,3,0,2
2023-01-01,22,4,0,6
2023-01-02,20,6,0,7
2023-01-03,15,2,0,6
2023-01-04,16,7,0,7
2023-01-05,11,3,1,4
2023-01-06,16,4,0,7
2023-01-07,6,1,0,0
2023-01-08,14,3,0,5
2023-01-09,6,2,0,2
2023-01-10,10,0,0,3
2023-01-11,3,4,0,2
2023-01-12,10,-14,0,6
2023-01-13,8,-11,0,2
2023-01-14,7,1,0,2
2023-01-15,16,5,0,6
2023-01-16,14,3,0,5
2023-01-17,8,2,0,4
2023-01-18,10,2,1,2
2023-01-19,10,6,0,3
2023-01-20,4,3,0,2
2023-01-21,11,-1,0,6
2023-01-22,8,6,0,4
2023-01-23,4,1,0,2
2023-01-24,7,2,1,4
2023-01-25,6,1,0,0
2023-01-26,12,0,0,4
2023-01-27,9,3,0,2
2023-01-28,5,3,0,2
2023-01-29,6,1,0,2
2023-01-30,6,1,0,2
2023-01-31,10,3,0,3
