Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
39667068,Acid for the Children,britt_brooke,"1,246",93,5,"November 14, 2019","Flea refers to this as his origin story. It begins with his parents and ends just before RHCP. Unsurprisingly, he’s a gifted story teller. And this is a must on audio! His narration is fantastic and quirky. Flea is way more than a genital sock donning bass player, he’s a massive reader, devout Vonnegut fan, and a quality human. I wish to be his friend. I sincerely hope he writes a follow up. ",155,10
39667068,Acid for the Children,Jennifer ~ TarHeelReader,"2,051",3000,4,"November 24, 2019"," I am a Chili Peppers fan, and Flea has always been an intriguing person, so when I learned he was writing an autobiography, I definitely wanted to read it! Flea’s life begins differently than you would expect: calm and typical, until his parents split. It’s then that his mom’s new boyfriend exposes him to music, musicians, and a bohemian lifestyle, which inspires him to get into music, too. Acid for the Children is a wild ride. There’s coming-of-age, insight, and entertainment from beginning to end.Thank you to the publisher for the free copy. Many of my reviews can also be found on instagram: www.instagram.com/tarheelreader",60,7
39667068,Acid for the Children,The Nerd Daily,720,342,5,"October 23, 2019","Originally published on The Nerd Daily | Review by Beth MowbrayMichael Balzary. You probably know him as Flea, bassist and co-founder of the iconic band Red Hot Chili Peppers. Observing him in the public eye, playing intensely energetic rock shows for over three and a half decades, one may think Flea is just your typical “rock star” – an over-the-top persona. However, after reading his memoir, it is clear this would be a monumental misrepresentation and oversimplification of a quite complex human soul.In Acid for the Children, Flea shares, in great detail, the first 20 years or so of his life, from his childhood all the way up to the inception of the band that would forever change his world (and that of rock music). As readers may expect, this memoir has no shortage of wild and crazy tales. From family and friends to music and drugs, this book covers it all. (Even the influence of literature on Flea’s life from a very young age! Did you know that he is an avid bookworm, influenced by the likes of Vonnegut and Bukowski?!) The short chapters, filled with little vignettes – specific scenes he recalls from his past – keep the book moving forward at a good pace, providing the life highlights of a man who surely has many more tales to tell and adventures left to experience.Readers are, however, likely to be surprised by the deeply touching nature of the narrative. Flea moves on from simply telling these stories to create a much richer context by embedding them in the surrounding emotions, the impact of the events, and even sharing insights that are only visible now looking back into his past. He examines how his childhood experiences have caused him to struggle with finding a sense of self and loving others, explores how using drugs opened him up to a new spiritual world (at least initially) and helped him feel free to express himself.Reading this book is akin to having a conversation with the man himself: candid and stripped down, like hearing Flea speak his own story aloud, just as a memoir should be. There is a lyrical lilt to Flea’s prose. His voice is clear and authentic, without a tinge of pretension. His enthusiasm for life, the way that he has always been unapologetically himself, is evident through his writing. Despite being a self-defined “outsider,” his purity of heart shines through, as he is clearly an individual full of kindness and empathy who seeks interconnectedness with those around him and with the universe on a larger scale. Perhaps most importantly, this memoir is utterly thought-provoking. It challenges assumptions. It reflects on the past, shining a light on how decisions have a ripple effect throughout our days. And it meditates on the beauty inherent in both life and those who walk through it with us.I highly recommend picking it up! You are certain to walk away from the reading experience feeling as if you actually know Flea himself.",44,N/A
39667068,Acid for the Children,Kristina,12,2,2,"December 2, 2019","This book is yikes city. Flea waxes poetically about all kinds of vibing with the sound, connecting with the Earth etc since he was a kid, but in a very ‘first grader who is enlightened’ vocabulary. Isnt this man sixtyish by now? Some of the book I’ve found to be endearing, but most of it is unfortunately pure gibberish - and I say this as someone who loves him and the RHCP.He is an inconsistent writer, finishing chapters and stories in weird sudden halts, meanwhile somehow managing to remember every name of every person he has ever met.Also according to this book and how its written: Flea never met a gay man without explaining it with ‘I met this gay man’. He apparently also never saw/met a person of color who wasnt described as such before even their name was said, or at latest in the next sentence if he was trying to be mysterious (their brown cinnamon eyes/face).Also the book ends when hes still in his twenties. A miscalculation on my part for sure for thinking Id enjoy this book much more than I did, but also maybe we didnt need every waking second od his life around ages 4-9 explained.",43,12
39667068,Acid for the Children,"Miya (severe pain struggles, slower at the moment)",446,57,4,"September 15, 2022","Flea has always been such an interesting character to me. I was super excited to read this memoir. The story itself is hard on the heart at times, his life wasn't always amazing. I sometimes felt like I had to remind myself to focus on reading. The style of writing is different, but and Flea fan will enjoy it for sure!",39,18
39667068,Acid for the Children,Derek Hoeksema,38,1 follower,2,"December 4, 2019",It felt like he was holding me down and forcing me to listen to something that he thought was profound.,36,2
39667068,Acid for the Children,Melanie,261,130,3,"May 9, 2022","For the most part I enjoyed Flea's memoir. If you're looking for the story of the RHCP, you won't find it here. This is about his life pre RHCP. It's nice to read about a man who had a tough childhood and then goes on to become extremely successful using his own natural talent, eventually becoming a happy man. I did feel the book was a bit disjointed at times. I had a bit of trouble following the timeline, or maybe there really wasn't a timeline? At times I felt some of his descriptions were over the top. I don't need several words to describe something, like reading a thesaurus. One thing I did like is that he didn't try to gloss over his drug use or the crimes he committed as a kid/teen. He tells it like it was and then tells you he knew he was an asshole to commit the crimes. He also explains the drugs were fun at the time but in the long run kids and/teens shouldn't do them. I listened to the audio which is narrated by Flea, which was nice, listening to him tell me his story.",35,13
39667068,Acid for the Children,Petergiaquinta,478,100,5,"June 17, 2021","Long after I’m dead, someone will erect a statue of Flea in West Hollywood. He’ll be slapping that bass in mid-flight, wild-eyed, legs spread, his pants half-way down his ass, and with such a look of joy on his face that it will become a place of pilgrimage for young and old alike.Even those benighted folks who have never even heard of the Red Hot Chili Peppers will visit this shrine to be inspired and blessed by the radiant transcendence that is Flea. Devotees will climb up to touch the Hendrix tattoo; selfies will be snapped abundantly; tokens of love and remembrance will be left at the statue’s base, and some of the more faithful will visit wearing only a single sock.Think I’m wrong about that? Well, maybe.But wait and see, because Flea is truly a remarkable human being filled with such energy, joy and compassion, and those three qualities radiate through every page of his childhood memoir, Acid for the Children. Flea views the world through a lens that makes me ashamed of my own cynical viewpoint. Here, he describes his childhood years in a series of short, fairly chronological reminiscences up to the point where the band that becomes the Chili Peppers is coming together. And each one of these short pieces is informed by a loving goodness that just leaks right through the language, even when he is writing about some pretty bleak topics—his junkie step-father who could fly into bewilderingly violent rages, the drugs and neglect and abuse he was surrounded by as a kid in Hollywood, an encounter with a prostitute on his high school graduation night, his teenage stint with the LA punk band Fear—whatever he is writing about, Flea fills it with a sense of love and wonder that radiates through the entire book.The last “music” book I read was long ago, the Doors tribute No One Gets Out of Here Alive, and as much as I am surrounded by music, I’m not really interested in reading about it, especially overblown rock and roll biographies. That’s not what this book is, not at all. This is a book about childhood, the wonder and the fear found there. It’s a book about the pleasures of reading, the loneliness of being different, the terrors that go along with discovering what the world is about. It’s almost Wordsworthian in places, although Flea had no Lake District to inform his young mind. Some readers have said that Flea’s writing style is highly influenced by the jazz music he grew up listening to and playing, and I think they are right. There is something improvisational and flowing about the way he writes, and when you read about how he was influenced by his step-father’s bebop, it will make sense. But I also felt there was something reminiscent of Richard Brautigan in Flea’s writing, too. Underneath it all, something reminded me of the simple joyful writing of Troutfishing in America.At the end of Acid for the Children, Flea leaves us with several lists of books, movies, and music that are significant to him, including “Concerts that Changed My Life.” Here’s mine... Concerts that Changed My LifeRed Hot Chili Peppers—Metro—Chicago 10/26/1985",23,8
39667068,Acid for the Children,Nick Craske,119,176,5,"December 15, 2019","As open, honest and expressive as his musicianship, Flea evokes the euphoric chaos of discovering music; exploring drugs and growing up fast in LA. Psychedelic, Punk'n'funkadelic. Flea channels Vonnegut and Bukowski, Byron and Eliot in his writing and writes about his youth up to the moment he steps on stage and first plays with Anthony Kiedis.",16,1 comment
39667068,Acid for the Children,Bon Tom,846,56,5,"March 20, 2020","Simply the best rocker biography I've ever read.The right way to ingest this is audio form, read by man himself.Reading in any other form, you're cutting yourself short.His warm, involved, emotional voice carries as much information as words themselves.Yes, he jumps a little around, chronologically, just as he does physically on stage, but I guess it's just the way he is. He seems to be spur of the moment type of guy and it just comes with the territory. The bio is brutally honest, down to the point and poetic at the same time. The man is almost as skilled with word as he is with rhythm.And I find it stunning how much I could identify with the guy. We seem to have pretty much similar psychological setup, and I've even done some of the same shit in my youth. Not that it resulted in any kind of stardom or sublime mastery, like in his case.Anyway, respect to the guy for all the apologies he made to people he wronged, unintentionally or otherwise. The way he lived is something of a template for as perfect life as we, imperfect human beings, are capable of: No matter the shit you've done, sooner or later you should come to your senses and make something out of it.This is book for keeps and reading multiple times.",12,3
