Title,URL
Musicophilia: Tales of Music and the Brain,https://www.goodreads.com/book/show/1297985.Musicophilia
This Is Your Brain on Music: The Science of a Human Obsession,https://www.goodreads.com/book/show/141565.This_Is_Your_Brain_on_Music
Just Kids,https://www.goodreads.com/book/show/341879.Just_Kids
The Rest Is Noise: Listening to the Twentieth Century,https://www.goodreads.com/book/show/392563.The_Rest_Is_Noise
How Music Works,https://www.goodreads.com/book/show/13235689-how-music-works
Please Kill Me: The Uncensored Oral History of Punk,https://www.goodreads.com/book/show/14595.Please_Kill_Me
Life,https://www.goodreads.com/book/show/9439303-life
Daisy Jones & The Six,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six
Chronicles: Volume One,https://www.goodreads.com/book/show/14318.Chronicles
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",https://www.goodreads.com/book/show/29393.Our_Band_Could_Be_Your_Life
Girl in a Band,https://www.goodreads.com/book/show/22693211-girl-in-a-band
High Fidelity,https://www.goodreads.com/book/show/285092.High_Fidelity
Hunger Makes Me a Modern Girl,https://www.goodreads.com/book/show/25065629-hunger-makes-me-a-modern-girl
"Love Is a Mix Tape: Life and Loss, One Song at a Time",https://www.goodreads.com/book/show/46190.Love_Is_a_Mix_Tape
Rip it Up and Start Again,https://www.goodreads.com/book/show/272642.Rip_it_Up_and_Start_Again
The Storyteller: Tales of Life and Music,https://www.goodreads.com/book/show/57648017-the-storyteller
Born to Run,https://www.goodreads.com/book/show/29072594-born-to-run
No One Here Gets Out Alive,https://www.goodreads.com/book/show/691520.No_One_Here_Gets_Out_Alive
The Dirt: Confessions of the World's Most Notorious Rock Band,https://www.goodreads.com/book/show/25378.The_Dirt
Scar Tissue,https://www.goodreads.com/book/show/96647.Scar_Tissue
Miles: The Autobiography,https://www.goodreads.com/book/show/829313.Miles
What to Listen for in Music,https://www.goodreads.com/book/show/99126.What_to_Listen_for_in_Music
A Visit from the Goon Squad,https://www.goodreads.com/book/show/7331435-a-visit-from-the-goon-squad
Heavier Than Heaven: A Biography of Kurt Cobain,https://www.goodreads.com/book/show/1149440.Heavier_Than_Heaven
Psychotic Reactions and Carburetor Dung,https://www.goodreads.com/book/show/239404.Psychotic_Reactions_and_Carburetor_Dung
"Clothes, Clothes, Clothes. Music, Music, Music. Boys, Boys, Boys",https://www.goodreads.com/book/show/19246471-clothes-clothes-clothes-music-music-music-boys-boys-boys
Cash,https://www.goodreads.com/book/show/35488.Cash
"If I Stay (If I Stay, #1)",https://www.goodreads.com/book/show/4374400-if-i-stay
The History of Jazz,https://www.goodreads.com/book/show/177539.The_History_of_Jazz
Songbook,https://www.goodreads.com/book/show/4261.Songbook
