date,added,ratings,reviews,to-read
2022-08-16,1,0,0,1
2022-08-17,1,1,0,0
2022-08-18,1,0,0,1
2022-08-19,2,0,0,1
2022-08-20,1,0,0,1
2022-08-21,1,0,0,1
2022-08-22,2,0,0,2
2022-08-23,2,0,0,1
2022-08-24,4,0,0,4
2022-08-25,3,0,0,3
2022-08-26,1,0,0,1
2022-08-27,0,-1,0,0
2022-08-28,2,0,0,0
2022-08-29,1,1,0,0
2022-08-30,1,0,0,1
2022-08-31,0,0,0,0
2022-09-01,3,0,0,2
2022-09-02,1,1,0,0
2022-09-03,0,0,0,0
2022-09-04,1,0,0,1
2022-09-05,2,0,0,2
2022-09-06,2,0,0,1
2022-09-07,3,0,0,3
2022-09-08,4,0,0,3
2022-09-09,1,0,0,1
2022-09-10,0,0,0,0
2022-09-11,0,0,0,0
2022-09-12,1,1,0,0
2022-09-13,0,1,0,0
2022-09-14,1,0,0,1
2022-09-15,2,0,0,2
2022-09-16,0,0,0,0
2022-09-17,1,0,0,1
2022-09-18,4,0,0,3
2022-09-19,0,0,0,0
2022-09-20,0,0,0,0
2022-09-21,0,0,0,0
2022-09-22,2,0,0,2
2022-09-23,1,0,0,1
2022-09-24,1,0,0,1
2022-09-25,2,-1,0,1
2022-09-26,2,0,0,2
2022-09-27,1,-1,0,0
2022-09-28,2,2,0,0
2022-09-29,0,0,0,0
2022-09-30,1,0,0,1
2022-10-01,3,1,0,1
2022-10-02,0,0,0,0
2022-10-03,2,1,0,1
2022-10-04,1,0,0,1
2022-10-05,3,1,0,3
2022-10-06,2,1,0,1
2022-10-07,0,1,0,0
2022-10-08,0,0,0,0
2022-10-09,1,0,0,0
2022-10-10,2,0,0,2
2022-10-11,1,-1,0,1
2022-10-12,1,0,0,1
2022-10-13,1,0,0,1
2022-10-14,0,0,0,0
2022-10-15,2,0,0,1
2022-10-16,1,0,0,1
2022-10-17,2,1,0,0
2022-10-18,1,0,0,1
2022-10-19,3,0,0,2
2022-10-20,0,0,0,0
2022-10-21,2,1,0,1
2022-10-22,3,1,0,1
2022-10-23,0,0,0,0
2022-10-24,1,0,0,1
2022-10-25,2,0,0,2
2022-10-26,0,0,0,0
2022-10-27,0,0,0,0
2022-10-28,3,1,0,2
2022-10-29,0,0,0,0
2022-10-30,1,0,0,1
2022-10-31,1,0,0,1
2022-11-01,4,0,0,4
2022-11-02,0,0,0,0
2022-11-03,0,0,0,0
2022-11-04,2,0,0,2
2022-11-05,2,0,0,2
2022-11-06,1,0,0,1
2022-11-07,0,0,0,0
2022-11-08,1,0,0,0
2022-11-09,1,0,0,1
2022-11-10,0,0,0,0
2022-11-11,0,0,0,0
2022-11-12,1,0,0,0
2022-11-13,1,1,0,0
2022-11-14,1,0,0,0
2022-11-15,3,0,0,2
2022-11-16,1,0,0,1
2022-11-17,1,0,0,1
2022-11-18,1,0,0,1
2022-11-19,1,0,0,1
2022-11-20,2,0,0,2
2022-11-21,2,1,0,0
2022-11-22,1,0,0,0
2022-11-23,1,0,0,1
2022-11-24,1,0,0,1
2022-11-25,1,0,0,1
2022-11-26,0,0,0,0
2022-11-27,3,0,0,3
2022-11-28,2,0,0,2
2022-11-29,2,1,0,0
2022-11-30,1,0,0,1
2022-12-01,2,0,0,1
2022-12-02,0,0,0,0
2022-12-03,1,0,0,1
2022-12-04,3,1,0,1
2022-12-05,3,1,0,2
2022-12-06,1,1,0,0
2022-12-07,2,1,0,2
2022-12-08,1,0,0,1
2022-12-09,2,0,0,2
2022-12-10,1,1,0,0
2022-12-11,1,0,0,1
2022-12-12,0,0,0,0
2022-12-13,0,0,0,0
2022-12-14,1,0,0,1
2022-12-15,0,0,0,0
2022-12-16,0,0,0,0
2022-12-17,2,1,0,1
2022-12-18,0,1,0,0
2022-12-19,2,1,1,2
2022-12-20,0,0,0,0
2022-12-21,3,0,0,1
2022-12-22,0,0,0,0
2022-12-23,3,1,0,2
2022-12-24,3,-1,0,3
2022-12-25,2,0,0,2
2022-12-26,1,0,0,1
2022-12-27,1,0,0,1
2022-12-28,2,0,0,2
2022-12-29,1,0,0,1
2022-12-30,1,1,0,0
2022-12-31,2,2,0,2
2023-01-01,4,1,0,3
2023-01-02,9,1,0,6
2023-01-03,1,2,0,1
2023-01-04,4,2,0,2
2023-01-05,2,0,0,2
2023-01-06,3,1,0,1
2023-01-07,2,0,0,1
2023-01-08,1,0,0,1
2023-01-09,2,0,0,1
2023-01-10,3,1,0,1
2023-01-11,3,0,0,1
2023-01-12,2,1,1,1
2023-01-13,0,-1,0,0
2023-01-14,2,0,0,2
2023-01-15,0,0,0,0
2023-01-16,1,0,0,1
2023-01-17,1,0,0,0
2023-01-18,1,0,0,1
2023-01-19,1,1,0,0
2023-01-20,2,1,0,2
2023-01-21,5,1,0,3
2023-01-22,2,1,0,2
2023-01-23,2,0,0,2
2023-01-24,2,0,0,1
2023-01-25,0,0,0,0
2023-01-26,4,2,0,2
2023-01-27,0,0,0,0
2023-01-28,3,0,0,3
2023-01-29,1,0,0,1
2023-01-30,1,0,0,1
2023-01-31,1,-1,0,1
