date,added,ratings,reviews,to-read
2022-08-16,11,3,0,7
2022-08-17,10,1,0,7
2022-08-18,4,3,0,4
2022-08-19,10,0,-1,7
2022-08-20,15,1,1,7
2022-08-21,8,4,0,5
2022-08-22,7,2,0,0
2022-08-23,13,4,1,9
2022-08-24,29,4,0,24
2022-08-25,11,4,0,9
2022-08-26,7,3,0,5
2022-08-27,13,3,0,6
2022-08-28,16,3,1,10
2022-08-29,2,1,0,0
2022-08-30,13,2,0,8
2022-08-31,6,0,0,5
2022-09-01,4,1,0,3
2022-09-02,6,3,0,3
2022-09-03,7,1,0,3
2022-09-04,21,5,0,11
2022-09-05,13,1,0,12
2022-09-06,11,4,2,7
2022-09-07,15,0,0,11
2022-09-08,15,3,2,5
2022-09-09,10,4,0,4
2022-09-10,8,0,0,6
2022-09-11,5,1,0,2
2022-09-12,7,3,1,2
2022-09-13,4,2,0,1
2022-09-14,11,3,0,7
2022-09-15,6,1,0,3
2022-09-16,6,1,0,2
2022-09-17,8,0,1,6
2022-09-18,9,1,0,7
2022-09-19,8,0,0,7
2022-09-20,11,1,0,6
2022-09-21,11,6,1,5
2022-09-22,8,2,0,4
2022-09-23,10,1,0,8
2022-09-24,10,3,0,6
2022-09-25,10,0,0,9
2022-09-26,11,2,1,10
2022-09-27,3,1,0,2
2022-09-28,8,1,0,6
2022-09-29,14,4,1,7
2022-09-30,10,0,0,8
2022-10-01,10,3,0,5
2022-10-02,9,2,0,5
2022-10-03,8,0,0,7
2022-10-04,6,2,0,5
2022-10-05,12,3,0,6
2022-10-06,8,2,0,7
2022-10-07,4,0,0,2
2022-10-08,8,1,0,2
2022-10-09,8,3,0,4
2022-10-10,8,2,0,5
2022-10-11,12,4,0,3
2022-10-12,5,0,0,3
2022-10-13,9,2,1,6
2022-10-14,8,0,0,7
2022-10-15,8,2,0,5
2022-10-16,22,2,0,15
2022-10-17,17,6,1,11
2022-10-18,12,2,0,7
2022-10-19,13,2,0,9
2022-10-20,12,3,0,7
2022-10-21,8,0,0,7
2022-10-22,16,2,0,11
2022-10-23,11,1,0,10
2022-10-24,8,1,0,4
2022-10-25,12,1,0,7
2022-10-26,12,4,1,11
2022-10-27,12,4,1,6
2022-10-28,10,1,0,7
2022-10-29,11,2,0,6
2022-10-30,11,3,1,8
2022-10-31,6,3,1,3
2022-11-01,4,0,0,1
2022-11-02,12,3,2,4
2022-11-03,17,3,1,10
2022-11-04,8,1,1,1
2022-11-05,11,1,0,4
2022-11-06,22,2,0,13
2022-11-07,9,4,2,3
2022-11-08,8,0,0,6
2022-11-09,12,3,0,6
2022-11-10,7,3,0,6
2022-11-11,9,1,0,6
2022-11-12,13,1,0,9
2022-11-13,9,2,0,6
2022-11-14,19,5,2,8
2022-11-15,4,2,0,1
2022-11-16,11,2,0,6
2022-11-17,6,2,0,5
2022-11-18,12,2,0,9
2022-11-19,11,4,2,4
2022-11-20,12,3,1,5
2022-11-21,16,1,0,12
2022-11-22,9,1,1,3
2022-11-23,14,3,0,8
2022-11-24,9,1,1,3
2022-11-25,6,1,0,4
2022-11-26,11,3,0,5
2022-11-27,19,4,0,10
2022-11-28,12,4,0,6
2022-11-29,9,0,0,7
2022-11-30,10,4,1,2
2022-12-01,13,4,0,6
2022-12-02,5,0,0,4
2022-12-03,16,2,0,12
2022-12-04,15,3,0,12
2022-12-05,7,2,0,0
2022-12-06,5,2,0,1
2022-12-07,3,3,0,3
2022-12-08,10,0,0,7
2022-12-09,6,0,0,4
2022-12-10,15,2,0,11
2022-12-11,6,0,0,4
2022-12-12,7,2,1,4
2022-12-13,11,2,0,5
2022-12-14,13,2,0,9
2022-12-15,13,2,0,5
2022-12-16,9,1,0,7
2022-12-17,10,3,-1,5
2022-12-18,10,6,0,2
2022-12-19,9,4,1,5
2022-12-20,11,0,0,10
2022-12-21,4,0,0,3
2022-12-22,12,1,0,7
2022-12-23,12,5,0,6
2022-12-24,9,4,1,7
2022-12-25,13,4,0,8
2022-12-26,22,3,0,11
2022-12-27,23,2,2,14
2022-12-28,16,3,0,8
2022-12-29,16,6,0,7
2022-12-30,17,6,1,11
2022-12-31,16,6,2,8
2023-01-01,23,4,0,9
2023-01-02,28,5,1,15
2023-01-03,29,6,0,16
2023-01-04,20,5,2,13
2023-01-05,16,3,0,13
2023-01-06,20,0,0,11
2023-01-07,14,2,0,7
2023-01-08,18,3,1,10
2023-01-09,30,1,0,21
2023-01-10,14,0,0,8
2023-01-11,24,3,1,17
2023-01-12,14,3,0,8
2023-01-13,19,3,0,13
2023-01-14,20,2,1,11
2023-01-15,24,8,0,10
2023-01-16,15,4,0,13
2023-01-17,17,2,0,8
2023-01-18,18,6,0,11
2023-01-19,14,3,1,6
2023-01-20,13,1,0,9
2023-01-21,15,3,0,8
2023-01-22,26,4,0,15
2023-01-23,11,3,1,7
2023-01-24,17,3,0,11
2023-01-25,23,0,1,12
2023-01-26,10,5,0,3
2023-01-27,10,1,0,6
2023-01-28,18,3,0,12
2023-01-29,18,4,1,9
2023-01-30,12,4,0,6
2023-01-31,4,2,0,3
