date,added,ratings,reviews,to-read
2022-08-16,56,16,1,37
2022-08-17,39,14,2,20
2022-08-18,37,15,0,23
2022-08-19,34,10,1,19
2022-08-20,28,6,1,14
2022-08-21,40,14,0,15
2022-08-22,46,9,2,19
2022-08-23,24,15,0,13
2022-08-24,38,14,0,18
2022-08-25,35,9,0,19
2022-08-26,37,11,0,22
2022-08-27,36,2,0,17
2022-08-28,46,10,2,26
2022-08-29,37,12,3,13
2022-08-30,45,13,1,20
2022-08-31,49,13,3,22
2022-09-01,39,9,1,18
2022-09-02,33,14,3,18
2022-09-03,31,9,1,12
2022-09-04,45,17,5,20
2022-09-05,42,15,1,22
2022-09-06,49,9,0,20
2022-09-07,44,9,1,19
2022-09-08,40,15,3,17
2022-09-09,29,12,1,10
2022-09-10,34,10,0,15
2022-09-11,29,8,0,16
2022-09-12,41,7,2,23
2022-09-13,36,12,0,13
2022-09-14,43,5,0,30
2022-09-15,24,16,2,17
2022-09-16,35,12,0,18
2022-09-17,28,14,1,9
2022-09-18,36,11,1,24
2022-09-19,26,10,1,17
2022-09-20,33,10,2,21
2022-09-21,26,10,1,17
2022-09-22,33,15,3,20
2022-09-23,40,7,3,25
2022-09-24,55,9,3,39
2022-09-25,2016,14,1,1988
2022-09-26,547,13,1,527
2022-09-27,244,9,1,220
2022-09-28,158,8,0,143
2022-09-29,110,3,0,101
2022-09-30,98,1,0,86
2022-10-01,103,9,0,81
2022-10-02,91,14,1,63
2022-10-03,84,7,1,64
2022-10-04,82,8,1,55
2022-10-05,52,11,0,43
2022-10-06,72,8,2,49
2022-10-07,46,8,1,33
2022-10-08,66,16,0,34
2022-10-09,66,11,1,52
2022-10-10,57,13,2,38
2022-10-11,51,5,2,36
2022-10-12,79,6,0,52
2022-10-13,48,15,2,35
2022-10-14,56,12,0,35
2022-10-15,84,10,1,61
2022-10-16,96,10,1,74
2022-10-17,120,15,0,90
2022-10-18,112,14,2,90
2022-10-19,117,15,2,90
2022-10-20,121,14,2,99
2022-10-21,146,7,2,126
2022-10-22,198,10,2,178
2022-10-23,471,8,0,448
2022-10-24,50,11,2,24
2022-10-25,33,18,0,21
2022-10-26,35,11,-1,18
2022-10-27,30,6,0,14
2022-10-28,26,8,0,15
2022-10-29,34,12,0,14
2022-10-30,36,11,1,16
2022-10-31,22,7,0,6
2022-11-01,38,12,2,14
2022-11-02,38,7,0,17
2022-11-03,27,7,0,18
2022-11-04,32,8,1,13
2022-11-05,31,12,0,13
2022-11-06,36,14,0,15
2022-11-07,46,11,0,19
2022-11-08,43,9,1,16
2022-11-09,40,10,3,16
2022-11-10,26,7,0,15
2022-11-11,22,7,3,15
2022-11-12,28,4,0,18
2022-11-13,42,20,0,14
2022-11-14,37,14,2,16
2022-11-15,36,9,1,15
2022-11-16,36,20,4,11
2022-11-17,22,11,0,8
2022-11-18,15,3,0,6
2022-11-19,41,11,2,15
2022-11-20,40,15,4,19
2022-11-21,26,8,1,21
2022-11-22,39,11,1,17
2022-11-23,30,14,3,12
2022-11-24,35,11,2,15
2022-11-25,30,14,0,11
2022-11-26,37,13,0,16
2022-11-27,42,15,2,20
2022-11-28,38,14,3,15
2022-11-29,32,8,1,19
2022-11-30,45,12,3,17
2022-12-01,31,10,1,15
2022-12-02,33,13,0,17
2022-12-03,26,9,0,10
2022-12-04,39,13,1,11
2022-12-05,38,16,1,17
2022-12-06,43,24,1,13
2022-12-07,23,17,3,11
2022-12-08,14,6,1,7
2022-12-09,27,10,2,15
2022-12-10,41,10,0,21
2022-12-11,30,14,1,19
2022-12-12,30,6,3,13
2022-12-13,29,11,3,9
2022-12-14,24,7,0,13
2022-12-15,41,13,0,19
2022-12-16,34,11,0,15
2022-12-17,44,11,2,21
2022-12-18,64,20,4,29
2022-12-19,31,14,1,12
2022-12-20,42,12,1,27
2022-12-21,50,10,1,20
2022-12-22,21,16,1,11
2022-12-23,39,9,0,21
2022-12-24,38,9,0,22
2022-12-25,31,10,1,12
2022-12-26,57,32,3,23
2022-12-27,73,23,4,36
2022-12-28,81,19,1,39
2022-12-29,56,21,1,25
2022-12-30,73,32,1,35
2022-12-31,86,26,1,36
2023-01-01,118,28,3,63
2023-01-02,129,32,2,65
2023-01-03,123,24,1,68
2023-01-04,79,31,2,43
2023-01-05,88,27,2,50
2023-01-06,74,20,2,32
2023-01-07,70,21,1,26
2023-01-08,84,24,0,32
2023-01-09,91,29,3,44
2023-01-10,76,22,2,31
2023-01-11,56,18,7,30
2023-01-12,61,14,3,26
2023-01-13,55,27,1,27
2023-01-14,70,15,1,29
2023-01-15,99,27,1,47
2023-01-16,68,27,1,24
2023-01-17,65,25,4,26
2023-01-18,69,19,2,24
2023-01-19,47,22,1,17
2023-01-20,43,16,1,23
2023-01-21,59,12,3,35
2023-01-22,76,28,1,27
2023-01-23,56,24,0,23
2023-01-24,79,24,1,30
2023-01-25,58,19,0,23
2023-01-26,45,22,2,15
2023-01-27,58,16,-1,28
2023-01-28,62,18,2,28
2023-01-29,92,26,3,47
2023-01-30,37,22,1,20
2023-01-31,44,19,1,26
