Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
93938,A Letter of Mary,Natalie,"2,755",131,5,"May 10, 2012","Guilty. I committed a great reading faux-pas. Years ago I read The Beekeeper's Apprentice and A Monstrous Regiment of Women. My book group was reading The Beekeeper's Apprentice , so I reread it and loved it even more than I remembered. I decided to buy the next two books in the series, A Monstrous Regiment of Women and A Letter of Mary, but alas, book #3, A Letter of Mary, arrived first. This was quite frustrating. I was so excited to read them and now I was presented with a dilemma. On the one hand, I believe that books should be read in order, it’s really the only way. On the other hand, I was aching to read more in this series. I decided to satiate my desire by just reading a few pages....Of course I should have known that I’m not to be trusted to stop reading a good book. And it was so good, so tantalizing, I found myself reading clear through to the end. I justified it by saying that I had already read A Monstrous Regiment of Women at one point, but I still felt like I’d been caught with my hand in the cookie jar.There is something so perfect about these books. I enjoy the mystery but I love the dialogue. I love the setting and the characters. I love the realism and how the characters pop to life. Mary and Sherlock are delightful in every way. Surprisingly, the age difference doesn’t bother me. It’s because their relationship is so sweet and tender. Most romances in books these days seem to play the lust card too heavily, focusing on the physical instead of the emotional and mental. King hardly ever touches the physical side of the relationship between Sherlock and Mary, but how much they care is felt in every word and gesture. That is a TRUE love story. It also makes you really think about what is important in relationships. After I read this book I did the only thing a true book lover could do when presented with a fabulous series – I got on Amazon and bought all the rest. ",33,6
93938,A Letter of Mary,Laura,734,265,4,"August 2, 2012","4.5 stars. A librarian who met her recently told me that Laurie R. King is a ""true intellectual,"" and after reading this third book in the Mary Russell series, I have to agree. Her books read like classics. They are books to savor and to thoroughly enjoy. I truly enjoyed this installment, and will definitely be continuing with the series. It didn't earn a five from me because it lacks the emotional power of my recent fives. However, it's extremely well-written, intelligent, and I love Russell and Holmes. What a team they make. It's as though Conan Doyle wrote it himself. I can't give it higher praise than that. ",21,4
93938,A Letter of Mary,Magdalena aka A Bookaholic Swede,"1,910",763,5,"January 31, 2016","The year is 1923, Mary Russell and Sherlock Holmes is at their home in Sussex Downs busy with their studies. Russell with theology and Holmes with some chemical experiments. Then they are visited by amateur archaeologist Miss Dorothy Ruskin with a startling puzzle for them. She has found in the Holy Land a roll of papyrus with a message from Mary Magdalene. A couple of days is Miss Ruskin killed in a traffic accident. But was it really an accident. The case in this book is intriguing with an ancient papyrus claimed to be written by Mary Magdalene and the death of Miss Ruskin. Was she murdered? And, if she was murdered, why? It’s up to Russell and Holmes to find out the truth. Like the previous two books a great story. I love the theology part of the story, with a papyrus that could very well be written by Mary Magdalene. I love how Laurie R. King manages to combine theology with crime, just like in the previous book. ",18,2
93938,A Letter of Mary,Stephanie Swint,165,41,4,"August 9, 2016","When I finished King’s second novel in this series, ‘A Monstrous Regiment of Women,’ I was left a bit uncomfortable and unhappy. King had always kept Mary and Sherlock’s relationship as a mentor and one of a guardian. At the end of that book Sherlock proposes. Their relationship while strained and questioning in the book hadn’t been romantic, but Mary had turned 21 and their relationship caused questions, especially when traveling together.My first response was that King was throwing in a needless romance and I was unhappy. Reading this series for me, however, is a family affair. My ever practical and precocious niece was put in the position where she had to educate her aunt(kindly of course.) She reminded me that I was judging the time of the book by present day values. I needed to remember that Sherlock and Mary could not continue working together without causing scandal and destroying Mary’s reputation. A marriage between a twenty-one year old woman and a fifty year old confirmed bachelor out of mutual respect rather than love was far more respectable than working alone together unchaperoned. My niece, of course, was absolutely correct. This, then thirteen year old is extremely smart, and her valuable insight allowed me to once again respect King’s skill and intelligence as a writer.This settled, I picked up ‘A Letter to Marry,’ with an audible sigh of contentment. This book starts with a visit from an elderly scholar and friend they had met in Palestine in book one. She gave a generous gift of a papyrus believed to have genuinely been written by Mary Magdalene. You can imagine how this would enrage and turn the academic community upside down if validated. Shortly, after their friend departs company she was in an automobile accident and dies. Foul play can not be ruled out, and Sherlock weedles Mary away from her research to investigate the cause of death.King did a wonderful job. I read mysteries frequently to escape. I’m not generally looking for an overly intelligent masterpiece but King is an exception to that rule. She provides an intelligent and exciting read. She creates a mystery I rarely guess the outcome of and a fabulously accurate piece of historical fiction as well. If you like Sherlock Holmes pick this up; if you enjoy pre WW II historical fiction pick this up; if you enjoy a fictionalized study of sociological gender roles and the human mind pick this up. I’m sounding like a broken record. I recommend you read it, but remember the series starts with ‘The Beekeepers Apprentice.’",13,4
93938,A Letter of Mary,Wanda Pedersen,"1,807",348,4,"August 28, 2019","
  ***2019 The Summer of Sherlock***
Whatever I may think of the whole Sherlock Holmes/Mary Russell relationship hook that King has used as the basis for this series, she is a masterful writer of the mystery genre in my opinion. I am perhaps biased, as I thoroughly enjoyed my time as a university student and studied three courses in Ancient Greek as well as a fair bit of Classical history (mostly influenced by H. Rider Haggard’s She: A History of Adventure, I confess) and during that period I was severely tempted by Biblical historicity and documents such as the Dead Sea Scrolls--I can envision myself being just as immersed in theological studies as Mary Russell. Since reading the first two Theodora Goss novels (The Strange Case of the Alchemist's Daughter and European Travel for the Monstrous Gentlewoman), I am also developing an affection for cross-pollination between fictional works and King provides that in several examples. I was amused when Mary returned from a research day in Oxford, mentioning that she had met a man named Tolkien who was involved in runes, mythology and linguistics. But the pièce de résistance was an encounter by Mary during an “undercover” adventure with Lord Peter Wimsey! He is never directly identified, but she does call him Pete and his behaviour is unmistakable. She has just been diverted from the buffet by the presence of two women who will unwittingly unmask her and has wandered back to a music room to contemplate her options. There she discovers Wimsey improvising “a three-way hybrid of Schubert’s “March Militaire” performed as a Goldberg Variation by Bach with Scott Joplin occasionally elbowing in,” based on Yes, We Have No Bananas. Mary enjoys watching him, “witnessing one of nature’s rare creatures in its own habitat.”He screwed his monocle into place with a gesture of buckling on armour, then glided smoothly out into the crowd. I watched with amusement as he greeted his hostess, kissed the fingers of a matched brace of dowagers, shook various hands, greeted the colonel and said something that made him laugh, scooped up three glasses of champagne from a passing tray, and finally, with the ease of a champion sheepdog, cut out his two victims from the flock. Within four minutes from leaving my side, he was strolling down the terrace stones, one fluttering female on each arm, and I stepped out to take a plate. Rule, Britannia, with an aristocracy like that.King, to my way of thinking, has perfectly nailed the spirit of Dorothy Sayers in this vignette. It made me ridiculously happy. It’s the sheepdog reference that cinched it for me--that is Sayers to the nth degree.My Summer of Sherlock is drawing to a close, but I am sure that I will continue reading this series for some time to come.",12,6
93938,A Letter of Mary,Mike Finn,"1,130",29,3,"September 8, 2020","Melancholic but strangely compelling""A Letter Of Mary"" is the third book in the Mary Russell series and the first one in which we see how Mary Russell and Sherlock Holmes function as a married couple.They are both formidable people: Holmes, in his sixties, almost retired from a career he made largely in the previous century, but still with a restless hunger for the intriguing; Russell, an independent, wealthy, woman in her twenties, with a passion for scholarship and a tendency to lose herself in her books for days at a time. The two of them with an almost decade-long relationship that has moved from master and apprentice, through professional partnership and on to a marriage that is, to both of them, the defining aspect of their lives and yet the part of it that have the least knowledge and experience of.They are serious, capable, responsible people. They can be intimidating, a fact they often take advantage of. They practice deception ruthlessly in the pursuit of their prey. Yet, together, they can laugh at their own hauteur and theatrics and they know each other so well that deception between them is impossible.In ""A Letter Of Mary"" Russell and Holmes work to find the murderer of a friend, yet they spend most of their time apart, pursuing different prey and restricted in contacting each other because of the personae they have adopted for the hunt.I found the overall tone of the book to be quite melancholic. The sources of the melancholy speak to the quality of the story-telling and character-building. The killing of Russell's friend carries a real weight of loss at possibilities ended and produces an indignant anger, that sometimes flairs into wrath, at those who would take a life. This something that is often missing from detectives stories where the dead are just body-shaped puzzles to be solved. The second source of melancholy comes from the attacks on Russell and Holmes' way of living: their home is violated, they are separated for the first time in their marriage, they are forced to confront the new fear they now have of losing each other.Russel and Holmes push through this melancholy with intellect and courage, powered by a strong sense of obligation to the dead woman and a refusal to give in to those who act against them. They are a source of strength to each other and their love is as deeply serious as everything else in their lives. I found it refreshing to see a commitment based on knowledge of the other person rather than a fog of romantic imaginings and hopes.The plot revolves around the death of an older woman, a Gertrude Bell sort of woman, who runs archaeological digs in the Middle East and occasionally acts in the service of the Crown.There are multiple possible murderers to be hunted. Russell's hunt requires her to take on the persona of Mary Small and work as a secretary for a Colonel well known for his temper and his misogyny. Although this experience appears to require Russell to become someone else, the process and her reactions to the men she meets causes her to learn a great deal more about herself.Much of the action in this book takes place off stage. The characters spend a great deal of time sitting together, sharing information and debating conclusions. The fights and threats of the two previous books are absent. I found this change of pace both refreshing and credible.I believe that, with this book, the series crossed over the threshold where I will be less interested in the plots of the individual books and more concerned with the development of the relationship between Russell and Holmes and the insights they have into life and how it should be lived along the way.",7,N/A
93938,A Letter of Mary,Kim,426,505,4,"October 17, 2011","This is the third book in King's Mary Russell / Sherlock Holmes series, and the more I read, the more I like the series. Russell is intelligent, lively, interesting and feisty - a worthy match for Holmes. King has said that Russell is what Holmes would be if he were female, born in the 20th Century and interested in theology (or words to that effect). In my view, that aspect of Russell has become clearer as the series has progressed. It is also what makes the pairing of the very young Russell and the aging Holmes both understandable and acceptable. Russell, a woman born in 1900, is representative of a new era. Her age and her gender are central to her importance as a character, and are just as important as the fact that her intellect is equal to that of Holmes. If anything lets this novel down, it's the resolution of the mystery.  A resolution which depends on the victim taking elaborate precautions to write and hide a new will because she ""felt"" that she was in danger felt a little contrived. And it may just be that I finished reading the book when I was tired, but it was not completely clear to me that discovering the secret of the box and the will actually helped nail the villains.. But I quibble. In reality, what makes this book and the series as a whole worth reading is not the mystery, but the characters and the setting, as well as the atmosphere they help create. For me, the highlight of the novel was the cameo appearance of Peter Wimsey in Chapter 17. There he was, Lord Peter to the life! It made me wonder whether the Sayers estate would have done better to get King rather than Jill Paton Walsh to complete Thrones, Dominations. There's also a mention of Tolkien in the novel, just to add a bit of Oxford literary flavour. Overall, this was a good read. The next book in the series, The Moor, is waiting in the pile.",6,51
93938,A Letter of Mary,John,730,23,3,"November 20, 2018","Mary Russell has noted the tell-tale signs of boredom in her husband, Sherlock Holmes, when his mind is not being stimulated with a case. His malaise ends when the couple receives an unexpected visit from a former acquaintance, Dorothy Ruskin, an amateur archeologist. Ms. Ruskin is seeking Mary's assistance in authenticating and translating a 1st century papyrus letter reportedly written by Mary Magdalene. Leaving the letter with Russell, she returns to London only to be killed in an apparent hit-in-run accident. However, when the couple begins looking into the accident they begin to believe that it was murder.Although I do enjoy Laurie King's writing and the relationship between Holmes and Russell, I believe that Sherlock Holmes himself summed up this novel at the end when he dejectedly tells Russell, ""I had such hope for this case...it's hardly worthy of any attention.""",6,N/A
93938,A Letter of Mary,Kirsten ,"1,565",251,3,"December 15, 2018",Nearly forgot to review this! Love this team. Mary has a wonderful personality and can stand up to Sherlock Holmes. It must be very hard and demanding being a partner to this man.The mystery was very good too and I loved the inclusion of Lord Peter Wimsey!,6,N/A
93938,A Letter of Mary,Sue Smith,"1,165",55,4,"March 29, 2018","I love Laurie King's writing, she's masterful at sweeping you up into the story without getting you bogged down in details. And it's ever so clever how she has insinuated Sherlock Holmes into the mix. Who would have though about him marrying?! Great way to keep him in the game without letting him take over the entire mystery, all the while keeping their relationship on an equal footing. Very lovely writing indeed!This one starts with an unexpected visit from an old scholastic friend of Mary Russell who spends her time in the middle East doing anthropological digs, but mainly focusing on the aspect of the role of the woman in those ancient cultures. Not that you get to far into that, but she brings up a very intriguing piece for the examination and opinion of her one and only female scholar who also has an interest in the subject of the ancient woman and her place in society, our own Mary Russell. It's left in her hands and the next thing you know her friend is run down by an automobile and our married crime solving duo is on the trail to determine if it's an accident or murder.It's murder of course! So the story whips into the who dunnit and the sleuthing to catch said criminal. It's not your typical mystery - you get a bit more of the humdrum of the sleuthing, the tediousness and the marginalizing of the importance of one characters investigation over the other. All the while exposing the impossibleness, the marginalizing of a woman's voice and how it's prevalent in everyday society - how men fight to keep it that way. Some things are hard to change.Great story! Looking forward to carrying on with the series!",5,N/A
