Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
16298,A Murder Is Announced,Madeline,766,46900,4,"July 9, 2010","By this point, I have given up trying to play Guess The Culprit with Agatha Christie mysteries. It's just not possible. She's like a magician who tells an audience that she's going to make a coin disappear and reappear. The coin disappears, and she tells you to watch her right hand. You, who have seen magic shows before, think ""Aha! Misdirection! I'll watch her left hand, and then I'll see how the trick is done."" So you're watching her left hand, and everyone else is watching her right hand, and then suddenly the coin appears out of nowhere and no one has any idea how she did that. Meanwhile the assistant, who you've completely forgotten about, has just transformed into a dog and then your brain explodes. That's what reading a good Agatha Christie book is like. This is one of the good ones. My favorite Christie stories are the ones where multiple people get murdered. A murder occurs, people start looking for the killer, and then BAM somebody else is found dead and you realize that whoever the killer is he/she is fucking nuts and you don't know who's going to die next. It adds a great deal of tension and urgency to the story, and I love it. Now I have two complaints, one serious and one absurd, that contributed to this book's four-instead-of-five star rating. The serious: Miss Marple is more present in this book than she was in The Body in the Library, but she still keeps to the sidelines a lot and it's frustrating. She's not even mentioned by name until page 95, and I think it'd be nice if she could solve a mystery on her own instead of waiting for the police to invite her into their Boys Only Mystery Solving Clubhouse. The absurd: Quotes like this, when the police are discussing the inhabitants of the village where the murder took place: ""'Nice old pussies and retired colonels. ...Lord, I wish I had my own particular old pussy here. Wouldn't she like to get her nice ladylike teeth into this?''Who's your own particular pussy, Henry? An aunt?'""Okay. I understand that Agatha Christie's definition of ""pussy"" is vastly different from my own. But this is like that part in Arrested Development where they actually got a character to call someone a pussy without it being censored, because they claimed it was a British term for a nice person. We all know what they're really doing, and that's delighting in being able to use that word freely on TV. (Speaking of Arrested Development, you should all be proud of me for resisting the urge to toss out an ""It's an illusion!"" reference during that magician analogy I made up there. You're welcome.) Once would be understandable, and a sign that my dirty mind has gone too far, but then it happens again: ""'Ye gods and little fishes,' said Sir Henry, 'can it be? George, it's my own particular, one and only, four-starred pussy. The super pussy of all old pussies.'""Oh come on, Christie. Now you're just messing with me. """,243,25
16298,A Murder Is Announced,Melindam,607,255,5,"October 9, 2022","I prefer Poirot-novels to Marple ones, but this book has always been in the Top 5 on my Agatha Christie favourites list. This time I actually put myself the question ""why"". It is NOT because of the investigation or the solution of the crime, even though it is very well done in the classic Agatha Christie style: red herrings are there to lead you astray; real clues are hidden in plain sight and yet elude you completely. The answer is characterization, which is perfect: concise and revealing. Dame Agatha depicts her characters without mercy (everyone has motive/potential/opportunity to commit murder) and yet with humour & a deep understanding (people are the same everywhere: we are all human with faults and foibles). This insight into characters as well as the milieu they are placed in reminds me a bit of Jane Austen and what she wrote to her niece Anna on writing novels: “3 or 4 Families in a Country village is the very thing to work on”. Also a quote from Elizabeth Bennet comes to mind: “Follies and nonsense, whims and inconsistencies do divert me, I own, and I laugh at them whenever I can.” So this mixture of Jane Austen & Agatha Christie which delights me in this particular novel.",100,8
16298,A Murder Is Announced,Yun,505,1800,4,"October 7, 2019","In A Murder Is Announced, a notice appears in the local papers stating the time and location of a murder. The neighbors, thinking it was all great fun, show up en masse. When a murder actually happens and it becomes clear this is no game, fear quickly takes over. In steps old, fussy, adorable Mrs. Marple, with her astute observations and keen awareness of human nature.This story is so fun and quintessentially Agatha Christie--a locked room mystery, a handful of suspects, and plenty of red herrings and secrets everywhere. And when it's all explained in the end, it's just so damn satisfying to have everything tie up in a logical manner. I had an inkling of the guilty party this time, though not the underlying motives, but that didn't diminish my enjoyment of this book.I first started reading Agatha Christie in 8th grade. Over the last few years, I've been embarking on a (slow) reread of her books with the goal of getting through them all. This is one of her personal favorites, so I had high expectations going in. And once again, as always, she doesn't let me down!",84,30
16298,A Murder Is Announced,carol.,"1,501",7546,4,"December 14, 2014","Taken from my blog post: https://clsiewert.wordpress.com/2014/...I grew up on Christie. At the time, I was limited to whatever my local library branch physically had on the shelves, so it took awhile to work my way through her bibliography, and even now, I’m not sure I’ve read all of her books. There was that pesky problem of British and American editions with separate titles, leaving me hopelessly confused about what I’ve read. Thankfully, A Murder is Announced had the same title in both editions, which might be why I remember it so well. It might also be because it is an amazingly well written with a nicely tricky mystery.Oh, Letty! A murder has been announced in the personals section of the local gazette. You kids may not know this, but that’s like Craigslist in print form. And game murder mysteries were old-fashioned acted-out parties where guests solved the mystery. That’s why the residents of the village of Chipping Cleghorn assume they are being invited. Nonetheless, a newspaper invite bit informal, so they contrive excuses to drop by Letitia Blacklock’s home. As they’re settled in, having a smoke and a sherry, a masked man holds them up. The lights go out. Shots echo in the dark room. When someone flips a light, the unknown masked intruder is dead. The police are prone to write it off as a burglary gone bad, except Inspector Craddock can’t quite let it go. His godfather points him in the direction of the little old ladies of the case, citing his own Miss Marple as an example. Before long, we meet her in person.Christie is in peak form here, displaying skill in every aspect of writing, balanced with atmosphere, character, mystery and philosophy, with not an excess word present. Oh sure, had Christie Sandersonized it, it could have been far beyond its 300 pages, filled with details about the village foliage or the design of their dresses. Except those details are there, and rarely does she tell us; we discover it in clever word choice or implicit in dialogue. This may be why A Murder is Announced is one of her better mysteries; though she provides a number of clues and red herrings, her details are so sparse that careful reading is needed. Come to think of it, Sanderson presents a symphony in a book, while Christie is the soloist, the violin virtuoso, each note given star attention.Clues are dropped. I wish I could give an opinion on the mystery, but the truth is, I’ve read this enough times that I remembered the solution, just not the reasoning. Still, astute minds in the Goodreads Agatha Christie Lovers group pointed out Dame Agatha was dropping subtle clues from the beginning, along with plenty of red herrings.Characterization is amazing. Scant descriptors, and yet every utterance hints at character. Check this brief oratory by an elderly gardener when being questioned:“‘I’ve no idea,’ said Craddock. ‘I suppose this hold-up caused a lot of talk?’“That it did. What’s us coming to? That’s what Ned Barker said. Comes of going to the pictures so much, he said. But Tom Riley, he says it comes of letting these furriners run about loose. And depend on it, he says, that girl that cooks up there for Miss Blacklock and ‘as such a nasty temper–she’s in it, he said. She’s a Communist or worse, he says, and we don’t like that sort ‘ere.’“All he does is talk, and with every sentence, Christie gives us the picture of the small town, the gossip, the dynamic between the young and the old, the long-time residents and the foreigners–or furriners, as he says. And so much about the man himself–what he chooses to share with police, his education, his speech pattern, his peer group. Clever, clever.The sly humor is a nice touch for an adult read–I’m not sure I picked up on it when I was younger.“‘And it isn’t,’ pursued Mrs. Swettenham, ‘as though you were a worker. You don’t do any work at all.’‘That’s not in the least true,’ said Edmund indignantly. ‘I’m writing a book.’‘I meant real work,’ said Mrs. Swettenham.“But I have no doubt that it was a great deal of work indeed, to craft a book that provides excellent entertainment, and yet such insight into the residents of a small English town. An enjoyable trip down memory lane that gives me all new appreciation for her skill.",68,15
16298,A Murder Is Announced,Anne,"3,785",6900,3,"February 16, 2020","I FIGURED IT OUT!Yess. I finally got one right!  Ok, the gist is that there is an advertisement in the local paper to come to Letitia Blacklock's house for a Murder that evening. Of course, they all suppose that it's one of those Murder Parties where they play as victims and detectives. So when a stranger shows up threatening to rob them and the lights go out? Well, no one is prepared to find the would-be robber dead and Letitia grazed by a bullet!Now the hunt is one to discover who wants Letitia dead, and (of course) not everyone in this sleepy village is who they are pretending to be!This was ok. It's not my favorite, but I did like Bunny quite a bit. And that's the thing with Miss Marple, she spends a lot of time lurking in the background of her own detective stories, so you sort of have to glom on to one of the other characters. And other than Bunny (who admittedly wasn't in it much) there just weren't a load of fantastic personalities to attach yourself to.But hey, I got one right!I. Am. A. Genius.As far as the audio goes, I like Joan Hickson as a narrator but I felt like I could hear her breathing a bit too much in this one. I kept hearing her snuffing in after every sentence and it was a tad distracting. I know, this sounds really awful, but it was like she was too close to the mic while she was recording or something. Publisher: HarperAudioEdition: UnabridgedJoan Hickson - Narrator",62,11
16298,A Murder Is Announced,Susan,"2,574",601,5,"April 1, 2017","Published in 1950, this is one of my favourite Miss Marple mysteries. It is set in the small village of Chipping Cleghorn, which is not unlike St Mary Mead, with its cast of local characters and, of course, a local newspaper – which is delivered every Friday. On Friday, October 29th, the paper is perused by the villagers, who discover an odd message in the Personal column: “A Murder is Announced and will take place on Friday, October 29th at Little Paddocks at 6:30pm. Friends please accept this the only intimation.”Of course, Miss Letitia Blacklock, of Little Paddocks, who lives with her old friend, Dora Bunner, young cousins Patrick and Julia, war widow Philippa Haymes and a volatile European refugee cook, named Mitzi, has no choice but to act as hostess to the gathering of local villagers who ‘drop by’ to see what will happen. What actually does happen is murder, when a young man holds up the room at the appointed time, and the stage is set for a wonderfully convoluted plot, involving the will of a wealthy financial, a great cast of possible suspects and some romance.The crime is investigated by Detective Inspector Dermot Craddock, who turns out to be the godson of Sir Henry Clithering, the ex-commissioner of Scotland Yard, who is a great believer in the powers of Miss Marple. Sir Henry is delighted when she turns out to be staying at the very hotel where the young man, who incongruously appeared at Little Paddocks, worked. By chance, she knows Bunch Harmon, one of the locals who turned up at Miss Blacklock’s, so she immediately re-locates to Chipping Cleghorn, in order to aid the investigation.One of the most notable things about this mystery is not only the classic Christie setting, and characters, but the fact that the author makes much use of the changing world after WWII. Whereas before, Miss Marple bemoans, you knew who everybody was and where they came from, now people are displaced, move away and you take them at face value. With people bringing back guns from their time in the army as souvenirs, not locking doors and allowing neighbours access to their homes and having to accept people are who they say they are, this allows Christie freedom to really enjoy herself with red herrings, identities and clues. A thoroughly enjoyable mystery, with Miss Marple highly involved in the action.",54,7
16298,A Murder Is Announced,Adrian,538,194,4,"April 2, 2017","Review to follow when I can get to my laptop :)Right I now have access to a proper keyboard, so I can write my review. Now this book to me was heading for 5 stars, until one particular incident  when Miss Marple hides in the cupboard (that bit is ok) but then mimics the dead Dora to unnerve Ms Blacklock. This to me sounded very unlikely, and indeed completely unnecessary as they had just caught Ms Blacklock trying to murder Mitzi .That apart it was an excellent mystery with Miss Marple on fine form. Although it wasn't set in St Mary Mead, it was set in Chipping Leghorn which is inhabited by similar people with similar characteristics and lives. For once I did latch onto a couple of clues along the way, so the denouement was not a complete surprise, although I did have vague memories of the Joan Hickson TV episode.All in all thoroughly enjoyable, and I look forward to the next book in the series",53,9
16298,A Murder Is Announced,Carol She's So Novel꧁꧂ ,773,552,3,"May 8, 2017","3.5★I seem to be out of synch with most of Christie's other fans, as, in spite of the very original scene setting beginning, I don't consider this one of The Divine Christie's better works.Other than the beginning, the other pluses were some great dialogue, learning more about life in wartime Britain. and the unintentionally hilarious mentions of old pussies! ""Ye Gods and Little Fishes,"" said Sir Henry, ""can it be? George, it's my own particular, one and only four starred Pussy. The super Pussy of all old Pussies...""Ok, I know I'm being childish! :DBut every character was so dismissive of foreign refugee Mitzi's suffering. And coincidence was stretched a bit far with  so many characters who weren't who they said they were. I also found Miss M's actions at the end a bit unlikely.Still a good escapist bit of writing - just don't go in with big expectations!",51,5
16298,A Murder Is Announced,daph pink ♡ ,877,3015,5,"January 8, 2022", Agatha Christie Book Reading ChallengeBOOK 15 :- FEB 20205 STARS ,47,N/A
16298,A Murder Is Announced,Hamad,971,1285,4,"September 8, 2019"," This Review ✍️ Blog 📖 Twitter 🐦 Instagram 📷
  “Of course, if you’ve made up your mind about it, you’ll find an answer to everything.”
🌟 Agatha’s book are my escape into the crime world when I want something I am pretty sure I will like! This is my second book in the Miss Marple series and I definitely liked it more than the first but I think I am a bigger fan of Poirot as he is more involved in the crime usually!🌟 The idea of this book is that a murder is announced in the local newspaper and people start getting curious of what is this about and they gather at the announced location, only for the murder to happen for real! The rest of the book is an investigation of how things happened and was it intentional or not. Agatha’s ability to write full novels in few pages still blows my mind every time!🌟 The writing is one of my favorites. Agatha has that magical writing that makes you intrigued and thinking to the last moment. As usual most of the characters are introduced quickly in the first chapters but then we get to know them all at the subsequent chapters and you will end up feeling for them for sure! No one understand human psychology as Agatha did! Miss Marple reminds me of my Grandma, a very smart and cunning woman that you do not want to miss with so that makes her get a special place in my heart now!🌟 I thought I was smart this time when halfway through the book I made a connection and thought I got it sorted out, only to be surprised later that one of the characters mentions that and the detective don’t buy it for reasons that are explained later! And as always everything makes sense at the end and you as a reader will feel a bit silly for missing all the hints!🌟 Summary: I don’t need to talk much about Agatha as she is well known and if you have not read any of her books then what are you waiting for?! The lady was a genius and I do want to read all of her 80 books. The fact that this one was written in 1950 makes the experience more amazing too!you can get the book from here: Book Depository",46,5
