Title,URL
And Then There Were None,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None
"Murder on the Orient Express (Hercule Poirot, #9)",https://www.goodreads.com/book/show/853510.Murder_on_the_Orient_Express
"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo
Gone Girl,https://www.goodreads.com/book/show/19288043-gone-girl
The Girl on the Train,https://www.goodreads.com/book/show/22557272-the-girl-on-the-train
"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/book/show/968.The_Da_Vinci_Code
"The Mysterious Affair at Styles (Hercule Poirot, #1)",https://www.goodreads.com/book/show/52843028-the-mysterious-affair-at-styles
"The Cuckoo's Calling (Cormoran Strike, #1)",https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling
"Angels & Demons (Robert Langdon, #1)",https://www.goodreads.com/book/show/960.Angels_Demons
"One of Us Is Lying (One of Us is Lying, #1)",https://www.goodreads.com/book/show/58679358-one-of-us-is-lying
"The Murder of Roger Ackroyd (Hercule Poirot, #3)",https://www.goodreads.com/book/show/16328.The_Murder_of_Roger_Ackroyd
"In the Woods (Dublin Murder Squad, #1)",https://www.goodreads.com/book/show/2459785.In_the_Woods
The Seven Deaths of Evelyn Hardcastle,https://www.goodreads.com/book/show/62229748-the-seven-deaths-of-evelyn-hardcastle
"A Study in Scarlet (Sherlock Holmes, #1)",https://www.goodreads.com/book/show/102868.A_Study_in_Scarlet
The Silent Patient,https://www.goodreads.com/book/show/40097951-the-silent-patient
"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire
"Death on the Nile (Hercule Poirot, #16)",https://www.goodreads.com/book/show/131359.Death_on_the_Nile
"The Hound of the Baskervilles (Sherlock Holmes, #5)",https://www.goodreads.com/book/show/8921.The_Hound_of_the_Baskervilles
"Still Life (Chief Inspector Armand Gamache, #1)",https://www.goodreads.com/book/show/338691.Still_Life
"The Sweetness at the Bottom of the Pie (Flavia de Luce, #1)",https://www.goodreads.com/book/show/40605285-the-sweetness-at-the-bottom-of-the-pie
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder
The Guest List,https://www.goodreads.com/book/show/51933429-the-guest-list
Sharp Objects,https://www.goodreads.com/book/show/18045891-sharp-objects
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/book/show/6892870-the-girl-who-kicked-the-hornet-s-nest
"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes
"The Inheritance Games (The Inheritance Games, #1)",https://www.goodreads.com/book/show/52439531-the-inheritance-games
"One for the Money (Stephanie Plum, #1)",https://www.goodreads.com/book/show/6853.One_for_the_Money
"Truly Devious (Truly Devious, #1)",https://www.goodreads.com/book/show/29589074-truly-devious
Murder at the Vicarage,https://www.goodreads.com/book/show/16331.Murder_at_the_Vicarage
"The Silkworm (Cormoran Strike, #2)",https://www.goodreads.com/book/show/18214414-the-silkworm
Dark Places,https://www.goodreads.com/book/show/5886881-dark-places
"The A.B.C. Murders (Hercule Poirot, #12)",https://www.goodreads.com/book/show/16322.The_A_B_C_Murders
Where the Crawdads Sing,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing
Rebecca,https://www.goodreads.com/book/show/17899948-rebecca
We Were Liars,https://www.goodreads.com/book/show/16143347-we-were-liars
"The Thursday Murder Club (Thursday Murder Club, #1)",https://www.goodreads.com/book/show/46000520-the-thursday-murder-club
The Woman in Cabin 10,https://www.goodreads.com/book/show/28187230-the-woman-in-cabin-10
The Westing Game,https://www.goodreads.com/book/show/902.The_Westing_Game
"The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency, #1)",https://www.goodreads.com/book/show/7061.The_No_1_Ladies_Detective_Agency
"The Lost Symbol (Robert Langdon, #3)",https://www.goodreads.com/book/show/6411961-the-lost-symbol
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",https://www.goodreads.com/book/show/1232.The_Shadow_of_the_Wind
The Woman in the Window,https://www.goodreads.com/book/show/40389527-the-woman-in-the-window
The Curious Incident of the Dog in the Night-Time,https://www.goodreads.com/book/show/1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time
"Magpie Murders (Susan Ryeland, #1)",https://www.goodreads.com/book/show/32075854-magpie-murders
"Maisie Dobbs (Maisie Dobbs, #1)",https://www.goodreads.com/book/show/462033.Maisie_Dobbs
"The Sign of Four (Sherlock Holmes, #2)",https://www.goodreads.com/book/show/608474.The_Sign_of_Four
The Secret History,https://www.goodreads.com/book/show/29044.The_Secret_History
"Career of Evil (Cormoran Strike, #3)",https://www.goodreads.com/book/show/40611999-career-of-evil
"The Beekeeper's Apprentice (Mary Russell and Sherlock Holmes, #1)",https://www.goodreads.com/book/show/91661.The_Beekeeper_s_Apprentice
The Body in the Library,https://www.goodreads.com/book/show/16319.The_Body_in_the_Library
The Maid,https://www.goodreads.com/book/show/55196813-the-maid
"A Fatal Grace (Chief Inspector Armand Gamache, #2)",https://www.goodreads.com/book/show/352921.A_Fatal_Grace
"Crocodile on the Sandbank (Amelia Peabody, #1)",https://www.goodreads.com/book/show/40881649-crocodile-on-the-sandbank
"A is for Alibi (Kinsey Millhone, #1)",https://www.goodreads.com/book/show/64863.A_is_for_Alibi
The Lovely Bones,https://www.goodreads.com/book/show/12232938-the-lovely-bones
The Thirteenth Tale,https://www.goodreads.com/book/show/40440.The_Thirteenth_Tale
"The Murder on the Links (Hercule Poirot, #2)",https://www.goodreads.com/book/show/51132354-the-murder-on-the-links
Big Little Lies,https://www.goodreads.com/book/show/33516773-big-little-lies
The Complete Sherlock Holmes,https://www.goodreads.com/book/show/188572.The_Complete_Sherlock_Holmes
"The Likeness (Dublin Murder Squad, #2)",https://www.goodreads.com/book/show/5941114-the-likeness
