date,added,ratings,reviews,to-read
2022-08-16,28,15,1,14
2022-08-17,45,5,2,15
2022-08-18,30,14,4,10
2022-08-19,37,18,2,9
2022-08-20,46,21,3,11
2022-08-21,43,17,1,12
2022-08-22,40,16,0,13
2022-08-23,26,25,3,11
2022-08-24,33,8,1,10
2022-08-25,39,15,0,11
2022-08-26,42,20,1,10
2022-08-27,28,14,2,11
2022-08-28,41,15,0,10
2022-08-29,28,-14,1,8
2022-08-30,32,14,3,13
2022-08-31,34,20,0,10
2022-09-01,25,15,1,10
2022-09-02,32,12,2,12
2022-09-03,35,10,1,9
2022-09-04,48,23,0,11
2022-09-05,27,16,1,9
2022-09-06,39,3,1,13
2022-09-07,34,10,1,14
2022-09-08,32,11,0,11
2022-09-09,39,15,1,11
2022-09-10,34,11,0,11
2022-09-11,26,9,0,12
2022-09-12,34,5,0,13
2022-09-13,31,8,1,12
2022-09-14,23,12,0,7
2022-09-15,23,12,2,9
2022-09-16,35,12,1,8
2022-09-17,46,18,6,17
2022-09-18,27,15,1,11
2022-09-19,35,10,0,11
2022-09-20,26,19,0,8
2022-09-21,30,12,0,15
2022-09-22,31,11,0,8
2022-09-23,29,6,1,10
2022-09-24,41,16,1,13
2022-09-25,32,11,0,9
2022-09-26,23,-11,1,14
2022-09-27,38,-12,0,13
2022-09-28,22,-18,0,8
2022-09-29,21,-24,0,5
2022-09-30,30,10,1,6
2022-10-01,38,12,0,14
2022-10-02,23,-14,0,4
2022-10-03,32,-18,1,7
2022-10-04,27,8,1,8
2022-10-05,24,7,1,6
2022-10-06,33,11,1,12
2022-10-07,33,12,0,12
2022-10-08,26,3,2,11
2022-10-09,37,-6,0,17
2022-10-10,38,5,1,12
2022-10-11,28,2,1,7
2022-10-12,35,-7,1,8
2022-10-13,22,10,-1,4
2022-10-14,18,-40,0,7
2022-10-15,30,0,0,11
2022-10-16,34,-45,2,15
2022-10-17,32,-34,2,6
2022-10-18,28,6,0,5
2022-10-19,37,8,1,12
2022-10-20,23,8,2,8
2022-10-21,20,3,0,13
2022-10-22,27,-1,1,8
2022-10-23,25,-31,0,5
2022-10-24,29,-14,2,8
2022-10-25,20,-5,1,6
2022-10-26,14,6,0,2
2022-10-27,26,5,0,8
2022-10-28,25,13,1,6
2022-10-29,35,4,0,9
2022-10-30,39,15,0,9
2022-10-31,18,-8,0,6
2022-11-01,34,13,1,11
2022-11-02,25,11,1,7
2022-11-03,38,2,1,7
2022-11-04,21,6,0,8
2022-11-05,30,10,0,9
2022-11-06,35,5,1,9
2022-11-07,20,9,1,9
2022-11-08,25,6,1,6
2022-11-09,20,10,3,8
2022-11-10,18,12,0,8
2022-11-11,24,10,2,7
2022-11-12,26,10,2,5
2022-11-13,33,10,2,11
2022-11-14,24,8,1,5
2022-11-15,39,13,0,12
2022-11-16,28,11,2,11
2022-11-17,17,6,0,5
2022-11-18,36,11,2,10
2022-11-19,35,6,1,12
2022-11-20,26,9,0,9
2022-11-21,13,13,1,4
2022-11-22,20,7,1,4
2022-11-23,21,7,0,3
2022-11-24,27,8,1,10
2022-11-25,28,7,0,13
2022-11-26,39,17,1,7
2022-11-27,37,9,0,7
2022-11-28,23,12,0,8
2022-11-29,22,9,2,4
2022-11-30,34,12,1,15
2022-12-01,32,16,4,8
2022-12-02,33,7,0,9
2022-12-03,32,12,1,9
2022-12-04,31,4,1,15
2022-12-05,24,6,0,7
2022-12-06,32,11,0,9
2022-12-07,24,10,0,12
2022-12-08,26,10,1,12
2022-12-09,28,9,-1,6
2022-12-10,28,13,0,9
2022-12-11,26,5,1,13
2022-12-12,24,4,0,8
2022-12-13,25,12,3,5
2022-12-14,42,12,0,11
2022-12-15,31,16,0,7
2022-12-16,30,7,0,12
2022-12-17,44,13,1,13
2022-12-18,31,10,1,11
2022-12-19,24,10,-1,7
2022-12-20,25,10,3,9
2022-12-21,32,5,0,7
2022-12-22,46,17,3,18
2022-12-23,33,14,0,11
2022-12-24,42,14,0,8
2022-12-25,33,15,0,10
2022-12-26,46,17,0,13
2022-12-27,42,12,2,17
2022-12-28,54,9,2,18
2022-12-29,49,18,1,26
2022-12-30,60,20,0,15
2022-12-31,81,25,2,28
2023-01-01,93,17,1,37
2023-01-02,73,24,2,29
2023-01-03,65,25,0,16
2023-01-04,50,13,1,23
2023-01-05,56,20,0,19
2023-01-06,56,17,2,16
2023-01-07,56,17,0,14
2023-01-08,64,27,3,20
2023-01-09,48,18,0,11
2023-01-10,62,15,1,12
2023-01-11,45,16,2,23
2023-01-12,41,5,0,12
2023-01-13,47,5,1,17
2023-01-14,37,16,3,14
2023-01-15,56,16,1,17
2023-01-16,57,16,1,18
2023-01-17,44,15,0,13
2023-01-18,41,10,3,12
2023-01-19,31,12,0,10
2023-01-20,23,10,3,9
2023-01-21,46,8,1,14
2023-01-22,39,12,1,17
2023-01-23,46,12,1,17
2023-01-24,27,8,1,9
2023-01-25,32,9,0,9
2023-01-26,45,9,1,12
2023-01-27,32,16,0,13
2023-01-28,42,7,1,18
2023-01-29,54,12,2,20
2023-01-30,36,7,0,17
2023-01-31,51,17,2,16
