date,added,ratings,reviews,to-read
2022-08-16,26,9,0,8
2022-08-17,39,8,0,10
2022-08-18,15,10,2,5
2022-08-19,35,14,0,9
2022-08-20,48,25,1,12
2022-08-21,28,15,1,12
2022-08-22,21,17,1,7
2022-08-23,36,10,1,13
2022-08-24,21,3,0,5
2022-08-25,30,12,0,6
2022-08-26,23,13,0,5
2022-08-27,35,10,1,13
2022-08-28,31,12,1,8
2022-08-29,20,-12,3,8
2022-08-30,44,13,0,14
2022-08-31,22,14,0,5
2022-09-01,31,19,1,8
2022-09-02,28,8,1,11
2022-09-03,25,9,0,6
2022-09-04,35,12,0,12
2022-09-05,43,24,1,10
2022-09-06,30,-4,0,5
2022-09-07,35,18,0,10
2022-09-08,30,20,0,3
2022-09-09,19,11,0,5
2022-09-10,14,7,0,1
2022-09-11,20,6,0,5
2022-09-12,19,8,0,9
2022-09-13,20,6,0,7
2022-09-14,18,6,1,6
2022-09-15,23,22,1,4
2022-09-16,35,20,0,6
2022-09-17,28,8,0,12
2022-09-18,42,26,1,6
2022-09-19,24,21,1,8
2022-09-20,32,31,0,3
2022-09-21,34,25,0,6
2022-09-22,33,22,1,6
2022-09-23,43,-15,1,6
2022-09-24,33,24,0,4
2022-09-25,44,22,0,12
2022-09-26,28,-5,0,4
2022-09-27,45,-14,0,5
2022-09-28,32,-36,0,9
2022-09-29,29,-100,0,4
2022-09-30,23,11,0,1
2022-10-01,31,20,3,7
2022-10-02,30,-17,2,5
2022-10-03,22,-18,0,10
2022-10-04,17,10,0,5
2022-10-05,10,7,0,1
2022-10-06,11,4,1,6
2022-10-07,15,3,1,3
2022-10-08,22,8,1,7
2022-10-09,25,-4,0,6
2022-10-10,25,5,1,4
2022-10-11,22,2,0,11
2022-10-12,15,-20,0,6
2022-10-13,9,5,0,5
2022-10-14,20,-42,0,8
2022-10-15,23,-2,0,10
2022-10-16,19,-59,1,4
2022-10-17,17,-24,0,3
2022-10-18,21,-2,0,7
2022-10-19,28,4,0,5
2022-10-20,19,3,1,4
2022-10-21,18,5,0,7
2022-10-22,21,-3,0,9
2022-10-23,20,-35,1,3
2022-10-24,19,-28,1,5
2022-10-25,12,-31,0,3
2022-10-26,15,8,0,5
2022-10-27,26,10,1,9
2022-10-28,28,13,0,8
2022-10-29,21,8,0,4
2022-10-30,25,4,0,9
2022-10-31,28,-19,2,7
2022-11-01,21,5,0,8
2022-11-02,20,6,0,6
2022-11-03,11,-3,0,3
2022-11-04,22,3,0,10
2022-11-05,14,9,1,2
2022-11-06,24,6,0,8
2022-11-07,22,8,0,5
2022-11-08,13,6,0,3
2022-11-09,21,1,0,12
2022-11-10,24,12,0,5
2022-11-11,23,10,1,7
2022-11-12,21,7,1,7
2022-11-13,22,3,0,9
2022-11-14,24,10,2,7
2022-11-15,18,6,1,7
2022-11-16,7,5,0,4
2022-11-17,18,4,0,6
2022-11-18,13,5,1,4
2022-11-19,12,6,0,7
2022-11-20,26,9,1,10
2022-11-21,14,6,0,5
2022-11-22,13,5,0,4
2022-11-23,14,4,0,2
2022-11-24,24,9,0,4
2022-11-25,16,8,0,4
2022-11-26,28,11,0,4
2022-11-27,22,10,0,4
2022-11-28,15,6,0,7
2022-11-29,17,7,0,5
2022-11-30,31,14,1,8
2022-12-01,21,6,0,10
2022-12-02,19,7,1,6
2022-12-03,23,6,0,8
2022-12-04,16,4,0,2
2022-12-05,19,8,2,7
2022-12-06,25,10,1,5
2022-12-07,26,17,1,5
2022-12-08,11,9,0,4
2022-12-09,21,8,0,6
2022-12-10,23,5,0,9
2022-12-11,13,8,0,4
2022-12-12,31,12,1,9
2022-12-13,18,6,1,10
2022-12-14,21,3,1,6
2022-12-15,19,8,1,5
2022-12-16,20,4,0,6
2022-12-17,17,6,0,9
2022-12-18,16,5,0,4
2022-12-19,21,12,0,4
2022-12-20,13,2,0,5
2022-12-21,25,1,0,6
2022-12-22,19,9,0,4
2022-12-23,14,8,0,3
2022-12-24,17,10,1,11
2022-12-25,26,4,0,9
2022-12-26,25,8,0,8
2022-12-27,33,17,0,9
2022-12-28,38,11,1,12
2022-12-29,21,6,1,10
2022-12-30,36,12,0,12
2022-12-31,32,18,0,15
2023-01-01,44,10,1,16
2023-01-02,37,11,2,15
2023-01-03,28,9,0,9
2023-01-04,26,12,0,7
2023-01-05,22,11,0,8
2023-01-06,26,6,1,8
2023-01-07,26,4,1,10
2023-01-08,27,10,0,14
2023-01-09,30,14,0,15
2023-01-10,29,4,1,13
2023-01-11,19,10,0,11
2023-01-12,30,-44,1,10
2023-01-13,28,-67,0,8
2023-01-14,30,6,1,13
2023-01-15,40,8,1,17
2023-01-16,32,4,0,17
2023-01-17,22,3,0,9
2023-01-18,31,8,3,11
2023-01-19,18,6,2,7
2023-01-20,16,5,1,10
2023-01-21,26,7,0,10
2023-01-22,35,8,2,12
2023-01-23,27,5,0,8
2023-01-24,26,6,1,9
2023-01-25,30,7,0,12
2023-01-26,22,5,0,9
2023-01-27,20,9,3,9
2023-01-28,21,5,1,8
2023-01-29,21,7,0,7
2023-01-30,10,3,0,3
2023-01-31,17,4,0,7
