date,added,ratings,reviews,to-read
2022-08-16,10,0,0,3
2022-08-17,8,2,0,2
2022-08-18,10,3,0,1
2022-08-19,3,2,0,1
2022-08-20,6,1,0,2
2022-08-21,6,3,0,2
2022-08-22,8,2,0,1
2022-08-23,4,1,0,1
2022-08-24,9,3,0,3
2022-08-25,1,1,0,0
2022-08-26,6,0,0,2
2022-08-27,2,3,0,0
2022-08-28,3,1,0,0
2022-08-29,6,1,0,1
2022-08-30,9,4,0,2
2022-08-31,7,3,0,2
2022-09-01,4,1,0,1
2022-09-02,2,1,0,0
2022-09-03,8,1,0,2
2022-09-04,7,3,0,2
2022-09-05,5,1,0,4
2022-09-06,3,1,0,0
2022-09-07,6,1,0,1
2022-09-08,8,1,0,2
2022-09-09,8,2,0,3
2022-09-10,10,2,0,2
2022-09-11,3,5,0,0
2022-09-12,4,0,1,0
2022-09-13,2,0,0,0
2022-09-14,3,1,0,1
2022-09-15,3,2,0,1
2022-09-16,7,3,0,2
2022-09-17,0,0,0,0
2022-09-18,9,1,0,2
2022-09-19,4,2,0,1
2022-09-20,0,1,0,0
2022-09-21,8,1,0,1
2022-09-22,4,2,0,2
2022-09-23,6,1,0,2
2022-09-24,6,2,0,2
2022-09-25,2,1,0,1
2022-09-26,3,3,0,1
2022-09-27,8,1,0,3
2022-09-28,10,7,0,3
2022-09-29,3,3,0,1
2022-09-30,7,0,0,0
2022-10-01,10,4,0,2
2022-10-02,7,4,0,2
2022-10-03,4,2,0,0
2022-10-04,6,2,0,2
2022-10-05,0,1,0,0
2022-10-06,4,1,0,2
2022-10-07,7,3,0,1
2022-10-08,11,9,0,0
2022-10-09,4,2,0,1
2022-10-10,5,0,0,1
2022-10-11,6,1,0,2
2022-10-12,6,-1,0,1
2022-10-13,3,2,0,2
2022-10-14,4,1,0,1
2022-10-15,8,4,1,1
2022-10-16,7,3,0,2
2022-10-17,3,3,0,0
2022-10-18,2,2,0,0
2022-10-19,8,2,0,1
2022-10-20,3,0,0,1
2022-10-21,5,1,0,2
2022-10-22,9,2,1,2
2022-10-23,7,5,0,2
2022-10-24,8,2,0,3
2022-10-25,6,2,0,3
2022-10-26,4,1,0,1
2022-10-27,5,1,0,2
2022-10-28,2,1,0,0
2022-10-29,2,2,1,0
2022-10-30,1,1,0,1
2022-10-31,2,2,0,0
2022-11-01,4,2,1,2
2022-11-02,5,3,0,1
2022-11-03,4,2,0,1
2022-11-04,5,2,0,1
2022-11-05,9,3,1,1
2022-11-06,4,0,0,0
2022-11-07,4,2,0,1
2022-11-08,4,2,0,0
2022-11-09,2,1,0,0
2022-11-10,2,1,0,0
2022-11-11,6,1,0,1
2022-11-12,6,3,0,1
2022-11-13,3,2,0,1
2022-11-14,6,1,0,2
2022-11-15,4,2,0,3
2022-11-16,9,2,0,3
2022-11-17,1,0,0,0
2022-11-18,8,3,0,0
2022-11-19,3,2,0,0
2022-11-20,7,-1,0,2
2022-11-21,4,3,0,1
2022-11-22,5,2,0,0
2022-11-23,2,2,0,1
2022-11-24,6,1,0,2
2022-11-25,5,0,0,2
2022-11-26,7,2,0,0
2022-11-27,9,3,0,0
2022-11-28,5,4,0,0
2022-11-29,5,4,1,1
2022-11-30,7,2,0,1
2022-12-01,8,6,0,0
2022-12-02,4,3,0,0
2022-12-03,2,1,0,1
2022-12-04,2,1,0,1
2022-12-05,6,2,1,0
2022-12-06,17,7,0,2
2022-12-07,9,6,0,2
2022-12-08,3,4,0,1
2022-12-09,7,3,0,2
2022-12-10,4,0,0,2
2022-12-11,5,2,1,1
2022-12-12,3,1,0,0
2022-12-13,13,4,0,3
2022-12-14,10,2,0,4
2022-12-15,4,1,0,1
2022-12-16,6,2,0,1
2022-12-17,3,1,0,0
2022-12-18,3,1,0,0
2022-12-19,5,2,0,2
2022-12-20,4,2,0,2
2022-12-21,13,4,0,2
2022-12-22,5,4,0,2
2022-12-23,11,4,1,1
2022-12-24,4,3,1,1
2022-12-25,6,2,0,3
2022-12-26,6,0,0,2
2022-12-27,9,0,0,2
2022-12-28,5,2,0,1
2022-12-29,15,4,0,6
2022-12-30,16,4,0,2
2022-12-31,20,8,0,4
2023-01-01,13,5,0,3
2023-01-02,10,5,1,1
2023-01-03,11,3,0,5
2023-01-04,6,4,0,3
2023-01-05,5,4,0,2
2023-01-06,7,2,0,2
2023-01-07,8,3,0,1
2023-01-08,6,3,0,3
2023-01-09,6,5,0,2
2023-01-10,13,3,0,3
2023-01-11,8,3,0,3
2023-01-12,7,5,1,2
2023-01-13,2,-1,0,0
2023-01-14,16,7,0,2
2023-01-15,14,9,0,4
2023-01-16,6,3,0,2
2023-01-17,8,4,0,0
2023-01-18,5,0,0,3
2023-01-19,6,1,0,2
2023-01-20,2,3,0,1
2023-01-21,5,0,1,3
2023-01-22,11,2,0,1
2023-01-23,4,3,0,1
2023-01-24,9,4,0,1
2023-01-25,5,1,1,3
2023-01-26,8,1,0,1
2023-01-27,11,4,0,3
2023-01-28,3,1,0,0
2023-01-29,9,5,0,1
2023-01-30,6,2,0,4
2023-01-31,5,3,0,0
