date,added,ratings,reviews,to-read
2022-08-16,16,9,1,4
2022-08-17,22,10,0,7
2022-08-18,23,6,0,10
2022-08-19,16,15,1,6
2022-08-20,27,17,0,3
2022-08-21,25,14,0,6
2022-08-22,19,14,0,4
2022-08-23,12,12,1,3
2022-08-24,23,1,0,12
2022-08-25,11,4,0,2
2022-08-26,25,13,0,5
2022-08-27,13,8,0,2
2022-08-28,16,-1,1,6
2022-08-29,11,-25,0,3
2022-08-30,20,7,1,4
2022-08-31,26,7,0,2
2022-09-01,14,9,0,7
2022-09-02,18,1,0,7
2022-09-03,19,5,0,7
2022-09-04,19,5,2,7
2022-09-05,17,2,0,5
2022-09-06,23,-12,0,6
2022-09-07,23,12,0,7
2022-09-08,8,5,0,1
2022-09-09,19,6,1,5
2022-09-10,13,2,0,7
2022-09-11,15,2,0,3
2022-09-12,15,3,0,8
2022-09-13,19,8,0,6
2022-09-14,16,3,1,5
2022-09-15,20,14,0,6
2022-09-16,19,15,0,3
2022-09-17,9,0,0,4
2022-09-18,24,9,1,5
2022-09-19,23,16,0,3
2022-09-20,29,20,0,4
2022-09-21,24,15,0,2
2022-09-22,18,15,0,5
2022-09-23,31,-9,0,5
2022-09-24,25,17,0,6
2022-09-25,19,16,0,5
2022-09-26,12,-30,0,1
2022-09-27,24,-33,0,5
2022-09-28,18,-50,0,9
2022-09-29,26,-112,0,8
2022-09-30,20,9,3,6
2022-10-01,14,4,0,4
2022-10-02,17,-25,0,3
2022-10-03,15,-17,1,5
2022-10-04,14,2,1,6
2022-10-05,12,6,1,6
2022-10-06,11,2,1,3
2022-10-07,20,5,1,5
2022-10-08,19,9,1,7
2022-10-09,9,-27,1,5
2022-10-10,13,7,0,1
2022-10-11,12,2,0,2
2022-10-12,13,-27,0,7
2022-10-13,7,0,0,5
2022-10-14,17,-62,2,6
2022-10-15,15,-1,0,6
2022-10-16,18,-71,0,5
2022-10-17,100,-36,0,81
2022-10-18,50,-5,1,43
2022-10-19,14,4,0,7
2022-10-20,15,2,0,6
2022-10-21,12,1,1,5
2022-10-22,10,-6,0,5
2022-10-23,19,-59,0,10
2022-10-24,19,-47,0,10
2022-10-25,17,-29,1,6
2022-10-26,15,8,0,6
2022-10-27,14,6,0,3
2022-10-28,14,10,1,6
2022-10-29,16,5,0,6
2022-10-30,22,-5,0,4
2022-10-31,12,-19,0,4
2022-11-01,14,4,1,6
2022-11-02,11,4,0,6
2022-11-03,12,-10,0,6
2022-11-04,8,5,0,2
2022-11-05,18,3,1,9
2022-11-06,18,8,0,5
2022-11-07,13,5,2,5
2022-11-08,15,4,0,3
2022-11-09,16,4,0,9
2022-11-10,10,6,0,2
2022-11-11,15,6,0,8
2022-11-12,14,2,0,6
2022-11-13,18,3,1,8
2022-11-14,18,6,0,8
2022-11-15,19,8,0,7
2022-11-16,8,4,0,2
2022-11-17,18,9,2,7
2022-11-18,19,4,1,7
2022-11-19,17,4,0,10
2022-11-20,14,6,0,5
2022-11-21,9,4,1,3
2022-11-22,18,3,0,6
2022-11-23,16,3,0,8
2022-11-24,16,6,0,5
2022-11-25,11,8,0,4
2022-11-26,22,3,0,8
2022-11-27,15,4,0,3
2022-11-28,19,9,2,5
2022-11-29,15,4,0,5
2022-11-30,28,8,1,11
2022-12-01,21,11,1,5
2022-12-02,15,2,1,6
2022-12-03,20,6,0,9
2022-12-04,13,4,0,6
2022-12-05,19,12,0,6
2022-12-06,19,9,0,4
2022-12-07,19,9,0,9
2022-12-08,7,7,0,3
2022-12-09,11,4,0,3
2022-12-10,16,3,0,2
2022-12-11,15,9,0,6
2022-12-12,11,5,2,3
2022-12-13,16,0,0,6
2022-12-14,7,4,0,1
2022-12-15,10,5,0,5
2022-12-16,22,-1,0,9
2022-12-17,21,10,1,4
2022-12-18,12,7,0,7
2022-12-19,14,1,0,9
2022-12-20,15,6,1,6
2022-12-21,28,12,1,9
2022-12-22,24,8,1,10
2022-12-23,17,2,0,7
2022-12-24,12,3,2,7
2022-12-25,27,9,1,16
2022-12-26,20,4,0,8
2022-12-27,14,6,0,9
2022-12-28,22,7,2,9
2022-12-29,21,6,0,8
2022-12-30,29,7,1,10
2022-12-31,23,11,1,4
2023-01-01,31,4,0,15
2023-01-02,27,5,2,11
2023-01-03,24,1,1,12
2023-01-04,24,13,2,10
2023-01-05,19,5,0,5
2023-01-06,26,6,0,14
2023-01-07,34,10,0,7
2023-01-08,29,12,0,8
2023-01-09,26,11,1,7
2023-01-10,16,3,0,8
2023-01-11,19,7,3,6
2023-01-12,21,-46,0,4
2023-01-13,27,-52,1,9
2023-01-14,18,6,0,8
2023-01-15,25,5,0,10
2023-01-16,18,3,1,8
2023-01-17,20,10,1,9
2023-01-18,24,4,0,13
2023-01-19,12,9,1,4
2023-01-20,8,4,1,3
2023-01-21,12,1,0,8
2023-01-22,24,9,0,8
2023-01-23,21,2,1,12
2023-01-24,12,7,2,5
2023-01-25,23,9,0,6
2023-01-26,19,1,0,12
2023-01-27,16,2,2,9
2023-01-28,17,3,0,6
2023-01-29,22,9,2,10
2023-01-30,23,2,0,6
2023-01-31,26,11,2,11
