date,added,ratings,reviews,to-read
2022-08-16,57,35,4,22
2022-08-17,64,20,1,24
2022-08-18,48,19,3,18
2022-08-19,70,33,0,18
2022-08-20,86,26,3,23
2022-08-21,53,29,5,15
2022-08-22,69,21,2,15
2022-08-23,57,23,1,27
2022-08-24,63,10,0,23
2022-08-25,58,31,1,20
2022-08-26,57,20,1,19
2022-08-27,47,28,2,13
2022-08-28,84,20,4,30
2022-08-29,48,-11,2,19
2022-08-30,42,24,2,16
2022-08-31,69,24,1,13
2022-09-01,44,33,3,18
2022-09-02,60,23,0,19
2022-09-03,56,20,1,17
2022-09-04,63,17,3,18
2022-09-05,57,29,2,20
2022-09-06,74,11,2,26
2022-09-07,46,18,4,13
2022-09-08,66,16,0,20
2022-09-09,46,12,3,17
2022-09-10,58,19,0,17
2022-09-11,41,16,3,23
2022-09-12,64,17,0,27
2022-09-13,53,16,2,19
2022-09-14,50,19,2,11
2022-09-15,48,20,1,19
2022-09-16,64,26,0,19
2022-09-17,53,16,0,14
2022-09-18,65,21,2,18
2022-09-19,45,23,0,14
2022-09-20,59,29,0,21
2022-09-21,68,38,1,23
2022-09-22,67,33,2,17
2022-09-23,64,1,1,16
2022-09-24,67,37,3,10
2022-09-25,65,25,0,14
2022-09-26,39,-6,1,15
2022-09-27,72,-4,3,26
2022-09-28,56,-26,0,20
2022-09-29,53,-74,1,17
2022-09-30,58,19,2,20
2022-10-01,52,17,3,23
2022-10-02,60,-10,0,17
2022-10-03,56,5,1,19
2022-10-04,41,14,1,15
2022-10-05,34,10,2,18
2022-10-06,40,7,1,16
2022-10-07,50,17,2,16
2022-10-08,49,18,2,15
2022-10-09,63,6,2,21
2022-10-10,72,19,1,16
2022-10-11,52,11,2,21
2022-10-12,51,-2,0,15
2022-10-13,32,21,1,11
2022-10-14,45,-40,2,15
2022-10-15,50,11,0,18
2022-10-16,87,-22,2,23
2022-10-17,41,-22,1,12
2022-10-18,50,5,0,14
2022-10-19,56,326,67,25
2022-10-20,59,18,3,19
2022-10-21,56,9,2,28
2022-10-22,53,10,2,14
2022-10-23,85,-8,6,28
2022-10-24,50,-8,3,17
2022-10-25,56,-19,3,23
2022-10-26,35,25,2,11
2022-10-27,64,22,3,22
2022-10-28,50,22,1,17
2022-10-29,43,16,3,15
2022-10-30,87,169,24,20
2022-10-31,56,1,2,23
2022-11-01,57,17,0,24
2022-11-02,62,18,1,21
2022-11-03,44,11,4,16
2022-11-04,36,8,0,12
2022-11-05,48,9,1,17
2022-11-06,71,28,1,13
2022-11-07,56,14,0,17
2022-11-08,53,17,0,17
2022-11-09,45,20,1,15
2022-11-10,40,25,4,13
2022-11-11,49,21,3,14
2022-11-12,69,26,0,16
2022-11-13,58,15,0,21
2022-11-14,49,14,1,14
2022-11-15,70,16,1,19
2022-11-16,61,18,2,17
2022-11-17,29,22,1,12
2022-11-18,48,15,2,18
2022-11-19,62,19,1,23
2022-11-20,44,10,-1,16
2022-11-21,51,14,2,17
2022-11-22,52,14,2,16
2022-11-23,52,17,1,12
2022-11-24,42,18,1,13
2022-11-25,57,19,1,20
2022-11-26,52,23,0,18
2022-11-27,63,14,0,17
2022-11-28,61,15,1,28
2022-11-29,48,19,1,20
2022-11-30,68,24,3,20
2022-12-01,57,23,0,11
2022-12-02,51,14,3,17
2022-12-03,52,22,2,11
2022-12-04,62,20,2,24
2022-12-05,54,25,2,11
2022-12-06,69,25,2,22
2022-12-07,37,17,2,14
2022-12-08,49,25,4,17
2022-12-09,51,18,1,11
2022-12-10,66,28,1,20
2022-12-11,67,19,2,22
2022-12-12,60,24,1,14
2022-12-13,53,12,1,19
2022-12-14,62,22,1,23
2022-12-15,71,21,0,21
2022-12-16,58,20,1,16
2022-12-17,53,21,1,15
2022-12-18,55,14,2,19
2022-12-19,63,19,2,17
2022-12-20,57,26,2,20
2022-12-21,66,25,2,25
2022-12-22,72,23,2,29
2022-12-23,57,16,0,22
2022-12-24,46,13,2,16
2022-12-25,92,24,7,35
2022-12-26,95,35,4,29
2022-12-27,96,33,3,36
2022-12-28,116,41,3,40
2022-12-29,75,30,6,33
2022-12-30,101,37,6,33
2022-12-31,147,39,3,49
2023-01-01,174,42,0,66
2023-01-02,183,48,2,76
2023-01-03,144,41,1,61
2023-01-04,112,33,0,54
2023-01-05,129,36,1,55
2023-01-06,115,32,3,44
2023-01-07,124,37,7,44
2023-01-08,124,39,3,47
2023-01-09,88,29,2,25
2023-01-10,100,31,4,26
2023-01-11,84,30,4,41
2023-01-12,95,-12,5,34
2023-01-13,99,-23,5,39
2023-01-14,87,32,5,31
2023-01-15,103,23,4,41
2023-01-16,99,29,0,33
2023-01-17,66,20,2,27
2023-01-18,82,16,2,39
2023-01-19,85,25,6,27
2023-01-20,45,15,1,23
2023-01-21,76,20,2,21
2023-01-22,87,27,4,28
2023-01-23,82,25,1,20
2023-01-24,88,33,6,26
2023-01-25,78,24,1,27
2023-01-26,88,25,0,31
2023-01-27,83,22,0,33
2023-01-28,69,17,2,17
2023-01-29,96,26,4,39
2023-01-30,59,27,3,28
2023-01-31,87,27,3,30
