date,added,ratings,reviews,to-read
2022-08-16,33,23,2,14
2022-08-17,50,17,1,15
2022-08-18,37,13,3,15
2022-08-19,50,13,0,14
2022-08-20,54,18,0,18
2022-08-21,52,23,0,17
2022-08-22,35,19,1,10
2022-08-23,60,24,2,23
2022-08-24,56,17,0,18
2022-08-25,50,21,0,14
2022-08-26,48,18,2,11
2022-08-27,47,15,1,10
2022-08-28,65,15,0,22
2022-08-29,43,-12,1,16
2022-08-30,50,14,0,15
2022-08-31,55,14,0,19
2022-09-01,50,24,1,16
2022-09-02,42,19,0,12
2022-09-03,47,12,1,10
2022-09-04,53,21,0,15
2022-09-05,53,28,1,12
2022-09-06,58,8,0,12
2022-09-07,48,20,1,12
2022-09-08,47,18,1,13
2022-09-09,47,21,0,19
2022-09-10,61,29,2,22
2022-09-11,44,15,1,16
2022-09-12,50,13,0,18
2022-09-13,54,18,2,16
2022-09-14,42,19,0,13
2022-09-15,26,14,2,15
2022-09-16,49,12,1,15
2022-09-17,40,12,0,15
2022-09-18,48,13,2,18
2022-09-19,61,24,0,14
2022-09-20,47,27,1,10
2022-09-21,43,18,1,12
2022-09-22,49,21,1,12
2022-09-23,42,14,0,10
2022-09-24,49,23,0,8
2022-09-25,39,23,0,12
2022-09-26,35,-5,2,13
2022-09-27,69,-6,2,30
2022-09-28,47,-16,1,16
2022-09-29,32,-26,0,8
2022-09-30,43,17,3,15
2022-10-01,41,15,1,12
2022-10-02,47,-10,0,13
2022-10-03,45,-3,0,19
2022-10-04,62,15,0,23
2022-10-05,25,11,1,7
2022-10-06,30,11,1,9
2022-10-07,41,8,0,12
2022-10-08,43,17,0,13
2022-10-09,41,-2,1,11
2022-10-10,35,12,0,12
2022-10-11,45,8,2,11
2022-10-12,38,-10,0,6
2022-10-13,27,20,1,10
2022-10-14,49,-31,0,11
2022-10-15,43,14,0,16
2022-10-16,40,-49,0,13
2022-10-17,47,-16,1,12
2022-10-18,50,9,0,13
2022-10-19,41,16,1,14
2022-10-20,49,15,0,12
2022-10-21,33,8,0,8
2022-10-22,48,15,2,16
2022-10-23,36,-22,0,9
2022-10-24,38,-24,1,11
2022-10-25,50,-5,1,20
2022-10-26,39,22,2,7
2022-10-27,28,15,0,7
2022-10-28,42,11,1,13
2022-10-29,38,15,0,10
2022-10-30,38,11,0,7
2022-10-31,36,4,0,5
2022-11-01,46,8,0,17
2022-11-02,36,8,0,12
2022-11-03,39,16,2,17
2022-11-04,41,8,0,15
2022-11-05,44,14,1,12
2022-11-06,49,11,0,15
2022-11-07,33,11,0,8
2022-11-08,41,13,0,9
2022-11-09,40,10,0,10
2022-11-10,35,16,0,11
2022-11-11,36,15,0,8
2022-11-12,52,21,0,15
2022-11-13,51,22,2,14
2022-11-14,46,13,1,17
2022-11-15,42,14,0,12
2022-11-16,27,9,2,11
2022-11-17,23,10,1,9
2022-11-18,38,16,1,9
2022-11-19,43,14,0,11
2022-11-20,32,15,1,8
2022-11-21,30,14,1,8
2022-11-22,33,11,0,8
2022-11-23,32,14,1,7
2022-11-24,38,11,0,16
2022-11-25,41,12,2,12
2022-11-26,51,17,1,18
2022-11-27,55,18,1,10
2022-11-28,45,19,1,15
2022-11-29,34,22,1,10
2022-11-30,48,14,0,16
2022-12-01,37,16,1,13
2022-12-02,44,14,0,15
2022-12-03,49,12,0,14
2022-12-04,46,12,0,15
2022-12-05,53,19,3,20
2022-12-06,51,21,1,15
2022-12-07,24,6,-1,8
2022-12-08,27,19,2,6
2022-12-09,36,16,0,15
2022-12-10,45,14,1,19
2022-12-11,46,14,0,13
2022-12-12,34,6,1,5
2022-12-13,32,10,1,8
2022-12-14,37,14,1,12
2022-12-15,48,16,1,13
2022-12-16,47,14,0,17
2022-12-17,50,12,0,21
2022-12-18,54,17,0,12
2022-12-19,46,22,1,12
2022-12-20,40,11,0,14
2022-12-21,58,19,0,18
2022-12-22,39,24,2,5
2022-12-23,55,17,0,21
2022-12-24,34,13,1,10
2022-12-25,57,23,0,23
2022-12-26,84,32,2,21
2022-12-27,74,24,1,28
2022-12-28,85,24,1,33
2022-12-29,64,23,1,23
2022-12-30,89,25,-1,34
2022-12-31,103,33,1,29
2023-01-01,148,27,1,57
2023-01-02,136,46,0,41
2023-01-03,100,35,2,25
2023-01-04,89,26,2,37
2023-01-05,86,25,0,26
2023-01-06,88,28,1,25
2023-01-07,70,25,1,19
2023-01-08,92,26,0,30
2023-01-09,63,27,2,17
2023-01-10,84,22,1,23
2023-01-11,61,23,1,27
2023-01-12,64,18,1,25
2023-01-13,64,2,0,25
2023-01-14,82,17,1,37
2023-01-15,71,25,0,18
2023-01-16,76,22,0,26
2023-01-17,59,21,3,15
2023-01-18,54,17,1,16
2023-01-19,53,16,0,16
2023-01-20,52,20,2,19
2023-01-21,59,16,2,23
2023-01-22,69,24,3,21
2023-01-23,67,23,3,17
2023-01-24,80,32,3,20
2023-01-25,67,22,2,21
2023-01-26,60,18,1,18
2023-01-27,57,22,1,14
2023-01-28,77,23,0,36
2023-01-29,76,24,1,26
2023-01-30,38,11,0,16
2023-01-31,48,16,3,12
