Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
21,A Short History of Nearly Everything,Jamie,"1,157",418,5,"April 28, 2009","Good grief if I had even one textbook half this enthralling in high school, who knows what kind of impassioned -ologist I would have grown up to be. I hereby petition Bryson to re-write all curriculum on behalf of the history of the world.I would run across things half-remembered from midterms and study guides and think, ""You mean this is what they were talking about? You have got to be kidding me."" It's never condescending, always a joy.In fact, what I loved most is the acute, childlike sense of wonder seeping through the pages. How fantastic little we know about the world in which we live. All the great scientific leaps fallen through the cracks, all the billions of leaps that will never be made, every scientist who with an amiable grin shrugs to say, ""I don't know. We don't know. Who has any idea?"" The world is a magically baffling, enchanting place, and after nearly everything there is infinitesimally more. ",938,24
21,A Short History of Nearly Everything,Paul Bryant,"2,161",9021,3,"January 24, 2010","Okay, so here's my Bill Bryson story. I was in The Gladstone, a public house not too far from this very keyboard, with my friend Yvonne, who will remain nameless. We had been imbibing more than freely. A guy approached our table and asked me in a sly surreptitious manner if I was him. Him who? Was I Bill Bryson? Now it is true that I bear a very slight resemblancebut you could also say that about Bjorn from Abbaand a zillion other white guys with beards and gently rounded fizzogs. Anyway, without missing a beat I said yes, I was him. So the guy immediately asked me if I'd sign two of his books, and before I could say ""Come on mate, I'm not actually American, can't you bleedin well tell?"" he had zapped out of the pub. Only to zap straight back with two hardbacks of Bill's deathless works. What could I do? He opened them up reverentially and told me one would be for him and one for his mother. Friends, I signed them - ""Best wishes, your friend Bill Bryson"". He was so grateful, so very very pleased. We drank up and got the hell out of there. I look back on this disgraceful incident and shudder. That's the last time I'm impersonating a famous author.Short note on the book in question:There was no way our Bill could write a gently humorous book about the history of all of science without sounding like a fairly smirky know-it-all, so that's what he does sound like, which can be just a trifle wearing. LOTS of good info in here, but it's like being forced to live on Indian takeaways and nothing else, great for a while and then GET ME A SANDWICH! Or like being stuck on a long airplane ride with a very garrolous and opinionated fellow who thinks he is the very model of the modern travelling companion, regaling you with insightful and humourous anecdotes by the bucketful while you're wondering if it would be so bad if you faked a heart attack and you could whisper to the flight attendant ""I'm okay really but GET ME AWAY FROM THIS GUY!""",446,93
21,A Short History of Nearly Everything,Grace Tjan,188,487,4,"January 6, 2013","What I learned from this book (in no particular order)1.	Phosphor was accidentally discovered when a scientist tried to turn human urine into gold. The similarity in color seemed to have been a factor in his conviction that this was possible. Like, duh. I’m no scientist, but shouldn’t it be obvious enough?2.	“In the early 1800s there arose in England a fashion for inhaling nitrous oxide, or laughing gas, after it was discovered that its use ‘ was attended by a highly pleasurable thrilling’. For the next half- century it would be the drug of choice for young people.” How groovy is that? 3.	If you are an average-sized adult, you contain within you enough potential energy to explode with the force of THIRTY very large hydrogen bombs. Assuming, that is, that you KNOW how to actually do this and REALLY want to make a point. Talk about a monstrous temper tantrum.4.	We are each so atomically numerous and so vigorously recycled at death that some of our atoms probably belonged to Shakespeare, Genghis Khan or any other historical figure. But no, you are NOT Elvis or Marilyn Monroe; it takes quite a while for their atoms to get recycled.5.	When you sit in a chair, you are not actually sitting there, but levitating above it at the height of a hundredth millions of a centimeter. Throw away those yoga mats, your ARE already levitating without knowing it.6.	The atomic particles that we now know as Quarks were almost named Partons, after you know who. The image of Ms. Parton with her, uh, cosmic mammaries bouncing around the atomic nuclei is VERY unsettling.Thankfully, that scientist guy changed his mind.7.	The indigestible parts of a giant squid, in particular their beaks, accumulate in sperm whales’ stomachs into ambergris, which is used as a fixative in perfumes. The next time you spray on Chanel No. 5, you’re dowsing yourself in the distillate of unseen sea monsters. * Note to self: must throw away sea monster perfume collection*8.	The ‘maidenhair’ in maidenhair moss does NOT refer to the hair on the maiden’s head.BUT SERIOUSLY,this is a fascinating, accessible book on the history of the natural sciences, covering topics as diverse as cosmology, quantum physics, paleontology, chemistry and other subjects that have bedeviled a science dolt like me through high school and beyond. Yes, it’s true, I failed BOTH chemistry and physics in high school. I can't judge how accurate Mr. Bryson represents the sciences in this book, but it surely beats being bogged down in A Brief History of Time and their ilk. ",270,34
21,A Short History of Nearly Everything,Sarah,174,41,4,"September 6, 2007","Bryson's dead serious: this is a history of pretty much everything there is -- the planet, the solar system, the universe -- as well as a history of how we've come to know as much as we do. A book on science written by a non-scientist, this a perfect bridge between the humanities and the natural sciences. A course in the history of science should be mandatory for every teenager, and this should be the textbook.Yes, it's a big, chunky book. No, it can't be trimmed down any further: when you're addressing cosmology, earth science, ecology and zoology, with healthy doses of chemistry and physics, plus the historical development of each, you're going to end up with a doorstop of a text, no matter how smoothly written. The wonder of Bryson's writing is that the reader doesn't get lost in these sweeping surveys. When name-dropping, Bryson always gives a short description of the person in question; if mentioned earlier in the book, he drops in a quick reminder to the reader. This is fabulously effective at giving the names some context, not to mention a little personality.And indeed, isn't that what science education needs most: more humanity and less intimidation? Those science-phobes out there who freely admit their near-complete ignorance of the subject should do themselves a favor and buy a copy of this book. No, don't get it from your library. There's so much here you'll want to have a copy on hand to refer to later.To those nerds in the audience -- myself included -- don't think your degrees mean you can pass this one over. As hyper-specialized as science has become, it's refreshing as hell to step back and take a look at things with new eyes. While there's not a lot here I haven't encountered before, there's a lot of information about how our current theories were developed that I didn't know.(Also? It's heartening to read about the social ineptitude, blind spots, and how utterly incompetent many of these scientist were in other aspects of life. Makes me feel better about never finishing that PhD -- at least I have a life.)Thorough, humorous, engaging, and educational: what's not to like?",166,9
21,A Short History of Nearly Everything,Swrp,561,84,5,"January 24, 2022","Fascinating, interesting and filled with so much knowledge - A Short History of Nearly Everything is a very good read. Clearly Bill Bryson has done a lot of hard work and research. This book is one of the examples of how to learn, acquire knowledge, along with wisdom at the same time. The focus of the book is on learning lessons from history and the past, so that there's a better future. This highly recommended book should be made part of the school syllabus.",150,14
21,A Short History of Nearly Everything,Miranda Reads,"1,588",15300,4,"December 10, 2020"," Big bois. Long bois. Extra extra page bois.Everyone's heard of them. The Libraries are full of them. But are they worth it?Click the link for my video review of the big bois in my life.The Written Review:Want a whirlwind worldwide romance adventure minus the romance? This is the book for you.This book really does cover nearly everything. From the Big Bang to current life on earth, Bill Bryson does wonderful job of breaking down complex theories and concepts to their essential message:
  Protons give an atom its identity, electrons its personality.
Though, sometimes he  gets a bit wordy.
  Not one of your pertinent ancestors was squashed, devoured, drowned, starved, stranded, stuck fast, untimely wounded, or otherwise deflected from its life's quest of delivering a tiny charge of genetic material to the right partner at the right moment in order to perpetuate the only possible sequence of hereditary combinations that could result -- eventually, astoundingly, and all too briefly -- in you.
This was such an interesting book to read and I walked away learning so much. This is the sort of book that requires two or three times reading through it to fully understand and digest everything. I can barely comprehend how much time and effort went into research. Truly a masterpiece. Audiobook Comments:While he did not narrate his own book, the Richard Matthews does a great job of reading it. Though, this is one of those books that you cannot tune out on without missing something crucial. This is a great big-picture book. For a fun microhistory, I'd recommend  At Home: A Short History of Private Life also by Bill Bryson.YouTube | Blog | Instagram | Twitter | Facebook | Snapchat @miranda_reads",138,4
21,A Short History of Nearly Everything,Dan Schwent,"2,861",10500,4,"January 3, 2015","A Short History of Nearly Everything is Bill Bryson's summation of life, the universe, and everything, a nice little easy-reading science book containing an overview of things every earthling should be aware of.As I've repeatedly mentioned over the years, every time one of the casual-readers tells me I have to read something, like Harry Potter or the DaVinci Code, I dig my feet in deeper and resolve to never read it. This is one of the occasions I should have shaved a decade off of my stubbornness and caved in right away.Bryson covers a wide range of topics, from the formation of the universe to the evolution of man for our apelike forebears, and all points in between. Atoms? Cells? These are just stops along the enlightenment highway that Bill Bryson has paved! He touches upon quantum physics, geology, the size of our solar system, the year without a summer, and other topics innumerable.The writing style is so accessible that I have to think I'd be some kind of scientists if my high school and college text books were written by Bill Bryson. His easy, breezy style makes even the most complicated topics easier to digest.It's not often that I come away from a book having felt like I learned something new, criminal techniques from my usual reads excepted. Bryson has succeeded where many have failed before him. He has used chicanery to get me to read nonfiction and enjoy myself while doing it. 4.5 out of 5 stars.",116,16
21,A Short History of Nearly Everything,Foster,133,10,5,"October 12, 2007","This is one of the most enjoyable books I have ever read. There, I said itBryson's book combines the best qualities of science writers like Attenborough, Diamond, Durrell, and Wilson; presenting the information with the wit he is most known for. It is an amazing achievement to condense the entire base of human scientific knowledge into 478 pages, but Bryson has done it. I completely agree with Tim Flannery, who writes on the jacket that ""all schools would be better places if it were the core science reader on the curriculum."" I certainly would have gained much if I had read it when I was 15.This is one of the few books that has truly challenged what I had previously held to be conventional wisdom (at least in my own mind). Two main changes have come about: 1. I had always been jealous of the ""true"" zoologists, such as Audubon and Darwin, who were around when the world was as yet unexplored, and discovering a species was as simple as being the first to walk into a patch of forest. I left science because the idea of being tied to a sterile lab held no interest for me. However, after reading Bryson's vignettes of early scientific/zoological exploration (much of which was both comic and tragic), I realize that those days weren't quite as idyllic as I had imagined. 2. Bryson does a ""good"" job of scaring the hell out of you by showing just how precarious our daily existence really is. I probably shouldn't say this, but it puts such problems as global climate change into context when you read how an eruption of the supervolcano beneath Yellowstone National Park would wipe out most of the life on earth in a painfully slow manner; especially when Bryson describes how this eruption is overdue by 30, 000 years by historical average.Combined with those two new impressions, I am left with the following conclusions, and a slightly rearranged outlook on life.First off, it is clear that science benefits from a large degree of serendipity. We as a species/civilization have been lucky to have some truly great minds working on deciphering the way our world works. Some of these are household names [Newton, Halley, Einstein], some are not [Henry Cavendish, Rosalind Franklin]. However, as with everything that us humans put our hands on, this endeavor wasn't perfect. Egregious mistakes, pathological lying, childlike rivalries and tantrums - they all occurred. On balance, whether they helped or hurt the effort isn't clear. But what is clear is that our present level of understanding was by no means assured.Secondly, the fact that life is so tenuous makes one a little more philosophical. Since I've finished the chapter about Yellowstone and similar catastrophic threats, I find myself asking ""what if today is the day?"" It can be rough when you get on the bus at the end of a particularly annoying workday, when the disagreements were petty and you didn't get much done, and think ""is that what I did on the last day of my life?""Thankfully, that attitude only lasted for a short while, until I was able to reframe it in a more productive way. Now I tell myself not to worry about big problems that might happen in the future, because I know that we will be hit by a meteor, we will experience a supervolcano eruption. It's best to just enjoy every day, doing what you really know to be what it is that you want to do. Does that mean that I won't recycle anymore, that I will leave the tap running while I brush my teeth? No! Because doing things to reduce my impact makes me feel good, that I'm thinking about society's needs - not just my own. It's what I want to do.So, in an incredible way (that even Bill Bryson probably didn't predict) this book can really change your life.",101,3
21,A Short History of Nearly Everything,Andrew Smith,"1,016",552,5,"November 23, 2020","I was never any good at science. At the grammar school I attended we were shepherded into laboratories for lessons on physics, chemistry and biology. These were scary places; I’d never been anywhere like this before. The physics lab had gas taps and Bunsen burners and the walls were filled with incomprehensible charts. The chemistry lab held rows of specimen jars, more gas taps and burners and an underlying smell of something unpleasant and vaguely dangerous. The biology lab displayed pictures and diagrams of human body parts and there were constant rumours of creature dissections and other nasty things to come. Beyond the physical fears it was clear that each subject had its own language. I was fluent in none of them. I ceased study on all of these subjects at the earliest opportunity.But I left school feeling that I’d missed out on part of my core education. And I had. So I’d had my eye on this book for some time. I’ve long been a fan of Bryson’s insightful yet amusing take on the world. Surely his commentary of all things scientific couldn’t be too painful, could it? The book walks through just about every significant scientific discovery from the creation of the universe to the present day. Well, not quite the present day, given this book was published some fourteen years ago. But given the universe is currently thought to be some 13.7 billion years old, I’m comfortable it covers the mother lode.The list of sciences included is exhaustive, I spotted whole bunch but I’m also convinced I missed a few. My list comprises:AnthropologyAstronomyBotanyCosmologyChemistryEcologyGeologyHuman BiologyMeteorologyOceanographyPhysicsZoologyIt’s fascinating stuff – staggering, in fact. I’d heard of the Big Bang theory, of course, but I’d never delved into the detail of it. The explanation here is clear and concise - it’s still mind bending, but I was able to follow most of the explanation. There were some sections where the detail did become a little heavy – the account of plant life being categorised lumbered on interminably – but on the whole the pacing felt spot on. It’s also very well structured, with relevant topics being grouped together. It flowed well and told a compelling story.As I worked my way through this book, the thought that kept leaping to the fore was that these brilliant theories and discoveries came about largely as a result of scientists and non-scientists working something out via observation, association and calculation – the kicker being that nearly all of these milestone events predate computers, email and the internet. It’s incredible. In one example twenty years was spent on a calculation using pencil, paper and a slide rule. The same calculation could now be completed using a computer in a single day. Yes, because of its publication date there are a few recent finds that aren’t included - confirmation of the existence of the Higgs boson particle in 2012 is one example – but I really don’t think it missed out too much of any significance. For anyone looking for a comprehensive but easy to follow history of scientific discovery, from the very beginning, look no further. I can’t recommend this book highly enough.",95,20
21,A Short History of Nearly Everything,D'Argo Agathon,202,5,1,"May 25, 2011","Oh my gods, what a waste of perfectly good paper! I am flabbergasted that this has such consistently high reviews...Three problems with this tripe: 1. falsity of the science (most blatantly around cosmology, but not limited to any one field) and misunderstanding of scientific principles;2. a focus more on ""biography"" rather than on real ""history"";3. trivial worthlessness of the information.Number 1 is briefly chronicled below. Within just the first 20 pages or so, there are ridiculous factual errors and misrepresentations of scientific knowledge. Even in 2003 when the book was published, these errors would have been unforgivable. Where the bloody hell were the editors?! Apparently the author came out later to mention his ""lack of scientific chops,"" or the like. How can a book about the history of science fuck up the science?!Number 2 is just downright sad. Apparently the author felt that if he could spend about a page per scientist, he would make the material more interesting. No, man, I want science and history, not abbreviated and hackneyed biography. He doesn't even move smoothly between people... it's just a meandering of random scientific endeavors, somewhat brought into chronology.Number 3 is a difficult criticism, because with this kind of book, it is hard to get away from misc. trivia. And I'll even acknowledge that I learned a lot of trivia... and that the book does a great job of showing us just how much we don't know. But as I reached page 360 and realized (for the fifth or so time) that this was info that I could get in a quick google search, I just couldn't do it anymore. What a gods awful waste. What's more disappointing than the book though, is the overwhelming praise the book has gotten. I don't even want to sell this book back, but throw it away (and I thought I would never say something like that)! I'd rather have someone go slightly ignorant than have them be fed this mess of misinformation and dredge.Below were reactions I had when reading was ""in progress.""Start (05/08/11):Okay, so the ""approachable textbook""... does it live up to the hype? Every review I have seen is about how great this book is. Let's see.So far, this book shows its 2003 date by providing currently inaccurate data; I also did not realize the author would assume zero scientific knowledge on the part of the reader... this could be interesting.Finally, the Introduction is full of annoying straw men and non-sequitors that really make me wonder if the author has learned much about scientific inquiry at all. He really doesn't understand probability. Eh, I'm only on page 16. Let's see if this improves.(05/09/11)Oh, bloody frak. ""In the long term, *gravity* may turn out to be a little too strong, and one day it may halt the expansion of the universe and bring it collapsing in upon itself, till it crushes itself down into another singularity... On the other hand it may be too weak and the universe will keeping racing away..."" (emphasis mine) NOTHING about those statements is correct. Gravity has nothing to do with the expansion of spacetime. Ugh, I thought this book had fantastic reviews! The term he is talking about here is ""dark energy,"" NOT gravity.""Astronomers these days can do the most amazing things. If someone struck a match on the Moon, they could spot the flare.""... You have got to be fucking kidding me. A redox oxidation in a vacuum. Dude...Oh my frak. He just lost all respect from me. ""...even with the most conservative inputs [in the Drake equation] the number of advanced civilzations... always works out to be somewhere in the millions."" Fucking no. Dude, how the hell did this even get published?!",78,19
