Title,URL
The Diary of a Young Girl,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
Sapiens: A Brief History of Humankind,https://www.goodreads.com/book/show/23692271-sapiens
Educated,https://www.goodreads.com/book/show/35133922-educated
Quiet: The Power of Introverts in a World That Can't Stop Talking,https://www.goodreads.com/book/show/8520610-quiet
The Immortal Life of Henrietta Lacks,https://www.goodreads.com/book/show/6493208-the-immortal-life-of-henrietta-lacks
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,https://www.goodreads.com/book/show/1202.Freakonomics
Outliers: The Story of Success,https://www.goodreads.com/book/show/3228917-outliers
Becoming,https://www.goodreads.com/book/show/38746485-becoming
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",https://www.goodreads.com/book/show/397483.The_Devil_in_the_White_City
A Short History of Nearly Everything,https://www.goodreads.com/book/show/21.A_Short_History_of_Nearly_Everything
We Should All Be Feminists,https://www.goodreads.com/book/show/22738563-we-should-all-be-feminists
Into the Wild,https://www.goodreads.com/book/show/1845.Into_the_Wild
"Night  (The Night Trilogy, #1)",https://www.goodreads.com/book/show/1617.Night
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,https://www.goodreads.com/book/show/28257707-the-subtle-art-of-not-giving-a-f-ck
Between the World and Me,https://www.goodreads.com/book/show/25489625-between-the-world-and-me
Born a Crime: Stories From a South African Childhood,https://www.goodreads.com/book/show/29780253-born-a-crime
The Tipping Point: How Little Things Can Make a Big Difference,https://www.goodreads.com/book/show/2612.The_Tipping_Point
"Guns, Germs, and Steel: The Fates of Human Societies",https://www.goodreads.com/book/show/1842.Guns_Germs_and_Steel
Blink: The Power of Thinking Without Thinking,https://www.goodreads.com/book/show/40102.Blink
In Cold Blood,https://www.goodreads.com/book/show/168642.In_Cold_Blood
Bossypants,https://www.goodreads.com/book/show/9418327-bossypants
Man's Search for Meaning,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,https://www.goodreads.com/book/show/40121378-atomic-habits
"Thinking, Fast and Slow",https://www.goodreads.com/book/show/11468377-thinking-fast-and-slow
When Breath Becomes Air,https://www.goodreads.com/book/show/25899336-when-breath-becomes-air
Stiff: The Curious Lives of Human Cadavers,https://www.goodreads.com/book/show/56769575-stiff
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,https://www.goodreads.com/book/show/22318578-the-life-changing-magic-of-tidying-up
A Brief History of Time,https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time
Into Thin Air: A Personal Account of the Mount Everest Disaster,https://www.goodreads.com/book/show/1898.Into_Thin_Air
The Glass Castle,https://www.goodreads.com/book/show/7445.The_Glass_Castle
On Writing: A Memoir of the Craft,https://www.goodreads.com/book/show/10569.On_Writing
"Unbroken: A World War II Story of Survival, Resilience and Redemption",https://www.goodreads.com/book/show/8664353-unbroken
Wild: From Lost to Found on the Pacific Crest Trail,https://www.goodreads.com/book/show/12262741-wild
The Power of Habit: Why We Do What We Do in Life and Business,https://www.goodreads.com/book/show/12609433-the-power-of-habit
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,https://www.goodreads.com/book/show/17851885-i-am-malala
I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer,https://www.goodreads.com/book/show/35068432-i-ll-be-gone-in-the-dark
A Walk in the Woods: Rediscovering America on the Appalachian Trail,https://www.goodreads.com/book/show/9791.A_Walk_in_the_Woods
Yes Please,https://www.goodreads.com/book/show/20910157-yes-please
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,https://www.goodreads.com/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales
Invisible Women: Data Bias in a World Designed for Men,https://www.goodreads.com/book/show/41104077-invisible-women
"Eat, Pray, Love",https://www.goodreads.com/book/show/19501.Eat_Pray_Love
The Art of War,https://www.goodreads.com/book/show/10534.The_Art_of_War
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,https://www.goodreads.com/book/show/27161156-hillbilly-elegy
Homo Deus: A History of Tomorrow,https://www.goodreads.com/book/show/31138556-homo-deus
How to Win Friends and Influence People,https://www.goodreads.com/book/show/4865.How_to_Win_Friends_and_Influence_People
The Omnivore's Dilemma: A Natural History of Four Meals,https://www.goodreads.com/book/show/3109.The_Omnivore_s_Dilemma
"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",https://www.goodreads.com/book/show/21413662-what-if-serious-scientific-answers-to-absurd-hypothetical-questions
The God Delusion,https://www.goodreads.com/book/show/14743.The_God_Delusion
Astrophysics for People in a Hurry,https://www.goodreads.com/book/show/32191710-astrophysics-for-people-in-a-hurry
