date,added,ratings,reviews,to-read
2022-08-16,188,46,1,118
2022-08-17,198,42,-1,129
2022-08-18,154,50,1,99
2022-08-19,137,26,0,93
2022-08-20,163,31,0,100
2022-08-21,189,53,0,117
2022-08-22,161,39,0,96
2022-08-23,163,39,2,106
2022-08-24,214,30,0,141
2022-08-25,169,41,2,114
2022-08-26,138,21,2,80
2022-08-27,191,40,1,125
2022-08-28,179,17,3,117
2022-08-29,144,-27,-1,93
2022-08-30,190,27,0,115
2022-08-31,177,36,3,97
2022-09-01,181,32,0,121
2022-09-02,360,42,3,260
2022-09-03,326,53,0,240
2022-09-04,286,52,0,177
2022-09-05,294,68,3,178
2022-09-06,185,19,0,107
2022-09-07,195,56,3,110
2022-09-08,151,34,2,96
2022-09-09,132,37,1,78
2022-09-10,179,30,0,122
2022-09-11,161,31,0,103
2022-09-12,164,35,-1,96
2022-09-13,161,32,0,104
2022-09-14,165,32,2,111
2022-09-15,152,42,1,90
2022-09-16,173,46,1,98
2022-09-17,151,44,2,97
2022-09-18,172,44,0,97
2022-09-19,228,49,1,157
2022-09-20,173,46,1,117
2022-09-21,181,57,2,108
2022-09-22,138,44,1,87
2022-09-23,147,-39,2,93
2022-09-24,160,48,1,88
2022-09-25,173,46,1,102
2022-09-26,164,-12,1,105
2022-09-27,146,-28,0,93
2022-09-28,140,-50,0,84
2022-09-29,126,-85,1,68
2022-09-30,133,28,4,87
2022-10-01,136,42,2,85
2022-10-02,140,-18,1,78
2022-10-03,146,-10,2,85
2022-10-04,146,46,0,85
2022-10-05,116,45,0,71
2022-10-06,144,31,1,90
2022-10-07,123,32,0,77
2022-10-08,160,46,0,108
2022-10-09,128,2,2,93
2022-10-10,162,28,-1,109
2022-10-11,178,30,1,117
2022-10-12,120,-4,1,78
2022-10-13,138,31,0,93
2022-10-14,121,-47,0,80
2022-10-15,142,33,0,86
2022-10-16,142,-56,1,85
2022-10-17,136,-35,1,87
2022-10-18,143,-1,1,93
2022-10-19,144,35,0,86
2022-10-20,120,24,2,79
2022-10-21,142,16,0,93
2022-10-22,145,19,0,85
2022-10-23,151,-93,1,96
2022-10-24,128,-71,1,83
2022-10-25,137,-16,4,94
2022-10-26,137,33,0,82
2022-10-27,159,49,0,105
2022-10-28,124,36,1,78
2022-10-29,109,25,1,71
2022-10-30,157,19,0,107
2022-10-31,118,6,2,74
2022-11-01,248,42,4,175
2022-11-02,232,34,0,171
2022-11-03,192,32,0,115
2022-11-04,176,40,0,124
2022-11-05,167,43,0,118
2022-11-06,170,32,1,111
2022-11-07,155,47,2,94
2022-11-08,124,27,1,76
2022-11-09,134,37,1,77
2022-11-10,134,40,1,83
2022-11-11,127,39,3,73
2022-11-12,140,32,0,90
2022-11-13,172,43,1,107
2022-11-14,128,24,0,75
2022-11-15,154,34,0,90
2022-11-16,150,30,1,91
2022-11-17,126,45,2,82
2022-11-18,128,29,2,79
2022-11-19,145,40,0,85
2022-11-20,143,33,1,92
2022-11-21,141,34,2,87
2022-11-22,146,23,1,99
2022-11-23,133,33,2,87
2022-11-24,132,35,1,83
2022-11-25,154,34,1,102
2022-11-26,156,35,1,102
2022-11-27,174,46,4,111
2022-11-28,158,47,0,94
2022-11-29,154,50,2,94
2022-11-30,140,20,0,81
2022-12-01,138,33,0,87
2022-12-02,117,36,0,69
2022-12-03,160,27,1,105
2022-12-04,137,27,0,85
2022-12-05,152,29,0,88
2022-12-06,177,37,4,111
2022-12-07,138,39,2,93
2022-12-08,144,38,1,88
2022-12-09,106,31,3,68
2022-12-10,160,33,3,105
2022-12-11,149,31,1,94
2022-12-12,158,36,2,95
2022-12-13,169,42,1,112
2022-12-14,160,34,0,94
2022-12-15,137,45,1,88
2022-12-16,172,37,2,106
2022-12-17,167,38,1,110
2022-12-18,165,36,4,106
2022-12-19,155,47,2,93
2022-12-20,189,35,-1,127
2022-12-21,184,46,2,112
2022-12-22,158,38,1,104
2022-12-23,186,34,2,117
2022-12-24,170,49,0,101
2022-12-25,290,55,0,194
2022-12-26,269,64,1,157
2022-12-27,270,71,2,164
2022-12-28,274,81,4,172
2022-12-29,274,55,1,183
2022-12-30,278,69,0,175
2022-12-31,337,80,4,204
2023-01-01,572,107,3,359
2023-01-02,527,134,0,339
2023-01-03,364,101,1,218
2023-01-04,309,85,0,190
2023-01-05,326,88,2,200
2023-01-06,263,58,1,169
2023-01-07,272,68,1,156
2023-01-08,286,64,0,193
2023-01-09,252,55,1,154
2023-01-10,232,42,1,156
2023-01-11,204,66,1,127
2023-01-12,211,-18,2,133
2023-01-13,184,-75,1,114
2023-01-14,200,47,1,124
2023-01-15,221,47,2,145
2023-01-16,223,41,0,145
2023-01-17,204,48,2,124
2023-01-18,189,38,2,115
2023-01-19,202,42,2,132
2023-01-20,170,46,1,112
2023-01-21,211,49,1,135
2023-01-22,182,42,0,104
2023-01-23,192,39,1,131
2023-01-24,188,46,2,111
2023-01-25,200,50,2,131
2023-01-26,188,39,2,117
2023-01-27,144,30,0,96
2023-01-28,166,42,1,97
2023-01-29,205,36,1,128
2023-01-30,161,30,-1,104
2023-01-31,171,42,2,94
2023-02-01,192,37,3,131
