date,added,ratings,reviews,to-read
2022-08-16,219,90,5,83
2022-08-17,229,63,2,120
2022-08-18,191,79,4,88
2022-08-19,171,67,2,71
2022-08-20,207,73,1,83
2022-08-21,212,78,6,70
2022-08-22,200,83,0,69
2022-08-23,184,75,3,79
2022-08-24,190,80,2,62
2022-08-25,173,59,1,78
2022-08-26,161,54,3,65
2022-08-27,154,39,2,69
2022-08-28,186,58,1,73
2022-08-29,143,51,0,55
2022-08-30,195,74,0,66
2022-08-31,159,74,3,58
2022-09-01,173,66,1,64
2022-09-02,133,61,1,45
2022-09-03,178,57,1,71
2022-09-04,204,69,1,76
2022-09-05,201,92,4,68
2022-09-06,170,57,4,70
2022-09-07,217,76,1,75
2022-09-08,169,70,2,72
2022-09-09,139,50,1,58
2022-09-10,181,50,2,75
2022-09-11,166,61,2,72
2022-09-12,154,59,0,63
2022-09-13,166,63,2,59
2022-09-14,158,52,0,68
2022-09-15,149,61,1,72
2022-09-16,147,65,3,48
2022-09-17,144,45,0,58
2022-09-18,176,58,2,67
2022-09-19,182,56,0,67
2022-09-20,172,98,5,60
2022-09-21,143,63,2,60
2022-09-22,144,47,2,67
2022-09-23,166,-12,1,62
2022-09-24,172,66,1,65
2022-09-25,184,64,0,70
2022-09-26,147,42,3,53
2022-09-27,165,6,0,64
2022-09-28,160,5,0,61
2022-09-29,144,-42,1,52
2022-09-30,125,52,1,44
2022-10-01,146,51,3,51
2022-10-02,172,52,4,79
2022-10-03,110,25,0,43
2022-10-04,144,52,1,54
2022-10-05,130,60,3,50
2022-10-06,117,41,2,42
2022-10-07,136,34,0,57
2022-10-08,158,56,3,71
2022-10-09,165,61,2,66
2022-10-10,147,43,1,64
2022-10-11,122,43,3,47
2022-10-12,148,34,1,70
2022-10-13,130,41,3,55
2022-10-14,115,23,3,51
2022-10-15,151,43,0,59
2022-10-16,167,4,0,66
2022-10-17,156,8,0,62
2022-10-18,173,14,1,73
2022-10-19,178,63,-1,69
2022-10-20,120,45,1,47
2022-10-21,133,41,1,58
2022-10-22,142,22,1,56
2022-10-23,158,-43,2,57
2022-10-24,159,-8,1,55
2022-10-25,130,-7,1,49
2022-10-26,144,48,0,63
2022-10-27,138,75,2,50
2022-10-28,124,49,4,53
2022-10-29,142,36,2,59
2022-10-30,153,43,3,55
2022-10-31,127,19,1,59
2022-11-01,144,42,2,66
2022-11-02,141,53,2,63
2022-11-03,124,25,1,61
2022-11-04,150,43,1,72
2022-11-05,146,37,1,78
2022-11-06,186,57,1,65
2022-11-07,150,63,1,47
2022-11-08,171,32,4,68
2022-11-09,152,50,3,77
2022-11-10,112,42,1,44
2022-11-11,133,37,2,64
2022-11-12,130,42,2,54
2022-11-13,152,45,0,58
2022-11-14,143,46,1,65
2022-11-15,171,61,2,62
2022-11-16,161,60,4,67
2022-11-17,148,46,0,63
2022-11-18,132,55,0,60
2022-11-19,122,42,0,50
2022-11-20,145,51,2,56
2022-11-21,137,51,1,61
2022-11-22,121,38,1,47
2022-11-23,133,48,0,48
2022-11-24,124,43,1,49
2022-11-25,142,53,1,60
2022-11-26,158,52,4,64
2022-11-27,196,78,2,85
2022-11-28,129,45,0,54
2022-11-29,173,55,2,85
2022-11-30,178,76,3,64
2022-12-01,129,65,3,41
2022-12-02,146,59,1,60
2022-12-03,182,57,1,74
2022-12-04,187,50,1,78
2022-12-05,135,48,1,54
2022-12-06,177,69,2,72
2022-12-07,165,44,3,91
2022-12-08,116,46,1,51
2022-12-09,130,47,3,53
2022-12-10,169,54,2,65
2022-12-11,156,51,3,59
2022-12-12,149,55,0,68
2022-12-13,159,53,0,54
2022-12-14,162,52,2,69
2022-12-15,150,47,4,54
2022-12-16,130,48,1,48
2022-12-17,156,61,3,68
2022-12-18,200,63,2,76
2022-12-19,155,63,4,55
2022-12-20,179,63,1,75
2022-12-21,149,71,1,47
2022-12-22,148,66,3,58
2022-12-23,188,68,1,73
2022-12-24,138,48,3,64
2022-12-25,215,58,1,94
2022-12-26,253,92,0,97
2022-12-27,301,101,1,97
2022-12-28,280,106,3,103
2022-12-29,258,101,1,83
2022-12-30,377,138,6,126
2022-12-31,422,185,2,132
2023-01-01,704,256,1,222
2023-01-02,559,311,3,173
2023-01-03,423,224,2,161
2023-01-04,350,151,2,127
2023-01-05,324,130,1,119
2023-01-06,302,136,2,91
2023-01-07,360,144,0,117
2023-01-08,332,127,2,108
2023-01-09,267,97,2,90
2023-01-10,298,104,6,111
2023-01-11,230,107,1,77
2023-01-12,245,57,1,84
2023-01-13,252,10,0,101
2023-01-14,261,95,2,91
2023-01-15,255,131,3,76
2023-01-16,226,81,4,80
2023-01-17,273,106,1,99
2023-01-18,205,83,5,68
2023-01-19,215,85,4,72
2023-01-20,175,78,0,77
2023-01-21,242,77,4,76
2023-01-22,284,100,4,107
2023-01-23,225,90,3,84
2023-01-24,223,87,1,79
2023-01-25,230,68,3,81
2023-01-26,202,60,2,76
2023-01-27,198,76,2,76
2023-01-28,220,78,1,90
2023-01-29,269,76,1,94
2023-01-30,174,85,3,72
2023-01-31,211,64,1,79
2023-02-01,183,72,5,74
