Uid,Title,Reviewer,N_Review,N_Follower,Review_Rate,Review_Date,Content,N_Likes,N_Comments
139417,A Kiss of Shadows,Kat Kennedy,475,1600,2,"July 16, 2011","There was a lot about this book that I didn't like, but only some of it can be legitimately complained about.I can't really complain about the amount and type of sex in this book like I could for Anita Blake because, unlike Anita Blake, this book is meant to have sex in it! It is Erotica.Sure, the silent, gaping, hole where my soul is shrieking over the tentacle sex would be fun to discuss, but I really can't. I highly doubt many people would pick this book up without knowing that it's freaky beyond all reason and probably violates the Geneva Convention at least a couple of times. Plus, I'm pretty sure 35% of it is illegal in a minimum of three American states.But luckily, LKH gives me plenty else to complain about and it just happens to be pretty much everything wrong with the later Anita Blake books too! The writing in this novel was horrible but it was actually the story telling and characterization that made it particularly difficult to wade through.The issue LKH has with taking 200 pages for all of the characters in Anita Blake to argue, discuss and consider her tampon brand is right here for easy access in MG. Aside from a short opening scene, the majority of this 400 page novel occurs within 48 hour span. Of those 48 hours, Merry is unconscious for a good 24(ish, I suppose, it's easy to lose track of time during the waffling!)of those.So basically the story revolves around Merry going back to Fairy, attending a party and heading home. Along the way she gives a sideways glance at a mystery that solves itself, has a lot of sex and relies on unpredictable, unexplainable sex/blood powers to fix all her problems and save the day.I was hoping that this book, unlike Anita Blake, would actually show Merry CHOOSING to have sex with a bunch of men, but not really. Once again circumstances and people more powerful than herself force her to do it. Really. She's just a victim here, guys.It's also a disturbing trend that LKH's female characters use their bodies/sex to heal emotional hurts in others because, despite everything healthy and normal, apparently you can do that.If you want to get laid then just give Merry/Anita a sob story about how you're so broken up inside/can't get laid/have some kind of repressed issues etc and she'll most likely sleep with you then. Because that's all you need. Her magic cooter will heal all your ills. I wonder about the message it sends when Merry/Anita has so little self esteem and values her body so little. In fact, I worry about the disconnected way that Merry/Anita use their bodies - almost as if it was just a tool to share around for the greater good. It almost makes me feel weird for only having sex with people because I WANT to have sex with them. The part where she only considers turning down a man with tentacles spewing out of his abdomen, because she won't be able to properly fake her orgasms was a little disconcerting!LKH, WTF? Give us back our tentacle sex. -JapanBasically, unless you feel like reading something for shits tentacles and giggles, don't bother.",226,43
139417,A Kiss of Shadows,Renee Nicole,299,184,4,"July 23, 2016","I've created one long run-on sentence to plot this book for you. English majors, turn away now. Okay... Ready?Merry has a boyfriend who used to be a seal and when they had sex he turned back into a seal so she ran away with a guy who has tentacles all over his torso and started to have sex with him but they were interrupted by a hag who she turned inside-out and thus found out that she was wanted back as a princess in her fey court which meant that she needed lots of sexy hunky guards all around because everyone was trying to kill her for some reason so she made a pact with the goblins to help protect her and got herself a goblin follower who ended up biting her while she was having sex with another one of her guards because the queen wanted her to have sex with as many men as she could so she could get preggo and create an heir to the throne.I know, right??This book went on and on. And on. And oooooon... but every time I started getting really bored, something totally ridiculous would happen. I really liked that about this story! It was crazy and kooky and totally unpredictable. The (huge) cast of characters were all completely unique and kept me on my toes. I liked playing the game of ""will she sleep with HIM?"" whenever a new male would pop up. Because that was the game. If she didn't partake in some sort of sexual activity with one, it turned out that they already hated each other from days gone by.I'm a big fan of weird shit, this might not shock you. So, at the end of it all, I did enjoy this book. The second one will probably be even more strange, which intrigues the crap out of me. It might be a while before I pursue book two... I just don't have it in me to dive right into another epic Merry Gentry book. But I WILL come back. How could I not? Dangle a giant pink carrot with magic powers and two dicks on it in front of me, and... well, I'm gonna chase it.",122,22
139417,A Kiss of Shadows,✘✘ Sarah ✘✘ (former Nefarious Breeder of Murderous Crustaceans),"2,312",7216,2,"May 12, 2020","😇 I Decline All Responsibility for this One the Only Reason I am Reading it is because the MacHalos are Collectively Holding a Gun to my Lovely Little Head Buddy Read (IDARftOtORIaRisbtMaCHaGtmLLHBR™). With the Sadistic MacHalos. Duh 😇💀 DNF at 54%. And someone should seriously consider giving me a medal for making it that far.Actual rating: 1.5 stars. Good thing I was in a good mood when I DNFed read this one.I am not drunk enough to review this book, but I'll do it anyway. Because I am strong and tough and fierce and bold and audacious and stuff. ➽ An affectionate foreword for my Friendly Neighborhood Trolls (FNT™):Okay, so I was going to write yet another delightful piece of Ever Insightful Slightly Never Ending Introductory Nonsense (EISNEIN™) 
  Eisnein, if you are reading this, I promise I solemnly swear I give you my nefarious word that I did not do this on purpose. Cross my exoskeleton, hope to drown dead and stuff
 here, but the crap is so strong in this one that I decided to cut it right away. ""Cut what?"" you say? The crap, obviously *eyeroll* You are so positively clueless it is not even funny anymore, my Little Barnacles.Soooooooo, I totally ♥♥lurrrrrrved♥♥ this super awesome book because:① The Frightfully Futile Fae/Fey/Faeries/Fairies of Freaking Feeblemindedness are Futilely Frightful (FFFFFFoFFaFF™).Yes, I am indeed a fan of the lovely Fae/Fey/Faeries/Fairies/why the bloody fish do these pathetic things have so many names??!!. They have a certain stupidly stupid je ne sais quoi that I have always found quite irresistible. Must be their overwhelmingly charming obsession with looks and appearances. Who the shrimp cares about what's inside the package, as long as the package is hot and sexy and well-dressed and stuff, right? Right. You know what else I love about the Most Wondrous Pointy Ears Optional Creatures (MWPEOC™)? They are beautifully libidinous 24/7. That is just so cool. They flirt and kiss and touch non-stop because, you know, they're flirty kissy touchy Fae/Fey/Faeries/Fairies/someone please kill me now and stuff. You know what is really, really sad, though? It seems that some inconsiderate, uncaring, cruel, hateful, bad people think the FFFFFFoFFaFF™ is a boring, shallow, superficial bunch, and that is so totally like, unfair and stuff. And so totally like, barbarously judgemental and judgementally barbarous and stuff, too. It is quite shocking how mean, evil and vicious some people can be nowadays. Good thing I am all loving and kindness and acceptance and understanding and stuff. What is this detector doing in the vicinity of this delightful review? No idea. Someone must have dropped it here by mistake or something.② Watch out, Fashion Week, Laurell K. Hamilton is out to get you.This book. Sigh. Such a glorious succession of beautifully beautiful descriptive descriptions of what my dear Fae/Fey/Faeries/Fairies/die die die look like and wear. Or don't wear. Because you know, my beloved MWPEOC™, being the Scrumptiously Salacious Bunch (SSB™) that they are, tend to think clothes are kinda sorta pointless and stuff. And I, being the lewd European I am, tend to agree with them. But I digress ever so slightly. Back to the Beautifully Beautiful Descriptive Descriptions of All Things Essential (BBDDoATE™): so many vibrant colors. So many exquisitely tailored garments. So many superbly radiant and radiantly superb materials. So many chiselled bodies. So many attractive limbs. So many hypnotizing, all-colors-of-the-rainbow gazes. Wow. This really is outstanding stuff. Laurell K. Hamilton, I think this calls for a Nobel Prize nomination or something. I mean, the level of detail here is quite unprecedented. We're talking Guinness Book of World Records material! Plus there are so many delicious details within the delicious details, it is simply delicious: ah, Alistair's red bikini underwear! To think it matches the color of his bedroom! This is so glorious it is almost too much too take. Almost. And Merry's to-die-for dye job! Two fantastically wonderful whole freaking pages dedicated to ""a natural redhead's coloring."" Sigh. Wonderful, I tell you! Just wonderful! Death by dye job description, it's a thing. What an astonishingly remarkable accomplishment. This is the stuff of legends, my Lovely Arthropods! I am actually at a loss for words here!③ I'm Too Sexy for My Blurb.Yes, it is true, this book is as magnificently ""rich, sensual and erotically charged"" an adventure as the blurb claims it to be 
  
. It's not like Laurell K. Hamilton tried waaayyyyyy toooooo hard to make her book super sexy and hot and stuff. Oh no, not at all. Absolutely not. She wouldn't do such a deplorable thing. Nuh-huh, not her. She would never ever ever ever blabber away about breasts and naked things and manly appendages and people not wearing underwear and stuff. Because Laurell K. Hamilton knows that it's not the Ever Multiplying Exposed Body Parts (EMEBP™) that count. And that repeating the words ""sexy"" and ""sex"" a million freaking times doesn't make a book sultry, sensuous, steamy and voluptuous and stuff, it makes it pathetically pathetic. Phew, I was really lucky here. This story would have been a total disaster had Laurell K. Hamilton not shown such insight. Her natural talent also saved me from reading some of the worst, flattest, most unemotional sex scenes in the history of the worst, flattest, most unemotional sex scenes. I'm thanking my lucky shrimps here, my Tiny Decapods. I seriously don't think I could have survived a shitload whole lot of Sookie & Bill type scenes here. You know, the kind of scenes that make you feel a bunch of dry humping cardboard boxes getting it on would be hotter? Pretty terrifying, I know.④ The Most Thrilling Story That Ever Was (TMTSTEW™).Such a wonderfully intriguing plot here. It really is quite marvellous. Not a single second of boredom. It is all passion and excitement and trepidation all the time. This is definitely NOT one of these silly books that are so dull and lackluster you want to put a bullet through your lovely little head to pass the time. Certainly not. The decidedly fascinating characters NEVER waste their time blah-blah-blah-ing away about tedious stuff, either. When they engage in engrossing dialogue, it is always brief and to the point. Only compelling subjects that are essential to the lame excuse of a plot are tackled. Besides, the characters here are Fae/Fey/Faeries/Fairies/a homicidal maniac is me, which means they cannot be uninteresting and boring and tiresome. They are awesomely enthralling. They can't help it, it's in their genes. It is chemically and physically and biologically impossible for them to be flat, dull and as emotional as bricks. Wow. When I think how frighteningly tedious a read this could have been, I shudder. It looks like we have another ""phew, that was close"" moment here. It really is my lucky day. I think I should play the lottery or something.Uh-oh. Maybe not my lucky day after all.» And the moral of this Had I Finished this Book I would Have Given it a Negative Rating Crappy Non Review (HIFtBIwHGiaNRCNR™) is: nice try, MacHalos, but this one won't be the death of me either. Better luck next time, right? Right. I love you, too.
  
[Jan. 23, 2017]
  The blurb says
: ""Rich, sensual, brimming with dangerous magic, A Kiss of Shadows is a dazzling tour-de-force where folklore, fantasy and erotically charged adventure collide.""
  I say
: ➽ Full The Crap is Strong in this One Crappy Non Review (TCiSitOCNR™) to come.[Jan. 20, 2017]I have read more crap than most people do in three lifetimes. I am strong. I am ruthless. I am invincible. I have bred murderous crustaceans. I have tamed Eisnein's mutant Sea Horse-riding equestrian-class Sea Monkeys. I have conquered suboceanic kindgoms. I will one day rule the world. I can do this. Of course I can. No biggie and stuff.HALP.[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>[""br""]>",109,115
139417,A Kiss of Shadows,Jessica ❁ ➳ Silverbow ➳ ❁ ,"1,255",8650,4,"February 7, 2018","2/7/18 - ON SALE for $2.99:
  
http://amzn.to/2fA5r75Reviewed by: Rabid ReadsLaurell K. Hamilton is consistently a woman ahead of her time.It started with her Anita Blake series back in 1993. Yes, that’s right—1993. I was . . . well, I’m not going to tell you how old I was in 1993, but suffice it to say, I was young enough that my mother wouldn’t want me reading an adult UF series, and that was BEFORE the Big Shift from straight-up UF to UF/erotica that took place in 2001 with book 10.So first Hamilton was one of the pioneers in the Urban Fantasy genre (if you could even call it a genre at that time), then she began shifting her writing into the largely unexplored territory of erotica.That shift displeased many of Hamilton’s fans, and she was criticized for lowering the standards of popular fiction in general. She was attacked, and called all manner of nasty things, her writing referred to as “smut” and the so-called decline of her series the result of laziness.Pfft.I’m not going to undermine the outcry of the readers who genuinely have zero interest in the sexuality-driven series that Anita Blake became. If I hadn’t adapted (like multitudes of others), I would have also been hugely disappointed that a previously beloved series transformed into something I found utterly distasteful.But I did adapt, and Hamilton’s Merry Gentry series has never been anything other than what it started as—Fae (YAY!) focused UF chock full of sexy times.If that’s not your thing, then it’s not your thing. To each their own, and all that.But do not try to convince me that Hamilton traded well-written, plot-driven books for sex, sex, and MORE sex, THE END, b/c it simply isn’t true:
  ""I leaned my back against the windows and the thick, hanging smog. The day was as grey as my boss, but his color was a cool, crisp grey, like clouds before a spring rain. What lay outside the window felt heavy and thick like something you would try to swallow, but you’d never get it down. It was a day to choke on, or maybe it was just my mood.""
Say what you want about LKH, but girl can write.So by now, most of you know that I love A-L-I-E-N-S. But there is one thing that I love even more than A-L-I-E-N-S and that is . . .FAE.And LKH’s Merry Gentry series embodies precisely what I love about Fae—DELICIOUS ambiguity.Are they good, or are they bad?It has never been, nor will ever be that simple. At best you’ll find mostly good or bad Fae, but even then, the basic nature of the Fae is so capricious that you can never know what they’re going to do.I LOVE that.Another common theme in Fae-based books is difficulty with procreation, and this is certainly the case in A Kiss of Shadows.The Fae, though practically immortal, have been dwindling for centuries. The Unseelie Queen has but one heir, her son Cel, who is becoming more and more unignorably unstable. Enter Merry, the Queen’s part-human niece, who is brought back into the fold and offered a bargain:She can pick as many of the Queen’s personal guard as she wants as lovers, and if she becomes pregnant within the next three years, the Queen will abdicate, making Merry the new Queen, and the father of the child the Consort and King.Guess how much Cel likes that proposition—abouthismuch<——no spaces = notalot.Yes, there’s sex, and LOTS of it. But there’s also a good plot and lots o’ action as well . . . the other kind of action, get your mind out of the gutter. *snorts*Also, the Fae folklore is spot-on. The Seelie, though not much of a presence yet, are believably depicted as the “shining ones” that are not nearly the creatures of goodness and light that humans perceive them to be, and the Unseelie are a multitude of hideous creatures, as well as the Seelie-like (in appearance anyway) royal sidhe.Basically, I loved it.I would recommend A Kiss of Shadows to anyone who doesn’t mind a healthy dose of sex in their UF, but especially to those who have read and liked (loved?) Karen Marie Moning’s Fever series, or the independently published Fae Chronicles by Amelia Hutchins. I won’t absolutely guarantee that if you like either of those, you’ll like this, but it’s a near thing, and given that this series predates Fever by 5 or 6 years, I think it’s safe to say that Merry Gentry paved the way for other books like this, Fever and Fae Chronicles included.",53,22
139417,A Kiss of Shadows,Jilly,"1,838",6209,4,"August 23, 2015","
  A girl could never have too much jewelry or too much weaponry.
Yeah, girl!I'm waffling between 3 & 4 stars, so I rounded up. I saw the synopsis of this book and thought I would read it because I love anything Fae. I'm a Faerie-Lover. I love all of the crazy creatures - the dark and light. I love the folk-lore, and even love Fae politics. So, what would I not like about this book?The only thing I didn't like was how much of a ""Faerie-Lover"" Merry Gentry is. She is more like a Faerie-whore because this girl is easier to nail than... a nail that's easy to nail. (I good at euphemisms.)Seriously, she has sexual contact of some sort with:A Seal-manA Pig-manA Tentacled-manA Black-man (and, no, I don't mean African-American. He is literally the color black. There are blue, green, and purple guys too.)Oh, and the Blue-manA Silver-haired manA One-Eyed manThis is all in less than 400 pages! This girl is like public transportation - everyone has taken a ride.But, even though all that is going on, the book is still really good and intriguing. The world-building is super creative and the descriptions of the fae is stunning. They are dark and beautiful - super political and layered. I couldn't help but loving the creatures of this book.",30,9
139417,A Kiss of Shadows,Daniel,382,6,3,"November 21, 2008","I would rank Hamilton as one of my favorite writers, but for her fatal flaw. She creates wonderful characters and settings, but inevitably she has to bog them down with in your face sexual situations.Kiss of Shadows is no different. In this book Hamilton does a wonderful job of creating a strong female protagonist, Merry Gentry, and describes an intricate fairy world that she belongs to, full of strange creatures and filled with political intrigue. But in order to enjoy Hamilton's skill at describing such people and places, you have to wade through pages of nothing but sex, as her main characters pretty much sleep with anything and everyone around them.I'm far from a prude, but other writers describe sexual beings much better in my opinion, such as Jacqueline Carey. If you can stand the sex, the book is worth reading. But if it makes you uncomfortable, give Hamilton a pass.",24,7
139417,A Kiss of Shadows,John,346,37,2,"November 28, 2008"," When Lauren and I prepared to go to upstate NY a little over a week ago, we looked around the Providence library's website for audio books we could download. Although I wasn't familiar with her work, I'd heard an interview with Laurell K. Hamilton on one of the podcasts to which I listen, and the first book of her Anita Blake: Vampire Hunter series wasn't available, but the start of her newer Meredith Gentry series was available. We've very much enjoyed Jim Butcher's Harry Dresden series, and from the start this novel seemed like it might be in a similar vein. The basic premise is that all sorts of fantasy creatures, starting with fairies (or fey, or elves, or sidhe--call them what you will) and extending to goblins, brownies, and many you've probably never heard of are not only real, but unlike in Butcher's Dresden series, these fantastic creatures have for some time been living openly among us. The setting is the present day, but it's a modern world which has been shaped by the existence of these fantasy creatures (Hitler, we learn, first allied with some of these creatures, but they turned against him when he tried to weed out ""impure"" magical creatures). The fairies--at least one court of them--have a sort of independent city-state in Cahokia, Illinois (at the mounds, of course!), though many live in mainstream society, albeit as essentially foreign nationals with special laws applying to them because of their magical natures.The story here centers on Meredith (Merry) Gentry, a fairy princess who's been on the run from her family for the past three years. Because of her mixed ancestry (part brownie and human as well as Sidhe), she's mortal (instead of immortal like the Sidhe) and apparently has far weaker magic than her fairy kin. Despite this, she still has a high place in the royal succession of the Unseelie fairy court. That's the set-up: I won't say much here about the plot.Although we found the book enjoyable enough to see it through to its finish, we weren't terribly impressed. Hamilton spends far too much time on description, to the detriment of her work. She describes people and places to a ridiculous extent, apparently in love with similies. As a result, the plot moves with excruciating slowness: an important character shows up, something happens, and then we have to wait for Hamilton to describe the character's appearance, his or her relationship to the main character and to others, the character's personality, all the possibly-relevant details of this character's appearance on the story's stage at this juncture... and on and on. This is bad enough, but then she has to over-explain everything that happens, every decision that the character makes... before it was over, we'd find outselves laughing--at least, after screaming in frustration--as we poked fun at Hamilton's style. I know that fantasy is a hard genre to write: so much needs to be explained because it's not our world, the rules are different, but there's definitely such a thing as over-explaining, and too often Hamilton falls into that trap. Too often, when not boring us with extraneous details, she sounds like she's talking down to us. If this was her first novel--and not just the first in the series--I could understand, but she'd written at least 8 books before this one; if this is what her mature work looks like, I have no interest in reading any of her earlier stuff, and I doubt I'll continue this series either. Even beyond those criticisms, when the plot moves in unexpected directions--and it does--frequently those directions aren't wholly satisfying. The first part of the novel seemed as though it was going in one direction, but instead it went in a whole different direction, with the first bit of plot being left behind quickly and all of the other characters from the beginning completely forgotten by the end: several characters who Meredith purports to care about in one fashion or another are just completely dropped with barely another mention. The thing is, there is something appealing about this novel. Her characters do, for the most part, have a certain something that holds the readers' attention and draws us in. There are moments where the characters really come to life. Hamilton is known for writing very sexually-charged fantasy, and rather sadly the sex scenes are one of the highlights--probably her best writing. The book reads like a trashy romance novel for the reader who also loves fantasy, but it's too slow-paced to really work as the light read to which it seems to aspire. Considering how many other good writers there are out there who I haven't read, I don't plan to spend more time on Hamilton's work any time soon.I suspect that the stylistic flaws that bugged me so much here were accentuated by the fact that we were listening to this as an audiobook. While these things might annoy if being read on the page, they are easily enough skimmed over. When each word is read to you, however, it's impossible not to notice and be frustrated. Oh, and the reader, Laurel Merlington, does a competent job differentiating the characters with different voices, though at times her male voices come off as more flat than I would like.",23,N/A
139417,A Kiss of Shadows,Diane,"1,137",32,4,"December 15, 2011","4.5 It's like ""Game of Thrones"", but with fairies and sex. I love it.",20,2
139417,A Kiss of Shadows,Crystal Starr Light,"1,335",811,3,"July 11, 2012","Merry Gentry lives in LA and works as a private detective, but in reality, she is Princess Meredith, a Sidhe Princess, niece to Queen Andais of the Unseelie Court. She has been in hiding for three years because her aunt is out to kill her. But she is discovered and must return to her home to face her aunt and Cel, the next in line to the throne.You may be aware that I've been reading the Anita books and, well, don't really like them all that much. So why I am reading LKH's paranormal erotica series? Well, I'll attribute that to a few things:1. To see if LKH can write a series I do like.2. For the lulz.3. There is tentacle sex.4. Because I stay up late at night finding ways to punish myself.There are a LOT of similarities between the two series. Merry and Anita are both petite, curvy, hugely magically talented woman very comfortable with guns and knives and working at a job that is independent of the police, yet still fights crime. Scenes tend to go from one action/dialogue sequence to the next. There is a lot of manflesh, told in exquisite, almost fangirlish detail (enough that it makes you think that if the author were a teenaged girl, these men would be gracing the walls of her room). The writing is pretty much the same--brutally functional, with little frills (unless, of course, it deals with the lovely men). And of course, my favorite and yours: yards and yards of intricate descriptions of clothing. Because we can't have a character whose clothing isn't relayed completely! You might get confused which man titty is wearing that lime green g-string after all.I don't know if it is me, my attitude, the narrator (who gives Merry's a breathy, more reserved tone) or legitimately LKH expanding her writing, but I felt that Merry somehow was her own character. Yeah, her ease with guns, her ""I don't take shit"" attitude felt a bit out of place, but she seemed more compassionate, less antagonistic, less likely to spend several hours in a pissing contest over how manly and competent she is. She doesn't strike me as any less capable than Anita, but she does endear herself to me in a way that Anita never did. And that makes me legitimately interested and invested in her story.The rest of the cast--God, there are so many, it's hard to remember them all. Particularly the men. The initial setup, with Roan and Jeremy, was solid. However, after Roan literally swims off (because Merry made him a seal?!?! HUH???), the character list grows exponentially. There is Doyle, Galen, Sholto, Frost, Kitto, Queen Andais, Cel, this woman Merry knew who is trying to be Cel's baby momma (and whose name completely evades me)...it's all a bit much to remember. And other than Doyle and Galen, I can't keep most of Merry's men straight. But I will say, Queen Andais and Cel are pretty decent antagonists.I think one of the biggest and best things that LKH did was to step away from her vampires-wereanimals story and focus on something completely new. Her world of the Fae felt very well done and different. I loved learning about the goblin society; I liked how a variety of Fae appear (such as Sholto, Tentacle Boy), and Merry isn't necessarily instantly turned off by these different beings.Of course, what also helps this book is that it doesn't pretend to not be 100% about sex. Not to spoil the story too much, but Queen Andais tells Merry that Merry could be queen--if she bears a child. And she tells Merry to go and make lots of sex with all the Guardsmen. If that isn't a setup for a porno/erotica series, then I don't know what is. And yes, it may seem cheap and cheesy, but at least LKH doesn't try to tell us this is about an ""eternal, pure love"" like SOME erotica novels out there *coughFiftyShadesanyonecough*. (Yes, I just picked on a book that I haven't read. So shoot me.)The sex itself, one of the parts I was looking forward to, was actually pretty tame and boring. While there are plenty of teasing scenes (such as Doyle having to lick Merry's inner thigh to heal a scrath *eye roll*), there are only two real sex scenes, and they are pretty meh. The first one was weird. Roan and Merry have sex...and somehow, a seal skin is produced. Roan can step into the skin and then return to the sea. Weird. (Especially sad because I thought Roan and Merry made a sexy couple.) The latter one gets a bit kinky with some rough sex and pain, but honestly, I was kinda bored (and disappointed there was no tentacle sex :( ).One more complaint: I was pretty excited at the setup. Two ladies approach Merry and her agency for help with their abusive lover. This was an excellent setup, one I was eagerly anticipating. However, the plot thread is wrapped up pretty quickly (even the Branwyn's tears is hastily wrapped up with nary an investigation--though given how the Anita Blake series is, I shouldn't have been too surprised), and most of the novel then is about Merry going to her Fae home (Yes, it is in St. Louis--St. Louis must be the paranormal capital of the world) and some disputes with her family. Not exactly edge of your seat thrilling, even if you toss in some assassination attempts and some ""I can't have sex with the celibate Guards or Queen Andais will kill them!"".I went into this book open-minded, with the knowledge that it would probably be a bit cheesy (and knowing how LKH writes). And you know what? I pretty much enjoyed myself--much more than with most of the Anita novels I've read. I'm legitimately curious about whether Merry will be queen. And of course, I have GOT to read that tentacle sex scene!!",16,8
139417,A Kiss of Shadows,Adrianna,85,9,5,"February 4, 2010","When my friend first recommended this author to me, I wasn't expecting much. If Laurell K. Hamilton was so good, why hadn't I heard of her before? One of the main reasons she remained under my book radar was because I usually stick to historical romances and even then specific authors of the genre. The first couple of pages in A Kiss of Shadows left me blown away. Hamilton creates a world that blends multiple genres: fantasy, science fiction, suspense/thriller, and even romance. I knew it would be an atypical romance, but that fact only left me more engaged in reading the series. She not only creates an unique world, but she develops intriguing characters, many of which you become attached to from the first book. Meredith Gentry, the protagonist and heroine of the series, is admirable; she is a strong woman who knows what she wants and will fight for it. The first person perspective, which is usually over-used in fiction, is well-crafted in this series. It makes all the events of the novel seem more real to the reader, as if you are experiencing the action at the same time Meredith is. If you like strong female characters, handsome hunks, and exploring new worlds, this is the book for you. It is a perfect escape from our mundane realities for open-minded readers. ",15,9
