Title,URL
"Twilight (The Twilight Saga, #1)",https://www.goodreads.com/book/show/41865.Twilight
"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/book/show/256683.City_of_Bones
"New Moon (The Twilight Saga, #2)",https://www.goodreads.com/book/show/49041.New_Moon
"Breaking Dawn (The Twilight Saga, #4)",https://www.goodreads.com/book/show/1162543.Breaking_Dawn
"Dark Lover (Black Dagger Brotherhood, #1)",https://www.goodreads.com/book/show/42899.Dark_Lover
"Vampire Academy (Vampire Academy, #1)",https://www.goodreads.com/book/show/345627.Vampire_Academy
"City of Ashes (The Mortal Instruments, #2)",https://www.goodreads.com/book/show/1582996.City_of_Ashes
"Dead Until Dark (Sookie Stackhouse, #1)",https://www.goodreads.com/book/show/301082.Dead_Until_Dark
"City of Glass (The Mortal Instruments, #3)",https://www.goodreads.com/book/show/3777732-city-of-glass
"The Raven Boys (The Raven Cycle, #1)",https://www.goodreads.com/book/show/17675462-the-raven-boys
"Hush, Hush (Hush, Hush, #1)",https://www.goodreads.com/book/show/6339664-hush-hush
"Halfway to the Grave (Night Huntress, #1)",https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
"Darkfever (Fever, #1)",https://www.goodreads.com/book/show/112750.Darkfever
"Moon Called (Mercy Thompson, #1)",https://www.goodreads.com/book/show/71811.Moon_Called
"Clockwork Angel (The Infernal Devices, #1)",https://www.goodreads.com/book/show/7171637-clockwork-angel
"A Discovery of Witches (All Souls, #1)",https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
"Obsidian (Lux, #1)",https://www.goodreads.com/book/show/12578077-obsidian
"Shiver (The Wolves of Mercy Falls, #1)",https://www.goodreads.com/book/show/6068551-shiver
"Lover Eternal (Black Dagger Brotherhood, #2)",https://www.goodreads.com/book/show/35729.Lover_Eternal
"Lover Awakened (Black Dagger Brotherhood, #3)",https://www.goodreads.com/book/show/42900.Lover_Awakened
"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",https://www.goodreads.com/book/show/9460487-miss-peregrine-s-home-for-peculiar-children
"Beautiful Creatures (Caster Chronicles, #1)",https://www.goodreads.com/book/show/6304335-beautiful-creatures
"Frostbite (Vampire Academy, #2)",https://www.goodreads.com/book/show/2282133.Frostbite
"City of Fallen Angels (The Mortal Instruments, #4)",https://www.goodreads.com/book/show/6752378-city-of-fallen-angels
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
"Fallen (Fallen, #1)",https://www.goodreads.com/book/show/6487308-fallen
"Shadow Kiss (Vampire Academy, #3)",https://www.goodreads.com/book/show/2802316-shadow-kiss
"Magic Bites (Kate Daniels, #1)",https://www.goodreads.com/book/show/38619.Magic_Bites
"Living Dead in Dallas (Sookie Stackhouse, #2)",https://www.goodreads.com/book/show/110494.Living_Dead_in_Dallas
"Blood Promise (Vampire Academy, #4)",https://www.goodreads.com/book/show/5996153-blood-promise
"Club Dead (Sookie Stackhouse, #3)",https://www.goodreads.com/book/show/140082.Club_Dead
"Marked (House of Night, #1)",https://www.goodreads.com/book/show/30183.Marked
"Lover Revealed (Black Dagger Brotherhood, #4)",https://www.goodreads.com/book/show/42898.Lover_Revealed
"City of Lost Souls (The Mortal Instruments, #5)",https://www.goodreads.com/book/show/8755776-city-of-lost-souls
"Angelfall (Penryn & the End of Days, #1)",https://www.goodreads.com/book/show/15863832-angelfall
"Lover Unbound (Black Dagger Brotherhood, #5)",https://www.goodreads.com/book/show/304027.Lover_Unbound
"Spirit Bound (Vampire Academy, #5)",https://www.goodreads.com/book/show/6479259-spirit-bound
"Dead to the World (Sookie Stackhouse, #4)",https://www.goodreads.com/book/show/140077.Dead_to_the_World
"Last Sacrifice (Vampire Academy, #6)",https://www.goodreads.com/book/show/6527740-last-sacrifice
"First Grave on the Right (Charley Davidson, #1)",https://www.goodreads.com/book/show/8788554-first-grave-on-the-right
"A Hunger Like No Other (Immortals After Dark, #1)",https://www.goodreads.com/book/show/14384.A_Hunger_Like_No_Other
"Soulless (Parasol Protectorate, #1)",https://www.goodreads.com/book/show/6381205-soulless
"The Unbecoming of Mara Dyer (Mara Dyer, #1)",https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer
