date,added,ratings,reviews,to-read
2022-08-16,41,15,0,29
2022-08-17,52,10,1,30
2022-08-18,47,15,0,24
2022-08-19,60,19,2,26
2022-08-20,40,8,1,21
2022-08-21,47,10,0,35
2022-08-22,42,10,1,28
2022-08-23,38,13,2,22
2022-08-24,52,10,0,30
2022-08-25,46,11,1,29
2022-08-26,40,13,1,19
2022-08-27,40,11,1,26
2022-08-28,53,6,1,27
2022-08-29,35,-2,0,24
2022-08-30,51,12,1,24
2022-08-31,54,6,0,33
2022-09-01,36,15,1,28
2022-09-02,36,6,0,19
2022-09-03,49,11,0,25
2022-09-04,55,12,0,32
2022-09-05,43,7,1,31
2022-09-06,45,5,1,23
2022-09-07,51,10,1,29
2022-09-08,50,18,2,29
2022-09-09,45,6,1,31
2022-09-10,41,12,1,21
2022-09-11,34,9,1,24
2022-09-12,47,9,1,25
2022-09-13,36,10,1,18
2022-09-14,43,12,0,27
2022-09-15,36,8,2,24
2022-09-16,35,8,0,20
2022-09-17,55,10,0,31
2022-09-18,46,5,1,29
2022-09-19,39,8,1,27
2022-09-20,36,13,1,23
2022-09-21,37,11,0,23
2022-09-22,41,11,2,23
2022-09-23,44,-33,0,25
2022-09-24,40,14,2,15
2022-09-25,43,10,2,25
2022-09-26,40,-18,0,24
2022-09-27,40,-27,1,20
2022-09-28,41,-53,0,19
2022-09-29,37,-81,1,13
2022-09-30,47,15,0,25
2022-10-01,42,14,2,20
2022-10-02,50,1,0,26
2022-10-03,38,6,1,23
2022-10-04,43,9,1,24
2022-10-05,46,9,0,33
2022-10-06,47,11,1,23
2022-10-07,44,7,1,24
2022-10-08,39,14,0,20
2022-10-09,44,9,2,23
2022-10-10,42,10,1,18
2022-10-11,34,11,1,20
2022-10-12,50,0,0,23
2022-10-13,28,6,2,21
2022-10-14,43,-12,4,25
2022-10-15,48,14,2,30
2022-10-16,37,-23,1,21
2022-10-17,44,-21,1,26
2022-10-18,36,1,0,18
2022-10-19,46,10,1,26
2022-10-20,47,13,3,20
2022-10-21,48,6,1,26
2022-10-22,36,-6,0,21
2022-10-23,47,-67,1,28
2022-10-24,46,-47,2,24
2022-10-25,42,-47,1,26
2022-10-26,45,15,0,21
2022-10-27,37,11,2,16
2022-10-28,44,9,0,25
2022-10-29,35,12,1,17
2022-10-30,50,-5,0,30
2022-10-31,49,-11,0,22
2022-11-01,41,5,1,25
2022-11-02,55,9,0,31
2022-11-03,41,-9,1,19
2022-11-04,35,7,0,20
2022-11-05,40,14,2,20
2022-11-06,49,9,1,24
2022-11-07,52,13,3,26
2022-11-08,37,9,0,25
2022-11-09,44,6,0,23
2022-11-10,31,12,1,19
2022-11-11,33,8,3,17
2022-11-12,42,9,3,22
2022-11-13,56,7,1,32
2022-11-14,47,7,0,22
2022-11-15,45,20,3,21
2022-11-16,37,17,0,19
2022-11-17,32,8,1,21
2022-11-18,31,9,0,19
2022-11-19,43,8,0,22
2022-11-20,39,7,0,26
2022-11-21,40,7,0,15
2022-11-22,29,9,0,16
2022-11-23,36,5,0,21
2022-11-24,39,13,0,19
2022-11-25,40,15,2,17
2022-11-26,42,10,2,27
2022-11-27,54,14,4,34
2022-11-28,43,9,0,24
2022-11-29,44,11,0,25
2022-11-30,52,-3,0,22
2022-12-01,33,10,1,21
2022-12-02,39,11,1,20
2022-12-03,47,14,1,23
2022-12-04,32,10,0,18
2022-12-05,39,7,1,19
2022-12-06,39,11,1,19
2022-12-07,26,15,2,14
2022-12-08,37,6,0,23
2022-12-09,30,5,0,20
2022-12-10,43,3,0,27
2022-12-11,62,8,1,30
2022-12-12,47,9,1,27
2022-12-13,45,14,1,17
2022-12-14,53,10,2,27
2022-12-15,46,14,2,18
2022-12-16,43,10,1,25
2022-12-17,37,7,2,18
2022-12-18,42,12,1,21
2022-12-19,51,6,2,25
2022-12-20,36,10,0,19
2022-12-21,38,17,0,22
2022-12-22,50,9,2,31
2022-12-23,55,5,0,36
2022-12-24,30,7,1,22
2022-12-25,51,10,2,23
2022-12-26,53,15,3,22
2022-12-27,77,13,1,47
2022-12-28,75,15,3,44
2022-12-29,57,17,0,38
2022-12-30,65,15,0,37
2022-12-31,64,14,0,30
2023-01-01,96,18,3,58
2023-01-02,98,17,1,56
2023-01-03,63,24,2,33
2023-01-04,94,25,4,65
2023-01-05,77,22,3,45
2023-01-06,47,11,0,31
2023-01-07,61,11,0,35
2023-01-08,70,14,3,42
2023-01-09,65,14,1,34
2023-01-10,63,19,6,32
2023-01-11,31,7,1,19
2023-01-12,48,-36,1,26
2023-01-13,48,-48,0,28
2023-01-14,66,10,2,39
2023-01-15,54,8,2,33
2023-01-16,48,6,0,27
2023-01-17,46,8,0,28
2023-01-18,46,8,1,21
2023-01-19,51,11,1,23
2023-01-20,30,14,3,19
2023-01-21,52,13,3,28
2023-01-22,53,15,1,30
2023-01-23,47,11,4,26
2023-01-24,39,10,0,18
2023-01-25,39,6,0,26
2023-01-26,43,9,0,28
2023-01-27,56,12,1,36
2023-01-28,49,19,1,23
2023-01-29,43,4,0,29
2023-01-30,45,8,0,32
2023-01-31,53,7,0,32
2023-02-01,40,7,1,26
