date,added,ratings,reviews,to-read
2022-08-16,17,6,0,9
2022-08-17,17,1,0,8
2022-08-18,14,0,1,6
2022-08-19,15,1,0,8
2022-08-20,17,0,0,8
2022-08-21,19,4,0,8
2022-08-22,17,6,0,8
2022-08-23,28,6,1,12
2022-08-24,22,4,0,10
2022-08-25,31,4,0,17
2022-08-26,15,2,0,9
2022-08-27,13,1,0,7
2022-08-28,13,3,0,6
2022-08-29,16,-2,0,4
2022-08-30,11,2,0,6
2022-08-31,13,4,0,8
2022-09-01,7,0,0,4
2022-09-02,14,3,0,7
2022-09-03,15,0,0,11
2022-09-04,15,6,0,4
2022-09-05,16,2,0,8
2022-09-06,15,1,0,7
2022-09-07,17,6,0,5
2022-09-08,18,5,0,7
2022-09-09,22,7,0,8
2022-09-10,22,4,0,10
2022-09-11,21,4,1,12
2022-09-12,18,4,0,12
2022-09-13,29,9,0,7
2022-09-14,12,1,0,6
2022-09-15,13,4,0,9
2022-09-16,11,6,1,1
2022-09-17,18,2,1,6
2022-09-18,17,5,0,4
2022-09-19,16,1,0,7
2022-09-20,11,1,0,5
2022-09-21,10,0,0,7
2022-09-22,15,0,0,6
2022-09-23,11,-8,0,8
2022-09-24,19,4,1,10
2022-09-25,19,5,0,9
2022-09-26,17,-5,1,10
2022-09-27,17,-13,1,9
2022-09-28,15,-13,1,3
2022-09-29,11,-32,0,8
2022-09-30,12,7,1,5
2022-10-01,19,1,0,8
2022-10-02,13,-4,2,6
2022-10-03,11,1,1,4
2022-10-04,14,3,0,6
2022-10-05,11,5,0,5
2022-10-06,15,1,0,9
2022-10-07,20,6,0,8
2022-10-08,20,7,0,10
2022-10-09,13,-3,0,5
2022-10-10,13,4,1,8
2022-10-11,12,2,0,5
2022-10-12,12,-2,0,6
2022-10-13,12,2,2,5
2022-10-14,11,-7,0,2
2022-10-15,15,4,0,3
2022-10-16,20,-18,0,10
2022-10-17,15,-19,0,7
2022-10-18,17,-3,1,5
2022-10-19,17,6,0,8
2022-10-20,13,3,0,6
2022-10-21,7,0,0,3
2022-10-22,16,-4,1,7
2022-10-23,12,-50,0,6
2022-10-24,10,-61,0,6
2022-10-25,12,-48,1,8
2022-10-26,21,7,0,6
2022-10-27,24,9,1,15
2022-10-28,15,3,0,5
2022-10-29,10,2,0,3
2022-10-30,10,1,1,5
2022-10-31,11,-9,0,5
2022-11-01,11,-2,0,3
2022-11-02,10,3,0,5
2022-11-03,17,-8,0,11
2022-11-04,6,7,0,3
2022-11-05,12,0,0,7
2022-11-06,20,1,0,11
2022-11-07,18,1,0,12
2022-11-08,17,-1,0,7
2022-11-09,19,10,0,9
2022-11-10,14,1,0,8
2022-11-11,18,1,0,9
2022-11-12,20,4,0,8
2022-11-13,14,1,0,6
2022-11-14,22,5,0,13
2022-11-15,16,5,0,8
2022-11-16,21,5,0,12
2022-11-17,7,1,0,4
2022-11-18,6,5,0,1
2022-11-19,12,2,1,4
2022-11-20,17,1,0,8
2022-11-21,10,5,0,6
2022-11-22,12,2,0,6
2022-11-23,8,3,1,5
2022-11-24,15,5,1,2
2022-11-25,13,4,1,4
2022-11-26,18,4,0,9
2022-11-27,10,-1,0,6
2022-11-28,16,1,0,7
2022-11-29,17,2,0,8
2022-11-30,32,5,0,18
2022-12-01,9,5,0,2
2022-12-02,15,4,0,5
2022-12-03,9,0,0,3
2022-12-04,21,3,0,6
2022-12-05,24,13,0,8
2022-12-06,19,6,2,5
2022-12-07,19,6,0,10
2022-12-08,7,3,0,2
2022-12-09,16,3,0,6
2022-12-10,14,5,1,5
2022-12-11,12,5,0,5
2022-12-12,15,1,-1,6
2022-12-13,18,4,0,10
2022-12-14,17,2,0,11
2022-12-15,15,5,0,5
2022-12-16,13,2,0,7
2022-12-17,10,5,0,5
2022-12-18,11,3,0,3
2022-12-19,12,3,0,4
2022-12-20,3,0,0,2
2022-12-21,12,3,0,2
2022-12-22,6,3,0,2
2022-12-23,24,3,0,17
2022-12-24,27,2,0,20
2022-12-25,22,2,0,14
2022-12-26,36,5,0,23
2022-12-27,28,4,1,15
2022-12-28,25,6,0,9
2022-12-29,21,5,0,11
2022-12-30,28,4,1,9
2022-12-31,33,11,0,11
2023-01-01,37,10,1,13
2023-01-02,40,9,0,18
2023-01-03,22,6,0,8
2023-01-04,24,3,0,10
2023-01-05,25,1,3,4
2023-01-06,19,9,0,11
2023-01-07,20,1,0,8
2023-01-08,21,0,0,8
2023-01-09,22,1,0,12
2023-01-10,26,7,0,12
2023-01-11,31,5,0,20
2023-01-12,20,-14,0,11
2023-01-13,16,-28,0,6
2023-01-14,18,3,0,8
2023-01-15,26,5,0,8
2023-01-16,15,2,0,5
2023-01-17,22,4,0,6
2023-01-18,18,6,0,8
2023-01-19,16,6,0,8
2023-01-20,15,4,0,6
2023-01-21,19,4,0,9
2023-01-22,16,6,0,7
2023-01-23,22,5,0,13
2023-01-24,20,6,1,9
2023-01-25,14,3,0,7
2023-01-26,29,1,0,12
2023-01-27,11,2,0,5
2023-01-28,23,5,0,9
2023-01-29,30,9,1,13
2023-01-30,17,5,0,11
2023-01-31,16,4,0,7
2023-02-01,19,5,1,11
