date,added,ratings,reviews,to-read
2022-08-16,11,-2,0,8
2022-08-17,11,1,0,6
2022-08-18,11,5,0,3
2022-08-19,12,4,0,3
2022-08-20,12,1,0,8
2022-08-21,12,4,0,7
2022-08-22,9,4,0,6
2022-08-23,13,1,0,8
2022-08-24,16,2,0,8
2022-08-25,13,3,0,6
2022-08-26,13,1,1,4
2022-08-27,4,1,0,2
2022-08-28,18,3,0,6
2022-08-29,9,-8,0,4
2022-08-30,11,6,1,8
2022-08-31,15,-1,0,7
2022-09-01,13,5,1,5
2022-09-02,10,1,0,3
2022-09-03,19,6,2,9
2022-09-04,24,5,1,10
2022-09-05,10,3,0,5
2022-09-06,13,1,0,6
2022-09-07,10,3,0,7
2022-09-08,7,3,0,3
2022-09-09,3,1,0,2
2022-09-10,8,3,1,5
2022-09-11,10,4,0,3
2022-09-12,21,5,0,7
2022-09-13,12,3,0,4
2022-09-14,10,7,0,3
2022-09-15,6,2,0,4
2022-09-16,8,0,0,5
2022-09-17,8,3,0,3
2022-09-18,13,1,0,5
2022-09-19,16,2,0,8
2022-09-20,11,4,0,4
2022-09-21,7,2,1,3
2022-09-22,5,0,0,2
2022-09-23,13,-11,0,6
2022-09-24,10,2,0,5
2022-09-25,12,3,0,5
2022-09-26,9,-12,1,4
2022-09-27,9,-16,0,6
2022-09-28,9,-23,0,5
2022-09-29,7,-43,0,3
2022-09-30,16,0,0,2
2022-10-01,17,2,0,9
2022-10-02,34,-6,0,19
2022-10-03,20,4,0,12
2022-10-04,33,7,1,19
2022-10-05,31,7,0,17
2022-10-06,36,12,0,20
2022-10-07,27,10,0,13
2022-10-08,24,5,1,13
2022-10-09,17,-1,1,8
2022-10-10,17,2,1,8
2022-10-11,16,0,1,7
2022-10-12,5,-5,0,0
2022-10-13,8,4,1,5
2022-10-14,12,-6,1,5
2022-10-15,16,2,1,5
2022-10-16,13,-17,1,5
2022-10-17,11,-8,0,3
2022-10-18,6,0,0,1
2022-10-19,17,2,0,5
2022-10-20,17,1,1,11
2022-10-21,13,-8,1,6
2022-10-22,9,-2,0,4
2022-10-23,14,-37,0,5
2022-10-24,12,-57,1,6
2022-10-25,8,-39,0,3
2022-10-26,6,5,0,3
2022-10-27,17,5,0,8
2022-10-28,8,2,0,5
2022-10-29,10,7,1,1
2022-10-30,19,2,0,9
2022-10-31,9,-11,0,5
2022-11-01,10,0,0,5
2022-11-02,9,2,0,2
2022-11-03,12,-10,0,7
2022-11-04,10,2,1,7
2022-11-05,12,3,0,4
2022-11-06,12,8,1,3
2022-11-07,16,-1,0,9
2022-11-08,7,3,0,4
2022-11-09,9,4,0,4
2022-11-10,3,4,1,1
2022-11-11,9,2,0,2
2022-11-12,8,3,0,4
2022-11-13,8,1,1,5
2022-11-14,12,2,0,5
2022-11-15,8,3,0,5
2022-11-16,7,3,2,3
2022-11-17,4,2,0,2
2022-11-18,10,3,0,5
2022-11-19,9,4,0,4
2022-11-20,10,0,0,3
2022-11-21,6,3,1,3
2022-11-22,11,4,0,5
2022-11-23,14,0,1,5
2022-11-24,9,6,0,4
2022-11-25,7,2,0,4
2022-11-26,13,3,1,4
2022-11-27,10,4,0,3
2022-11-28,6,1,0,3
2022-11-29,7,0,0,2
2022-11-30,8,-5,0,4
2022-12-01,9,3,0,3
2022-12-02,12,1,0,6
2022-12-03,11,1,0,4
2022-12-04,10,3,1,4
2022-12-05,12,3,1,6
2022-12-06,10,2,0,3
2022-12-07,7,4,1,3
2022-12-08,8,0,0,2
2022-12-09,11,3,0,5
2022-12-10,6,-2,0,1
2022-12-11,18,6,0,6
2022-12-12,7,1,1,4
2022-12-13,22,6,1,7
2022-12-14,13,3,0,6
2022-12-15,8,4,1,3
2022-12-16,9,3,0,4
2022-12-17,7,1,0,1
2022-12-18,11,2,0,7
2022-12-19,7,1,1,1
2022-12-20,10,3,1,6
2022-12-21,9,3,0,0
2022-12-22,5,4,0,1
2022-12-23,13,3,0,2
2022-12-24,5,4,0,3
2022-12-25,10,2,0,5
2022-12-26,16,4,-1,2
2022-12-27,12,6,0,3
2022-12-28,18,4,0,8
2022-12-29,8,3,1,2
2022-12-30,20,3,0,8
2022-12-31,15,4,-1,5
2023-01-01,26,3,1,11
2023-01-02,26,7,1,8
2023-01-03,9,5,1,2
2023-01-04,24,9,0,11
2023-01-05,12,5,0,5
2023-01-06,11,1,1,5
2023-01-07,12,2,0,2
2023-01-08,20,2,0,7
2023-01-09,13,6,1,5
2023-01-10,7,4,1,2
2023-01-11,10,0,0,2
2023-01-12,12,-15,0,7
2023-01-13,17,-16,1,8
2023-01-14,20,3,0,10
2023-01-15,20,2,0,7
2023-01-16,16,5,1,8
2023-01-17,12,6,0,5
2023-01-18,12,4,0,2
2023-01-19,12,6,1,6
2023-01-20,11,3,0,3
2023-01-21,23,4,0,6
2023-01-22,10,6,0,3
2023-01-23,10,0,0,5
2023-01-24,14,3,0,7
2023-01-25,14,4,0,6
2023-01-26,16,1,1,6
2023-01-27,13,2,0,3
2023-01-28,7,2,0,2
2023-01-29,11,3,0,2
2023-01-30,14,2,0,9
2023-01-31,9,2,-1,3
2023-02-01,15,5,0,7
