date,added,ratings,reviews,to-read
2022-08-16,18,3,1,9
2022-08-17,14,1,0,8
2022-08-18,9,0,0,7
2022-08-19,9,1,0,1
2022-08-20,19,2,0,9
2022-08-21,18,7,0,12
2022-08-22,11,3,0,2
2022-08-23,9,5,1,5
2022-08-24,13,3,0,5
2022-08-25,16,2,0,10
2022-08-26,14,6,1,2
2022-08-27,15,3,0,6
2022-08-28,10,3,0,3
2022-08-29,13,-1,0,9
2022-08-30,11,6,1,5
2022-08-31,11,3,0,5
2022-09-01,7,1,0,3
2022-09-02,12,2,0,4
2022-09-03,19,3,0,8
2022-09-04,13,5,0,6
2022-09-05,14,0,0,5
2022-09-06,7,-1,0,3
2022-09-07,14,5,0,5
2022-09-08,13,4,0,4
2022-09-09,8,5,0,3
2022-09-10,18,5,0,7
2022-09-11,12,4,1,5
2022-09-12,12,5,0,6
2022-09-13,15,7,0,3
2022-09-14,17,5,0,9
2022-09-15,13,5,0,7
2022-09-16,14,1,0,10
2022-09-17,20,4,0,9
2022-09-18,6,2,0,2
2022-09-19,8,5,0,4
2022-09-20,10,3,0,5
2022-09-21,11,1,0,8
2022-09-22,11,0,0,3
2022-09-23,9,-10,1,4
2022-09-24,18,4,1,8
2022-09-25,10,3,0,6
2022-09-26,10,-3,1,8
2022-09-27,11,-8,0,4
2022-09-28,7,-11,0,2
2022-09-29,13,-30,0,5
2022-09-30,6,3,0,2
2022-10-01,9,2,0,2
2022-10-02,14,1,0,7
2022-10-03,8,1,0,1
2022-10-04,13,5,0,5
2022-10-05,13,3,0,6
2022-10-06,13,5,0,4
2022-10-07,13,2,0,6
2022-10-08,14,6,2,5
2022-10-09,17,1,0,7
2022-10-10,9,2,0,6
2022-10-11,4,-1,0,3
2022-10-12,13,-1,1,4
2022-10-13,10,2,0,3
2022-10-14,10,-5,0,4
2022-10-15,14,2,0,4
2022-10-16,14,-14,0,8
2022-10-17,14,-20,0,8
2022-10-18,13,-10,0,5
2022-10-19,17,1,0,6
2022-10-20,12,5,1,5
2022-10-21,14,-3,1,4
2022-10-22,11,4,0,4
2022-10-23,15,-44,0,5
2022-10-24,2,-47,0,2
2022-10-25,13,-36,0,7
2022-10-26,9,2,0,3
2022-10-27,12,1,0,2
2022-10-28,7,4,0,5
2022-10-29,15,2,0,6
2022-10-30,16,2,0,6
2022-10-31,10,-11,0,4
2022-11-01,10,-1,0,4
2022-11-02,14,3,0,8
2022-11-03,8,-6,0,1
2022-11-04,5,4,0,4
2022-11-05,8,2,0,4
2022-11-06,19,2,0,12
2022-11-07,16,6,0,5
2022-11-08,13,5,0,6
2022-11-09,5,5,0,0
2022-11-10,12,2,0,9
2022-11-11,9,4,0,1
2022-11-12,14,2,0,4
2022-11-13,12,5,0,4
2022-11-14,5,2,0,2
2022-11-15,9,3,0,6
2022-11-16,9,4,1,1
2022-11-17,11,3,0,7
2022-11-18,6,1,0,4
2022-11-19,11,2,0,3
2022-11-20,16,4,0,4
2022-11-21,4,5,0,2
2022-11-22,13,2,0,3
2022-11-23,6,7,0,2
2022-11-24,5,1,0,1
2022-11-25,6,3,0,1
2022-11-26,8,2,1,4
2022-11-27,11,2,0,4
2022-11-28,4,1,0,1
2022-11-29,13,2,0,8
2022-11-30,12,-1,1,2
2022-12-01,15,3,0,7
2022-12-02,10,4,0,6
2022-12-03,10,2,0,4
2022-12-04,13,3,0,5
2022-12-05,11,9,0,2
2022-12-06,7,3,0,4
2022-12-07,6,6,0,1
2022-12-08,3,0,0,2
2022-12-09,13,4,0,5
2022-12-10,10,3,0,2
2022-12-11,13,8,1,3
2022-12-12,9,4,0,3
2022-12-13,10,1,0,3
2022-12-14,18,4,0,12
2022-12-15,20,6,1,6
2022-12-16,12,9,1,2
2022-12-17,12,3,0,6
2022-12-18,10,6,0,5
2022-12-19,11,2,1,5
2022-12-20,6,5,0,1
2022-12-21,15,6,0,5
2022-12-22,6,-1,0,3
2022-12-23,15,1,1,5
2022-12-24,6,2,0,6
2022-12-25,5,1,0,1
2022-12-26,19,3,1,7
2022-12-27,14,1,1,7
2022-12-28,17,3,0,4
2022-12-29,13,5,1,8
2022-12-30,12,2,1,5
2022-12-31,19,3,0,6
2023-01-01,25,0,0,11
2023-01-02,21,5,1,3
2023-01-03,21,9,0,6
2023-01-04,22,12,0,6
2023-01-05,13,7,0,4
2023-01-06,19,5,0,8
2023-01-07,18,1,0,6
2023-01-08,13,-2,0,0
2023-01-09,13,8,1,6
2023-01-10,12,3,0,5
2023-01-11,4,2,0,2
2023-01-12,9,-20,0,3
2023-01-13,19,-26,-1,7
2023-01-14,7,2,0,3
2023-01-15,19,2,0,7
2023-01-16,17,3,0,8
2023-01-17,14,4,0,9
2023-01-18,16,2,0,2
2023-01-19,14,6,0,6
2023-01-20,11,3,0,7
2023-01-21,10,3,0,4
2023-01-22,12,4,0,1
2023-01-23,14,4,1,3
2023-01-24,8,2,0,4
2023-01-25,12,3,0,3
2023-01-26,9,0,0,5
2023-01-27,11,1,0,6
2023-01-28,10,-1,0,7
2023-01-29,25,3,0,9
2023-01-30,17,4,0,6
2023-01-31,9,4,-1,4
2023-02-01,9,6,1,6
