date,added,ratings,reviews,to-read
2022-08-16,27,9,0,7
2022-08-17,44,17,2,6
2022-08-18,37,15,0,6
2022-08-19,38,15,1,7
2022-08-20,31,9,0,7
2022-08-21,32,12,0,7
2022-08-22,60,12,1,16
2022-08-23,28,5,0,4
2022-08-24,34,12,0,5
2022-08-25,21,6,0,5
2022-08-26,26,3,0,7
2022-08-27,33,12,0,10
2022-08-28,37,11,0,14
2022-08-29,30,-12,0,11
2022-08-30,41,15,0,8
2022-08-31,30,12,0,6
2022-09-01,18,6,0,5
2022-09-02,35,8,0,6
2022-09-03,48,19,1,16
2022-09-04,51,11,0,7
2022-09-05,25,12,1,9
2022-09-06,31,-4,0,7
2022-09-07,40,10,1,6
2022-09-08,39,9,0,4
2022-09-09,20,8,0,4
2022-09-10,36,7,0,6
2022-09-11,32,15,0,4
2022-09-12,36,11,0,6
2022-09-13,44,13,1,12
2022-09-14,25,3,0,7
2022-09-15,24,6,0,5
2022-09-16,35,6,1,7
2022-09-17,30,12,0,2
2022-09-18,27,7,0,5
2022-09-19,25,9,0,3
2022-09-20,26,5,0,3
2022-09-21,36,12,1,9
2022-09-22,11,5,0,2
2022-09-23,26,-35,1,4
2022-09-24,25,7,-1,6
2022-09-25,22,3,0,5
2022-09-26,18,-21,0,7
2022-09-27,36,-44,0,7
2022-09-28,28,-65,1,0
2022-09-29,31,-138,0,10
2022-09-30,26,12,0,7
2022-10-01,33,6,0,5
2022-10-02,36,-13,0,14
2022-10-03,31,2,1,13
2022-10-04,41,4,0,11
2022-10-05,35,11,0,8
2022-10-06,27,6,0,5
2022-10-07,26,9,1,7
2022-10-08,25,10,2,5
2022-10-09,31,-2,0,3
2022-10-10,31,11,0,6
2022-10-11,30,8,0,1
2022-10-12,29,-8,0,7
2022-10-13,20,1,0,6
2022-10-14,25,-27,0,7
2022-10-15,31,5,0,4
2022-10-16,33,-39,0,9
2022-10-17,25,-37,0,4
2022-10-18,30,-11,0,5
2022-10-19,25,13,0,4
2022-10-20,28,4,1,6
2022-10-21,21,-8,0,7
2022-10-22,21,-14,0,6
2022-10-23,37,-114,0,11
2022-10-24,27,-98,1,4
2022-10-25,21,-80,0,7
2022-10-26,20,9,0,4
2022-10-27,35,12,0,7
2022-10-28,24,4,0,5
2022-10-29,24,-1,0,10
2022-10-30,32,-7,0,8
2022-10-31,22,-33,0,7
2022-11-01,24,-2,0,5
2022-11-02,31,6,0,5
2022-11-03,24,-7,0,2
2022-11-04,21,8,0,6
2022-11-05,37,7,1,7
2022-11-06,29,4,0,7
2022-11-07,27,3,0,10
2022-11-08,28,0,0,5
2022-11-09,37,12,0,8
2022-11-10,15,3,0,4
2022-11-11,20,4,0,3
2022-11-12,34,8,0,7
2022-11-13,31,7,1,3
2022-11-14,27,10,0,5
2022-11-15,30,7,1,8
2022-11-16,23,8,0,3
2022-11-17,29,5,0,6
2022-11-18,32,8,0,7
2022-11-19,30,9,0,3
2022-11-20,24,8,0,5
2022-11-21,20,8,0,3
2022-11-22,30,11,0,6
2022-11-23,36,10,0,7
2022-11-24,31,4,0,4
2022-11-25,24,14,0,2
2022-11-26,28,13,1,5
2022-11-27,36,7,0,5
2022-11-28,31,10,0,11
2022-11-29,25,10,0,4
2022-11-30,40,10,0,7
2022-12-01,35,15,1,3
2022-12-02,20,11,2,4
2022-12-03,30,4,0,8
2022-12-04,24,6,0,2
2022-12-05,35,7,0,9
2022-12-06,23,11,2,5
2022-12-07,28,18,0,3
2022-12-08,25,5,0,4
2022-12-09,28,8,1,6
2022-12-10,32,12,0,5
2022-12-11,31,5,0,7
2022-12-12,25,9,0,7
2022-12-13,35,6,0,10
2022-12-14,38,10,0,5
2022-12-15,37,11,1,9
2022-12-16,34,4,0,11
2022-12-17,28,9,0,4
2022-12-18,30,0,0,9
2022-12-19,30,9,1,4
2022-12-20,29,5,0,8
2022-12-21,40,6,0,11
2022-12-22,22,8,0,5
2022-12-23,27,10,0,4
2022-12-24,18,3,0,3
2022-12-25,30,5,0,8
2022-12-26,43,15,1,11
2022-12-27,39,6,0,6
2022-12-28,63,32,0,13
2022-12-29,51,14,0,11
2022-12-30,66,19,2,6
2022-12-31,92,32,0,14
2023-01-01,128,12,0,24
2023-01-02,128,33,0,24
2023-01-03,80,26,1,16
2023-01-04,73,19,0,12
2023-01-05,78,16,0,16
2023-01-06,59,20,0,16
2023-01-07,64,15,0,9
2023-01-08,71,14,0,12
2023-01-09,62,4,0,11
2023-01-10,49,15,1,9
2023-01-11,63,18,0,17
2023-01-12,54,-65,0,6
2023-01-13,43,-68,1,11
2023-01-14,56,9,2,14
2023-01-15,57,17,1,15
2023-01-16,48,15,0,11
2023-01-17,35,6,0,7
2023-01-18,44,3,0,5
2023-01-19,55,19,1,7
2023-01-20,36,15,0,11
2023-01-21,40,8,0,7
2023-01-22,63,10,0,16
2023-01-23,44,12,0,6
2023-01-24,42,13,0,10
2023-01-25,30,10,1,3
2023-01-26,39,7,0,7
2023-01-27,41,7,0,10
2023-01-28,45,12,0,7
2023-01-29,48,13,0,10
2023-01-30,42,4,0,9
2023-01-31,45,13,1,11
2023-02-01,32,9,0,7
