date,added,ratings,reviews,to-read
2022-08-16,35,19,1,14
2022-08-17,53,14,1,24
2022-08-18,32,16,1,14
2022-08-19,37,8,1,20
2022-08-20,31,6,1,17
2022-08-21,23,8,1,8
2022-08-22,46,11,2,18
2022-08-23,31,9,0,20
2022-08-24,42,2,0,21
2022-08-25,32,14,0,17
2022-08-26,26,11,0,14
2022-08-27,43,14,2,23
2022-08-28,36,14,0,18
2022-08-29,29,0,3,8
2022-08-30,35,8,1,20
2022-08-31,33,16,3,17
2022-09-01,27,7,1,17
2022-09-02,22,1,1,14
2022-09-03,22,5,0,11
2022-09-04,32,11,0,13
2022-09-05,29,8,1,12
2022-09-06,30,1,0,15
2022-09-07,39,16,1,14
2022-09-08,23,8,0,14
2022-09-09,34,9,0,15
2022-09-10,35,17,0,13
2022-09-11,27,16,2,12
2022-09-12,35,15,2,19
2022-09-13,34,6,0,16
2022-09-14,24,8,1,11
2022-09-15,21,3,0,15
2022-09-16,25,9,1,8
2022-09-17,27,7,1,16
2022-09-18,28,12,0,14
2022-09-19,27,7,0,16
2022-09-20,30,12,1,17
2022-09-21,23,5,1,14
2022-09-22,40,8,0,24
2022-09-23,20,-26,0,11
2022-09-24,28,3,0,17
2022-09-25,35,5,0,17
2022-09-26,25,-13,1,14
2022-09-27,25,-50,0,15
2022-09-28,36,-45,1,21
2022-09-29,20,-68,1,13
2022-09-30,18,4,0,12
2022-10-01,32,6,0,20
2022-10-02,36,-3,2,16
2022-10-03,20,1,1,10
2022-10-04,40,8,0,22
2022-10-05,25,14,1,13
2022-10-06,34,5,2,16
2022-10-07,30,8,0,17
2022-10-08,35,8,1,16
2022-10-09,37,3,1,15
2022-10-10,35,9,1,21
2022-10-11,27,7,0,14
2022-10-12,27,-3,0,14
2022-10-13,27,7,1,10
2022-10-14,31,-12,0,10
2022-10-15,23,3,1,12
2022-10-16,47,-14,-1,24
2022-10-17,32,-30,0,19
2022-10-18,28,-9,0,14
2022-10-19,34,10,0,14
2022-10-20,25,7,1,11
2022-10-21,35,0,0,18
2022-10-22,36,-2,1,15
2022-10-23,44,-54,0,21
2022-10-24,39,-54,0,17
2022-10-25,37,-54,1,21
2022-10-26,26,10,1,15
2022-10-27,40,10,1,13
2022-10-28,37,12,1,22
2022-10-29,50,11,2,20
2022-10-30,50,10,0,22
2022-10-31,58,-4,0,31
2022-11-01,114,20,0,76
2022-11-02,76,23,0,45
2022-11-03,70,2,1,41
2022-11-04,62,20,1,37
2022-11-05,61,18,0,29
2022-11-06,69,19,2,37
2022-11-07,68,13,1,45
2022-11-08,54,17,0,21
2022-11-09,58,20,1,30
2022-11-10,50,21,0,32
2022-11-11,53,8,0,34
2022-11-12,41,12,1,22
2022-11-13,50,20,1,19
2022-11-14,46,10,1,23
2022-11-15,53,18,0,24
2022-11-16,26,18,0,11
2022-11-17,32,13,0,18
2022-11-18,36,14,0,18
2022-11-19,43,13,0,23
2022-11-20,28,4,0,14
2022-11-21,27,2,0,18
2022-11-22,29,4,0,11
2022-11-23,31,13,2,11
2022-11-24,33,9,2,15
2022-11-25,33,14,1,11
2022-11-26,36,9,0,18
2022-11-27,33,7,1,15
2022-11-28,39,6,1,16
2022-11-29,30,12,1,16
2022-11-30,33,-16,1,12
2022-12-01,42,10,1,18
2022-12-02,32,11,1,16
2022-12-03,36,4,1,17
2022-12-04,33,14,0,19
2022-12-05,35,7,2,16
2022-12-06,33,7,2,15
2022-12-07,15,4,0,9
2022-12-08,29,9,0,15
2022-12-09,24,8,0,9
2022-12-10,24,5,0,13
2022-12-11,40,7,1,14
2022-12-12,23,11,2,11
2022-12-13,43,16,0,26
2022-12-14,45,6,1,27
2022-12-15,51,13,3,31
2022-12-16,37,13,0,18
2022-12-17,44,9,1,24
2022-12-18,60,10,0,38
2022-12-19,63,9,1,40
2022-12-20,68,6,1,55
2022-12-21,45,15,1,26
2022-12-22,33,8,0,14
2022-12-23,32,10,1,16
2022-12-24,30,10,0,20
2022-12-25,43,11,1,25
2022-12-26,58,11,0,26
2022-12-27,61,17,0,25
2022-12-28,47,12,2,27
2022-12-29,42,10,2,21
2022-12-30,40,9,2,24
2022-12-31,54,14,2,23
2023-01-01,76,7,1,48
2023-01-02,78,19,3,38
2023-01-03,51,15,0,25
2023-01-04,44,19,0,20
2023-01-05,49,10,1,25
2023-01-06,43,8,1,20
2023-01-07,52,17,3,25
2023-01-08,39,11,0,21
2023-01-09,45,14,5,20
2023-01-10,48,5,0,23
2023-01-11,38,15,1,20
2023-01-12,41,-26,2,16
2023-01-13,47,-46,2,20
2023-01-14,47,12,1,21
2023-01-15,59,20,0,22
2023-01-16,43,14,1,19
2023-01-17,51,15,2,28
2023-01-18,41,9,2,24
2023-01-19,31,11,1,16
2023-01-20,31,9,0,17
2023-01-21,47,8,1,30
2023-01-22,51,15,0,29
2023-01-23,47,9,0,29
2023-01-24,49,9,2,27
2023-01-25,58,11,1,44
2023-01-26,46,7,1,28
2023-01-27,46,8,0,26
2023-01-28,39,13,1,23
2023-01-29,39,4,0,20
2023-01-30,32,6,1,22
2023-01-31,30,13,4,19
2023-02-01,23,8,0,16
