date,added,ratings,reviews,to-read
2022-08-16,10,3,0,3
2022-08-17,20,5,0,5
2022-08-18,8,6,1,1
2022-08-19,10,3,0,3
2022-08-20,13,3,0,0
2022-08-21,8,1,1,2
2022-08-22,12,3,0,2
2022-08-23,13,4,0,5
2022-08-24,12,6,1,2
2022-08-25,2,-1,0,1
2022-08-26,7,1,0,3
2022-08-27,9,7,2,3
2022-08-28,9,-2,0,6
2022-08-29,12,0,2,4
2022-08-30,11,4,0,5
2022-08-31,10,0,0,2
2022-09-01,4,4,0,2
2022-09-02,8,-1,0,3
2022-09-03,9,1,0,3
2022-09-04,11,2,0,2
2022-09-05,9,3,0,1
2022-09-06,11,3,0,3
2022-09-07,15,6,0,1
2022-09-08,9,4,0,3
2022-09-09,5,2,0,1
2022-09-10,9,4,0,3
2022-09-11,7,3,0,2
2022-09-12,8,4,1,2
2022-09-13,16,2,0,2
2022-09-14,11,7,0,3
2022-09-15,6,2,0,2
2022-09-16,16,8,0,4
2022-09-17,6,4,1,1
2022-09-18,14,9,0,3
2022-09-19,2,2,0,0
2022-09-20,11,4,0,2
2022-09-21,6,0,0,1
2022-09-22,4,2,0,3
2022-09-23,7,-5,0,2
2022-09-24,4,3,0,1
2022-09-25,6,2,3,2
2022-09-26,3,-12,0,1
2022-09-27,9,-24,1,1
2022-09-28,10,-15,0,4
2022-09-29,8,-47,0,5
2022-09-30,10,4,0,3
2022-10-01,12,2,0,4
2022-10-02,13,-8,0,3
2022-10-03,13,2,1,4
2022-10-04,14,4,0,6
2022-10-05,10,3,0,2
2022-10-06,10,2,0,4
2022-10-07,17,5,0,2
2022-10-08,10,7,0,2
2022-10-09,12,3,0,3
2022-10-10,11,5,0,3
2022-10-11,7,-1,0,2
2022-10-12,7,-4,0,1
2022-10-13,6,3,0,1
2022-10-14,8,-9,0,2
2022-10-15,13,4,0,3
2022-10-16,13,-15,0,4
2022-10-17,13,-20,0,4
2022-10-18,7,-5,0,0
2022-10-19,17,7,0,1
2022-10-20,7,0,0,3
2022-10-21,15,-4,0,2
2022-10-22,10,0,0,2
2022-10-23,13,-59,0,2
2022-10-24,12,-54,0,1
2022-10-25,16,-44,1,1
2022-10-26,7,9,0,1
2022-10-27,14,8,0,4
2022-10-28,12,7,0,2
2022-10-29,16,0,0,3
2022-10-30,8,1,1,2
2022-10-31,10,-7,0,3
2022-11-01,9,3,0,3
2022-11-02,8,4,2,3
2022-11-03,11,-10,0,1
2022-11-04,13,1,0,5
2022-11-05,11,2,0,2
2022-11-06,11,5,0,5
2022-11-07,9,1,0,4
2022-11-08,10,3,0,0
2022-11-09,8,3,0,6
2022-11-10,7,5,0,2
2022-11-11,8,3,1,3
2022-11-12,8,5,0,1
2022-11-13,12,3,1,4
2022-11-14,12,6,0,0
2022-11-15,9,6,0,2
2022-11-16,13,3,0,2
2022-11-17,9,5,0,2
2022-11-18,8,3,0,1
2022-11-19,7,2,0,3
2022-11-20,9,3,0,2
2022-11-21,6,0,0,1
2022-11-22,9,5,0,1
2022-11-23,7,2,0,2
2022-11-24,9,-1,0,0
2022-11-25,10,7,0,3
2022-11-26,11,3,0,4
2022-11-27,13,2,0,1
2022-11-28,9,3,0,0
2022-11-29,7,5,0,2
2022-11-30,13,1,0,2
2022-12-01,10,3,0,2
2022-12-02,10,2,1,1
2022-12-03,15,2,-2,4
2022-12-04,16,7,0,3
2022-12-05,16,5,0,2
2022-12-06,6,3,0,1
2022-12-07,5,2,0,2
2022-12-08,7,1,1,2
2022-12-09,7,3,1,0
2022-12-10,3,4,0,0
2022-12-11,10,2,0,3
2022-12-12,7,2,0,2
2022-12-13,13,4,0,3
2022-12-14,6,3,0,0
2022-12-15,11,4,0,4
2022-12-16,11,2,0,1
2022-12-17,10,3,0,4
2022-12-18,17,5,1,6
2022-12-19,8,2,0,1
2022-12-20,5,2,1,2
2022-12-21,10,1,0,4
2022-12-22,12,2,0,1
2022-12-23,7,4,0,3
2022-12-24,8,5,0,1
2022-12-25,11,3,0,4
2022-12-26,21,7,0,6
2022-12-27,21,5,1,4
2022-12-28,21,7,1,6
2022-12-29,12,10,0,2
2022-12-30,19,5,2,5
2022-12-31,21,6,0,5
2023-01-01,23,2,0,9
2023-01-02,29,9,0,7
2023-01-03,21,4,0,6
2023-01-04,10,7,0,1
2023-01-05,10,4,1,1
2023-01-06,14,3,1,2
2023-01-07,22,8,1,8
2023-01-08,19,1,0,4
2023-01-09,15,12,0,4
2023-01-10,13,6,0,2
2023-01-11,12,5,0,5
2023-01-12,18,-6,0,3
2023-01-13,16,-21,1,7
2023-01-14,17,5,0,3
2023-01-15,12,6,1,2
2023-01-16,15,7,0,2
2023-01-17,20,4,0,10
2023-01-18,8,4,0,2
2023-01-19,12,3,0,5
2023-01-20,9,5,1,2
2023-01-21,9,0,0,2
2023-01-22,17,9,3,4
2023-01-23,13,2,1,6
2023-01-24,11,1,1,1
2023-01-25,10,5,1,2
2023-01-26,12,6,0,2
2023-01-27,9,3,1,4
2023-01-28,11,4,0,2
2023-01-29,14,6,0,1
2023-01-30,7,5,0,1
2023-01-31,8,3,0,2
2023-02-01,8,2,1,3
