Title,URL
Meditations,https://www.goodreads.com/book/show/30659.Meditations
The Republic,https://www.goodreads.com/book/show/30289.The_Republic
Thus Spoke Zarathustra,https://www.goodreads.com/book/show/51893.Thus_Spoke_Zarathustra
Beyond Good and Evil,https://www.goodreads.com/book/show/12321.Beyond_Good_and_Evil
The Stranger,https://www.goodreads.com/book/show/49552.The_Stranger
Man's Search for Meaning,https://www.goodreads.com/book/show/4069.Man_s_Search_for_Meaning
The Prince,https://www.goodreads.com/book/show/28862.The_Prince
Sophie's World,https://www.goodreads.com/book/show/10959.Sophie_s_World
The Art of War,https://www.goodreads.com/book/show/10534.The_Art_of_War
Tao Te Ching,https://www.goodreads.com/book/show/67896.Tao_Te_Ching
The Nicomachean Ethics,https://www.goodreads.com/book/show/19068.The_Nicomachean_Ethics
A History of Western Philosophy,https://www.goodreads.com/book/show/243685.A_History_of_Western_Philosophy
Siddhartha,https://www.goodreads.com/book/show/52036.Siddhartha
Critique of Pure Reason,https://www.goodreads.com/book/show/18288.Critique_of_Pure_Reason
"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",https://www.goodreads.com/book/show/629.Zen_and_the_Art_of_Motorcycle_Maintenance
The Communist Manifesto,https://www.goodreads.com/book/show/30474.The_Communist_Manifesto
The Symposium,https://www.goodreads.com/book/show/81779.The_Symposium
Letters from a Stoic,https://www.goodreads.com/book/show/97411.Letters_from_a_Stoic
The Alchemist,https://www.goodreads.com/book/show/18144590-the-alchemist
Being and Time,https://www.goodreads.com/book/show/92307.Being_and_Time
Candide,https://www.goodreads.com/book/show/19380.Candide
Being and Nothingness,https://www.goodreads.com/book/show/10033.Being_and_Nothingness
Fear and Trembling,https://www.goodreads.com/book/show/24965.Fear_and_Trembling
Nausea,https://www.goodreads.com/book/show/298275.Nausea
Leviathan,https://www.goodreads.com/book/show/91953.Leviathan
The Myth of Sisyphus and Other Essays,https://www.goodreads.com/book/show/11987.The_Myth_of_Sisyphus_and_Other_Essays
An Enquiry Concerning Human Understanding,https://www.goodreads.com/book/show/130119.An_Enquiry_Concerning_Human_Understanding
On the Genealogy of Morals,https://www.goodreads.com/book/show/80449.On_the_Genealogy_of_Morals
Apology,https://www.goodreads.com/book/show/73945.Apology
On Liberty,https://www.goodreads.com/book/show/385228.On_Liberty
Walden,https://www.goodreads.com/book/show/16902.Walden
The Social Contract,https://www.goodreads.com/book/show/12651.The_Social_Contract
Existentialism is a Humanism,https://www.goodreads.com/book/show/51985.Existentialism_is_a_Humanism
The Myth of Sisyphus,https://www.goodreads.com/book/show/91950.The_Myth_of_Sisyphus
Ethics,https://www.goodreads.com/book/show/205218.Ethics
On the Shortness of Life,https://www.goodreads.com/book/show/97412.On_the_Shortness_of_Life
Politics,https://www.goodreads.com/book/show/19083.Politics
"The Trial and Death of Socrates (Euthyphro, Apology, Crito, Phaedo)",https://www.goodreads.com/book/show/22632.The_Trial_and_Death_of_Socrates
The Problems of Philosophy,https://www.goodreads.com/book/show/31799.The_Problems_of_Philosophy
The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers,https://www.goodreads.com/book/show/31795.The_Story_of_Philosophy
Discipline and Punish: The Birth of the Prison,https://www.goodreads.com/book/show/80369.Discipline_and_Punish
The God Delusion,https://www.goodreads.com/book/show/14743.The_God_Delusion
Tractatus Logico-Philosophicus,https://www.goodreads.com/book/show/12075.Tractatus_Logico_Philosophicus
Atlas Shrugged,https://www.goodreads.com/book/show/662.Atlas_Shrugged
The Prophet,https://www.goodreads.com/book/show/2547.The_Prophet
"The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness",https://www.goodreads.com/book/show/24618.The_Art_of_Living
Utopia,https://www.goodreads.com/book/show/18414.Utopia
Groundwork of the Metaphysics of Morals,https://www.goodreads.com/book/show/60080.Groundwork_of_the_Metaphysics_of_Morals
Meditations on First Philosophy,https://www.goodreads.com/book/show/30658.Meditations_on_First_Philosophy
Discourse on Method and Meditations on First Philosophy,https://www.goodreads.com/book/show/31862.Discourse_on_Method_and_Meditations_on_First_Philosophy
Phenomenology of Spirit,https://www.goodreads.com/book/show/9454.Phenomenology_of_Spirit
The Consolations of Philosophy,https://www.goodreads.com/book/show/23419.The_Consolations_of_Philosophy
Philosophical Investigations,https://www.goodreads.com/book/show/12073.Philosophical_Investigations
The Plague,https://www.goodreads.com/book/show/11989.The_Plague
The Second Sex,https://www.goodreads.com/book/show/457264.The_Second_Sex
