date,added,ratings,reviews,to-read
2022-08-16,41,15,1,23
2022-08-17,46,7,1,29
2022-08-18,40,9,0,25
2022-08-19,33,8,2,20
2022-08-20,40,10,1,16
2022-08-21,36,6,0,24
2022-08-22,28,8,0,16
2022-08-23,52,10,1,28
2022-08-24,48,11,1,33
2022-08-25,47,13,1,32
2022-08-26,35,6,0,21
2022-08-27,41,5,-1,20
2022-08-28,42,13,1,23
2022-08-29,46,8,1,25
2022-08-30,42,6,1,23
2022-08-31,46,5,0,26
2022-09-01,36,11,3,29
2022-09-02,49,8,0,25
2022-09-03,45,4,0,29
2022-09-04,51,10,-1,31
2022-09-05,51,11,1,30
2022-09-06,34,6,0,18
2022-09-07,46,7,1,30
2022-09-08,29,9,1,9
2022-09-09,32,10,2,17
2022-09-10,39,13,1,19
2022-09-11,47,6,0,26
2022-09-12,56,14,1,31
2022-09-13,46,12,0,26
2022-09-14,33,5,0,20
2022-09-15,47,14,0,26
2022-09-16,37,7,0,18
2022-09-17,35,7,1,24
2022-09-18,50,7,0,27
2022-09-19,38,13,0,24
2022-09-20,39,11,0,24
2022-09-21,31,10,1,19
2022-09-22,39,8,0,17
2022-09-23,40,-6,0,21
2022-09-24,41,7,-1,22
2022-09-25,35,5,0,22
2022-09-26,30,4,1,19
2022-09-27,38,-4,0,23
2022-09-28,40,-18,1,18
2022-09-29,51,-32,1,28
2022-09-30,38,12,0,19
2022-10-01,29,4,2,16
2022-10-02,38,9,1,20
2022-10-03,39,7,0,24
2022-10-04,43,10,1,24
2022-10-05,27,8,1,15
2022-10-06,32,9,0,15
2022-10-07,30,7,1,20
2022-10-08,22,6,1,13
2022-10-09,38,5,0,20
2022-10-10,37,2,0,22
2022-10-11,24,8,0,10
2022-10-12,39,9,0,20
2022-10-13,28,10,0,21
2022-10-14,25,7,0,13
2022-10-15,42,9,1,23
2022-10-16,45,8,0,26
2022-10-17,44,13,0,17
2022-10-18,40,7,0,23
2022-10-19,57,8,1,38
2022-10-20,62,7,0,46
2022-10-21,68,13,0,46
2022-10-22,37,3,1,23
2022-10-23,53,-7,0,33
2022-10-24,45,4,1,29
2022-10-25,50,13,1,34
2022-10-26,43,12,0,26
2022-10-27,49,9,0,26
2022-10-28,42,5,0,34
2022-10-29,36,8,1,22
2022-10-30,38,5,1,21
2022-10-31,40,11,1,19
2022-11-01,34,5,1,23
2022-11-02,37,10,1,21
2022-11-03,32,2,0,19
2022-11-04,38,500,30,25
2022-11-05,42,6,0,21
2022-11-06,62,10,0,40
2022-11-07,44,9,2,28
2022-11-08,52,7,2,29
2022-11-09,49,10,0,31
2022-11-10,45,7,1,25
2022-11-11,23,5,0,15
2022-11-12,44,6,1,28
2022-11-13,48,14,0,24
2022-11-14,32,9,1,20
2022-11-15,51,6,2,29
2022-11-16,42,5,0,30
2022-11-17,59,14,0,41
2022-11-18,67,8,1,51
2022-11-19,66,6,0,44
2022-11-20,82,5,0,53
2022-11-21,84,15,2,59
2022-11-22,71,13,1,50
2022-11-23,58,5,0,41
2022-11-24,56,8,1,34
2022-11-25,57,13,2,39
2022-11-26,58,5,0,37
2022-11-27,86,13,0,58
2022-11-28,73,10,2,42
2022-11-29,52,7,0,32
2022-11-30,56,14,1,34
2022-12-01,53,13,2,32
2022-12-02,45,7,2,35
2022-12-03,68,10,-1,43
2022-12-04,58,1,0,43
2022-12-05,63,12,0,40
2022-12-06,59,11,1,38
2022-12-07,59,18,1,34
2022-12-08,51,14,0,29
2022-12-09,44,5,0,31
2022-12-10,50,11,0,28
2022-12-11,47,9,2,26
2022-12-12,56,8,1,35
2022-12-13,50,15,3,26
2022-12-14,54,6,2,37
2022-12-15,57,8,0,35
2022-12-16,45,14,2,30
2022-12-17,74,9,0,53
2022-12-18,45,11,0,23
2022-12-19,58,15,1,40
2022-12-20,53,13,0,34
2022-12-21,68,8,1,43
2022-12-22,72,9,2,55
2022-12-23,89,15,0,53
2022-12-24,67,17,0,38
2022-12-25,69,14,0,34
2022-12-26,78,14,1,45
2022-12-27,70,18,1,42
2022-12-28,79,18,0,49
2022-12-29,97,19,3,68
2022-12-30,92,17,0,45
2022-12-31,113,27,4,70
2023-01-01,154,22,2,101
2023-01-02,191,26,2,123
2023-01-03,128,19,2,79
2023-01-04,148,30,1,105
2023-01-05,157,17,0,122
2023-01-06,136,26,2,87
2023-01-07,123,22,3,78
2023-01-08,115,313,38,76
2023-01-09,128,80,4,79
2023-01-10,100,22,1,74
2023-01-11,88,22,2,60
2023-01-12,110,0,1,62
2023-01-13,90,-5,2,59
2023-01-14,83,16,2,46
2023-01-15,110,21,3,65
2023-01-16,98,25,0,58
2023-01-17,117,16,1,76
2023-01-18,125,20,2,84
2023-01-19,130,20,1,80
2023-01-20,83,22,4,53
2023-01-21,104,16,3,58
2023-01-22,115,11,4,73
2023-01-23,97,15,1,63
2023-01-24,118,17,2,66
2023-01-25,97,16,1,62
2023-01-26,92,18,1,58
2023-01-27,71,10,0,50
2023-01-28,85,12,2,61
2023-01-29,108,21,0,57
2023-01-30,76,21,3,50
2023-01-31,95,20,1,58
2023-02-01,87,19,0,59
