date,added,ratings,reviews,to-read
2022-08-16,21,5,0,10
2022-08-17,24,2,0,9
2022-08-18,19,2,1,14
2022-08-19,17,6,1,10
2022-08-20,17,3,0,10
2022-08-21,19,3,0,11
2022-08-22,24,6,1,12
2022-08-23,19,4,0,10
2022-08-24,16,-4,0,8
2022-08-25,11,3,0,7
2022-08-26,21,2,0,5
2022-08-27,15,7,3,9
2022-08-28,26,5,1,14
2022-08-29,20,3,0,13
2022-08-30,18,5,4,5
2022-08-31,15,8,2,5
2022-09-01,23,3,0,7
2022-09-02,28,9,1,11
2022-09-03,19,2,0,8
2022-09-04,24,5,0,10
2022-09-05,16,5,0,7
2022-09-06,15,7,1,4
2022-09-07,18,5,0,7
2022-09-08,9,3,1,2
2022-09-09,19,6,0,7
2022-09-10,17,4,1,8
2022-09-11,14,6,1,9
2022-09-12,21,4,0,6
2022-09-13,21,4,1,11
2022-09-14,17,7,1,6
2022-09-15,16,7,2,4
2022-09-16,20,6,0,7
2022-09-17,18,5,1,7
2022-09-18,21,5,0,8
2022-09-19,13,2,0,7
2022-09-20,10,1,1,5
2022-09-21,9,1,0,4
2022-09-22,6,6,1,1
2022-09-23,16,3,0,9
2022-09-24,16,4,2,4
2022-09-25,11,8,2,8
2022-09-26,14,5,1,8
2022-09-27,13,3,0,6
2022-09-28,18,6,0,7
2022-09-29,13,7,0,4
2022-09-30,18,6,1,9
2022-10-01,20,6,0,7
2022-10-02,21,4,0,7
2022-10-03,16,4,2,8
2022-10-04,16,-1,0,8
2022-10-05,7,2,1,2
2022-10-06,7,2,0,3
2022-10-07,13,1,0,6
2022-10-08,16,2,0,4
2022-10-09,22,8,0,10
2022-10-10,14,3,0,6
2022-10-11,15,2,1,4
2022-10-12,14,6,1,4
2022-10-13,7,2,0,3
2022-10-14,15,4,0,9
2022-10-15,19,3,0,7
2022-10-16,18,4,1,7
2022-10-17,22,6,0,11
2022-10-18,12,3,0,7
2022-10-19,10,1,0,6
2022-10-20,10,3,0,4
2022-10-21,12,2,0,6
2022-10-22,9,2,0,3
2022-10-23,16,3,0,7
2022-10-24,12,3,1,4
2022-10-25,11,3,0,4
2022-10-26,14,5,0,6
2022-10-27,14,2,0,7
2022-10-28,13,4,2,8
2022-10-29,14,4,0,8
2022-10-30,18,1,0,9
2022-10-31,14,0,0,4
2022-11-01,18,3,0,5
2022-11-02,16,-1,1,9
2022-11-03,11,2,0,5
2022-11-04,7,2,1,3
2022-11-05,17,2,0,11
2022-11-06,17,2,0,4
2022-11-07,18,4,1,7
2022-11-08,13,4,1,2
2022-11-09,27,5,0,14
2022-11-10,8,4,0,3
2022-11-11,22,0,0,10
2022-11-12,9,3,1,3
2022-11-13,18,5,0,6
2022-11-14,15,5,1,5
2022-11-15,16,4,1,4
2022-11-16,12,1,0,6
2022-11-17,17,2,0,8
2022-11-18,13,2,0,8
2022-11-19,10,3,1,5
2022-11-20,13,3,0,4
2022-11-21,12,6,0,8
2022-11-22,7,0,0,2
2022-11-23,22,4,1,11
2022-11-24,16,5,0,8
2022-11-25,14,1,-1,7
2022-11-26,17,5,0,8
2022-11-27,13,1,0,8
2022-11-28,12,5,0,4
2022-11-29,8,3,0,4
2022-11-30,18,1,0,6
2022-12-01,13,3,0,5
2022-12-02,12,4,1,5
2022-12-03,21,3,0,16
2022-12-04,20,6,1,6
2022-12-05,21,6,0,9
2022-12-06,17,5,1,7
2022-12-07,17,7,0,9
2022-12-08,11,5,2,5
2022-12-09,15,0,0,8
2022-12-10,7,1,0,3
2022-12-11,25,9,1,11
2022-12-12,17,4,0,7
2022-12-13,19,6,1,10
2022-12-14,14,2,0,8
2022-12-15,15,5,2,7
2022-12-16,10,1,-1,4
2022-12-17,16,3,0,9
2022-12-18,13,4,0,7
2022-12-19,13,4,0,5
2022-12-20,12,6,0,4
2022-12-21,17,4,0,7
2022-12-22,16,2,0,9
2022-12-23,23,7,2,8
2022-12-24,18,9,1,7
2022-12-25,23,6,0,7
2022-12-26,25,4,0,15
2022-12-27,23,4,2,9
2022-12-28,34,8,2,14
2022-12-29,21,3,0,14
2022-12-30,25,8,0,13
2022-12-31,38,10,0,17
2023-01-01,51,10,0,25
2023-01-02,41,7,2,19
2023-01-03,29,5,0,9
2023-01-04,25,5,2,15
2023-01-05,21,5,0,11
2023-01-06,31,7,2,15
2023-01-07,28,4,1,14
2023-01-08,24,8,2,10
2023-01-09,32,4,0,14
2023-01-10,33,3,0,17
2023-01-11,15,8,0,6
2023-01-12,18,5,0,8
2023-01-13,22,5,0,10
2023-01-14,20,4,0,8
2023-01-15,20,4,1,11
2023-01-16,24,2,0,13
2023-01-17,20,4,0,7
2023-01-18,28,4,1,15
2023-01-19,21,5,0,10
2023-01-20,20,10,3,12
2023-01-21,23,4,0,12
2023-01-22,38,5,0,22
2023-01-23,31,8,0,11
2023-01-24,17,8,0,4
2023-01-25,22,2,1,11
2023-01-26,20,3,2,6
2023-01-27,24,5,0,10
2023-01-28,21,7,1,9
2023-01-29,29,10,2,8
2023-01-30,24,8,0,13
2023-01-31,14,5,1,5
2023-02-01,12,8,1,9
