date,added,ratings,reviews,to-read
2022-08-16,118,39,0,71
2022-08-17,145,47,2,76
2022-08-18,125,38,3,80
2022-08-19,134,41,2,71
2022-08-20,154,40,2,84
2022-08-21,162,48,1,80
2022-08-22,159,42,2,86
2022-08-23,155,48,2,80
2022-08-24,146,33,3,73
2022-08-25,124,45,3,64
2022-08-26,138,45,1,77
2022-08-27,124,49,1,56
2022-08-28,167,30,1,86
2022-08-29,119,-24,2,63
2022-08-30,155,54,1,75
2022-08-31,185,48,1,107
2022-09-01,124,29,2,72
2022-09-02,114,35,1,59
2022-09-03,132,33,2,75
2022-09-04,159,50,0,66
2022-09-05,135,63,1,72
2022-09-06,129,1,4,67
2022-09-07,145,39,1,78
2022-09-08,89,22,1,43
2022-09-09,98,30,1,53
2022-09-10,110,29,1,59
2022-09-11,110,45,4,63
2022-09-12,122,29,1,65
2022-09-13,136,61,2,64
2022-09-14,97,27,0,55
2022-09-15,90,31,0,57
2022-09-16,112,35,2,63
2022-09-17,110,32,0,56
2022-09-18,141,39,1,69
2022-09-19,133,41,1,63
2022-09-20,132,54,2,64
2022-09-21,90,43,0,45
2022-09-22,133,51,0,65
2022-09-23,130,-25,0,60
2022-09-24,111,35,1,59
2022-09-25,136,36,1,84
2022-09-26,141,-20,0,75
2022-09-27,114,-29,1,60
2022-09-28,119,-97,0,66
2022-09-29,82,-87,5,42
2022-09-30,107,36,1,52
2022-10-01,100,24,0,59
2022-10-02,118,-33,2,65
2022-10-03,102,-10,1,53
2022-10-04,104,29,2,56
2022-10-05,75,22,1,43
2022-10-06,95,27,2,49
2022-10-07,90,24,1,47
2022-10-08,93,18,1,51
2022-10-09,108,13,1,47
2022-10-10,118,25,2,59
2022-10-11,121,22,1,68
2022-10-12,93,-26,2,51
2022-10-13,79,23,1,50
2022-10-14,79,-44,1,39
2022-10-15,114,23,1,56
2022-10-16,98,-79,3,49
2022-10-17,96,-64,0,50
2022-10-18,104,-7,2,48
2022-10-19,107,23,1,55
2022-10-20,101,33,1,51
2022-10-21,77,-6,0,43
2022-10-22,83,8,1,36
2022-10-23,98,-148,0,54
2022-10-24,111,-77,0,61
2022-10-25,111,-16,0,53
2022-10-26,115,42,1,55
2022-10-27,110,36,2,56
2022-10-28,80,27,0,36
2022-10-29,87,22,1,57
2022-10-30,114,5,0,57
2022-10-31,99,7,0,37
2022-11-01,123,38,0,56
2022-11-02,115,31,2,55
2022-11-03,113,-4,0,67
2022-11-04,103,24,0,58
2022-11-05,107,32,0,54
2022-11-06,109,30,1,55
2022-11-07,103,27,1,51
2022-11-08,108,26,1,65
2022-11-09,86,26,1,47
2022-11-10,87,36,3,48
2022-11-11,84,26,4,45
2022-11-12,85,27,2,44
2022-11-13,120,28,2,64
2022-11-14,97,30,-1,60
2022-11-15,152,39,2,82
2022-11-16,85,21,1,49
2022-11-17,85,39,0,40
2022-11-18,86,17,0,40
2022-11-19,108,15,1,66
2022-11-20,124,25,1,69
2022-11-21,99,26,2,51
2022-11-22,111,18,0,71
2022-11-23,115,24,0,72
2022-11-24,91,32,0,49
2022-11-25,103,18,0,68
2022-11-26,119,23,2,72
2022-11-27,136,30,0,78
2022-11-28,126,36,1,69
2022-11-29,120,40,2,68
2022-11-30,129,39,0,76
2022-12-01,112,28,3,66
2022-12-02,110,32,0,65
2022-12-03,121,22,0,69
2022-12-04,140,36,1,81
2022-12-05,105,33,0,60
2022-12-06,138,41,1,76
2022-12-07,106,35,2,66
2022-12-08,97,34,4,63
2022-12-09,88,22,1,49
2022-12-10,132,24,0,93
2022-12-11,170,23,2,113
2022-12-12,135,36,0,90
2022-12-13,127,28,0,85
2022-12-14,130,33,3,74
2022-12-15,130,32,1,71
2022-12-16,102,28,2,54
2022-12-17,93,18,1,51
2022-12-18,130,33,1,64
2022-12-19,103,28,-1,56
2022-12-20,120,36,3,80
2022-12-21,144,40,1,77
2022-12-22,135,39,2,77
2022-12-23,160,22,2,92
2022-12-24,104,32,3,61
2022-12-25,158,43,1,80
2022-12-26,181,45,2,96
2022-12-27,197,57,2,106
2022-12-28,222,63,6,124
2022-12-29,205,70,3,112
2022-12-30,225,56,7,122
2022-12-31,256,64,0,138
2023-01-01,458,106,2,257
2023-01-02,455,144,1,273
2023-01-03,377,93,2,225
2023-01-04,328,90,3,211
2023-01-05,266,76,3,148
2023-01-06,271,66,5,151
2023-01-07,254,53,3,159
2023-01-08,303,62,2,173
2023-01-09,229,64,0,131
2023-01-10,240,51,1,134
2023-01-11,194,54,4,112
2023-01-12,188,-63,1,122
2023-01-13,160,-121,2,80
2023-01-14,200,38,1,116
2023-01-15,182,51,2,92
2023-01-16,202,51,2,110
2023-01-17,159,63,4,85
2023-01-18,197,39,0,87
2023-01-19,180,70,3,80
2023-01-20,162,46,1,97
2023-01-21,144,41,0,74
2023-01-22,185,40,2,102
2023-01-23,185,47,1,115
2023-01-24,194,54,1,104
2023-01-25,160,44,4,91
2023-01-26,167,37,0,96
2023-01-27,144,31,2,76
2023-01-28,129,37,0,72
2023-01-29,166,43,0,87
2023-01-30,139,34,0,93
2023-01-31,143,38,1,80
2023-02-01,141,33,1,86
