date,added,ratings,reviews,to-read
2022-08-16,309,78,10,199
2022-08-17,359,63,3,202
2022-08-18,315,72,8,230
2022-08-19,327,64,9,191
2022-08-20,325,72,6,182
2022-08-21,378,86,9,201
2022-08-22,349,92,10,189
2022-08-23,341,72,7,202
2022-08-24,379,86,6,204
2022-08-25,266,83,5,157
2022-08-26,325,92,8,163
2022-08-27,304,70,7,156
2022-08-28,357,79,9,196
2022-08-29,257,76,11,168
2022-08-30,322,78,7,161
2022-08-31,364,83,8,195
2022-09-01,328,55,5,189
2022-09-02,258,58,8,143
2022-09-03,286,57,3,166
2022-09-04,338,74,3,167
2022-09-05,381,99,6,201
2022-09-06,320,76,11,178
2022-09-07,297,54,3,169
2022-09-08,219,52,10,116
2022-09-09,262,54,5,132
2022-09-10,295,62,5,163
2022-09-11,271,68,11,183
2022-09-12,288,61,5,143
2022-09-13,295,81,13,181
2022-09-14,243,44,5,120
2022-09-15,218,67,7,154
2022-09-16,240,54,8,137
2022-09-17,277,58,3,161
2022-09-18,375,81,11,203
2022-09-19,283,73,7,147
2022-09-20,243,75,4,160
2022-09-21,237,77,9,139
2022-09-22,309,87,8,158
2022-09-23,274,26,4,149
2022-09-24,269,64,7,145
2022-09-25,322,67,8,186
2022-09-26,227,46,10,128
2022-09-27,296,72,5,149
2022-09-28,268,46,6,142
2022-09-29,267,40,9,147
2022-09-30,235,50,7,132
2022-10-01,274,66,8,162
2022-10-02,297,46,5,160
2022-10-03,269,62,9,148
2022-10-04,259,60,6,133
2022-10-05,175,63,3,105
2022-10-06,288,61,5,162
2022-10-07,220,44,5,128
2022-10-08,274,69,5,158
2022-10-09,300,58,6,172
2022-10-10,278,41,7,168
2022-10-11,285,62,4,155
2022-10-12,243,43,4,126
2022-10-13,203,52,5,130
2022-10-14,173,32,5,94
2022-10-15,252,49,8,145
2022-10-16,288,22,2,172
2022-10-17,274,34,4,160
2022-10-18,280,46,6,150
2022-10-19,234,51,4,140
2022-10-20,243,47,4,125
2022-10-21,206,41,6,120
2022-10-22,232,36,5,119
2022-10-23,276,11,6,143
2022-10-24,258,16,9,146
2022-10-25,187,49,7,117
2022-10-26,237,48,3,134
2022-10-27,241,55,4,139
2022-10-28,226,41,0,118
2022-10-29,191,57,6,95
2022-10-30,259,145,17,130
2022-10-31,221,60,11,110
2022-11-01,253,51,4,132
2022-11-02,265,49,7,143
2022-11-03,252,44,2,144
2022-11-04,233,44,4,132
2022-11-05,278,64,8,160
2022-11-06,343,57,7,213
2022-11-07,275,64,9,153
2022-11-08,269,61,8,134
2022-11-09,262,73,5,145
2022-11-10,249,43,4,139
2022-11-11,208,52,5,113
2022-11-12,322,50,5,208
2022-11-13,320,63,4,184
2022-11-14,292,68,10,171
2022-11-15,308,70,11,173
2022-11-16,281,72,7,134
2022-11-17,205,37,3,126
2022-11-18,230,49,3,123
2022-11-19,255,48,9,141
2022-11-20,323,58,5,186
2022-11-21,297,70,6,166
2022-11-22,291,84,12,149
2022-11-23,269,51,5,160
2022-11-24,232,63,4,123
2022-11-25,253,53,6,163
2022-11-26,263,52,9,148
2022-11-27,393,77,9,255
2022-11-28,340,65,5,219
2022-11-29,299,67,8,164
2022-11-30,281,63,5,165
2022-12-01,260,58,7,137
2022-12-02,265,45,4,157
2022-12-03,303,60,5,155
2022-12-04,441,80,8,292
2022-12-05,320,54,7,166
2022-12-06,294,60,6,167
2022-12-07,236,72,9,166
2022-12-08,278,64,9,147
2022-12-09,265,57,4,155
2022-12-10,312,66,8,176
2022-12-11,369,81,7,214
2022-12-12,315,56,5,192
2022-12-13,287,54,14,182
2022-12-14,308,61,7,169
2022-12-15,273,55,3,164
2022-12-16,320,54,3,202
2022-12-17,331,63,5,204
2022-12-18,385,77,9,218
2022-12-19,310,64,4,158
2022-12-20,269,70,8,177
2022-12-21,333,80,12,184
2022-12-22,378,70,5,209
2022-12-23,318,44,3,197
2022-12-24,257,60,12,153
2022-12-25,404,77,2,250
2022-12-26,466,97,10,270
2022-12-27,483,78,12,277
2022-12-28,631,112,14,406
2022-12-29,381,117,14,246
2022-12-30,524,116,8,286
2022-12-31,495,151,17,250
2023-01-01,804,102,19,481
2023-01-02,864,154,14,515
2023-01-03,823,152,12,481
2023-01-04,555,128,11,349
2023-01-05,623,122,15,380
2023-01-06,517,105,12,297
2023-01-07,531,86,5,324
2023-01-08,625,111,16,383
2023-01-09,526,105,16,302
2023-01-10,515,103,9,297
2023-01-11,382,107,12,256
2023-01-12,461,42,11,266
2023-01-13,450,-4,6,285
2023-01-14,474,84,8,276
2023-01-15,479,89,10,256
2023-01-16,523,96,18,309
2023-01-17,485,92,9,299
2023-01-18,497,98,13,293
2023-01-19,396,69,11,231
2023-01-20,297,86,7,210
2023-01-21,491,85,10,299
2023-01-22,557,98,14,325
2023-01-23,463,92,19,266
2023-01-24,470,109,7,248
2023-01-25,468,83,10,267
2023-01-26,447,80,4,259
2023-01-27,389,91,10,226
2023-01-28,403,87,12,217
2023-01-29,491,96,18,264
2023-01-30,368,107,11,241
2023-01-31,436,114,15,227
2023-02-01,342,75,9,220
